"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sparc",125.223172662292,-23.0309387211954,4.13153517068074,-5.57442639835997,2.48346773576789e-08,0.000236500632477176
"Zbtb16",36.7583293615419,-6.42589201294181,1.48085380987725,-4.33931558272756,1.42927150345843e-05,0.0272219050548693
"Tbc1d9b",59.0593233119423,-8.68592181369712,1.9952029048427,-4.35340275047459,1.34040570656557e-05,0.0272219050548693
"Abca9",42.7698793609249,-8.19749301808207,1.87330019707703,-4.37596335647265,1.20897324912174e-05,0.0272219050548693
"Etv5",32.5262885480187,-7.7666089654039,1.77492370655983,-4.37574242582922,1.21019854632492e-05,0.0272219050548693
"Lifr",26.7429962361176,-7.47721324330427,1.7394620838772,-4.29857788370864,1.71897497680075e-05,0.0272829978401226
"Map3k9",16.387255723908,-6.83182192437218,1.63508433205052,-4.1782688455002,2.93736322876517e-05,0.0383721065060702
"Smarca2",44.3307950463864,-4.92998511665242,1.18592742264955,-4.15707152267216,3.22353094664036e-05,0.0383721065060702
"Plxdc2",38.1638760514315,-6.8393401591099,1.6836615212617,-4.062182376173,4.86160711849621e-05,0.0456710715004094
"Gpr84",17.010272534309,-6.93080208858667,1.71423998657527,-4.04307573202344,5.27545717215692e-05,0.0456710715004094
"Gpr34",71.8466751159548,-8.96094734395379,2.20601306545001,-4.0620554267324,4.86425236104165e-05,0.0456710715004094
"Cfh",152.129003249753,-8.84780513994168,2.25222399784669,-3.92847476467746,8.54863191350482e-05,0.0626220167017742
"Rcn2",22.90095190509,-4.18937818308738,1.06407752044065,-3.9370986630302,8.24727042551028e-05,0.0626220167017742
"Rasgrp3",98.2618563582962,-3.68418614895799,0.957267559791435,-3.84864828153237,0.000118771394292754,0.0807899991321353
"Slco2b1",81.7230674476406,-7.9508478611254,2.10256997747444,-3.78149024589221,0.000155892331387525,0.0989708447868936
"Tmco1",76.0215940085231,-2.06559757453022,0.548658764211921,-3.76481286596632,0.000166673859312733,0.0992021976396975
"Bivm",9.91025311608076,-4.96184749594819,1.35463818656075,-3.66285813080885,0.000249416689404355,0.118759756659884
"P2ry13",95.4152188958041,-5.09376163981021,1.37626025284674,-3.70116162933135,0.000214614710504792,0.118759756659884
"Sall1",63.4552517713845,-7.58022938697296,2.06326426158738,-3.67390136498612,0.000238874975016509,0.118759756659884
