"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Serpine2",60.2364784550274,-22.8467176427866,3.99546757860664,-5.71815868688742,1.07684556122649e-08,0.000156853324448251
"Il1rl1",44.6829580807487,-2.48017424057508,0.611678596910336,-4.05470168991157,5.01983224207143e-05,0.31771927249092
"Cibar1",18.0993267911507,-7.07239864726154,1.77151247727287,-3.99229400751895,6.54371699486998e-05,0.31771927249092
"Igkc",492.003062517604,-8.44269989268297,2.20356584789454,-3.83138080522975,0.000127426103515651,0.464022155952242
"Ptpmt1",114.045418887784,-1.64679781609124,0.439479364739469,-3.74715617664437,0.000178850738806883,0.521027972292213
"Klra4",33.8368677673545,-2.93771944072118,0.816978161449502,-3.59583594683732,0.000323351537243002,0.68471765513811
"Abce1",39.1594122906235,-2.58680724551594,0.721980775558789,-3.58293092155235,0.000339760479741828,0.68471765513811
"Sumo2",354.787579085195,-2.44663740543936,0.687965824682317,-3.556335674914,0.000376063520603109,0.68471765513811
"Gng5",333.945143298423,-1.96824247540322,0.55928462069884,-3.51921437235992,0.000432826817059459,0.700506157476453
"Golim4",21.7270975737819,-2.75122378550791,0.788623915582334,-3.48863854005284,0.000485487164983376,0.707160604514786
"Idh3a",77.7029429135967,-2.15896019597894,0.626923235439805,-3.44373931915982,0.000573728582580306,0.759720957624067
"Tfb2m",44.3940851242539,-1.95001662507672,0.572046181386643,-3.40884475506831,0.000652385941774402,0.783412911165816
"Irgq",5.83385356555528,6.11994751973084,1.80534885610074,3.38989746998201,0.000699187686746918,0.783412911165816
"Dram2",186.175245321075,-1.72419541344333,0.515019061316135,-3.34782834840547,0.00081447441111568,0.796427174095559
"Slc25a5",495.546259356802,-1.89228093770832,0.565551999146176,-3.34590089074944,0.000820157051450871,0.796427174095559
"Tprn",12.6457826565502,-6.57932268487642,1.99833861081112,-3.29239631826254,0.000993375179336609,0.851147227189238
"Spire1",9.54769829208114,-6.05647157755738,1.83253077327333,-3.30497673811998,0.000949842830765325,0.851147227189238
"Cbx3",163.727279981226,-2.10496095633744,0.646136783619169,-3.25776369601967,0.00112293872630113,0.856655612225854
"Snrk",11.8040369457248,-6.45225289851487,1.98952753117218,-3.24310812362238,0.0011823333289422,0.856655612225854
"Arrdc3",185.351686725163,1.39589492119357,0.431175644413307,3.23741597949703,0.00120617451686039,0.856655612225854
"Rhoq",156.380252979061,-1.45421241077846,0.451351937757222,-3.2219035504854,0.00127341993978644,0.856655612225854
"Vma21",47.0962384020662,-2.81005793061736,0.87341105308815,-3.21733726712267,0.00129386403054845,0.856655612225854
"Gimap6",463.234464213261,-1.64140023951821,0.51754120588526,-3.17153536926702,0.00151635401552826,0.917212434759256
"Sct",15.3516670084654,3.30018041272558,1.04373138495744,3.16190588909055,0.00156740211321916,0.917212434759256
"Poglut3",15.868175535852,-3.70296262403581,1.17584388949759,-3.14919578790175,0.00163720467552799,0.917212434759256
"Slfn4",310.364179227338,1.96612800273302,0.624143881411243,3.15011980616943,0.00163203521318709,0.917212434759256
"Htr2b",6.94318587462476,-5.56595276312002,1.81992512357566,-3.05834162681618,0.00222565688005324,0.933625612075561
"Actr3",907.325710044307,-1.59886038887101,0.536229985536049,-2.98166911958997,0.00286681656502328,0.933625612075561
"Cfh",112.791571884493,-7.95532685778331,2.63009157191957,-3.02473379357554,0.00248852054916368,0.933625612075561
"Rap1a",314.382728837308,-1.39154982373915,0.449003154785672,-3.09919832167636,0.00194045081591102,0.933625612075561
"Ssx2ip",11.4593785851789,-6.38064791270988,2.04418110727349,-3.12137113977163,0.00180011009693652,0.933625612075561
"Cd38",148.472421609598,-1.93803254680436,0.652687814817678,-2.96931014001805,0.00298469189369667,0.933625612075561
"Lcorl",83.8247091656194,-1.28592696056988,0.428027313267602,-3.00431052110435,0.00266183500588539,0.933625612075561
"Oasl2",483.507094197226,1.9278854993067,0.638720659928119,3.01835468970687,0.00254151252678663,0.933625612075561
"Txnrd3",6.18704826172214,-5.49396633820648,1.84140849996013,-2.98356738242787,0.00284909294050223,0.933625612075561
"Ceacam1",59.6487334283649,-1.57082523143184,0.531861215808496,-2.95344948031976,0.00314244039243127,0.933625612075561
"Fbxo17",5.8444568578262,-5.46195279488069,1.84377360782521,-2.96237714418921,0.0030527360807606,0.933625612075561
"Zfp788",40.6388929198857,-1.58357206901679,0.522648589237769,-3.02989829423681,0.00244636104237388,0.933625612075561
"Saa3",523.565090235108,-8.75816003397146,2.85232677801754,-3.0705317853022,0.0021367794117719,0.933625612075561
"Folr2",8.49322592123458,-5.93242563780937,2.00773736509279,-2.95478170648839,0.00312890353179519,0.933625612075561
"Prkcb",90.5975027062533,-6.49294644354547,2.09989166220136,-3.09203877534272,0.00198786880987938,0.933625612075561
"Tnnt3",23.1429655282149,2.14828748862634,0.712346853905384,3.01578855419733,0.00256311929563009,0.933625612075561
"Cdc16",38.2994025758614,-1.64175345184856,0.556070203287226,-2.95242119096345,0.00315292540979757,0.933625612075561
"Ace",29.8172098250871,-7.80379859750237,2.54660815757395,-3.06438922466059,0.00218114933653882,0.933625612075561
"Tmem167",438.258807374914,-1.36212312229423,0.453382462049053,-3.00435776924001,0.00266142162670035,0.933625612075561
"Phf11c",81.92102398134,1.27252281542716,0.431747400804934,2.94737805729627,0.0032048112456253,0.933625612075561
"Cyrib",680.149678580188,-1.24932948320459,0.417432444855397,-2.99289022356031,0.00276349130598327,0.933625612075561
"Apol7c",120.006135588455,-2.06664734679005,0.688994044149911,-2.99951409498744,0.00270410611846015,0.933625612075561
"Hacd2",39.5231334356684,-3.09816341531547,1.01916992794555,-3.03988896293357,0.00236665384149811,0.933625612075561
"Rfk",95.1589990929397,-1.35876996105596,0.454026631444523,-2.99270982570543,0.00276512516936143,0.933625612075561
"Rp1",0.31667466574804,2.56745052636038,3.96431463137948,0.647640453670797,0.517217526072939,0.984789719753941
"Lypla1",108.021611533375,-0.581146732204213,0.385346901061443,-1.50811315882763,0.131525567939031,0.984789719753941
"Tcea1",244.838748560801,0.0978990234629816,0.450218490479296,0.217447807083089,0.827859377699574,0.984789719753941
"Atp6v1h",198.459306790389,-1.10754626649505,0.542265611704432,-2.04244237987699,0.041107669523184,0.984789719753941
"Oprk1",0.0436402032817396,-0.52506062155762,4.07199931970962,-0.128944182042511,0.897401816247699,0.984789719753941
"Rb1cc1",162.187504777815,-0.808648059756701,0.370338567576655,-2.18353725632241,0.0289962684234614,0.984789719753941
"Alkal1",0.103819830131595,-0.728911606725965,4.06832019707312,-0.179167708394823,0.857806018385375,0.984789719753941
"Pcmtd1",101.666432512468,-0.10134066687407,0.712787170345116,-0.142175211746591,0.886941611031047,0.984789719753941
"Adhfe1",1.35397906955564,3.93120725558623,3.44329267432152,1.14170000270478,0.253578739703125,0.984789719753941
"Vxn",1.5833733287402,5.09581003295161,3.77761597460367,1.34894866688672,0.177353454848648,0.984789719753941
"Mybl1",0.549351554822001,-1.48072605331385,4.05286176205781,-0.365353209718662,0.714847763843053,0.984789719753941
"Vcpip1",67.7938525543857,-0.523160189860047,0.537063120464315,-0.974113041699367,0.330000414727979,0.984789719753941
"Sgk3",99.8260704535976,-0.132869946281571,0.373538099986198,-0.355706543151771,0.722060344395494,0.984789719753941
"Mcmdc2",1.40970320374952,-1.0663988267446,2.3734144800457,-0.449309985976015,0.653208055108831,0.984789719753941
"Tcf24",0.103819830131595,-0.728911606725965,4.06832019707312,-0.179167708394823,0.857806018385375,0.984789719753941
"Cops5",145.178994003243,0.06581004107526,0.317224858206328,0.207455498435297,0.835654143711415,0.984789719753941
"Cspp1",107.757762177854,0.359456195087478,0.449634727914137,0.799440463050978,0.424035055973554,0.984789719753941
"Arfgef1",248.925956629428,-0.970876816343458,0.362391266671773,-2.67908447480002,0.0073823766838151,0.984789719753941
"Cpa6",0.0687772528658982,-0.700244618098069,4.0689626490743,-0.172094137619419,0.863363521508809,0.984789719753941
"Slco5a1",53.9114884762462,0.149421979703756,0.606933186284354,0.246191810038462,0.805533755132845,0.984789719753941
"Prdm14",0.420494495879635,1.88287142947134,3.95238629503215,0.476388512893582,0.633797616848519,0.984789719753941
"Ncoa2",353.541150678868,-0.598687022729453,0.363388552212294,-1.64751206135876,0.0994528391419047,0.984789719753941
"Tram1",449.291227984994,-0.912843853578569,0.458407002256547,-1.99133924456873,0.0464436037167171,0.984789719753941
"Lactb2",60.4173726912241,-0.138358198631339,0.526648976748773,-0.262714264604638,0.792770821325897,0.984789719753941
"Eya1",3.85921433519821,-0.863435845041565,1.33688341709179,-0.64585724828561,0.518371808707278,0.984789719753941
"Msc",0.139649735184994,-1.18478122289747,4.05946860394842,-0.291856235011917,0.770396546690251,0.984789719753941
"Trpa1",0.130920609845219,-1.14247357643748,4.06018998329373,-0.281384265548745,0.778415685069503,0.984789719753941
"Kcnb2",0.0687772528658982,-0.700244618098069,4.0689626490743,-0.172094137619419,0.863363521508809,0.984789719753941
"Terf1",89.2753095893685,0.193503303686585,0.519337332783152,0.372596560023121,0.709448733482147,0.984789719753941
"Rdh10",11.4088392666259,-0.626075866267957,1.38048087139888,-0.453520131455019,0.650174250481715,0.984789719753941
"Ube2w",113.438801692756,0.432175017975767,0.583538341223933,0.7406111774409,0.458929228830199,0.984789719753941
"Eloc",150.300569461525,-1.27102200447184,0.586100360706943,-2.16860812530256,0.0301124477783459,0.984789719753941
"Tmem70",53.8312030571063,-0.525342853545761,0.399757937126006,-1.31415240263302,0.188794922402457,0.984789719753941
"Ly96",84.1395655508701,-0.725562206995248,0.476622488807647,-1.52229956419045,0.127934037233888,0.984789719753941
"Crisp4",0.0687772528658982,-0.700244618098069,4.0689626490743,-0.172094137619419,0.863363521508809,0.984789719753941
"Defb41",0.0436402032817396,-0.52506062155762,4.07199931970962,-0.128944182042511,0.897401816247699,0.984789719753941
"Tfap2d",0.514616927952826,-0.728911611108595,4.06832019697574,-0.179167709476369,0.857806017536165,0.984789719753941
"Tfap2b",0.31667466574804,2.56745052636038,3.96431463137948,0.647640453670797,0.517217526072939,0.984789719753941
"Mcm3",65.2644112204141,-0.303276808403009,0.515939794318711,-0.587814337530371,0.556656919363021,0.984789719753941
"Efhc1",0.0453879801593894,1.17367077608269,4.00463688976678,0.293077951482149,0.769462569345396,0.984789719753941
"Tram2",62.9851635875117,0.123262373191836,0.427822130483952,0.288115935125659,0.773257995119426,0.984789719753941
"Gsta3",0.976688076211347,-1.72956568232928,4.04785966717468,-0.427279062155947,0.669176081282013,0.984789719753941
"Khdc1a",2.13716714369011,-0.907438164195862,2.02548200181488,-0.448010973873268,0.654145276763126,0.984789719753941
"Kcnq5",1.60782862493029,-3.7319409461339,3.00790065115044,-1.24071283561394,0.214711850903291,0.984789719753941
"Smap1",82.5027789091643,-1.37058994738895,0.681144322378159,-2.01218728889004,0.0442001979077563,0.984789719753941
