"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sparc",125.223172662292,-24.3743544814581,4.13155361949066,-5.89956145467209,3.64469005960305e-09,3.57471201045868e-05
"Il1rl1",27.3019052389676,-2.39824740775313,0.61730202434623,-3.88504704855465,0.000102310073360732,0.0987719686461144
"Cfh",152.129003249753,-8.92290835883057,2.20180225761854,-4.05254755641933,5.0662921318138e-05,0.0987719686461144
"Tfb2m",29.1487485014144,-1.91376698162805,0.488637017647103,-3.91654113894864,8.98284928524682e-05,0.0987719686461144
"Igkc",272.727566412308,-8.11039261431398,1.9276240182597,-4.20745567469958,2.58262039746166e-05,0.0987719686461144
"Prkcb",79.0125017364481,-6.78583645584539,1.75113737278984,-3.87510229710561,0.000106579916233192,0.0987719686461144
"Abce1",26.0888509376698,-2.52755933966147,0.653844476078972,-3.86568890941611,0.000110776065977494,0.0987719686461144
"Ccl1",73.344406054061,3.37908694785663,0.862629085954597,3.91719570192476,8.95850206271093e-05,0.0987719686461144
"Sumo2",236.821415090002,-2.44277516151619,0.620338645146808,-3.93780909931557,8.22289715958278e-05,0.0987719686461144
"Dpysl2",50.6355352718086,-9.13051641278576,2.27126896984419,-4.02000667204647,5.81964932348027e-05,0.0987719686461144
"St3gal6",82.3610174011443,-9.82353432039675,2.48533291555388,-3.95260299291029,7.73056379768827e-05,0.0987719686461144
"Cibar1",10.7594664284677,-6.89631355216586,1.81691486497051,-3.79561733195341,0.000147276520347922,0.111114470120956
"Spire1",10.8932411151522,-6.73790001644371,1.77198186381893,-3.80246556357092,0.000143263184912663,0.111114470120956
"Klra4",22.537723756449,-2.96258938062612,0.787231415220917,-3.76330177295421,0.000167684651801112,0.117475076061807
"Slc25a5",366.816411429636,-2.06120343725261,0.555678788912534,-3.70934338034819,0.00020779745102244,0.135871826641873
"Rap1a",221.082632169584,-1.4907357088484,0.406841741458362,-3.66416607967689,0.00024814573959839,0.152113338373813
"Hadhb",175.73007174161,-1.07792493196527,0.296694095052903,-3.63311892598694,0.000280015877300908,0.152577540253739
"Ace",16.1436281021907,-7.47584604765759,2.05046519642737,-3.6459268173306,0.000266429797111876,0.152577540253739
