"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",4.81410303591751e-06,0.000240705151795876,0.610526878385931,-0.455518870630206,-1.75994513680131,193,"Mt2;Cfh;Cd86;B2m;Hif1a;H2-Aa;Pde4b;H2-Q7;Fpr1;Mthfd2;Ptgs2;Gpr18;Casp4;Gzma;Ifitm3;Eif4e3;Tnfaip3;Cd38;Psma3;Ccl5;Gbp9;Arid5b;Rapgef6;Fcgr1;Samd9l;Lcp2;Parp14;Bpgm;Ccl2;Eif2ak2;Samhd1;Gch1;Ifnar2;Psme1;Il7;Wars1;Ptpn6;St3gal5;Irf5;Il6;Bank1;Psma2;Gbp4;Plscr1;Ifi30;Ncoa3;Tdrd7;St8sia4;Il15;Ptpn2;Cxcl10;Btg1;Psmb2;Stat3;Sri;Marchf1;Auts2;Isoc1;Stat4"
"HALLMARK_INFLAMMATORY_RESPONSE",2.64209312875964e-05,0.000491517433563162,0.575610261071129,-0.440296734951158,-1.70129719956951,184,"Il1r1;Lyn;Ptafr;Hif1a;Il7r;Ifnar1;Clec5a;Pde4b;Cd48;Tlr1;Fpr1;Gpr183;Slc11a2;Slc31a1;Ccl5;P2rx7;Osm;Adm;Msr1;Calcrl;Ahr;Adgre1;Il1b;Il1a;Lcp2;Ccl2;Tlr2;Eif2ak2;Gch1;Ccl24;Prok2;Lif;Rgs1;Tnfrsf9;Cd82;Il6;Rhog;Marco;Psen1;Ifitm1;Il15;Cxcl10;Il18r1;Tnfrsf1b;Atp2b1;Sri;Abi1;Ifngr2;Cybb;Ccl22;Edn1;Slamf1;Gpr132;Icosl;Nampt;Cd55;Rasgrp1;Cmklr1;Cxcr6;Ly6e;Slc31a2;Tlr3;Gnai3;Kif1b;Mmp14;Icam1;Il18rap;Cxcl9;Tnfsf9;Itgb8;Dcbld2;Ccl17;Hpn;Cd69;Sell;Csf3r;Pvr;Csf1;Il10ra;Pdpn;Timp1;Kcnj2;Has2"
"HALLMARK_ALLOGRAFT_REJECTION",3.55466255930995e-05,0.000491517433563162,0.557332238758646,-0.435161869643906,-1.68047615536757,183,"Cd86;Lyn;B2m;Hif1a;H2-Aa;H2-Q7;Klrd1;Tlr1;Eif3j1;Gcnt1;Flna;Gzma;Ptprc;Ccl5;Ube2n;Spi1;Bcl10;Il1b;Fyb;Lcp2;Il16;Ly86;Ccr2;Ccl2;Tlr2;Ifnar2;Il7;Prkcb;Eif3d;Cd3g;Lif;Wars1;Ptpn6;Il12a;H2-Oa;Fasl;Cd80;Ccl4;Il6;Degs1;Igsf6;Cd96;St8sia4;Sit1;Il15;Mmp9;Abce1;Il2;Cd47;Map3k7;Ets1;Abi1;Ifngr2;Ccl22;Stat4;Ccr5;Cd4;Cd40lg;Il2rg;Cd3d;Icosl;Cd28;Cd8b1;Socs5;Cxcl13;Ccnd3;Galnt1;Cd1d1;Gbp2;Tlr3;Ccl19;Capg;Eif3a;Icam1;Cd3e;Il18rap;Cxcl9;Irf4;Ncr1;Il2ra;Csf1;H2-DMb1;Timp1;Cd79a;Glmn;Cd40;Cd74;Csk;Thy1"
"HALLMARK_MYC_TARGETS_V1",3.9321394685053e-05,0.000491517433563162,0.557332238758646,-0.433543326574335,-1.67422578458698,183,"Ptges3;Prdx3;Hnrnpc;Canx;Psma7;Cct3;Pabpc1;Mcm4;Pgk1;Eif3j1;Impdh2;H2az1;Cbx3;Eif1ax;Hnrnpa1;Mcm2;Psma6;Nap1l1;Ube2e1;Uba2;Fam120a;Psma1;Usp1;Eif4g2;Tomm70a;Snrpb2;Hnrnpr;Snrpg;Hsp90ab1;Cul1;Eif4a1;Vdac1;Ddx18;Cct4;Smarcc1;Etf1;Ncbp1;Prps2;Cops5;Ywhaq;Xpo1;Eef1b2;Eif3d;Pwp1;Orc2;Hnrnpa2b1;Ran;Stard7;Psma2;Gnl3;Hprt;Eif2s2;Ndufab1;Mcm5;Kpnb1;Psmc6;Hspe1;Ywhae;Abce1;Psmb2;Psma4;Serbp1;Ranbp1;Eif2s1;Txnl4a;Psmd8;Srsf3"
"HALLMARK_FATTY_ACID_METABOLISM",0.00527331176642528,0.0527331176642528,0.407017918923954,-0.401136030619324,-1.48704851091903,135,"Ywhah;Suclg2;Acsl4;Acsl5;Serinc1;Hsd17b4;Hpgd;H2az1;Glul;Retsat;Elovl5;Hmgcs1;Mcee;Nsdhl;Gstz1;Erp29;Eci2;Psme1;Pts;Hibch;Fh1;Fabp1;Car2;Nbn;Grhpr;Idi1;Sdha;Decr1;Rap1gds1;Hadhb;S100a10;Dld;Mdh1;Idh3b;Echs1;Idh3g;Slc22a5;Metap1"
"HALLMARK_ANDROGEN_RESPONSE",0.00672947437519658,0.0560789531266381,0.407017918923954,-0.430928776641643,-1.53503563413667,96,"Lifr;B2m;Tnfaip8;Hpgd;Srp19;Elk4;Rab4a;Spcs3;Arid5b;Elovl5;Hmgcs1;B4galt1;Ell2;Dbi;Ccnd1;Dnajb9;Idi1;Slc26a2;Actn1;Adamts1;Camkk2;Pias1;Lman1;Ank;Zmiz1;Vapa"
"HALLMARK_PROTEIN_SECRETION",0.0141470644377243,0.101050460269459,0.380730400722792,-0.428298644723341,-1.51107159798991,86,"Dst;Ppt1;Cltc;Scamp1;Rer1;Stx7;Rab14;Atp6v1h;Snx2;Ctsc;Vamp3;Atp7a;Rab2a;Tsg101;Stx12;Gbf1;Zw10;Sod1;Lamp2;Gosr2;Arcn1;Ocrl;Copb1;Tmed10;Arfgef1;Lman1;Dnm1l;Vps4b;Mapk1;Snap23;Ap3b1"
"HALLMARK_KRAS_SIGNALING_UP",0.021429138306048,0.1339321144128,0.352487857583619,-0.359613180200917,-1.36659100309112,164,"Etv5;Cfh;Dock2;Il7r;Zfp277;Tmem176a;Prdm1;Ptgs2;St6gal1;Wdr33;Tnfaip3;Cd37;Birc3;Ccser2;Ptcd2;Il1b;Zfp639;Bpgm;Clec4a3;Satb1;Adam17;Glrx;Cxcr4;Car2;Lif;Tmem176b;Lcp1;Prelid3b;Tnnt2;Mmp10;Fbxo4;Bmp2;Mmp9;Epb41l3;Cbr4;Nrp1;Cxcl10;Tnfrsf1b;Sdccag8;Ank;Nin;Ets1;F2rl1;Aldh1a2;Il2rg;Fuca1;Cab39l;Abcb1a;Ly96;Jup;Tlr8;Cmklr1;Galnt3;Ikzf1;Gfpt2;Psmb8;Yrdc;Cbx8;Dcbld2;Lat2;Mmd;Emp1;F13a1;Tfpi"
"HALLMARK_MTORC1_SIGNALING",0.0291806958473625,0.162114976929792,0.282013350011725,-0.345604410889057,-1.33745008114715,190,"Actr2;Stip1;Canx;Actr3;Mthfd2;Mcm4;Pgk1;Eef1e1;Uchl5;Psma3;Mcm2;Qdpr;Tbk1;Ctsc;Pitpnb;Elovl5;Hmgcs1;Lta4h;Psmg1;Lgmn;Phgdh;Sc5d;Calr;Etf1;Glrx;Cops5;Dapp1;Cxcr4;Ufm1;Rab1a;Wars1;Plod2;Psmd12;Idi1;Hprt;Tfrc;Eif2s2;Gga2;Ifi30;Tpi1;Psmc6;Hspa9;Rpn1;Psmc2;Ppa1;Hspe1;Sdf2l1;Nfyc;Nmt1;Psma4;Add3;Cacybp;Tmem97;Nampt;Ssr1;Psmc4;Psme3;Cd9;Skap2;Cyp51;Gtf2h1;Pno1;Nup205;Arpc5l;Pdk1;Eprs"
"HALLMARK_COMPLEMENT",0.0327683615819209,0.163841807909605,0.266350657088526,-0.346330276741578,-1.32976426097968,175,"Cfh;Itgam;Lyn;Cxcl2;Pik3cg;Casp4;Gzma;Tnfaip3;Dock10;Ccl5;Ctsc;Calm3;Vcpip1;Fn1;Cp;Lta4h;Lcp2;Lgmn;Prcp;C1qa;Gnb2;Dpp4;Gp9;Ctsh;Mmp13;Kif2a;Ctso;Car2;Gzmk;Lamp2;Serpinc1;Il6;Rhog;Plscr1;Usp15;Psen1;Usp16;Adam9;Dock4;Prdm4;Usp14;Cblb;Cd40lg;Rnf4;Mmp8;Cd55;F5;Rasgrp1;Calm1;Pik3ca;Cr2;Gnai3;Pdgfb;Adra2b;Mmp14;Atox1"
