"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_MYC_TARGETS_V1",1.99905686307209e-05,0.000999528431536043,0.575610261071129,-0.427851128161011,-1.68904084894114,183,"Hnrnpc;Ptges3;Prdx3;Canx;Eif3j1;Mcm4;Psma7;Impdh2;Pabpc1;Cct3;Psma6;Pgk1;Nap1l1;H2az1;Ube2e1;Mcm2;Hnrnpa1;Eif1ax;Cbx3;Cul1;Psma1;Fam120a;Prps2;Cct4;Usp1;Eif4g2;Hsp90ab1;Hnrnpr;Snrpb2;Uba2;Etf1;Eif4a1;Ncbp1;Snrpg;Orc2;Hnrnpa2b1;Tomm70a;Vdac1;Eef1b2;Ywhaq;Xpo1;Eif3d;Kpnb1;Hprt;Srsf3;Smarcc1;Gnl3;Psma4;Ran;Ddx18;Abce1;Txnl4a;Ywhae;Psma2;Eif2s2;Hspe1;Pwp1;Myc;Mcm5;Cops5;Eif2s1;Iars;Dek;Psmd8;Pcbp1;Stard7;Psmb2;Ddx21;Psmc6;Serbp1;Psmb3;Acp1"
"HALLMARK_ALLOGRAFT_REJECTION",6.57593089188489e-05,0.0011297109133071,0.538434096309916,-0.420735941307703,-1.66330843077065,185,"Lyn;Cd86;H2-Aa;B2m;H2-Q7;Eif3j1;Klrd1;Hif1a;Flna;Gcnt1;Tlr1;Ptprc;Ube2n;Bcl10;Ccl4;Il16;Prkcb;Ccr2;Ly86;Ccl2;Spi1;H2-Oa;Lcp2;Il1b;Ptpn6;Ccl5;St8sia4;Fyb;Eif3d;Il4;Icosl;Cd40lg;Il6;Cd3g;Il2;Lif;Fasl;Wars1;Sit1;Irf4;Degs1;Ccnd3;Il12a;Il7;Cd80;Ifnar2;Icam1;Abce1;Tlr2;Cd47;Abi1;Gzma;Il15;Galnt1;Ccl22;Cd28;Csf1;Il18;H2-DMb1;Ccr5;Ets1;Cd8b1;Cd3e;Igsf6;Ncr1;Cd3d;Cd96;Ifngr2;Cd79a;Mmp9;Il10;Eif3a;Csk;Stat4;Capg;Cd74;Tlr3;Timp1;Was;Hcls1;Map3k7;H2-Ob;Tlr6;Thy1;Glmn;Il18rap;Bcl3;Cd4;Ccr1;Il12b;Ripk2"
"HALLMARK_INFLAMMATORY_RESPONSE",6.77826547984258e-05,0.0011297109133071,0.538434096309916,-0.413472085483756,-1.63529739573872,186,"Lyn;Pde4b;Ptafr;Hif1a;Clec5a;Ifnar1;Il1r1;Gpr183;Il7r;Slc11a2;Tlr1;Cd48;Calcrl;P2rx7;Fpr1;Gch1;Adm;Ccl2;Ccl24;Lcp2;Il1b;Osm;Il1a;Ahr;Ccl5;Eif2ak2;Slc31a1;Rgs1;Adgre1;Dcbld2;Icosl;Cd55;Tnfsf9;Il6;Lif;Atp2b1;Cd82;Icam1;Tlr2;Marco;Abi1;Il18r1;Myc;Il15;Ccl22;Csf3r;Tnfrsf9;Csf1;Il18;Edn1;Aqp9;Prok2;Ifitm1;Pvr;Cxcl10;Rasgrp1;Psen1;Slamf1;Lta;Kcnj2;Sri;Icam4;Olr1;Msr1;Tnfrsf1b;Ifngr2;Gnai3;Gpr132;Il10ra;Il10;Rhog;Nmur1;Cd69;Has2;Sell;Tlr3;Timp1;Scn1b"
"HALLMARK_ANDROGEN_RESPONSE",0.000234322309986852,0.00292902887483565,0.518848077743792,-0.479968082791349,-1.7438956247212,98,"Lifr;Hpgd;Tnfaip8;B2m;Srp19;Rab4a;Spcs3;Elk4;Ccnd1;Elovl5;B4galt1;Ank;Dnajb9;Ell2;Adamts1;Camkk2;Dbi;Arid5b;Hmgcs1;Ccnd3;Idi1;Lman1;Slc26a2;Zbtb10;Selenop;Pias1;Zmiz1;Cdc14b;H1f0;Insig1;Plpp1;Gnai3;Inpp4b;Cdk6;Pdlim5;Fkbp5;Vapa;Tmem50a;Abcc4;Akap12;Dhcr24;Gpd1l;Tsc22d1;Tmprss2"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.000869288645275791,0.00869288645275791,0.477270815362862,-0.382602666460403,-1.52095848475533,194,"Cfh;Cd86;Mt2;H2-Aa;B2m;Pde4b;H2-Q7;Hif1a;Casp4;Gpr18;Ifitm3;Psma3;Mthfd2;Tnfaip3;Gbp9;Fpr1;Rapgef6;Gch1;Fcgr1;Ccl2;Ptgs2;Lcp2;St3gal5;Eif4e3;Parp14;Ptpn6;Ccl5;Eif2ak2;Samd9l;St8sia4;Btg1;Arid5b;Ncoa3;Il6;Wars1;Isoc1;Irf5;Marchf1;Cd38;Irf4;Samhd1;Il7;Ptpn2;Ifnar2;Icam1;Psme1;Gbp4;Psma2;Ifi30;Bank1;Gzma;Il15;Bpgm;Tdrd7;Stat3"
"HALLMARK_FATTY_ACID_METABOLISM",0.00392939794523054,0.0327449828769212,0.407017918923954,-0.382233653671804,-1.45707367608426,137,"Ywhah;Hpgd;Suclg2;Acsl4;Acsl5;Hsd17b4;Serinc1;H2az1;Elovl5;Glul;Nsdhl;Fh1;Erp29;Nbn;Retsat;Decr1;Hadhb;Pts;S100a10;Hibch;Rap1gds1;Mcee;Gstz1;Idh3g;Car2;Fabp1;Idh3b;Hmgcs1;Echs1;Idi1;Eci2;Psme1;Ech1;Slc22a5;Dld;Grhpr;Mdh1;Crat;Cbr3;Mdh2;Cryz;Sdha;Metap1;Acadl;Cel"
"HALLMARK_UV_RESPONSE_DN",0.0123218001591557,0.085885781716201,0.380730400722792,-0.378548763859516,-1.39969173558795,113,"Pmp22;Prdm2;Smad3;Nek7;Phf3;Gcnt1;Dyrk1a;Mapk14;Nipbl;Wdr37;Pten;Mt1;Tgfbr2;Dab2;Igf1r;Atp2b1;Nrp1;Atrx;Dusp1;Vav2;Add3;Mgmt;Atrn;Zmiz1;Myc;Scn8a;Prkca;Cdk13;Adgrl2;Insig1;Nr1d2;Sri;Apbb2;Smad7;Inpp4b;Cav1;Pdlim5"
"HALLMARK_MTORC1_SIGNALING",0.0151557163856744,0.085885781716201,0.380730400722792,-0.347989682864914,-1.38158373645291,192,"Actr2;Actr3;Stip1;Canx;Mcm4;Psma3;Pgk1;Eef1e1;Mthfd2;Mcm2;Uchl5;Calr;Tbk1;Dapp1;Elovl5;Lta4h;Sc5d;Etf1;Qdpr;Lgmn;Rab1a;Pitpnb;Ctsc;Sdf2l1;Hprt;Phgdh;Wars1;Hmgcs1;Psma4;Ufm1;Idi1;Psmg1;Tfrc;Add3;Nmt1;Glrx;Rpn1;Ssr1;Tpi1;Hspa9;Ifi30;Eif2s2;Hspe1;Cops5;Tmem97;Psmd12;Cxcr4;Gga2;Pdk1;Skap2;Psme3;Gtf2h1;Insig1;Plod2;Cd9;Ppa1;Psmc6;Gclc;Niban1;Psmc2;Nfyc"
"HALLMARK_PROTEIN_SECRETION",0.0154594407089162,0.085885781716201,0.380730400722792,-0.400136560617036,-1.42542480245928,86,"Dst;Ppt1;Cltc;Rer1;Stx7;Atp6v1h;Snx2;Scamp1;Rab14;Vamp3;Tsg101;Atp7a;Arcn1;Copb1;Gbf1;Ctsc;Stx12;Sod1;Gosr2;Lamp2;Tmed10;Rab2a;Ocrl;Arfgef1;Lman1"
"HALLMARK_HEDGEHOG_SIGNALING",0.0253394668654312,0.126697334327156,0.352487857583619,-0.515701755998735,-1.5038729258228,29,"Dpysl2;Adgrg1;Nrp2;Ophn1;Nf1;Rasa1;Ldb1;Nrp1"
