"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1.67540941369703e-13,8.37704706848517e-12,0.943632225232838,0.60440825124961,2.68889592922022,95,"Usp18;Ube2l6;Herc6;Adar;Isg15;Stat2;Dhx58;Psmb9;Rsad2;Oasl1;Irf7;Trim14;Tap1;Oas1a;Ncoa7;Trafd1;Ifit2;Ifit3;Rtp4;Ifih1;Parp12;Isg20;Helz2;Mov10;Uba7;Ifi35;Irf1;Nmi;Cmpk2;Tmem140;Irf9;Trim25;Cmtr1;Trim26;Eif2ak2;Ogfr;Trim21;Cxcl10;Casp8;Il4ra;Oas1g;Ifi30;Gbp2;Gbp3;Trim12c;Parp14;Bst2"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",4.29208299890548e-13,1.07302074972637e-11,0.932595211336209,0.477131433360114,2.32137656023958,193,"Usp18;Ube2l6;Herc6;Oas3;Adar;Isg15;Stat2;Socs1;Dhx58;Sectm1a;Psmb9;Rsad2;Oasl1;Irf7;Trim14;Rbck1;Tap1;Xaf1;Trafd1;Cd274;Ifit2;Ifit3;Rtp4;Ifih1;Gbp8;Parp12;Zbp1;Nlrc5;Isg20;Helz2;Oas2;Fgl2;Ifi35;Irf1;Nmi;Nfkb1;Cmpk2;Pml;Pfkp;Auts2;Irf9;Trim25;Cmtr1;Pnp2;Trim26;Tapbp;Eif2ak2;Cdkn1a;Ogfr;Ciita;Cxcl9;Trim21;Cxcl10;Casp8;Il4ra;Cd40;Ifi30;Znfx1;Gbp3;Parp14;Bst2;H2-DMa;Il10ra;Nfkbia;H2-D1;Il15ra;Epsti1;Stat1;Ido1;Psmb10;Psme1;Ifit1bl1;Rnf213;Lgals3bp;Ripk2;Gbp4;Rnf31;Mt2;Ifi44;Mvp;Samhd1;Irf5;H2-M3;Myd88;H2-Eb1"
"HALLMARK_MYC_TARGETS_V1",2.10550898319568e-08,3.50918163865946e-07,0.73376198835648,-0.462483743930891,-2.02825600729494,183,"Abce1;Cbx3;Eif2s1;Fam120a;Prps2;Hnrnpr;Ube2e1;Srm;Hdac2;Snrpd3;Eprs;Etf1;Pgk1;Lsm2;Usp1;Tomm70a;Hprt;Hnrnpc;Srsf3;Cul1;Eif2s2;Psma6;Eif1ax;Psma7;Snrpb2;Hnrnpa2b1;Nap1l1;Prdx4;Pabpc1;Ruvbl2;Mcm4;H2az1;Ncbp1;Orc2;Ndufab1;Ctps;Prdx3;Smarcc1;Eif4e;Cct3;Acp1;Mad2l1;Stard7;Eif3j1;Psmd3;Eif4g2;Psmd8;Xpot;Psma4;Txnl4a;Psmb3;Psma1;Clns1a;Canx;Pwp1;Pcbp1;Eif4h;Mcm6;Dut;Uba2;Vdac1;Glo1;Cct5;Trim28;Snrpg;Snrpd1;Nhp2;Dhx15;Tcp1;Psma2;Ywhaq;Ppm1g;Psmb2"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",4.43339897411143e-05,0.000554174871763928,0.557332238758646,-0.395030406896901,-1.73018536029724,184,"Idh3a;Slc25a5;Uqcrc2;Hadhb;Etfdh;Sucla2;Uqcrb;Ech1;Ndufb4;Atp6v1h;Slc25a11;Ndufc1;Tomm70a;Acat1;Echs1;Aldh6a1;Dld;Ldhb;Decr1;Cox7a2l;Atp6v1f;Dlst;Supv3l1;Ndufv2;Abcb7;Ndufs6;Atp6v0b;Timm9;Opa1;Slc25a20;Ndufs8;Atp5pb;Ndufab1;Cox11;Ndufa6;Prdx3;Ndufa9;Phyh;Atp5j2;Atp6v0c;Aco2;Tomm22;Uqcrfs1;Mpc1;Cyb5a;Idh3g;Vdac2;Cox7b;Uqcr10;Atp6v1c1;Lrpprc;Fdx1;Vdac1;Ndufs3;Retsat;Atp5b;Glud1;Dlat;Cox10;Atp6v1e1;Polr2f;Ndufa1;Pdha1;Por;Slc25a12;Acadvl;Timm17a;Atp5c1"
"HALLMARK_ANDROGEN_RESPONSE",0.00240645621183853,0.0210519020945379,0.431707695803346,-0.403640279776256,-1.60656744345961,96,"B4galt1;Dnajb9;B2m;Ncoa4;Tnfaip8;Rab4a;Zmiz1;Selenop;Itgav;Ell2;Inpp4b;Ccnd3;Gpd1l;Srp19;Slc26a2;Hpgd;Ube2j1;Sms;Iqgap2;Sec24d;Uap1;Ank;Idi1;Cdk6;Adamts1;Cenpn;Actn1;Scd1;Abhd2;Camkk2;Lifr;Elovl5;Sgk1;Spcs3;Hsd17b14;Dhcr24;Pias1;Plpp1;Mertk;Fads1"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.00252622825134455,0.0210519020945379,0.431707695803346,0.297832290204048,1.44903657361918,193,"Dusp2;Tap1;Relb;Ifit2;Nfkb2;Ifih1;Cflar;Slc16a6;Mxd1;Irf1;Slc2a6;Nfkb1;Sdc4;Kynu;Ier5;Jag1;Clcf1;Traf1;Cdkn1a;Dram1;Cxcl10;Snn;Tubb2a;Kdm6b;Marcks;Sphk1;Tnf;Map3k8;Btg2;Gadd45b;Ppp1r15a;Nfkbia;B4galt5;Il15ra;Cebpb;Stat5a;Plk2;Ehd1;Zc3h12a;Ripk2;Sqstm1;Fut4;Pfkfb3;Tnc;Jun;Egr3;Lamb3;Edn1;Klf6;Ccnd1"
"HALLMARK_PROTEIN_SECRETION",0.00295047628977384,0.0210748306412417,0.431707695803346,-0.40605986002282,-1.59271641228951,86,"Arfgef1;Tmed2;Atp6v1h;Rer1;Lamp2;Arcn1;Scamp1;Stx7;Rab2a;Copb1;Mapk1;Vps45;Rab14;Rab22a;Golga4;Dnm1l;Ppt1;Vamp3;Stx12;Gbf1;Ap1g1;Cope;Sec24d;Vps4b;Snx2;Arfgap3;M6pr;Dop1a;Tmed10"
"HALLMARK_FATTY_ACID_METABOLISM",0.00375141571443983,0.0234463482152489,0.431707695803346,-0.359505196852544,-1.50207445580813,135,"Hadhb;Serinc1;Ywhah;Etfdh;Sucla2;Ech1;Glul;Acsl5;Echs1;Dld;Decr1;Slc22a5;Dlst;Gstz1;Hibch;Rap1gds1;H2az1;Aldh3a2;Bphl;Hpgd;Aldh9a1;Sms;Suclg2;Aco2;S100a10;Idi1;Idh3g;Ephx1;Fasn;Elovl5;Retsat;Pts;G0s2;Dhcr24;Mcee;Prdx6;Nbn;Crat;Pdha1;Cd1d1;Blvra;Erp29;Acadvl"
"HALLMARK_ALLOGRAFT_REJECTION",0.00515516216113256,0.0279238363271586,0.407017918923954,-0.341778203378182,-1.49889310329545,183,"Abce1;Prkcb;Gcnt1;Ube2n;Ncr1;Igsf6;Klrd1;Spi1;Wars1;Degs1;Ccr2;Bcl10;Ube2d1;B2m;Lif;Cd79a;Socs5;Cd7;Ets1;Ptprc;Hif1a;H2-Q7;Galnt1;Lyn;Ccnd3;H2-Aa;Eif3a;Ifnar2;Cd86;Il12a;Il1b;Eif3j1;Nck1;Was;Mmp9;Abi1;Ccr5;Fyb;Ly86;F2r;Glmn;Tlr1;Flna;Il2ra;Lcp2;Fasl;Cd3d;Ccl5;Hdac9;Cd3g;Fas;Cd3e;Cd1d1;Cd4;Tlr2;Tlr6;Trat1;Ifngr1;Thy1;St8sia4;Il27ra;Cd96;Akt1;H2-Oa;Csk;Il12b;Eif4g3;Fcgr2b;Eif3d;Tpd52;Il16;H2-T23;Icosl;Ptpn6"
"HALLMARK_P53_PATHWAY",0.00558476726543172,0.0279238363271586,0.407017918923954,0.2966425918596,1.44915668940363,180,"Tspyl2;Ccnd2;Socs1;Ndrg1;H2ac25;Apaf1;Tap1;Slc3a2;Trafd1;Trib3;Sfn;Mxd1;H2aj;Ier5;Vwa5a;Eps8l2;Cdkn1a;Dram1;Ddit3;Iscu;Tnni1;Zfp36l1;Ifi30;Sphk1;Sertad3;Btg2;Pcna;Wrap73;Ppp1r15a;Coq8a;Bak1;Foxo3;Fdxr;Plk2;Rhbdf2;Mdm2;Cebpa;Cdkn2aip;Rap2b;Hspa4l;Irag2;Aen;Vdr;Jun"
