"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1.55611448759541e-13,7.78057243797703e-12,0.943632225232838,0.607126291951066,2.60593330116415,95,"Isg15;Usp18;Stat2;Adar;Ube2l6;Oasl1;Tap1;Irf7;Oas1a;Trafd1;Dhx58;Psmb9;Rsad2;Helz2;Herc6;Ifi35;Mov10;Trim14;Isg20;Trim25;Nmi;Tmem140;Ifit2;Parp12;Ifit3;Ogfr;Casp8;Cmtr1;Uba7;Il4ra;Irf9;Rtp4;Ncoa7;Bst2;Ifih1;Gbp2;Cmpk2;Cxcl10;Lgals3bp;Trim12c;Irf1;Oas1g;Trim21;Procr;Gbp3;Nub1;Ifi30;Epsti1;Eif2ak2;Rnf31;Trim26;Tent5a;Parp14"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",1.30391716653371e-12,3.25979291633428e-11,0.910119734774459,0.472697200443333,2.2988754981549,194,"Isg15;Socs1;Usp18;Stat2;Oas3;Adar;Ube2l6;Oasl1;Tap1;Rbck1;Irf7;Trafd1;Dhx58;Psmb9;Rsad2;Helz2;Xaf1;Herc6;Fgl2;Cd274;Ifi35;Trim14;Gbp8;Zbp1;Nlrc5;Sectm1a;Nfkb1;Pfkp;Isg20;Trim25;Nmi;Ifit2;Pml;Parp12;Ifit3;Ogfr;Oas2;Casp8;Cmtr1;Il4ra;Irf9;Rtp4;Tapbp;Bst2;Ifih1;H2-D1;Cmpk2;Stat1;Cxcl10;Pnp2;Cd40;Cdkn1a;Lgals3bp;Irf1;Psmb10;Znfx1;Trim21;Ciita;H2-M3;Ifit1bl1;Samhd1;Gbp3;H2-DMa;Ifi30;Il15ra;Auts2;Epsti1;Tnfaip6;Eif2ak2;Cxcl9;Il18bp;Slamf7;Rnf31;Irf8"
"HALLMARK_MYC_TARGETS_V1",4.1648403898519e-09,6.94140064975317e-08,0.761460801445585,-0.474985164081646,-2.00879407711034,183,"Abce1;Cbx3;Prps2;Eif2s1;Fam120a;Snrpd3;Ube2e1;Hnrnpr;Etf1;Lsm2;Hdac2;Pgk1;Usp1;Hnrnpc;Cul1;Hprt;Psma6;Srm;Srsf3;Hnrnpa2b1;Tomm70a;Psma7;Prdx3;Snrpb2;Nap1l1;Mcm4;Eif1ax;Acp1;Eprs;Eif3j1;Prdx4;Ctps;Orc2;Pabpc1;Ncbp1;Eif2s2;H2az1;Cct3;Eif4g2;Psma4;Ccna2;Psma1;Ruvbl2;Cdc20;Psmb3;Psmd3;Txnl4a;Smarcc1;Nhp2;Eif4h;Canx;Mad2l1;Eif4e;Psmd8;Pcbp1;Impdh2;Clns1a;Xpot;Snrpg;Ywhaq;Vdac1;Uba2;Kpnb1;Stard7;Gnl3;Cct4;Trim28;Ndufab1;Mcm6;Psma2;Dhx15;Pwp1;Glo1;Eif3d;Cct5;Psmb2;Dut;Ptges3;Hnrnpa1;Snrpd1;Tcp1;Eif4a1;Xrcc6;Hddc2;C1qbp;Pa2g4"
"HALLMARK_ANDROGEN_RESPONSE",5.08279593718935e-05,0.000635349492148669,0.557332238758646,-0.466924169577469,-1.8043032417532,98,"Hpgd;B4galt1;Dnajb9;Tnfaip8;Lifr;Selenop;Ank;Rab4a;B2m;Ccnd3;Ncoa4;Zmiz1;Ell2;Cdk6;Srp19;Adamts1;Inpp4b;Dhcr24;Plpp1;Sec24d;Gpd1l;Camkk2;Ube2j1;Sms;Slc26a2;Cenpn;Elovl5;Spcs3;Idi1;Itgav;Tsc22d1;Iqgap2;Mertk;Scd1;Hsd17b14;Pias1;Uap1;Tpd52;Akap12;Ngly1;Sord;Xrcc6;Pdlim5;Pa2g4;Fads1;Klk1;Tmem50a;Xrcc5;Zbtb10;Klk1b11;Akt1;Sgk1;Elk4;Ptpn21"
"HALLMARK_FATTY_ACID_METABOLISM",0.000799686672007024,0.00774721676108748,0.477270815362862,-0.398614566691166,-1.61969770574996,137,"Hadhb;Ywhah;Etfdh;Serinc1;Ech1;Acsl5;Hpgd;Decr1;Echs1;Glul;Sucla2;Dld;Slc22a5;Rap1gds1;Aldh9a1;H2az1;Dhcr24;Aldh3a2;Hibch;S100a10;Suclg2;Gstz1;Idh3g;G0s2;Sms;Dlst;Crat;Elovl5;Nbn;Idi1;Pts;Ephx1;Bphl;Fh1;Nsdhl;Erp29;Fasn;Aco2;Pdha1;Retsat;Prdx6"
"HALLMARK_ALLOGRAFT_REJECTION",0.000929666011330497,0.00774721676108748,0.477270815362862,-0.371314375166426,-1.57440551394562,185,"Prkcb;Abce1;Ube2n;Gcnt1;Klrd1;Bcl10;Ncr1;Ccr2;Degs1;Wars1;Spi1;Ube2d1;Cd79a;B2m;Igsf6;Ccnd3;Ptprc;Lyn;H2-Aa;Eif3j1;H2-Q7;Galnt1;Lif;Hif1a;Cd86;Nck1;Flna;Ets1;Cd7;Il1b;Ly86;Was;Eif3a;Abi1;Lcp2;Il12a;Icosl;Il4;Tlr1;H2-Oa;Ccr5;Fyb;St8sia4;Fasl;Ccl4;Ifnar2;Glmn;Hdac9;Cd3e;Irf4;Il16;Cd3d;Mmp9;Tlr6;Cd3g;F2r;Ptpn6;Csf1;Socs5;Il2;Eif4g3;Cd40lg;Ccl5;Csk;Thy1;Eif3d;Tpd52;Fas"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.00139845457487146,0.00998896124908188,0.45505986738723,-0.369771021919429,-1.56679042669652,184,"Slc25a5;Hadhb;Idh3a;Uqcrc2;Etfdh;Ech1;Slc25a11;Atp6v1h;Ndufb4;Uqcrb;Cox7a2l;Decr1;Echs1;Ndufc1;Acat1;Ldhb;Atp6v0b;Atp6v1f;Tomm70a;Prdx3;Sucla2;Supv3l1;Dld;Timm9;Atp5j2;Tomm22;Abcb7;Ndufs6;Ndufs8;Opa1;Cox11;Ndufa9;Ndufa6;Idh3g;Phyh;Cyb5a;Uqcrfs1;Dlst;Ndufv2;Glud1;Atp5pb;Uqcr10;Atp6v0c;Aldh6a1;Cox10;Lrpprc;Ndufs3;Mpc1;Vdac1;Cox7b;Fh1;Slc25a20;Vdac2;Aco2;Pdha1;Atp6v1c1;Retsat"
"HALLMARK_P53_PATHWAY",0.003118806585093,0.0194925411568312,0.431707695803346,0.301219484125084,1.44698847745699,182,"Socs1;Tspyl2;Tap1;Apaf1;Ccnd2;Slc3a2;Trafd1;Vwa5a;Mxd1;Ndrg1;Trib3;Sfn;H2aj;Ier5;Zfp36l1;Dram1;Sertad3;H2ac25;Ddit3;Cdkn1a;Cebpa;Mdm2;Coq8a;Eps8l2;Bak1;Foxo3;Rhbdf2;Cdkn2a;Iscu;Procr;Wrap73;Sphk1;Irak1;Rap2b;Fdxr;Ifi30;Aen;Notch1;Vdr;Hspa4l;Cdkn2aip;Nupr1;Mapkapk3;Tnni1;Pcna"
"HALLMARK_PROTEIN_SECRETION",0.00677164249865176,0.0376202361036209,0.407017918923954,-0.39916597256156,-1.51980438615005,86,"Arfgef1;Atp6v1h;Rer1;Copb1;Arcn1;Tmed2;Stx7;Vps45;Lamp2;Rab14;Mapk1;Vamp3;Scamp1;Sec24d;Golga4;Cope;Gbf1;Snx2;Cltc;Stx12;Rab2a;Ppt1;Ap1g1;Dnm1l;Rab22a;Dop1a;Tmed10;Dst;Atp7a;M6pr;Sgms1;Vps4b;Sec31a;Tpd52"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.00919539252940913,0.0459769626470456,0.380730400722792,0.363013704054456,1.52457746117583,80,"Socs1;Stat2;Csf2ra;Il3ra;Ebi3;Il4ra;Irf9;Cbl;Itga4;Stat1;Cxcl10;Cd36;Pik3r5;Irf1;Bak1;Acvrl1;Tyk2;Crlf2;Itgb3;Il15ra;Tnfrsf12a;Cxcl9;Il12rb1"
