"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",1.45282185682044e-15,7.26410928410222e-14,1.01754479730988,-0.57301934173947,-2.32632566329941,193,"Vcam1;Zbp1;Ciita;Isg15;Oasl1;Cxcl9;Irf7;Fgl2;Rsad2;Pfkp;Helz2;Socs1;Nlrc5;Cmpk2;Tap1;Cfb;Ccl7;Dhx58;Tnfaip6;Ifit3;Ifit2;Stat1;H2-Eb1;Il18bp;Pml;H2-DMa;Cmtr1;Oas3;Rtp4;Stat2;Il2rb;Cd274;Irf1;Adar;Xaf1;Isg20;Il4ra;Cdkn1a;Cxcl10;Lysmd2;Ifi44;Ifi35;Nmi;H2-D1;Gbp8;Nfkb1;Xcl1;Ifit1bl1;Usp18;Trafd1;Peli1;Pim1;Slc25a28;Psmb9;Oas2;Sectm1a;Arl4a;Tnfaip2;Ifih1;Cd74;Rnf31;Parp12;Parp14;Herc6;Tapbp;Gbp4;Myd88;Ube2l6;Rbck1;Fpr1;Psmb10;Ogfr;Trim25;Trim14;Il6;Samhd1;Gbp3;Trim26;Nfkbia;Znfx1"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1.2401359526498e-10,3.1003398816245e-09,0.826657301178302,-0.620968329917275,-2.30382103723081,95,"Isg15;Oasl1;Irf7;Rsad2;Helz2;Cmpk2;Tap1;Gbp2;Oas1g;Dhx58;Ifit3;Ifit2;Procr;Cmtr1;Rtp4;Oas1a;Stat2;Irf1;Adar;Isg20;Il4ra;Cxcl10;Tent5a;Ifi44;Ifi35;Nmi;Usp18;Trafd1;Sell;Slc25a28;Psmb9;Ifih1;Cd74;Rnf31;Parp12;Parp14;Herc6;Ube2l6;Uba7;Ogfr;Trim25;Mov10;Trim14;Gbp3;Trim26;Tmem140;Ifitm2;Irf9;Lgals3bp"
"HALLMARK_ALLOGRAFT_REJECTION",3.76255999995217e-05,0.000627093333325362,0.557332238758646,-0.418485376553892,-1.69053460057674,183,"Nos2;Inhba;Cxcl13;Cxcl9;Irf7;Cfp;Il13;Socs1;Cd247;Tap1;Ccnd2;Il10;Il12rb1;Gbp2;Crtam;Ccl7;Stat1;Ltb;H2-Ob;H2-DMa;Cd8a;Il2rb;Itk;Ifng;Il4ra;Gzmb;Lck;Cdkn2a;Tap2;Cxcr3;Cd2;Srgn;Zap70;Thy1;Cd74;Il18rap;Il12a;Traf2;Itgal;Tapbp;Cd79a;Cd3e;Eif5a;Pf4;Dyrk3;Psmb10;Ccl19;Map4k1;Fgr"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",6.09636741035445e-05,0.000728828366273501,0.557332238758646,-0.506244460218553,-1.83407108927067,80,"Il1r1;Cxcl13;Cxcl9;Socs1;Il12rb1;Ccl7;Stat1;Ltb;Csf2;Stat2;Il1r2;Csf2ra;Irf1;Il4ra;Il3ra;Cxcl10;Pim1;Dntt;Myd88;Cd36;Pf4;Cd44;Itga4;Il6;Itgb3;Acvrl1;Tgfb1;Il2rg;Ebi3;Il1b;Crlf2;Irf9;Ccr1;Tnfrsf12a;Cxcl1"
"HALLMARK_IL2_STAT5_SIGNALING",7.28828366273501e-05,0.000728828366273501,0.538434096309916,-0.402473701901491,-1.63016681106544,190,"Penk;Tgm2;Plec;Furin;Fgl2;Il13;Plagl1;Socs1;Ccnd2;Tnfrsf4;Il10;Lrig1;Uck2;Slc2a3;Spred2;Ltb;Cish;Bcl2;Xbp1;Csf2;Il2rb;Il1r2;Fah;Gabarapl1;Il4ra;Il3ra;Cxcl10;Tnfrsf18;Ahnak;Mxd1;Sell;Abcb1a;Tnfrsf8;Praf2;Pim1;Flt3l;Arl4a;Hopx;Car2;Ccr4;Irf6;Odc1;Traf1;Rnh1;Slc1a5;Ikzf2;Ndrg1;Cd44;Adam19;Syngr2"
"HALLMARK_ANDROGEN_RESPONSE",0.000407874474132241,0.00316188588869701,0.49849310876659,0.422584109691276,1.76908120559705,96,"Hpgd;Zmiz1;Actn1;Sgk1;Mertk;Tnfaip8;Idi1;B4galt1;Adamts1;Uap1;B2m;Hsd17b14;Gpd1l;Ncoa4;Fads1;Pias1;Selenop;Ank;Camkk2;Spcs3;Lifr;Ccnd3;Lman1;Dnajb9;Tmem50a"
"HALLMARK_HYPOXIA",0.000442664024417581,0.00316188588869701,0.49849310876659,-0.399976594987039,-1.60112627838291,166,"Slc2a1;Hk1;Tgm2;Prdx5;Pfkp;Eno2;Slc2a3;Sdc3;P4ha2;Ddit4;Bcl2;Isg20;Sdc4;Cdkn1a;Foxo3;Pim1;Cdkn1b;Ldha;Tgfbi;Klf7;Ero1a;Vhl;Ndrg1;Cp;Plac8;Pgm1;Il6;Prkca;Plaur;Pygm;Gys1;Fam162a;Cited2;Tgfb3;Fosl2;Adora2b;Gpc1;Pgf;Zfp292;Maff;Tpbg;Rora;Pnrc1;Wsb1;Ier3;Vegfa;Plin2;Myh9;Ccng2;Pfkl;Stbd1;Ppp1r15a;Ilvbl;Ddit3;Pgam2;Mif;Hk2;Chst3"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.000851843820562082,0.00532402387851301,0.477270815362862,-0.404228235185784,-1.58638313906774,148,"Slc2a1;Slc16a1;Tgm2;Fdft1;Mast4;Areg;Sfn;Lrig1;Med13l;Cish;Slc7a2;Rara;Bcl2;Xbp1;Flnb;Fhl2;Tob1;Wfs1;Slc37a1;Igfbp4;Amfr;Tbc1d30;Aqp3;Bcl11b;Nadsyn1;Fasn;Cd44;Blvrb;Pmaip1;Itpk1;Farp1;Tmprss3;Rasgrp1;Rbbp8;Tsku;Klf4;Anxa9;Slc7a5;Tpbg;Gab2;Igf1r;Mill2;Ncor2;Arl3;Nbl1;Ptges;Inpp5f;Tiam1;Abhd2;Celsr1;Pex11a;Plaat3;Egr3"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.00201689965969872,0.0112049981094373,0.431707695803346,-0.367133562230275,-1.49047713656956,193,"Inhba;Areg;Tap1;Slc2a3;Tnfaip6;Ifit2;Cebpb;Clcf1;Dram1;Slc2a6;Dusp2;Csf2;Irf1;Sdc4;Kdm6b;Cdkn1a;Cxcl10;Sik1;Nfkb1;Mxd1;Nfkb2;Dusp4;Cflar;Plpp3;Snn;Tnfaip2;Klf9;Ifih1;Ier5;Traf1;Sqstm1;B4galt5;Zc3h12a;Cd44;Hbegf;Tnip2;Stat5a;Il6;Plaur;Ets2;Nfkbia;Jag1;Il1b;Tnip1;Fosl2;Dnajb4;Mcl1;Relb;Il23a;Klf4;Lamb3;Ehd1;Rigi;Maff;Kynu;Cxcl1;Marcks;Bcl3;Fosb;Pnrc1;Tubb2a;Ldlr;Ier3;Vegfa;Cebpd;F2rl1"
"HALLMARK_P53_PATHWAY",0.00291749938706419,0.0145874969353209,0.431707695803346,-0.366167412311319,-1.47784156121932,180,"Socs1;Tap1;Sfn;Ccnd2;Sertad3;Ralgds;Dram1;Procr;Ddit4;Hspa4l;Coq8a;Sdc1;Pcna;Notch1;Cdkn1a;Tob1;Foxo3;Slc3a2;Traf4;Mxd1;H2aj;Cdkn2a;Trafd1;Csrnp2;Mapkapk3;Iscu;Ier5;Cdkn2aip;Apaf1;Fdxr;Aen;Ndrg1;Irag2;Eps8l2;Vdr;Hbegf;Cyfip2;Wrap73;Trp53;Tgfb1;Perp;Cdk5r1;S100a10;Mknk2;Ddb2;Fam162a;Osgin1;Def6;Bax;Zmat3;Rgs16;Tspyl2;Mdm2;Hras;H2ac25;Slc35d1;Klf4"
