"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",2.39653101158727e-15,1.19826550579363e-13,1.00731795687447,-0.575066113581907,-2.17767335580727,194,"Ciita;Vcam1;Zbp1;Irf7;Cmpk2;H2-Eb1;H2-DMa;Isg15;Ifit3;Ccl7;Dhx58;Pfkp;Rtp4;Helz2;Isg20;Nlrc5;Cxcl10;Oasl1;Fgl2;Socs1;Tap1;Ifi44;Ifit2;Ifih1;Pml;Nmi;Xaf1;Oas3;Cd74;Xcl1;Irf1;Rsad2;Parp14;Peli1;Nfkbia;Myd88;Tnfaip6;Usp18;Rnf31;Parp12;Oas2;Gbp4;Stat1;Adar;Ifit1bl1;Arl4a;Il2rb;Nfkb1;Ifi35;Irf4;Il6;Trim26;Stat2;Cxcl9;Slc25a28;Cdkn1a;Pim1;Gbp8;Trafd1;Psmb9;Ccl2;Samhd1;Ube2l6;Fpr1;Il4ra;H2-D1;Herc6;Ifitm2;Eif2ak2;Sectm1a;Gbp3;Sp110;Ogfr;Cd274;Itgb7;Il18bp;Psmb10;Znfx1;Trim14;Rnf213;Rigi;Irf9;Irf2;Tapbp;Rbck1;Lysmd2;Cmtr1;Ifitm3"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",8.24075978577925e-11,2.06018994644481e-09,0.839088935621274,-0.618796224531065,-2.15216065859878,95,"Irf7;Cmpk2;Isg15;Ifit3;Dhx58;Rtp4;Helz2;Isg20;Oas1g;Cxcl10;Gbp2;Oasl1;Tap1;Ifi44;Ifit2;Ifih1;Nmi;Cd74;Irf1;Rsad2;Parp14;Tent5a;Sell;Usp18;Oas1a;Rnf31;Parp12;Adar;Ifi35;Trim26;Stat2;Slc25a28;Trafd1;Psmb9;Ube2l6;Il4ra;Herc6;Ifitm2;Eif2ak2;Uba7;Gbp3;Sp110;Ogfr;Trim14;Procr;Irf9;Irf2;Cmtr1;Ifitm3"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",1.27337395574582e-07,2.12228992624304e-06,0.690132458796796,-0.480209391184201,-1.81737354436136,193,"Inhba;Slc2a3;Areg;Slc2a6;Clcf1;Csf2;Dusp2;Cxcl10;Kdm6b;Tap1;Ifit2;Ifih1;Irf1;Nfkbia;Tnfaip6;Cd44;Egr3;Sdc4;Dusp4;Sik1;Cflar;Hbegf;Sqstm1;Ier5;Nfkb1;Zc3h12a;Il6;Dnajb4;Tnip2;Il1b;Nfkb2;Cdkn1a;Ldlr;Maff;Mxd1;Ccl2;Phlda1;Snn;Klf9;Plpp3;Traf1;Tsc22d1;Ppp1r15a;Tnf;Pnrc1;Bcl3;Cebpb;Myc;Dram1;Stat5a;Gem;B4galt5;Ehd1;Rigi;Klf10;Cxcl1;Gadd45b;Plk2;Slc16a6;F2rl1;Tnip1;Il23a;Cd69;Il18;Relb;Ccnd1;Mcl1;Ets2;Phlda2;Fosl2;Cebpd;Nfkbie;Klf4;Zbtb10;Nr4a2;Fosb;Marcks;Kynu;Bhlhe40;Fosl1;Olr1;Lamb3;Fut4;Klf6;Nfat5;Tnfaip2;Serpinb2;Yrdc;Egr2;Btg2;Irs2;Gch1;Nr4a3;Per1;Map2k3;Rela;Rnf19b;Nr4a1;Ripk2;Tubb2a;Bmp2"
"HALLMARK_ALLOGRAFT_REJECTION",1.72493254395828e-07,2.15616567994785e-06,0.690132458796796,-0.490265199473937,-1.85025762071457,185,"Inhba;Il13;H2-Ob;Il10;Ccnd2;Crtam;Irf7;H2-DMa;Ccl7;Cd247;Ltb;Nos2;Il12rb1;Gbp2;Itk;Cfp;Socs1;Ifng;Tap1;Cd8a;Cd74;Thy1;Cxcl13;Lck;Cd3e;Cd79a;Map4k1;Cd2;Il12a;Cd40lg;Stat1;Zap70;Eif5a;Il2rb;Il18rap;Cxcr3;Itgal;Srgn;Traf2;Gzmb;Irf4;Il6;Cxcl9;Ccr1;Il1b;Pf4;Fgr;H2-DMb1;Tap2;Ccl2;Il4ra;Cd3d;H2-Oa;Cd28;Dyrk3;Cd8b1;Cd3g;Tnf;Bcl3;Cdkn2a;Ccl19;Psmb10;Il4;Sit1;Hcls1;Il27ra;Tapbp"
"HALLMARK_G2M_CHECKPOINT",3.01555477591916e-07,3.01555477591916e-06,0.674962860011025,-0.475293615912439,-1.80087012610728,191,"Slc38a1;Slc7a1;Pml;Cdkn1b;Lmnb1;Cdkn3;Cenpa;Cdc7;Uck2;Prc1;E2f4;Jpt1;G3bp1;Kif11;Odc1;Ccnf;Slc7a5;Sfpq;Hmgb3;Aurka;Chaf1a;E2f2;Top2a;Pttg1;Ube2s;Nasp;Tle3;Pura;H2ax;Ccnb2;Rpa2;Ddx39a;Rad54l;Troap;Hnrnpu;Gspt1;Srsf2;H2az2;Cks1b;Kif2c;Espl1;Bcl3;Myc;Hus1;Tent4a;Lig3;Ccna2;Tra2b;Mki67;Srsf10;Tacc3;Pbk;Cenpf;Cenpe;Hmmr;Ccnt1;Knl1;Orc6;Pole;Kif23;Cdc20;Hnrnpd;Tgfb1;Incenp;Chmp1a;Kif22;Kif15;Bard1;Ccnd1;Chek1;Kif20b;Sqle;Birc5;Tpx2;Fbxo5;Hira;Plk1;Lbr;Marcks"
"HALLMARK_E2F_TARGETS",1.70671643852679e-05,0.000142226369877232,0.575610261071129,-0.439770685771194,-1.66708176408494,195,"Pan2;Pcna;Tk1;Bub1b;Cdkn1b;Lmnb1;Anp32e;Slbp;Cdkn3;Brms1l;Prps1;Nop56;Jpt1;Spc25;Trp53;Hmgb3;Aurka;Ncapd2;Top2a;Pttg1;Ube2s;Nasp;Pnn;Cdkn1a;Ak2;H2ax;Timeless;Ccnb2;Ubr7;Rpa2;Ddx39a;Pole4;Tcf19;Tbrg4;Gspt1;Mxd3;Srsf2;Nup107;Dlgap5;Lig1;Cks1b;Kif2c;Espl1;Myc;Msh2;Hus1;Pold1;Dck;Tra2b;Rfc3;Cdkn2a;Mki67;Tacc3;Donson;Ccne1;Cenpe;Mcm7;Hmmr;Kif18b;Orc6;Spag5;Pole;Cdc20;Dut;Hnrnpd;Asf1b;Psip1;Cdca3;Kif22;Bard1;Chek1;Birc5;Wdr90;Plk1;Lbr;Tipin;Phf5a;Tubb5"
"HALLMARK_IL2_STAT5_SIGNALING",2.19873097834855e-05,0.000157052212739182,0.575610261071129,-0.438779026524689,-1.66373170565484,192,"Penk;Slc2a3;Il13;Il10;Ccnd2;Spred2;Plagl1;Xbp1;Plec;Il1r2;Ltb;Csf2;Abcb1a;Bcl2;Ahnak;Cxcl10;Hopx;Lrig1;Fgl2;Socs1;Fah;Slc1a5;Praf2;Furin;Sell;Tnfrsf18;Flt3l;Cd44;Tnfrsf8;Uck2;Cish;Gabarapl1;Car2;Odc1;Arl4a;Il2rb;Tgm2;Irf4;Rnh1;Irf6;Pim1;Il3ra;Maff;Mxd1;Adam19;Phlda1;Ccr4;Il4ra;Gbp3;Traf1;Igf1r;Tnfrsf4;Myc;Ikzf2;Mapkapk2;Ccne1;Ahr;Tiam1;Batf3;Gadd45b;Syngr2;Ager;Ifitm3;Rgs16;Umps;Ndrg1;Rhoh;Tnfsf11;Swap70;Rora;Muc1"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.000311832047627625,0.00194895029767266,0.49849310876659,-0.426555831370002,-1.58836029898551,155,"Slc16a1;Mast4;Areg;Slc2a1;Fdft1;Tob1;Xbp1;Med13l;Fhl2;Sfn;Bcl2;Lrig1;Slc37a1;Rara;Cd44;Nadsyn1;Cish;Egr3;Pmaip1;Slc7a5;Tgm2;Wfs1;Tbc1d30;Bcl11b;Rasgrp1;Fasn;Rbbp8;Tpbg;Farp1;Flnb;Igf1r;Myc;Aqp3;Igfbp4;Blvrb;Tiam1;Klf10;Amfr;Tmprss3"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.000443713617575922,0.00246355276287288,0.49849310876659,-0.504229912153261,-1.71252458642961,80,"Ccl7;Il1r2;Dntt;Ltb;Il1r1;Csf2;Cxcl10;Il12rb1;Socs1;Irf1;Cxcl13;Myd88;Cd44;Stat1;Cd36;Il6;Stat2;Cxcl9;Csf2ra;Ccr1;Il1b;Pim1;Pf4;Il3ra;Il4ra;Itgb3;Tnf;Cbl;Itga4;Irf9;Ebi3;Cxcl1;Acvrl1;Tgfb1;Il2rg"
"HALLMARK_HYPOXIA",0.000504271113022947,0.00246355276287288,0.477270815362862,-0.418526674831584,-1.57015254057461,170,"Slc2a3;Slc2a1;Pfkp;Hk1;Isg20;P4ha2;Eno2;Bcl2;Cdkn1b;Sdc3;Klf7;Sdc4;Foxo3;Prdx5;Vhl;Tgm2;Il6;Fam162a;Cdkn1a;Prkca;Pim1;Wsb1;Maff;Cited2;Tpbg;Ddit4;Pygm;Pgf;Ppp1r15a;Errfi1;Ldha;Pnrc1;Pgm1;Cp;Plac8;Ccng2;Gys1;Stbd1;Chst2;Jmjd6;Adora2b;Chst3;Ndrg1;Tgfb3;Ddit3;Rora;Fosl2;Tgfbi;Bhlhe40;Hk2;Hspa5;Ero1a;Klf6;Siah2;Pdk3;Cav1;S100a4;Irs2;Lox;Csrp2;Ets1;Myh9;Akap12;Jun;Ilvbl;Col5a1;Tktl1;Pgam2;Zfp292;Glrx;Angptl4"
"HALLMARK_INFLAMMATORY_RESPONSE",0.000541981607832033,0.00246355276287288,0.477270815362862,-0.408085329134319,-1.54394126816566,186,"Inhba;Il10;Mefv;Irf7;Gabbr1;Ccl7;Lta;Rtp4;Slc7a1;Il1r1;Cxcl10;Ffar2;Nmi;Irf1;Lck;Nfkbia;Sell;Tnfaip6;Il2rb;Il18rap;Hbegf;Atp2a2;Nfkb1;Nod2;Il6;Cxcl9;Il1b;Cdkn1a;Ldlr;Kcna3;Kif1b;Rasgrp1;Ccl24;Dcbld2;Mxd1;Ccl2;Tpbg;Slc28a2;Fpr1;Il4ra;Icam4;Best1;Eif2ak2;Itgb3;Myc;Cxcr6;Ahr;Ebi3;Tapbp;Marco;Raf1;Itgb8;Chst2;Rgs16;Slamf1;Adora2b;Cd55;Cd69;Tnfsf15;Nlrp3;Il18"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.00296030083588449,0.0123345868161854,0.431707695803346,-0.398653844806281,-1.48557929588584,158,"Slc16a1;Areg;Fdft1;Tob1;Xbp1;Isg20;Sfn;Bcl2;Dusp2;Pkp3;Pdcd4;Hspa4l;Cox6c;Cd44;Cish;S100a9;Egr3;Car2;Slc7a5;Top2a;Wfs1;Tst;Llgl2;Slc2a8;Rbbp8;Tpbg;Farp1;Flnb;Impa2;Gale;Igfbp4;Cdh1;Ugdh;Blvrb;Tiam1;Etfb;Amfr;Tmprss3;Xrcc3;Atp2b4;Kif20a;Cdc20;Perp;Tspan13;Itpk1;Ovol2;Ccnd1"
"HALLMARK_P53_PATHWAY",0.00594658384573328,0.0228714763297434,0.407017918923954,-0.377322821839689,-1.4196600684386,182,"Ccnd2;Tob1;Sertad3;Coq8a;Pcna;Sfn;Socs1;Tap1;Csrnp2;Hspa4l;H2aj;Irag2;Cyfip2;S100a10;Ralgds;Slc3a2;Trp53;Foxo3;Hbegf;Ier5;Cdkn2aip;Iscu;Fam162a;Cdkn1a;Traf4;Trafd1;Mxd1;Zmat3;Slc35d1;Ddit4;Def6;H2ac25;Sdc1;Tspyl2;Tsc22d1;Fdxr;Ppp1r15a;Notch1;Hexim1;Cdkn2a;Wrap73;Dram1;Mknk2;Procr;Apaf1;Ddb2;Mapkapk3;Plk2;Cdkn2b;Dgka;Bax;Tgfb1;Perp;Rgs16;Hras;Osgin1;Ndrg1;Fgf13;Ddit3;Cdk5r1;Mdm2;Vdr;Klf4;Mxd4;F2r"
"HALLMARK_MITOTIC_SPINDLE",0.0101555167869112,0.0362697028103972,0.380730400722792,-0.364010329235474,-1.37886264632661,189,"Bcr;Arf6;Sun2;Mid1;Sptan1;Klc1;Plekhg2;Lmnb1;Cep250;Ezr;Rhot2;Tubgcp2;Prc1;Kif11;Tubgcp6;Rhof;Aurka;Als2;Top2a;Kptn;Map3k11;Arhgap27;Kif1b;Dlg1;Actn4;Vcl;Ccnb2;Kntc1;Farp1;Flnb;Katnb1;Dlgap5;Kif2c;Espl1;Clip2;Cenpf;Cntrl;Ect2;Cdc42ep2;Cntrob;Tiam1;Cenpe;Bcl2l11;Kif23;Incenp;Hdac6;Sos1;Kif22;Stk38l;Ralbp1;Tsc1;Kif15;Anln;Cyth2;Kif20b;Birc5;Tpx2;Fbxo5;Csnk1d;Septin9;Nedd9;Plk1;Marcks;Cdc42ep4;Clip1;Mark4"
"HALLMARK_PROTEIN_SECRETION",0.0200118863635734,0.0667062878785779,0.352487857583619,0.325187123872916,1.36632336550567,86,"Scamp1;Rab22a;Dnm1l;Ppt1;Rab2a;Rab14;Stx7;Lamp2;Atp7a;Arfgap3;Adam10;Stx12;Stam;Atp6v1h;Arcn1;Tmed10;Lman1;Snx2;Igf2r;Arfgef1;Mapk1;Rer1;Ap1g1;Gbf1;Zw10;Cltc;Arfgef2;Tmx1;Tsg101;M6pr;Abca1;Vps4b;Copb1;Vps45;Cope;Tpd52;Bnip3;Galc;Ap3b1;Tmed2;Ocrl;Sec31a"
"HALLMARK_COAGULATION",0.0234497108409701,0.0732803463780314,0.352487857583619,0.291183846027657,1.29033993837737,118,"Ang;Cd9;Lgmn;Ctso;Mmp8;C1qa;Ctsh;Gng12;Ctsb;S100a1;Lamp2;Cfh;Lta4h;C2;Trf;Cpq;Msrb2;Adam9;Anxa1;Dpp4;Mmp10;Timp1;Lrp1;Ctse;Ctsl;Mmp7;Fn1;Apoc2;Pdgfb;Plek;Rac1;Arf4;Thbs1;Sirt2;Gnb2;Pros1;Mep1a;Sparc;Gp9"
"HALLMARK_COMPLEMENT",0.0506300257176765,0.148911840346107,0.321775918075361,0.25200431404417,1.1820079971683,177,"Ctsd;Timp2;Ang;Lgmn;Lipa;Ctso;Mmp8;Mmp13;C1qa;Ctsh;Prkcd;Ccl5;Ctsb;Cblb;Itgam;Usp14;Lamp2;Psen1;Lyn;Cfh;Sh2b3;Lta4h;C2;Pla2g4a;Lap3;Cpq;Plscr1;Gngt2;Pik3cg;Dock4;Adam9;Usp16;Dpp4;Timp1;Lrp1;Ctsl;Usp15;Kif2a;Fn1;Fdx1;Dock10;Prcp;Cpm;Pdgfb;Tnfaip3"
"HALLMARK_ANGIOGENESIS",0.0575695569539122,0.15991543598309,0.321775918075361,0.414136428796382,1.40694698599986,30,"Postn;Tnfrsf21;Vav2;Nrp1;Jag2;Spp1;Lrpap1;Lpl;Timp1;App;Fgfr1;Pdgfa"
