"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",1.64537850711321e-06,5.32674551255457e-05,0.643551836150722,0.391506305079,1.79838427532377,193,"Zbtb10;Ccnl1;Tnfsf9;Il18;Egr3;Gpr183;Hes1;Birc3;Ccnd1;Il6st;Tnf;Bmp2;Map3k8;Fosl1;Klf10;Ccl2;Icam1;Plk2;Il6;Il12b;Gadd45b;Ccl4;Icosl;Rnf19b;Il1a;Phlda1;Gem;Cd83;Ier2;Lif;Eif1;Slc16a6;Dnajb4;Rel;Btg2;Btg1;Plau;Tnfaip3;Panx1;Myc;Gch1;Bcl6;Ppp1r15a;Il1b;Egr1;Smad3;Nfkbia;Slc2a3;Serpinb8;Atf3;Dusp1;Slc2a6;Tgif1;Per1;Pfkfb3;Tank;Tsc22d1;Btg3;Yrdc;Tnfaip8;Pde4b;Ldlr"
"HALLMARK_G2M_CHECKPOINT",2.13069820502183e-06,5.32674551255457e-05,0.627256739718528,0.39492917515552,1.80790340050915,191,"Sap30;Ccnd1;Cks2;Kif23;Ccnb2;Ilf3;Hspa8;Kif2c;Mapk14;Cdc20;Ube2c;Srsf2;H2az1;Hmmr;Slc38a1;Cul1;Ncl;Cul3;Smc1a;Atrx;Cenpf;Top2a;Kpnb1;Orc5;Espl1;Slc12a2;Chek1;Myc;Stag1;Cks1b;Cdkn3;Dbf4;Slc7a5;Smc2;Xpo1;Birc5;Ccna2;Knl1;Stil;Stmn1;Smad3;Pttg1;Prmt5;E2f3;Mcm2;Kif15;Dkc1;Hira;Plk1;Tacc3;Hif1a;Orc6;Plk4;Kif20b;Bub1;Cdk1;Nusap1;Tra2b;Smc4;Hus1;Mt2;Nek2;Cdc7;Lbr;Cenpe;Pbk;Top1"
"HALLMARK_MITOTIC_SPINDLE",6.96995758387016e-06,0.000116165959731169,0.610526878385931,0.386044071302136,1.76955487629357,189,"Rapgef5;Bin1;Stk38l;Kif23;Arap3;Ccnb2;Dock2;Epb41l2;Clip1;Tubgcp5;Kif2c;Cdc42;Rasa1;Ssh2;Ophn1;Pif1;Anln;Farp1;Smc1a;Sos1;Wasf2;Akap13;Cenpf;Top2a;Arhgap5;Espl1;Flna;Mapre1;Capzb;Birc5;Rapgef6;Cdc42ep4;Sun2;Dst;Kif15;Plekhg2;Dlgap5;Plk1;Abi1;Kif20b;Lrpprc;Ect2;Bub1;Dock4;Cdk1;Nusap1;Rock1;Cntrob;Smc4;Nek2;Kif3c;Cenpe;Nck1;Rictor;Nf1;Arhgap4;Dlg1;Arfgef1;Sptbn1;Katnb1;Pcm1;Tpx2;Arhgdia;Uxt;Rfc1;Prc1;Cntrl;Arhgef3;Kif11;Brca2;Kntc1;Numa1;Trio"
"HALLMARK_ANDROGEN_RESPONSE",7.66742431271445e-05,0.000958428039089306,0.538434096309916,0.431302217197877,1.83012264122481,97,"Zbtb10;Insig1;Ccnd1;Dnajb9;Cdk6;Hpgd;H1f0;Adamts1;Fads1;Ccnd3;Ngly1;Sec24d;Dhcr24;Mertk;Spcs3;Slc38a2;Tsc22d1;Lifr;Camkk2;Srp19;Tnfaip8;Ank;Hmgcs1;Elovl5;Zmiz1;B2m;Sat1;Pias1;Homer2;Idi1;Plpp1;Gpd1l;Aldh1a3;Acsl3;Ell2;Selenop;Tpd52;Ptk2b;Slc26a2"
"HALLMARK_COAGULATION",0.000127489814841497,0.00126721704993607,0.518848077743792,-0.422973158524745,-1.75532616436042,117,"Thbs1;C3;Apoc2;Cfb;Ctsk;Mmp14;F10;S100a1;Capn2;Thbd;Mmp2;Gda;Ctsb;Mmp8;Plat;Lrp1;Sh2b2;Adam9;Furin;Cpq;C2;Clu;Sirt2;S100a13;Comp;Fn1"
"HALLMARK_E2F_TARGETS",0.000152066045992328,0.00126721704993607,0.518848077743792,0.350022795996044,1.61928543427814,195,"Cks2;Ccnb2;Orc2;Ilf3;Dscc1;Nbn;Cdca8;Kif2c;Cdc20;Shmt1;Srsf2;Mcm4;H2az1;Hmmr;Nup153;Cbx5;Psmc3ip;Rbbp7;Rrm2;Smc1a;Top2a;Kif18b;Rad51c;Espl1;Chek1;Myc;Rpa3;Stag1;Cks1b;Dek;Cdkn3;Xpo1;Mthfd2;Birc5;Tfrc;Asf1a;Stmn1;Depdc1a;Pttg1;Donson;Spag5;Mcm2;Dlgap5;Plk1;Tacc3;Orc6;Plk4;Smc6;Cdk1;Tra2b;Smc4;Hus1;Brca1;Lbr;Cenpe;Nap1l1;Prdx4;Ran;Usp1;Rad21;Dck;Pcna;Rfc1;Ung;Atad2;Trp53;Mki67;Brca2;Kif22;Kif4;Ipo7;Aurkb;Ccne1;Rfc2;Trip13;Suv39h1;Nolc1;E2f8;Nudt21;Eed;Timeless;Eif2s1;Ezh2;Spc24;Tipin;Smc3;Gins1;Ncapd2;Cdca3;Mcm3;Ssrp1;Cse1l;Pole4;Pa2g4;Rad1;Spc25"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.000187266579173729,0.00133761842266949,0.518848077743792,-0.397629958613615,-1.67708693210754,141,"Vegfa;Thbs1;Tgm2;Gpc1;Ecm1;Plaur;Sdc1;Lamc1;Mmp14;Slc6a8;Mmp2;Anpep;Tpm1;Igfbp4;Plod3;Lrp1;Sntb1;Tgfb1;Vcam1;Eno2;Pdlim4;Inhba;Tnfrsf12a;Comp;Fn1"
"HALLMARK_ALLOGRAFT_REJECTION",0.000737891342648258,0.00461182089155161,0.477270815362862,0.341324104091251,1.56456520518167,185,"Il10;Il18;Cd79a;Tnf;Eif3j1;Ccl2;Icam1;Irf4;Ifng;Il6;Il12b;Ptprc;Ccl4;Icosl;Cd8b1;Klrd1;Lif;Cd86;Ly86;Ncr1;Lcp2;Ccnd3;Gcnt1;Il16;H2-Aa;Ptpn6;Ccl22;Flna;Glmn;Lyn;Il1b;Tlr6;Bcl10;Crtam;Ccr5;Eif4g3;Hif1a;Abi1;Prkcg;H2-Q7;Ccl7;Cd28;Galnt1;H2-Oa;Fyb;Ccr2;Il18rap;Brca1;Apbb1;Csk;Ifnar2;Spi1;Prkcb;Nck1;Ube2n;St8sia4;Hcls1;Ripk2;Nlrp3;Was;B2m"
"HALLMARK_GLYCOLYSIS",0.0028007162678242,0.0155595348212456,0.431707695803346,-0.33341523511951,-1.44352348551174,178,"Vegfa;Gpc1;Sdc1;Slc16a3;Ddit4;Agrn;Sdc3;Mxi1;Chpf2;Alg1;Egln3;Ero1a;Gale;Cog2;Pfkp;Got1;Rbck1;B3gat3;Txn1;Pygl;Eno2;Idua;Casp6;Copb2;Ext2;Chpf;Ext1;Mdh2;Ier3;Glce;Zfp292;Rars;Nt5e;Met;Akr1a1;Prps1;B3gnt3;Pfkfb1;P4ha2;Pgam1;Cxcr4;Mif;Xylt2;Bpnt1;Adora2b"
"HALLMARK_MYC_TARGETS_V1",0.00366139131862297,0.0183069565931148,0.431707695803346,0.31567112218275,1.45096000627573,183,"Eif3j1;Srsf3;Gnl3;Prdx3;Orc2;Cdc20;Eif4g2;Srsf2;Mcm4;H2az1;Ifrd1;Cul1;Iars;Acp1;Kpnb1;Psma1;Psma6;Snrpb2;Myc;Hsp90ab1;Psma4;Dek;Xpo1;Cct3;Eif4a1;Ccna2;Hnrnpa2b1;Prps2;Mcm2;Impdh2;Hnrnpr;Hnrnpc;Hspe1;Hprt;Etf1;Txnl4a;Ywhaq;Tomm70a;Tra2b;Srsf7;Cct4;Snrpg;Nap1l1;Prdx4;Nhp2;Pgk1;Eif4h;Ncbp1;Canx;Pcbp1;Cbx3;Ran;Usp1;U2af1"
