"cluster","pathway","NES","pval","padj"
"B cells","GSE4984_UNTREATED_VS_GALECTIN1_TREATED_DC_DN",2.48586184646365,9.010237194177e-17,7.33883819465717e-14
"B cells","GSE29618_BCELL_VS_MDC_DAY7_FLU_VACCINE_UP",2.44973492740792,1.41118500903917e-19,6.89646113917441e-16
"B cells","GSE29618_BCELL_VS_MONOCYTE_UP",2.43978438524195,5.71125192867999e-18,1.39554440877296e-14
"B cells","GSE22886_NAIVE_BCELL_VS_MONOCYTE_UP",2.41910649693813,8.90277157868911e-15,4.83420496722819e-12
"B cells","GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_UP",2.38941003258016,1.38532342774441e-17,1.9946503983914e-14
"B cells","GSE10325_BCELL_VS_MYELOID_UP",2.35425755107674,7.01230169741201e-15,4.28363979940656e-12
"B cells","GSE4748_CYANOBACTERIUM_LPSLIKE_VS_LPS_AND_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_UP",2.33670785611029,2.10739893258972e-12,6.43678661472873e-10
"B cells","GSE29618_BCELL_VS_MDC_UP",2.33120101773767,3.90157453001276e-16,2.72385638973891e-13
"B cells","GSE16266_LPS_VS_HEATSHOCK_AND_LPS_STIM_MEF_UP",2.29049155956261,1.12635722421577e-12,3.66967183649497e-10
"B cells","GSE23568_ID3_KO_VS_WT_CD8_TCELL_DN",2.28073999603171,1.63261747361686e-17,1.9946503983914e-14
"B cells","GSE9509_10MIN_VS_30MIN_LPS_STIM_IL10_KO_MACROPHAGE_DN",2.26502173592965,1.31099933762019e-10,3.54869119534889e-08
"B cells","GSE32901_NAIVE_VS_TH17_NEG_CD4_TCELL_UP",2.26371304041816,1.04756663378763e-12,3.6567558138001e-10
"B cells","SOBOLEV_PBMC_PANDEMRIX_AGE_18_64YO_MEDIUM_HIGH_ADVERSE_EVENT_SUBJECTS_1DY_UP",2.25478226229832,8.64850758877506e-12,2.48619156390257e-09
"B cells","SCHERER_PBMC_APSV_WETVAX_AGE_18_32YO_5_TO_7DY_DN",2.23532289425812,4.89438005723528e-10,1.03994936259604e-07
"B cells","GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_UP",2.19798555738986,7.50031342026679e-10,1.46616126739375e-07
"B cells","GSE43955_1H_VS_42H_ACT_CD4_TCELL_DN",2.19704553982408,2.31205415408409e-08,2.69024015500213e-06
"B cells","GSE33425_CD8_ALPHAALPHA_VS_ALPHABETA_CD161_HIGH_TCELL_UP",2.19501955113805,2.61757745078215e-13,1.16291827290658e-10
"B cells","GSE22886_NAIVE_BCELL_VS_DC_UP",2.19239022211061,1.54744808528313e-08,2.04388616021045e-06
"B cells","GSE29618_BCELL_VS_PDC_DAY7_FLU_VACCINE_UP",2.19070678791015,4.22484856575586e-13,1.72056957840407e-10
"B cells","GSE29618_BCELL_VS_PDC_UP",2.16743965660437,5.70296680577719e-13,2.14387682921793e-10
"B cells","GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_UP",2.16706685215492,8.26852572313089e-10,1.55416481572849e-07
"B cells","GSE21379_WT_VS_SAP_KO_CD4_TCELL_DN",2.1237843797168,6.68510921320557e-08,7.21093491754142e-06
"B cells","GSE3982_MEMORY_CD4_TCELL_VS_BCELL_DN",2.1207572886432,2.20351072507365e-10,5.12788424449282e-08
"B cells","GSE32901_NAIVE_VS_TH1_CD4_TCELL_DN",2.11800926133875,4.77119360161501e-09,7.28650722846643e-07
"B cells","KAECH_DAY15_EFF_VS_MEMORY_CD8_TCELL_UP",2.1042031191443,6.56173856979341e-10,1.33613401627418e-07
"B cells","GSE22886_NAIVE_TCELL_VS_MONOCYTE_UP",2.0992784867876,8.16691786884058e-07,6.14026578846521e-05
"B cells","FOURATI_BLOOD_TWINRIX_AGE_25_83YO_RESPONDERS_VS_POOR_RESPONDERS_0DY_UP",2.09803837922208,2.16109280323079e-13,1.05612605293889e-10
"B cells","GSE43863_TFH_VS_LY6C_INT_CXCR5POS_MEMORY_CD4_TCELL_DN",2.08364081182452,2.26857294007477e-06,0.000147820212775272
"B cells","KAECH_DAY8_EFF_VS_DAY15_EFF_CD8_TCELL_DN",2.07999136793014,1.46912484421646e-08,2.03015740876258e-06
"B cells","GSE16266_CTRL_VS_LPS_STIM_MEF_DN",2.07341481313489,3.24639914046809e-07,2.93799122212362e-05
"B cells","GSE23568_CTRL_VS_ID3_TRANSDUCED_CD8_TCELL_UP",2.06695287392214,2.08234920601011e-09,3.39214685659047e-07
"B cells","GSE10240_CTRL_VS_IL17_AND_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP",2.06379558076676,3.87780785713111e-06,0.000236885587472497
"B cells","GSE33424_CD161_HIGH_VS_NEG_CD8_TCELL_UP",2.06337626973066,1.37968350136339e-10,3.54869119534889e-08
"B cells","ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_1DY_DN",2.05908558123527,2.05838205468717e-17,2.01186262025124e-14
"B cells","GSE10325_CD4_TCELL_VS_BCELL_DN",2.05811673150893,1.4069921523912e-09,2.37102436163303e-07
"B cells","GSE369_SOCS3_KO_VS_WT_LIVER_POST_IL6_INJECTION_DN",2.05719884547794,1.36886798519071e-09,2.37102436163303e-07
"B cells","GSE20715_0H_VS_48H_OZONE_TLR4_KO_LUNG_UP",2.0458510518168,1.59840889309395e-06,0.000107005811788358
"B cells","ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_AD5_NAB_TITERS_GTE_200_VS_LTE_200_1DY_UP",2.04524950688582,9.93421112554419e-06,0.000527700975766679
"B cells","GSE16385_ROSIGLITAZONE_VS_UNTREATED_IFNG_TNF_STIM_MACROPHAGE_UP",2.04258134632084,4.98439457986869e-07,4.00192878692738e-05
"B cells","GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_UP",2.04250020234479,1.35137236394117e-06,9.43450963225788e-05
"B cells","GSE20366_TREG_VS_NAIVE_CD4_TCELL_UP",2.03263751267626,4.59130272903843e-07,3.93643797137032e-05
"B cells","GSE33425_CD161_HIGH_VS_INT_CD8_TCELL_UP",2.01000907482522,3.49041993816529e-09,5.50247814123024e-07
