cell_group	parameter	factor	c_lower	c_effect	c_upper	c_pH0	c_FDR	c_rhat	c_ess_bulk	c_ess_tail	v_lower	v_effect	v_upper	v_pH0	v_FDR	v_rhat	v_ess_bulk	v_ess_tail
Inflammatory DC (IL12+)	(Intercept)	NA	-0.2482956957	-0.0264769214	0.1891414582	0.74375	0.124166666666667	1.0001366110505	3185.62470294266	3414.9543928537	-6.12651791325	-5.35622335	-4.6233581075	0	0	1.00092266708481	4010.87291842848	3309.80401340081
Inflammatory DC (IL12+)	conditionB7H3	condition	-0.170581215775	0.1436633715	0.468905351875	0.38725	0.38525	1.00017838407805	3803.33023114946	3194.31347688673	NA	NA	NA	NA	NA	NA	NA	NA
Inflammatory DC (IL12+)	conditionCD28-41BB	condition	-0.3691443556	0.0357574563	0.40613993025	0.63475	0.383416666666667	0.999854106823536	3798.6607374908	3808.68344214006	NA	NA	NA	NA	NA	NA	NA	NA
Inflammatory DC (IL12+)	conditionCD8-41BB	condition	-0.87345285955	-0.512032205	-0.13517217485	0.01475	0.01475	0.999993106961075	3631.60807819477	3377.5928925071	NA	NA	NA	NA	NA	NA	NA	NA
Inflammatory DC (IL12+)	conditionSTOP	condition	-1.17507934425	-0.719368129	-0.265594793625	0.00349999999999995	0.00349999999999995	1.00070472784922	3071.20212610323	3023.08728685488	NA	NA	NA	NA	NA	NA	NA	NA
Inflammatory DC (IL12+)	conditiontumor	condition	-0.881521375325	-0.4362792375	0.0052916699550001	0.0655	0.044125	1.00073830841641	3345.90161870005	3285.62928417306	NA	NA	NA	NA	NA	NA	NA	NA
Lymphocytes	(Intercept)	NA	-0.667387704425	-0.444683958	-0.238288025075	0.00124999999999997	0.000249999999999995	1.00001373402688	3212.79273403562	2809.8924807756	-6.5228434015	-5.69806091	-4.8855643175	0	0	1.00181591022794	3877.29617731788	2925.87861909054
Lymphocytes	conditionB7H3	condition	-0.43357292555	-0.0779318389	0.262297970575	0.548	0.4395	0.999947025993173	3687.74167824254	3620.28015877942	NA	NA	NA	NA	NA	NA	NA	NA
Lymphocytes	conditionCD28-41BB	condition	-0.344617588625	0.06109729275	0.4684312074	0.57925	0.2626875	1.00054112737068	3475.95362649917	2810.78150034144	NA	NA	NA	NA	NA	NA	NA	NA
Lymphocytes	conditionCD8-41BB	condition	-0.069503627975	0.2530236915	0.5853599298	0.177	0.0996666666666667	0.999832295721393	2543.02694768239	2115.21000290078	NA	NA	NA	NA	NA	NA	NA	NA
Lymphocytes	conditionSTOP	condition	-0.35825247105	0.053671053	0.482738465075	0.59125	0.34075	1.00002181414726	3279.73248144846	3261.4615857509	NA	NA	NA	NA	NA	NA	NA	NA
Lymphocytes	conditiontumor	condition	-0.01183439255	0.395641185	0.798022073575	0.0785	0.0555833333333334	1.00019293438774	4044.46347870211	3625.27594140223	NA	NA	NA	NA	NA	NA	NA	NA
Migratory DC	(Intercept)	NA	0.8083764913	0.9992470895	1.1971057125	0	0	1.00069469220357	3997.82626607359	3656.52602524601	-5.07618867125	-4.40437584	-3.69216095375	0	0	1.0013166069843	1798.12768996173	3506.96196364073
Migratory DC	conditionB7H3	condition	-0.4520157055	-0.1483377975	0.16939702225	0.38325	0.38325	1.00001057559135	3564.8891828242	3001.62751300221	NA	NA	NA	NA	NA	NA	NA	NA
Migratory DC	conditionCD28-41BB	condition	-0.0867210483875	0.2490739875	0.58067663415	0.1735	0.104375	0.999908288528601	3964.01603092997	3283.86305455328	NA	NA	NA	NA	NA	NA	NA	NA
Migratory DC	conditionCD8-41BB	condition	-0.508703009725	-0.194026755	0.121612515925	0.27475	0.1649	1.0001934961023	3857.31133541503	4000.00199889629	NA	NA	NA	NA	NA	NA	NA	NA
Migratory DC	conditionSTOP	condition	-0.311333829175	0.0473828592	0.38377135355	0.61525	0.3865	1.00058936030532	3866.04970484051	3731.01750032485	NA	NA	NA	NA	NA	NA	NA	NA
Migratory DC	conditiontumor	condition	-0.8733071182	-0.491405236	-0.105595735925	0.02275	0.02275	1.00041543329756	3761.07393768596	3432.84123219912	NA	NA	NA	NA	NA	NA	NA	NA
Myeloid cells	(Intercept)	NA	1.21572871925	1.382354145	1.55207426125	0	0	1.00057291012958	2187.36698844196	2704.79587812211	-4.919669132	-4.1496808	-3.4049344885	0	0	0.999876095459133	2914.07137323836	3183.86857994844
Myeloid cells	conditionB7H3	condition	-0.2618682313	-0.00127858761	0.280437308575	0.7775	0.561833333333333	0.999780054485276	2893.62434109382	2925.92238326975	NA	NA	NA	NA	NA	NA	NA	NA
Myeloid cells	conditionCD28-41BB	condition	-0.105975469275	0.1957337745	0.504725101925	0.26275	0.157166666666667	1.00039391750813	3531.24306422127	3695.19270659773	NA	NA	NA	NA	NA	NA	NA	NA
Myeloid cells	conditionCD8-41BB	condition	-0.33574692125	-0.0685974696	0.18561232415	0.5845	0.234833333333333	1.00042757672651	3801.53891383592	2771.49709004733	NA	NA	NA	NA	NA	NA	NA	NA
