"cluster","pathway","NES","pval","padj"
"Inflammatory DC (IL12+)","HALLMARK_APICAL_JUNCTION",1.50000524544758,0.00920617928500108,0.0414278067825049
"Lymphocytes","HALLMARK_ALLOGRAFT_REJECTION",2.04178880942185,3.46240053203616e-09,1.62732825005699e-07
"Lymphocytes","HALLMARK_IL2_STAT5_SIGNALING",1.46847292536725,0.00832057598101236,0.0468456856135124
"Lymphocytes","HALLMARK_MYC_TARGETS_V1",1.44729998141459,0.00913824314927008,0.0468456856135124
"Migratory DC","HALLMARK_MITOTIC_SPINDLE",1.58960304346137,0.00162464392138322,0.0121848294103741
"Migratory DC","HALLMARK_UV_RESPONSE_DN",1.46158062181161,0.0384961987775983,0.0927686548693881
"Myeloid cells","HALLMARK_COAGULATION",2.33057070085888,1.33103136011228e-11,6.5220536645502e-10
"Myeloid cells","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",2.05409671999639,4.77680220574816e-07,7.80211026938866e-06
"Myeloid cells","HALLMARK_INFLAMMATORY_RESPONSE",2.01464464641292,6.83766303680789e-09,1.67522744401793e-07
"Myeloid cells","HALLMARK_ANGIOGENESIS",1.99206366438871,2.76530389631964e-05,0.000207605462116943
"Myeloid cells","HALLMARK_COMPLEMENT",1.91648116290983,7.90297027753029e-07,9.68113858997461e-06
"Myeloid cells","HALLMARK_XENOBIOTIC_METABOLISM",1.81641569479369,2.51043798833246e-05,0.000207605462116943
"Myeloid cells","HALLMARK_KRAS_SIGNALING_UP",1.81200021898324,2.96579231595633e-05,0.000207605462116943
"Myeloid cells","HALLMARK_P53_PATHWAY",1.63419363055414,0.000538395018394595,0.00293126176681502
"Myeloid cells","HALLMARK_APICAL_SURFACE",1.60023846382875,0.0168424748662201,0.0434358562339361
"Myeloid cells","HALLMARK_APOPTOSIS",1.59364213174264,0.00155669422687383,0.00762780171168175
"Myeloid cells","HALLMARK_IL6_JAK_STAT3_SIGNALING",1.59303546883277,0.00312258525211693,0.0125022147483952
"Myeloid cells","HALLMARK_HYPOXIA",1.57432597138647,0.00206405309548889,0.00919441833445049
"Myeloid cells","HALLMARK_UV_RESPONSE_UP",1.54579566229972,0.00571498508696344,0.0186689512840806
"Myeloid cells","HALLMARK_TGF_BETA_SIGNALING",1.53574283357839,0.0142127469333228,0.0409661529254597
"Myeloid cells","HALLMARK_ALLOGRAFT_REJECTION",1.49035696288345,0.00331691411692117,0.0125022147483952
"Myeloid cells","HALLMARK_IL2_STAT5_SIGNALING",1.48728818932199,0.00500674912700697,0.0175236219445244
"Myeloid cells","HALLMARK_ADIPOGENESIS",1.45371949919552,0.00921633176844192,0.0282250160408534
"Myeloid cells","HALLMARK_TNFA_SIGNALING_VIA_NFKB",1.42397359611827,0.0165742974941074,0.0434358562339361
"Myeloid cells","HALLMARK_GLYCOLYSIS",1.34891499163431,0.0337922403003755,0.0827909887359199
"Myeloid cells","HALLMARK_HEME_METABOLISM",1.34318914544803,0.0362953692115144,0.0846891948268669
"cDC1","HALLMARK_MYC_TARGETS_V1",2.1832529015074,3.32089176484529e-10,7.97014023562869e-09
"cDC1","HALLMARK_MYC_TARGETS_V2",2.16097604179457,2.07246082981549e-06,1.42111599758777e-05
"cDC1","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",1.63947946490396,0.0011998491680423,0.00575927600660305
"cDC1","HALLMARK_E2F_TARGETS",1.58472022205933,0.00242118519909495,0.00968474079637982
"cDC1","HALLMARK_G2M_CHECKPOINT",1.33399896584823,0.0268032204452434,0.0748510420088166
"cDC2","HALLMARK_MYC_TARGETS_V2",2.00693036390691,4.12460268652114e-05,0.000513358957342618
"cDC2","HALLMARK_MYC_TARGETS_V1",1.8457739453498,6.06152844891289e-06,0.000142445918549453
"cDC2","HALLMARK_ALLOGRAFT_REJECTION",1.80033318314416,4.3690124029159e-05,0.000513358957342618
"cDC2","HALLMARK_IL2_STAT5_SIGNALING",1.54728100583477,0.00326953369464476,0.0170742315164782
"cDC2","HALLMARK_E2F_TARGETS",1.50440522131333,0.00533759194741864,0.0228060746844251
"cDC2","HALLMARK_ESTROGEN_RESPONSE_EARLY",1.43495281961353,0.0220227749718531,0.0705750100562531
"cDC2","HALLMARK_G2M_CHECKPOINT",1.43053733236811,0.0173761834381935,0.0628215862765456
"cDC2","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",1.41526027087399,0.0245678276829192,0.0721679938185752
