"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.73986144067042,0.82,0.108,0,"Myeloid cells","C1qb"
0,3.06893117918267,0.867,0.172,0,"Myeloid cells","Cebpb"
0,3.75099658988798,0.752,0.078,0,"Myeloid cells","Apoe"
0,3.57571447659523,0.893,0.222,0,"Myeloid cells","Ctss"
0,4.19995789487251,0.754,0.083,0,"Myeloid cells","Ctsb"
0,3.59303332939042,0.796,0.128,0,"Myeloid cells","Cd68"
0,2.81003129161567,0.893,0.254,0,"Myeloid cells","Fth1"
0,3.44815455422769,0.726,0.091,0,"Myeloid cells","Slc11a1"
0,3.26858294186197,0.725,0.1,0,"Myeloid cells","Fcgr3"
0,3.74744372064931,0.713,0.088,0,"Myeloid cells","C1qa"
0,3.14942611151026,0.793,0.175,0,"Myeloid cells","Grn"
0,3.00195466543542,0.756,0.145,0,"Myeloid cells","Ctsa"
0,3.17993575084052,0.701,0.092,0,"Myeloid cells","C3ar1"
0,2.24220374479635,0.879,0.272,0,"Myeloid cells","Fcer1g"
0,2.46725682469392,0.82,0.213,0,"Myeloid cells","Slc15a3"
0,3.78800405387201,0.691,0.085,0,"Myeloid cells","Lyz2"
0,4.37823188821746,0.666,0.063,0,"Myeloid cells","Ctsd"
0,2.35313352817068,0.794,0.192,0,"Myeloid cells","Zeb2"
0,2.22261843660231,0.856,0.26,0,"Myeloid cells","Sdcbp"
0,2.61344674448013,0.74,0.146,0,"Myeloid cells","Fcgr2b"
0,3.1028787941715,0.687,0.099,0,"Myeloid cells","Abca1"
0,2.75887348599255,0.717,0.139,0,"Myeloid cells","Cd84"
0,3.45027617781372,0.677,0.104,0,"Myeloid cells","Sgk1"
0,1.69476679050262,0.881,0.312,0,"Myeloid cells","Ly6e"
0,2.61100537855282,0.8,0.235,0,"Myeloid cells","Psap"
0,3.04161061849016,0.657,0.098,0,"Myeloid cells","Mafb"
0,1.91159692787315,0.787,0.229,0,"Myeloid cells","Lilrb4a"
0,2.19833257161174,0.741,0.185,0,"Myeloid cells","Axl"
0,2.78703061384821,0.722,0.17,0,"Myeloid cells","Lgals3bp"
0,3.13813853611313,0.646,0.099,0,"Myeloid cells","Cd14"
0,2.91875804504717,0.73,0.187,0,"Myeloid cells","Lgals3"
0,1.62432232147509,0.814,0.272,0,"Myeloid cells","Cd53"
0,1.53176922663827,0.806,0.265,0,"Myeloid cells","Itk"
0,3.03311479916722,0.641,0.102,0,"Myeloid cells","Csf1r"
0,3.55725896885431,0.608,0.069,0,"Myeloid cells","Lyz1"
0,2.87082272731405,0.65,0.112,0,"Myeloid cells","Gde1"
0,2.23491378317282,0.916,0.381,0,"Myeloid cells","Tyrobp"
0,1.65035101273208,0.899,0.375,0,"Myeloid cells","Cotl1"
0,2.02091709219344,0.736,0.217,0,"Myeloid cells","Rnf149"
0,1.71889670815578,0.738,0.222,0,"Myeloid cells","Ccr5"
0,3.14855225832645,0.59,0.075,0,"Myeloid cells","Pla2g15"
0,1.86177408757627,0.725,0.21,0,"Myeloid cells","Snx18"
0,1.82131081320769,0.722,0.209,0,"Myeloid cells","Ski"
0,3.05807008357938,0.599,0.087,0,"Myeloid cells","Lrp1"
0,1.5062205966468,0.847,0.337,0,"Myeloid cells","Fyb"
0,2.12706751232613,0.76,0.251,0,"Myeloid cells","Ninj1"
0,1.98931463372049,0.709,0.201,0,"Myeloid cells","Myo1f"
0,1.89899731713082,0.743,0.237,0,"Myeloid cells","Itgb2"
0,1.70319717960635,0.797,0.292,0,"Myeloid cells","Mpeg1"
0,1.67099562380859,0.74,0.236,0,"Myeloid cells","Evl"
0,2.80633959855361,0.611,0.111,0,"Myeloid cells","Plaur"
0,1.49976099558235,0.792,0.292,0,"Myeloid cells","Sema4d"
0,2.9319653174395,0.575,0.078,0,"Myeloid cells","Csf3r"
0,2.6224567723245,0.614,0.118,0,"Myeloid cells","Tlr2"
0,2.1940475377734,0.697,0.204,0,"Myeloid cells","Gns"
0,2.88146746232817,0.573,0.084,0,"Myeloid cells","Adgre1"
0,2.91489381724792,0.568,0.08,0,"Myeloid cells","Itgb5"
0,1.92250949932328,0.81,0.324,0,"Myeloid cells","Fos"
0,2.79295039468764,0.626,0.141,0,"Myeloid cells","Plin2"
0,2.33466112392345,0.668,0.185,0,"Myeloid cells","Msrb1"
0,1.56549662268717,0.7,0.218,0,"Myeloid cells","Arap1"
0,2.0165153262297,0.703,0.222,0,"Myeloid cells","Abhd12"
0,2.46864859485277,0.606,0.127,0,"Myeloid cells","Fnip2"
0,2.71941052547763,0.585,0.106,0,"Myeloid cells","Ms4a6d"
0,1.94189783428116,0.683,0.205,0,"Myeloid cells","Prdx5"
