condition	cell_group	n	prop
41BB-L	Myeloid cells	527	0.4395329441201
41BB-L	Migratory DC	357	0.297748123436197
41BB-L	Inflammatory DC (IL12+)	136	0.113427856547123
41BB-L	cDC2	56	0.0467055879899917
41BB-L	Lymphocytes	77	0.0642201834862385
41BB-L	cDC1	46	0.0383653044203503
B7H3	Myeloid cells	858	0.462533692722372
B7H3	Migratory DC	471	0.253908355795148
B7H3	Inflammatory DC (IL12+)	231	0.124528301886792
B7H3	cDC2	92	0.0495956873315364
B7H3	Lymphocytes	130	0.0700808625336927
B7H3	cDC1	73	0.0393530997304582
CD28-41BB	Myeloid cells	235	0.46259842519685
CD28-41BB	Migratory DC	167	0.328740157480315
CD28-41BB	Inflammatory DC (IL12+)	47	0.0925196850393701
CD28-41BB	cDC2	12	0.0236220472440945
CD28-41BB	Lymphocytes	32	0.062992125984252
CD28-41BB	cDC1	15	0.0295275590551181
CD8-41BB	Myeloid cells	762	0.455469216975493
CD8-41BB	Migratory DC	424	0.253436939629408
CD8-41BB	Inflammatory DC (IL12+)	107	0.0639569635385535
CD8-41BB	cDC2	112	0.0669456066945607
CD8-41BB	Lymphocytes	171	0.102211595935445
CD8-41BB	cDC1	97	0.0579796772265391
STOP	Myeloid cells	161	0.487878787878788
STOP	Migratory DC	91	0.275757575757576
STOP	Inflammatory DC (IL12+)	14	0.0424242424242424
STOP	cDC2	25	0.0757575757575758
STOP	Lymphocytes	26	0.0787878787878788
STOP	cDC1	13	0.0393939393939394
tumor	Myeloid cells	101	0.520618556701031
tumor	Migratory DC	36	0.185567010309278
tumor	Inflammatory DC (IL12+)	14	0.0721649484536082
tumor	cDC2	14	0.0721649484536082
tumor	Lymphocytes	21	0.108247422680412
tumor	cDC1	8	0.0412371134020619
