"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.3748709891927e-42,1.09991938510161,0.078,0.122,8.33631666990669e-38,"0","Calm3"
5.22922622843498e-40,0.90792140114879,0.091,0.133,9.96429057828286e-36,"0","Qki"
1.42889548630959e-36,0.683175954601739,0.08,0.188,2.72276034916293e-32,"0","Dctn1"
2.55176630152633e-34,0.549677883849278,0.09,0.204,4.86239068755841e-30,"0","Ctnnb1"
9.37808871156117e-34,0.503946507856433,0.07,0.167,1.78699480398798e-29,"0","Trp53inp2"
2.58330962649472e-32,0.749310750347856,0.874,0.694,4.92249649328569e-28,"0","Cacnb3"
4.73656851618319e-32,0.690056774838639,0.068,0.125,9.02553130758706e-28,"0","Zranb1"
6.51482839215014e-32,0.8740760934848,0.123,0.244,1.24140055012421e-27,"0","Rnf187"
7.96765876381309e-30,0.733277270474122,0.044,0.113,1.51823737744458e-25,"0","Tbc1d9b"
6.55277381210643e-29,0.536854311629334,0.11,0.233,1.24863104989688e-24,"0","Abhd12"
2.55569328467412e-28,0.516447141348554,0.148,0.296,4.86987355394653e-24,"0","Skp1"
1.99962548826762e-26,0.531738039348969,0.118,0.261,3.81028636789394e-22,"0","Mgrn1"
2.0884821835031e-26,0.669626418036389,0.057,0.132,3.97960280066515e-22,"0","Bmpr2"
7.4092955675095e-25,0.526792679928478,0.104,0.237,1.41184127038894e-20,"0","Txndc11"
1.02964869220568e-24,0.579052631420484,0.061,0.171,1.96199558299793e-20,"0","Ndufb8"
3.21584452321699e-24,0.64327450609197,0.154,0.305,6.12779173898998e-20,"0","R3hdm2"
5.09249163587662e-24,1.1025587653806,0.12,0.18,9.70374281216289e-20,"0","Sptan1"
6.72845496991893e-24,1.23816617093911,0.065,0.102,1.28210709451805e-19,"0","Selenow"
9.34518014968101e-24,0.714193147770791,0.102,0.201,1.78072407752172e-19,"0","Cdk19"
