"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.6838194782302,0.891,0.367,0,"0","Hexb"
0,2.93445463404733,0.705,0.192,0,"0","Sparc"
0,1.69258848962735,0.836,0.389,0,"0","C1qa"
0,2.47194983961659,0.679,0.252,0,"0","Csf1r"
0,2.41968732824965,0.627,0.211,0,"0","Cd81"
0,3.40652061830765,0.453,0.087,0,"0","Tmem119"
0,2.13612959985999,0.98,0.7,0,"0","Cst3"
2.1871829734156e-305,1.96084957726578,0.755,0.422,4.15171072013749e-301,"0","Egr1"
6.87541917210089e-281,2.24641771138242,0.639,0.268,1.30509206724819e-276,"0","Ccl3"
1.17907868403496e-270,2.79967535952424,0.506,0.163,2.23812715803516e-266,"0","Il1a"
3.56604754897297e-242,1.36610711002719,0.796,0.386,6.76907145746049e-238,"0","C1qb"
4.92644121679332e-241,2.83243601359689,0.424,0.098,9.35137071771709e-237,"0","Fcrls"
6.30513651905931e-228,1.99785297350088,0.598,0.259,1.19684101404784e-223,"0","Ccl4"
1.64500506798687e-212,3.96215484147816,0.28,0.034,3.12254862005267e-208,"0","Adamts1"
1.87742344246176e-206,1.56779944847467,0.687,0.368,3.56372517848092e-202,"0","Selenop"
4.59242929154705e-202,1.46957029852682,0.728,0.405,8.71734928121462e-198,"0","Atf3"
1.69144073333926e-198,2.05848459456112,0.5,0.211,3.21069280002459e-194,"0","Rhob"
3.01939184956902e-191,3.02428153648022,0.32,0.064,5.73140960885192e-187,"0","Phyhd1"
1.17684530921912e-185,3.22309820861145,0.299,0.056,2.23388776595973e-181,"0","Pmp22"
1.71834875663648e-184,3.1292659074818,0.307,0.061,3.26176960984736e-180,"0","Cfh"
1.48403236600121e-172,0.615527207056502,0.893,0.572,2.8169902371435e-168,"0","Ctss"
1.82668249817131e-171,3.46527007910488,0.258,0.041,3.46740871802879e-167,"0","Slco2b1"
8.51242633640174e-153,1.58064188710552,0.536,0.281,1.61582876717578e-148,"0","Vsir"
7.01229231997824e-149,2.34769564356462,0.342,0.12,1.33107332817827e-144,"0","F11r"
1.34924538759609e-146,2.45833889735177,0.321,0.101,2.5611375947349e-142,"0","Hpgds"
1.88784369983681e-142,0.964094676434582,0.853,0.629,3.58350491103023e-138,"0","Jun"
1.14150217373722e-140,1.65891046783899,0.503,0.254,2.16679942618798e-136,"0","Marcks"
4.85296513138007e-139,1.89482027935817,0.414,0.174,9.21189841238565e-135,"0","Lgmn"
6.08234630654392e-138,2.08919524122075,0.376,0.148,1.15455097590817e-133,"0","Tgfbr1"
1.76274010982842e-137,1.88097688305501,0.407,0.174,3.34603327647631e-133,"0","Itgam"
1.3786505135344e-136,0.909872266698705,0.751,0.441,2.616954404791e-132,"0","Ctsd"
3.47237702021413e-134,1.30553019723552,0.629,0.386,6.59126605977045e-130,"0","Qki"
2.09343566567334e-132,1.08990449697554,0.735,0.493,3.97375958058113e-128,"0","Plek"
2.42194443669324e-132,2.16365504062701,0.345,0.128,4.59733492973111e-128,"0","Epb41l2"
3.13290808400418e-131,2.04435946965326,0.372,0.144,5.94688612505674e-127,"0","Pfkfb3"
1.53632925558478e-130,1.42623375839212,0.54,0.3,2.91626019295104e-126,"0","Abhd12"
1.05050302845667e-127,1.57855163103968,0.517,0.268,1.99406484861645e-123,"0","Sgk1"
1.48607485606933e-124,2.10216948790575,0.337,0.129,2.82086729179079e-120,"0","Rnase4"
7.80082542246699e-123,1.92270587032755,0.361,0.146,1.48075268169268e-118,"0","Itgb5"
3.58147844262554e-120,2.49874434444491,0.268,0.086,6.7983623797918e-116,"0","Adap2"
5.56478305741696e-120,1.50704021610451,0.492,0.258,1.05630711995889e-115,"0","Kctd12"
5.73942380919014e-120,1.67281332474823,0.423,0.218,1.08945742746047e-115,"0","Cd83"
1.3675692387665e-116,1.58420804104212,0.453,0.212,2.59591992902657e-112,"0","Bin1"
1.20872586374935e-112,1.24871882810827,0.316,0.091,2.29440343456901e-108,"0","Siglech"
4.76274978295824e-112,0.897698299657638,0.836,0.659,9.04065163801134e-108,"0","Zfp36"
1.72726706054187e-105,2.2543857193458,0.272,0.092,3.27869833432057e-101,"0","Cd33"
4.96120093653207e-105,1.54912901854033,0.45,0.224,9.41735161772517e-101,"0","Fcgr3"
2.32058506098177e-102,1.24832015908931,0.565,0.34,4.4049345627556e-98,"0","Slc15a3"
1.23849994894983e-101,1.89880462173842,0.31,0.128,2.35092060309657e-97,"0","Csf3r"
3.96258275315736e-101,1.20259012733847,0.538,0.302,7.5217745820433e-97,"0","Cd9"
1.44351551379263e-95,1.14138555671981,0.613,0.41,2.74008114828116e-91,"0","Klf2"
