"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sumo2",1307.21043127006,-3.74360059103541,0.419268731359839,-8.92888095635839,4.30339648737857e-19,4.25778048461236e-15
"Ccl8",2822.41587114466,3.99204970471508,0.548306539790739,7.28068956871943,3.32118129119987e-13,1.64298838475657e-09
"Ide",689.838552134976,-3.01259046930913,0.464485876184272,-6.48586022476594,8.82269320280852e-11,2.90972421828625e-07
"S100a9",440.590621254078,-3.08238322228916,0.50970514688125,-6.047384926657,1.47215742770579e-09,3.64138139743028e-06
"Morf4l2",2177.95890318345,-2.16838208812632,0.38472722488118,-5.63615452167705,1.73889362979944e-08,3.44092271464714e-05
"Snx5",5631.57929443934,-2.0900448899869,0.385903884231167,-5.41597266933676,6.09564124688821e-08,0.000100517124161187
"mt-Co3",190.485874717196,-6.89692956641087,1.29378068821216,-5.33083360205473,9.77629660062824e-08,0.00013818096938088
"Hacd2",502.038406824021,-3.14208502015873,0.607112226354087,-5.17545996236643,2.2735018258885e-07,0.00028117533831676
"Ywhah",4062.43523407761,-2.19654122840723,0.43359062908588,-5.06593335063098,4.06404102699898e-07,0.000349213035201294
"Nos2",221.476501980144,24.2033276131711,4.785101798426,5.05805908269965,4.23545221590411e-07,0.000349213035201294
"Slc25a5",5151.75156634816,-2.05699997947235,0.403915374633262,-5.09265085871024,3.53091561018193e-07,0.000349213035201294
"mt-Nd4",99.7068478526277,-9.518446572565,1.86243468345348,-5.11075457149193,3.2087461148371e-07,0.000349213035201294
"Tor3a",233.535022370911,3.17310389519965,0.640933547757069,4.95075332895875,7.39267570123163e-07,0.000562639487599891
"Zfp119a",242.828033591977,-2.71242953830163,0.554180827184761,-4.89448462531764,9.85636814790897e-07,0.000653209012882703
"Epas1",103.918593304466,23.4181802772632,4.78551577441073,4.89355408720742,9.90310813951945e-07,0.000653209012882703
"Taf13",257.362186869562,-2.51085154397912,0.516191524820428,-4.86418591404148,1.14928849512107e-06,0.000710691273170494
"Mid1",249.67737462236,3.28263921419538,0.678702899002585,4.83663650032954,1.32054599371117e-06,0.000768557768339899
"Vps13c",1593.14300818558,-2.03454709792038,0.430865476023168,-4.72200074301377,2.33535829176922e-06,0.00110028737803641
"Gas2l1",356.767689638501,3.19099324363074,0.672855376859069,4.74246525089314,2.1113305288552e-06,0.00110028737803641
"Snx4",487.430237054304,-2.13023429298282,0.450329719107079,-4.73038798595546,2.24091146343246e-06,0.00110028737803641
"Or5v1b",371.394572336167,-2.22265507588427,0.468713077283459,-4.74203768490142,2.11579253396283e-06,0.00110028737803641
"Actr3",5224.4668327884,-1.79132939981421,0.381925612835119,-4.69025731612177,2.72861686630647e-06,0.00122713342160165
"Oasl1",2079.63337244191,3.06032340685449,0.661168110429567,4.62866154398489,3.68036706278122e-06,0.00151723132163156
"Uqcrc2",1005.28927502355,-2.91215920779317,0.62839581573241,-4.634275300511,3.58190057217883e-06,0.00151723132163156
