"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Tagln",53.2464276902713,-21.5817576113786,4.1315951561816,-5.22358962956196,1.75487461352553e-07,0.00333636761523473
"Taf13",387.872794385511,-2.71677273162818,0.566264625599747,-4.79770871922428,1.60490937593375e-06,0.0152562685276262
"Pus7",183.815447475841,-2.06138932105957,0.509422069495928,-4.0465253558789,5.19834962173846e-05,0.164718371680819
"Cox18",40.7196603490815,-1.89529670289496,0.451955214274436,-4.19354980988028,2.74622740392154e-05,0.164718371680819
"Chchd2",1931.52835701937,1.01438283647886,0.245196297410101,4.13702346729265,3.5184013812879e-05,0.164718371680819
"Fam210a",237.050978824848,-1.85969731431753,0.456301741739897,-4.07558670985218,4.58984750036636e-05,0.164718371680819
"Bivm",143.688709343682,-2.04786779745802,0.519139475711298,-3.94473526531985,7.98881869715836e-05,0.216976315814821
"Emc4",830.962551615307,-1.44142154909887,0.375401781838967,-3.83967689774362,0.000123196335778284,0.292776091977093
"Copg2",733.178862715544,-1.0719368248674,0.282459208330463,-3.79501461893672,0.000147634756929323,0.311870222082253
"Gpr160",233.903868197022,-2.08605127282944,0.565024983034253,-3.69196289627247,0.000222529935025106,0.384612647699756
"Anapc5",198.460220071192,-1.97650519242792,0.534215932596347,-3.69982449385569,0.000215748618471164,0.384612647699756
"Zfp677",105.180461657478,-1.9860353296389,0.541324106456664,-3.66884701041462,0.000243646820669666,0.38601777954764
"Akap1",139.21255165675,-2.29182261960206,0.634927738293385,-3.6095802425678,0.000306692892434467,0.44852655930493
"Ide",550.870762659244,-2.22450023419816,0.619673665119311,-3.58979307886168,0.000330940559116255,0.449417279279874
"Med21",529.900199855203,-0.804078468147802,0.226391116234923,-3.55172270679306,0.000382717958520695,0.485082255159696
"Mbd5",147.600666663573,-2.12757516994003,0.60851060935005,-3.49636495608924,0.000471643154813029,0.542229535934419
"Zfp119a",247.034145318699,-2.30096098958861,0.659491711059108,-3.48899152332543,0.000484846523821014,0.542229535934419
"Farp2",240.043135143103,-1.83655674754266,0.531920283904257,-3.45269169670024,0.000555022956438711,0.555373497253304
"Slc33a1",439.031142982474,-0.99881151121355,0.288465138586289,-3.46250335866763,0.000535175235002261,0.555373497253304
"Arpc3",857.756359630888,-1.14211697063683,0.333444793002336,-3.42520559506481,0.000614334341328703,0.583986224867065
"Ei24",310.800543510353,-1.8043209203479,0.529080295906641,-3.41029695172447,0.000648921832613525,0.587490565792778
"Ptges",47.4376115140574,-7.87517370687602,2.36453287851832,-3.33054100385815,0.000866773966343433,0.749050302187334
"Thap4",172.596965828443,-1.62802846405785,0.491163032039159,-3.31463965701729,0.000917613295750412,0.751743276049063
"Sumo2",1246.12549747883,-3.17735361602349,0.970267282172395,-3.27471993996284,0.00105766771023459,0.751743276049063
"Col14a1",27.3654739021154,-3.60518217585055,1.10180125316887,-3.27208030076365,0.00106759249175914,0.751743276049063
"Phf6",254.526164247357,-1.80649300357631,0.550036128385557,-3.28431699364667,0.00102229867171351,0.751743276049063
"Pdzd11",458.717710636132,-1.20748130226662,0.366879673463993,-3.29121886439187,0.000997542695674164,0.751743276049063
"Adsl",153.759700720388,-1.33561869705589,0.409983724162944,-3.25773590105996,0.00112304871215434,0.762550075552799
"Uchl5",325.936086922644,-1.50328575994145,0.511746255171341,-2.93756084143328,0.00330805255049555,0.938678258003959
"Tmco1",1485.6423437804,-1.67057765375131,0.526809622948979,-3.1711221302294,0.00151851285738708,0.938678258003959
"Slamf9",2222.34402934742,-1.26345837516398,0.42219136137714,-2.99262014988351,0.00276593769157475,0.938678258003959
"Thnsl1",75.6322833597061,-2.68635268778863,0.859821115428957,-3.12431579032393,0.00178219073883089,0.938678258003959
"Gpsm1",199.14697115718,1.16388806258352,0.395205809504134,2.94501759486749,0.00322936297852664,0.938678258003959
"Hsd17b12",1153.20225351133,-1.24213559903617,0.443064811104042,-2.8035076763171,0.00505500289143793,0.938678258003959
"Snx5",5057.21235819882,-1.56879354176532,0.55551399219419,-2.82403965302267,0.00474225174464014,0.938678258003959
"Psma7",425.460117342396,-1.3363517162437,0.458050567317229,-2.9174763914618,0.00352876360899163,0.938678258003959
"Zfp639",352.042096309386,-1.35555316220891,0.44487377243546,-3.04705120013694,0.00231098342358733,0.938678258003959
"Gstm5",28.4432790250858,-5.62551802563533,2.00779173755909,-2.80184339859591,0.00508115319663787,0.938678258003959
"Virma",377.828416331275,-0.909011099235498,0.305936546240359,-2.97124063929693,0.00296599278500776,0.938678258003959
"Calb1",13.002293338665,-5.99160569300423,2.02513691169069,-2.95861759193463,0.00309022314931682,0.938678258003959
"Shb",475.071184101457,1.10377235963992,0.391134699475227,2.82197504113241,0.00477288916610482,0.938678258003959
"Nans",580.246015222516,-1.49163402324758,0.482029722003916,-3.09448557870352,0.00197154519152685,0.938678258003959
"Dmac1",20.101313291164,-1.97136568074607,0.678802279441337,-2.90418247028947,0.003682134918626,0.938678258003959
"Hdac1",1221.94868805979,-0.592282681352744,0.210625046121324,-2.81202398413519,0.00492308322606595,0.938678258003959
"Mrto4",91.3111180773341,-1.33384594227018,0.475536153638264,-2.80493067049708,0.00503274035805097,0.938678258003959
"Prdm2",610.593122573844,-1.48096883826705,0.518197211167105,-2.85792514191953,0.00426420975993629,0.938678258003959
"Casz1",72.3848216693517,1.72241960195373,0.584507015747923,2.94679029600656,0.00321090873483468,0.938678258003959
"Nol9",62.6663172041873,-0.836741628678359,0.297171435501344,-2.81568659944295,0.0048673122022176,0.938678258003959
"Rer1",2726.02505518479,-1.06762258140488,0.378463312925932,-2.82094074892227,0.00478830460060428,0.938678258003959
"Gatad1",204.890886571457,-2.61409575410723,0.924474837345905,-2.82765484630398,0.0046890332110303,0.938678258003959
"Dnajc2",882.285101550927,-1.3581568400302,0.455540437219127,-2.98141883588019,0.00286916089945198,0.938678258003959
"Ywhah",3873.30068663855,-1.74517367450997,0.621049647839646,-2.81003890845224,0.00495355111186781,0.938678258003959
"Rfc1",144.682880440149,-0.881146556911362,0.3124569545604,-2.82005743207432,0.00480150550419599,0.938678258003959
"Slc30a9",307.121624504775,-2.30183174328214,0.745127430533065,-3.08917864107541,0.00200710713362318,0.938678258003959
"Kdr",17.3339836682821,-6.40112863405351,2.11905464821801,-3.0207473126927,0.00252151693205334,0.938678258003959
"Rest",380.058398567939,-0.72328706356896,0.258100904175824,-2.80234223075886,0.00507330238955387,0.938678258003959
"Vps37b",4182.95429056886,0.638144868940126,0.220417276562196,2.89516719784014,0.00378956626656506,0.938678258003959
"Ing3",434.226230756447,-1.11042310580292,0.365411916039174,-3.03882565691668,0.00237502256048027,0.938678258003959
"Atp6v0e2",13.4901244740488,-6.04523728762203,1.94131326145726,-3.1139937111871,0.00184573423844916,0.938678258003959
"Mthfd2",372.076778725924,-1.1519628336086,0.399103374384741,-2.88637708309148,0.00389704936292353,0.938678258003959
"Uevld",249.842098551879,-1.24742490532161,0.425229828091596,-2.93353105288962,0.00335130128533185,0.938678258003959
"Uqcrc2",1073.46290544022,-2.58435766327134,0.846844425806222,-3.05175022060392,0.00227511335186536,0.938678258003959
"Fbxo8",234.988657880317,-1.26990863865284,0.406719381985074,-3.12232142086467,0.00179430924550276,0.938678258003959
"Osgin1",353.342774808066,1.155880487146,0.410984109769267,2.81247001932735,0.0049162606306408,0.938678258003959
"Cln6",141.565286772118,-1.17800335721417,0.381588236337067,-3.0871060610307,0.00202115468489155,0.938678258003959
"Cnot10",624.08946038498,-0.636937450259266,0.203521959514924,-3.12957605055174,0.0017505875145274,0.938678258003959
"Kif15",4.07902103227559,2.29567488763848,0.772314000303719,2.97246312605454,0.00295420693431871,0.938678258003959
"Man1a",9592.20274564972,0.553554652181653,0.191251207461775,2.89438513632543,0.00379901875191975,0.938678258003959
"Pias4",892.772243129571,0.707300515745618,0.23351978243508,3.0288676546804,0.00245472191851669,0.938678258003959
"Rab5b",130.246401721324,-2.38362339672002,0.812247592683959,-2.93460198366814,0.00333975782259524,0.938678258003959
"Slc25a11",796.975921666863,-1.07729943771615,0.384133066348107,-2.80449545246876,0.00503953985167914,0.938678258003959
"Ccl8",1604.1290203745,2.25406609251457,0.768783259101774,2.931991645016,0.0033679580755926,0.938678258003959
"Zfp277",331.478189464447,-1.89214470283825,0.641140251775414,-2.95121807997331,0.00316523348423375,0.938678258003959
"Golga5",1185.02293289932,-1.0110006338275,0.354374471737436,-2.85291609429636,0.00433200579772111,0.938678258003959
"Asb13",323.178228133898,-1.01452704734055,0.331709801582414,-3.05847774922769,0.00222464599290545,0.938678258003959
"AW209491",71.8329355122685,-1.84535364697882,0.65195887657298,-2.83047553041829,0.0046478866325006,0.938678258003959
"Eef1e1",408.746345200323,-1.57179875999264,0.545507358873334,-2.88135207422126,0.00395973055209634,0.938678258003959
"Fam120a",1844.29043160329,-1.25892166435373,0.449362424371723,-2.80157306457899,0.00508541240134693,0.938678258003959
"Tes3-ps",22.3994766782754,-2.76559113239728,0.907156695099359,-3.04863663283042,0.00229882349641147,0.938678258003959
"Nsa2",18.6013409972289,-3.38966862378947,1.12767760221393,-3.00588449849022,0.00264809564162866,0.938678258003959
"Kif2a",319.733866912292,-1.65628386497736,0.565966810735547,-2.9264681842824,0.00342834570207135,0.938678258003959
"Hnrnpc",310.406844234196,-1.59556075911826,0.56838683291322,-2.80717403487401,0.00499782324138674,0.938678258003959
"Slc25a32",247.464636868263,-1.24519010042975,0.442333268363119,-2.81504962318944,0.00487697025777189,0.938678258003959
"Med30",947.135939940189,-0.985100910983042,0.340620114649631,-2.89208085082215,0.00382699448982068,0.938678258003959
"Tigd5",37.1073773060673,1.83546906842075,0.651416700530324,2.81765737188881,0.00483754015080444,0.938678258003959
"Rrn3",542.629993506052,-1.32411025830983,0.418541147402731,-3.16363221758873,0.00155813559326269,0.938678258003959
"Pdxdc1",160.231660620122,-1.18330321741544,0.391857911534305,-3.0197252182105,0.00253004109360082,0.938678258003959
"Ube2v2",634.719151430151,-2.09124269063023,0.705736593839797,-2.96320569017418,0.00304453049823703,0.938678258003959
"Tango2",364.151412312051,-1.18923876209989,0.403435814057924,-2.94777687220684,0.0032006799144689,0.938678258003959
"Ndufb4",552.249374292648,-1.68306383617375,0.581929032978644,-2.89221492792492,0.00382536157937161,0.938678258003959
"Tmem39a",581.583874759846,-1.02597604278714,0.363008821499076,-2.82631159912391,0.00470874343200735,0.938678258003959
"Ndufv2",484.501647394388,-1.99298275310786,0.65948760226473,-3.02201701178886,0.00251096436315815,0.938678258003959
