"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Nos2",530.058081655917,-25.2184052863164,3.67330188251925,-6.86532337740259,6.63407991430996e-12,8.45712507476233e-08
"Scgb1a1",800.198633944333,-10.2382722682243,1.55089407808371,-6.60152902310049,4.069385770103e-11,2.59382648986365e-07
"Ldlrad3",391.176686281821,-3.8116159242032,0.647148930908398,-5.88985895233244,3.86525374743448e-09,1.64247515907649e-05
"Flt1",197.286859659781,-23.7018910876231,4.13129207083717,-5.73716180827179,9.62762680999169e-09,3.06832466434435e-05
"Dmxl2",569.179435205065,-1.93478690843764,0.342241550282026,-5.65327882264227,1.57415636652109e-08,4.01346907208217e-05
"F10",667.306695022506,-4.42976030155169,0.79490995327347,-5.57265673087847,2.50883608220149e-08,5.33044039598411e-05
"Stmn1",196.941027758017,5.89615488669023,1.07480475428706,5.48579159440102,4.11621950824914e-08,7.49622375588e-05
"Slc7a2",1397.87867029836,-6.10518455989574,1.11963506744138,-5.452834354186,4.95732432754119e-08,7.89949631593688e-05
"Gstm2",136.444432427161,-4.409959063857,0.842462537570344,-5.23460553697176,1.65337580274463e-07,0.000193592926033067
"Gpat3",483.780193862213,-4.11363935953543,0.788003256046257,-5.22033294656076,1.78601748123439e-07,0.000193592926033067
"Kcng4",6.58395390368572,6.35489772652261,1.21641118444658,5.22430063762844,1.74814557702408e-07,0.000193592926033067
"Stx3",608.171008399316,-2.05938964653705,0.394775952630231,-5.21660357682929,1.82233692531911e-07,0.000193592926033067
"Hpse",4764.59823966039,-2.56767784698548,0.504659991015916,-5.0879362198231,3.61981057808679e-07,0.000354964194226541
"Ecm1",1372.6585973799,-3.71994942068842,0.737399961832818,-5.04468350044721,4.54272684570974e-07,0.00041364772735077
"Tarm1",187.138460475631,-4.80649805685342,0.959385736073167,-5.00997448276306,5.44372529108041e-07,0.000462644066737953
"Lbp",50.069245639425,-8.26732843259986,1.67815952112002,-4.92642584245039,8.37473754684776e-07,0.000667257214045095
"S100b",43.773323717942,5.85829859193096,1.20250089822841,4.87176234176766,1.10607169773141e-06,0.000783344555704443
"Csf2rb2",1495.42928757106,-1.67118570254132,0.342358757204316,-4.88138733820666,1.05342099616034e-06,0.000783344555704443
"Bst1",1646.07469448225,-3.51002502967336,0.737578742869917,-4.75884787028415,1.94701106337488e-06,0.00123953682438274
"Ncapg",4.86439295800514,5.92621033948114,1.24782509871148,4.74923155945542,2.04191036335405e-06,0.00123953682438274
"Mmp19",2804.48597588289,-4.23674899972689,0.889036417456602,-4.76555168780103,1.88337606715451e-06,0.00123953682438274
"Sgms2",526.326245190919,-5.17932496484945,1.09577639466904,-4.72662578793167,2.2828140048396e-06,0.00126527447537805
"F7",587.154578802188,-4.16082053845924,0.879696596752496,-4.72983589321523,2.24701397706437e-06,0.00126527447537805
"Cd24a",2545.51312896737,-2.7792568217353,0.591777221639127,-4.69645792387415,2.64711733021746e-06,0.00138593005737555
"Aifm2",450.672283739542,-2.8299707416837,0.603268965775561,-4.69105971338256,2.71793625936529e-06,0.00138593005737555
"Birc5",29.7851777437196,5.73024789498438,1.23768227363664,4.62982141462477,3.65981234489977e-06,0.00179443414510701
"Ccnb2",59.9599004047548,5.11579360648005,1.11537185531571,4.58662604950883,4.50466477310249e-06,0.00205090951883966
"Vegfa",9336.31147959704,-3.03999261918011,0.662567648599201,-4.5881995983463,4.47085071827949e-06,0.00205090951883966
"Cma1",39.9724242646176,7.69477819367101,1.68135772178229,4.57652651424724,4.72759814827267e-06,0.00207818693773034
"Vdr",358.576123939426,-3.62660881297726,0.807080962979198,-4.49348823640973,7.00658936067753e-06,0.00297733337233057
"C77080",1105.69470372972,-3.90969785837141,0.871506734496201,-4.48613614056754,7.25264090187266e-06,0.00298247310377654
"Vopp1",114.288289368537,-2.72464864210561,0.612878329374738,-4.44565994833805,8.76224580912241e-06,0.00349065967420914
"Papss2",280.449985003558,-2.61041577870958,0.5902877346242,-4.42227684160077,9.76662030638888e-06,0.00377287502017713
"Iqcn",2790.2139603844,2.38817719522232,0.544668494098344,4.38464354207921,1.16175856418525e-05,0.00435591122830399
