"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"4930517N10Rik",0.0634579661823729,0.280653153547,0,0,1
"A1bg",0.902967835308915,0.766527487039383,0,0,1
"A1cf",0.233455708766008,-0.0973719405297651,0,0,1
"A2m",0.0362674071196286,-3.72476848019505,0,0,1
"A2ml1",0.890477416459935,-3.43965464318392,0,0,1
"A3galt2",0.000339076481880852,-1.05765584879865,0.004,0.006,1
"A4galt",0.209126340892167,3.8102896240137,0,0,1
"A4gnt",0.560721570908984,-1.29993572139077,0,0,1
"AA467197",3.85649230460863e-106,-1.54246031059007,0.1,0.166,7.34854608643174e-102
"AA986860",0.13131419222496,-1.5334036211733,0,0.001,1
"AB124611",7.21355800840305e-07,-0.488903720264566,0.034,0.04,0.013745434785012
"AF067061",0.289581329660677,1.40100028638166,0,0,1
"AF067063",0.116060900803536,-4.63993241186585,0,0,1
"AI182371",0.377930670875788,-0.188488499461002,0.001,0.001,1
"AI429214",0.808862514423876,-0.505865553123078,0.003,0.004,1
"AI467606",0.100118661437247,0.230907585086187,0.066,0.061,1
"AI593442",0.177053014700045,-2.72567249934369,0,0.001,1
"AI597479",0.61692642271102,0.030719157407157,0.005,0.004,1
"AI661453",0.401345036307354,1.26755352792726,0.001,0.001,1
"AI837181",0.413381152428908,0.179637758874871,0.052,0.049,1
"AI854703",0.305705931751857,2.54996843952095,0,0,1
"AI987944",0.965127643976282,0.0376410099749016,0.001,0.002,1
"AK157302",0.199451841871357,-4.41823399715349,0,0,1
"AU015836",0.902872632303386,-0.829966327145277,0,0,1
"AU018091",1,0.280653153547,0,0,1
"AU021092",0.674227786862228,-0.413933756597007,0,0,1
"AU022252",0.258226259887555,-0.824526316099838,0.006,0.009,1
"AU040320",0.95069498831589,0.304283203746164,0.084,0.076,1
"AU041133",0.900010361590096,0.118975558472963,0.005,0.004,1
"AV320801",0.270417515098476,0.280653153547,0,0,1
"AW146154",0.717824152655613,-2.0860462258661,0,0.001,1
"AW209491",0.00135581308854767,-1.47341978409953,0.002,0.005,1
"AW551984",0.108875281063792,2.30857130232823,0,0,1
"AW554918",0.942858139893425,0.222026558618323,0.019,0.011,1
"AW822073",1,0.280653153547,0,0,1
"AY358078",1,0.280653153547,0,0,1
"AY761185",0.270417515098476,0.280653153547,0,0,1
"Aaas",0.693182025845632,-0.0584543381049185,0.035,0.033,1
"Aacs",0.865864164601494,0.317855246976659,0.034,0.03,1
