"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"4930517N10Rik",0.0760088508357883,-3.43897162661575,0,0,1
"A1bg",0.551006432979431,1.784500263693,0,0,1
"A1cf",0.166611261751643,1.43372972127413,0,0,1
"A2m",2.51383030630567e-06,-4.63033762428611,0,0,0.0479010364866545
"A2ml1",0.745533225603964,-2.28373055721573,0,0,1
"A3galt2",0.0263234110378795,-0.128595743565924,0.004,0.004,1
"A4galt",0.46657254224631,0.333085414899768,0,0,1
"A4gnt",0.86883001289131,0.0262359076195811,0,0,1
"AA467197",3.13042787695548e-15,-0.690467254347046,0.1,0.11,5.96503031953867e-11
"AA986860",9.81344792146729e-06,-1.31570610745506,0,0.001,0.186995250143559
"AB124611",2.2706123251863e-33,-0.415198277141968,0.034,0.052,4.32665178564249e-29
"AF067061",0.89247434483349,1.63762893822403,0,0,1
"AF067063",0.191096614027261,-3.29117853574653,0,0,1
"AI182371",0.0114129143554457,-0.183916931987842,0.001,0.002,1
"AI429214",9.06155689461662e-08,-0.547707588163003,0.003,0.006,0.0017266796662692
"AI467606",0.0174623335491209,0.65973511315235,0.066,0.054,1
"AI593442",0.28945302124949,-1.58513256384105,0,0.001,1
"AI597479",1.72313624968833e-44,-1.03982561307854,0.005,0.015,3.28343612378111e-40
"AI661453",0.15492114055079,0.870051699400572,0.001,0.001,1
"AI837181",3.93963078176737e-19,0.11420165521242,0.052,0.062,7.50696645465773e-15
"AI854703",0.190274233849153,2.16074833522112,0,0,1
"AI987944",6.57006318968946e-14,-0.693563047434731,0.001,0.004,1.25192554079533e-09
"AK157302",0.355276337654658,-3.160709398808,0,0,1
"AU015836",0.420058478013736,0.701135334658622,0,0,1
"AU018091",0.593565135002773,-0.773207685370258,0,0,1
"AU021092",0.208642861052394,1.11716790520689,0,0,1
"AU022252",7.27187136732923e-37,-1.17839481582886,0.006,0.019,1.38565508904458e-32
"AU040320",4.78091067526333e-71,-0.00257270479018723,0.084,0.118,9.11002529171427e-67
"AU041133",6.46768443546566e-28,-0.783302306783558,0.005,0.01,1.23241726917798e-23
"AV320801",0.343400398907696,-0.381292887897857,0,0,1
"AW146154",0.263312735766322,-1.67002712281195,0,0.001,1
"AW209491",6.18176379666277e-37,-1.69805881571625,0.002,0.009,1.17793509145409e-32
"AW551984",0.675381098680627,2.08572900395708,0,0,1
"AW554918",2.52871366546535e-38,0.0484486219946803,0.019,0.022,4.81846388954423e-34
"AW822073",0.285781686443773,-2.00437480566962,0,0,1
"AY358078",0.157919997562303,-3.60748613189456,0,0,1
"AY761185",0.0609783377776011,1.8117548153509,0,0,1
"Aaas",6.76668897610373e-26,0.0377100277766624,0.035,0.043,1.28939258439656e-21
"Aacs",0.404350050656595,0.587039832784678,0.034,0.029,1
"Aadac",0.477663406057277,-0.342921492230852,0,0,1
"Aadacl2",0.510267939760404,-2.57139913453359,0,0,1
"Aadacl3",0.296579641027819,-0.942196670965902,0,0,1
"Aadacl4",0.615556465264356,-0.715793869120494,0,0,1
"Aadat",0.74561030810748,1.82701665145571,0,0,1
