"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",1.28702907408413e-05,0.000643514537042066,0.593325476396405,0.460502890862052,1.69697335724218,198,"Serping1;C1s1;Ifi44l;Mettl7b;Gbp4;Il2rb;Xcl1;Socs1;Oasl1;Gbp8;Sectm1a;Upp1;Helz2;Isg15;Cmpk2;Tap1;Irf7;Tnfaip6;Ifi27l2b;Ccl5;Rsad2;Oas3;Gbp3;Fgl2;Nlrc5;Ifit2;Batf2;Cfb;Ifi44;Cd69;Zbp1;Ciita;Arl4a;Cxcl9;Selp;Pfkp;Pnp2;Tapbp;Ifit3;Dhx58;Il18bp;Lgals3bp;Pml;Stat2;Xaf1;Ido1;H2-Eb1;Oas2;Cd74;H2-M2;Cd274;Ube2l6;Stat1;Adar;Cdkn1a;Trafd1;Trim25;Auts2;H2-D1;Rtp4;Itgb7;Psmb10;Psmb9;Usp18;Ifi35;Pim1;Il4ra;Cmtr1;Mvp;H2-DMa"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.000733164128954293,0.0183291032238573,0.477270815362862,0.484065973293605,1.63260860630312,96,"C1s1;Ifi44l;Oasl1;Helz2;Isg15;Cmpk2;Tap1;Irf7;Ifi27l2b;Rsad2;Gbp3;Oas1g;Ifit2;Batf2;Ifi44;Gbp2;Ifit3;Mov10;Dhx58;Ncoa7;Lgals3bp;Stat2;Cd74;Oas1a;Tmem140;Ube2l6;Uba7;Adar;Trafd1;Trim25;Rtp4;Psmb9;Usp18;Ifi35;Il4ra;Cmtr1"
"HALLMARK_MYC_TARGETS_V1",0.00336863165165801,0.0561438608609669,0.431707695803346,-0.369288689357264,-1.44196438050155,183,"Ccna2;Cbx3;Eif1ax;Abce1;Prps2;Fam120a;Hnrnpc;Snrpg;Ran;Usp1;Cdc20;Mcm4;Ctps;Dut;Tomm70a;Psma7;Mcm6;Eif3j1;Ube2e1;Hnrnpa2b1;Hnrnpr;Xrcc6;Eif2s2;Rrm1;Nap1l1;Ywhaq;Prdx3;Vdac1;Pgk1;Cct3;C1qbp;Psma6;Canx;Glo1;Orc2;Srm;Ndufab1;Aimp2;Etf1;Snrpb2;Psma1;Srsf3;Pabpc1;Lsm2;Ddx18;Eif2s1;Erh;Clns1a;Txnl4a;Cul1;Stard7;Smarcc1;Acp1;Ranbp1;Pwp1;Psmb2;Trim28;Ncbp1;Hddc2;Impdh2;Eif3d;Xpot;Prdx4;Psmd3;H2az1;Xpo1;Pa2g4;Iars;Uba2;Psma2;Serbp1;Ywhae;Ptges3;Hprt;Snrpa1;Kpnb1;Hdac2;Eif4g2;Eef1b2;Ruvbl2"
"HALLMARK_ANGIOGENESIS",0.0155683556834883,0.194604446043603,0.380730400722792,0.534353871427823,1.54622307403924,36,"Lum;Vtn;Kcnj8;Col3a1;Col5a2;Slco2a1;Serpina5;Prg2;Jag2;Vcan;Cxcl5;Ccnd2"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0316179104045512,0.316179104045512,0.321775918075361,0.348556826251091,1.28453081421348,201,"Col4a1;Slit3;Sfrp1;Cxcl12;Tnc;Dcn;Igfbp3;Lum;Fbln2;Col1a2;Pdgfrb;Fmod;Col1a1;Tnfrsf11b;Sfrp4;Col3a1;Loxl1;Col5a2;Acta2;Htra1;Lrrc15;Mgp;Myl9;Inhba;Tpm2;Serpinh1;Matn2;Gas1;Vcan;Sdc1;Matn3;Col7a1;Tfpi2;Plod2;Gpc1;Oxtr"
"HALLMARK_KRAS_SIGNALING_DN",0.0416666666666667,0.347222222222222,0.266350657088526,0.342860891624575,1.26362570018486,196,"Edn2;Slc6a3;Scn10a;Ifi44l;Sprr3;Pax4;Cdh16;Fgf16;Gp2;Slc5a5;Gdnf;Col2a1;Cacng1;Krt1;Hsd11b2;Ypel1;Cyp11b2;Fgf22;Oxt;Pax3;Slc12a3;Atp4a;Edar;P2rx6;Adra2c;Cldn16;Ccr8;Il5;Rsad2;Lgals7;Myo15a;Gpr3;Nudt10;Sstr4;Shox2;Ckm;Ngb;Cpb1;Sox10;Mefv;Smpx;Dlk2;Ryr1;Nr6a1;Klhdc8a;Clps;Hc;Macroh2a2;Htr1b;Tnni3;Sphk2;Npy4r;Ccdc106;Efhd1;Chst2;Mthfr;Pnmt;Krt4;Slc29a3;Cyp39a1;Calm4"
"HALLMARK_ALLOGRAFT_REJECTION",0.0491313037290023,0.350937883778588,0.321775918075361,0.350985730442813,1.28761216622093,191,"Nos2;Elane;Cd96;Cartpt;Trat1;Cxcl13;Il12a;Il2rb;Cd3g;Cd2;Krt1;Cd3e;Fasl;Il12rb1;Mbl2;Socs1;Itk;Inhba;Dyrk3;Tap1;Irf7;Ccl5;Lck;Cd247;Sit1;Cd3d;Cdkn2a;Gbp2;F2r;Ccnd2;Ly75;Cxcl9"
"HALLMARK_HYPOXIA",0.136103151862464,0.709169054441261,0.141225119642531,0.314445598530036,1.15972495721485,197,"Edn2;Ackr3;Csrp2;Sdc2;Cavin1;Gpc4;Dcn;Igfbp3;Gapdhs;Ldhc;Cav1;Tmem45a;Efna1;Ccn5;Stbd1;Brs3;Chst3;Gpc1;Gpc3;Slc2a1;Sdc3;Angptl4;Tgfb3;Pfkp;Tgm2;Foxo3;Hs3st1;Lalba;Aldob;Ilvbl;Ppfia4;Prdx5;P4ha2;Kif5a;Col5a1;Chst2;Has1;Maff;Bcl2;Ddit3;Cdkn1a;Klf7;Gck;Plin2;Hk2;Sdc4;Bhlhe40;Plaur;Pim1"
"HALLMARK_COAGULATION",0.136498516320475,0.709169054441261,0.143758989039275,0.333507258966871,1.18332016095301,138,"Serping1;C1s1;F11;Pecam1;Cpn1;Cfi;Hmgcs2;C9;Hnf4a;C8b;Htra1;Mbl2;Ctsk;Fga;Rgn;F13b;Tfpi2;Cfb;F10;Csrp1;Vwf;Proz;Mst1"
"HALLMARK_GLYCOLYSIS",0.141833810888252,0.709169054441261,0.138022242496643,0.313048616171613,1.15357223069002,199,"Hs6st2;Sdc2;Gpc4;Fbp2;Dcn;Igfbp3;Gapdhs;Tff3;Cldn3;Ldhc;Dsc2;B4galt2;Kif20a;Agrn;Gys2;Chst4;Gal3st1;Vcan;Sdc1;Plod2;Gpc1;Lct;Pgam1;Gpc3;Sdc3;Angptl4;Cacna1h;Chpf;Spag4;Elf3;Pfkp;Artn;Got2;Aldob;Ppfia4;P4ha2;Nasp;Got1;Col5a1;Chst2"
