"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0064285702799011,0.314999943715154,0.407017918923954,-0.4620914270942,-1.36284698213849,201,"Tagln;Fbn2;Col6a2;Pcolce;Fermt2;Col8a2;Mest;Ccn2;Bgn;Edil3;Serpinh1;Igfbp2;Fbln1;Pcolce2;Mylk;Tgfbr3;Slit2;Cald1;Col1a1;Col12a1;Prss2;Col3a1;Prss1"
"HALLMARK_MYOGENESIS",0.0223016340794968,0.546390034947671,0.352487857583619,-0.442749101178744,-1.30487170788117,199,"Tagln;Ppp1r3c;Col6a2;Cfd;Cav3;Mylk;Tnni1;Igfbp7;Col1a1;Acta1;Nqo1;Col3a1;Myl1;Efs;Des;Mb;Hspb2;Gja5;Myog;Myh8;Itgb4;Stc2;Myl4;Tnnc2;Actc1;Bdkrb2;Wwtr1;Myl7;Pygm;Lama2;Scd1;Prnp;Cdh13;Ablim1;Sgca;Itga7;Pgam2;Mras;Ryr1;Cryab"
"HALLMARK_E2F_TARGETS",0.0675403225806452,0.776018099547511,0.170932335370056,-0.419402780487367,-1.23488808939722,197,"Depdc1a;Espl1;Hmmr;Rad51c;Top2a;Cdc20;Mki67;Dscc1;Mxd3;Diaph3;Asf1a;Tfrc;Mcm6;Cdca3;Rrm2;Dut;Ctps;Usp1;Trip13;Mcm4;Chek1;Ran;Mthfd2;Ccnb2;Bub1b;Stmn1;Kif22;Cbx5;Tipin;Cks2;Tubg1;Cdca8;Prkdc;Nap1l1;Ing3;Spag5;Rfc3;Orc2;Mcm2;Dlgap5;Rpa3;Msh2;Spc24;Cenpm;Asf1b;Plk1;Atad2;Smc3;Xrcc6;Ipo7;Ranbp1;Xpo1;Smc6;Paics;Rbbp7;Cse1l;Ssrp1;Smc1a;E2f8;Ezh2;Nudt21;Rfc1;Ncapd2;Naa38;Nbn;Eif2s1;Racgap1;Cdc25a;Nup153;Snrpb;Smc4;Dck;Psmc3ip;Rfc2;H2az1;Spc25;Cdk1;Hus1;Eed;Pa2g4;Orc6;Rad50;Prdx4"
"HALLMARK_COMPLEMENT",0.0898989898989899,0.776018099547511,0.14641623786055,-0.412777479415381,-1.21331199639371,192,"Spock2;Hpcal4;Me1;Zfpm2;Ltf;Adra2b;S100a9;Gzmb;Gzmk;Gp1ba;Itih1;Gzma;Dgkg;Car2;Kif2a;Cdh13;Cd40lg;Cr2;Cd55;C1s1;Calm3;F2;F8;Itgam;Klkb1;Klk1;Cp;F5;Ccl5;Ctsh;Gnb2;Cxcl2;Mmp13;Pcsk9;Lta4h;Lamp2;Pik3ca;Dock10;Prcp;Dock4;Apoc1;Pdp1;Kcnip2;C1qa;Pik3cg;Tnfaip3;Cxcl1;Mmp12;Fn1;Plscr1;Usp14;Dpp4;Gata3;Cfh;Plg;Tfpi2;Psen1;Il6;Cxcl3;Lyn;Vcpip1"
"HALLMARK_PANCREAS_BETA_CELLS",0.104582843713279,0.776018099547511,0.14641623786055,-0.503845953140317,-1.29790567122554,40,"Neurog3;Pax6;Hnf1a;Foxa2;Slc2a2;Sst;Neurod1;Pcsk1;Scgn;Pdx1;Elp4"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.127144298688194,0.776018099547511,0.120433371642259,-0.399895150540478,-1.17994963085431,202,"Ptges;Foxc1;Mest;Cav1;Frk;Ltf;Cyp4f14;Car12;S100a9;Pgr;Pdlim3;Sema3b;Serpina3n;Cpe;Agr2;Krt13;Prss23;Nmu;Top2a;Cdc20;Stil;Tpsb2;Tfap2c;Myb;Car2;Celsr2;Hr;Cyp26b1;Ccna1;Mdk;Add3;Cdh1;Cxcl14"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.160443995963673,0.776018099547511,0.105125131597001,-0.397360772140725,-1.16771272508474,186,"Maob;Uqcrc2;Ndufv1;Ndufv2;Ndufa5;Ndufb4;Aco2;Slc25a5;Uqcrb;Aldh6a1;Acat1;Ndufs6;Ndufa9;Idh3a;Mdh1;Tomm70a;Etfdh;Decr1;Atp5o;Ndufa4;Glud1;Cox7b;Slc25a11;Ndufb3;Dld;Vdac1;Vdac2;Fh1;Prdx3;Phyh;Cyb5a;Ndufab1;Atp5j;Atp5g3;Ndufa6;Mpc1;Timm9;Echs1;Sucla2;Abcb7;Pdp1;Dlat;Atp5b;Retsat;Cox10;Uqcr11;Idh3g;Ndufb8;Eci1;Idh3b;Ech1;Cycs;Opa1;Atp6v1h;Ndufs3;Mgst3;Polr2f;Timm8b;Uqcrfs1;Sdha;Cox8a;Tomm22;Hadhb;Cox7a2l;Pmpca;Ndufs4;Lrpprc;Rhot1;Gpi1;Ldhb;Fdx1;Cox11;Sdhc;Mtrr;Ndufc1;Supv3l1;Atp5pb;Ndufs1;Rhot2;Ndufa7;Ndufs8"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.163471241170535,0.776018099547511,0.103958471559957,-0.393448924918495,-1.1573904909416,195,"Ptges;Foxc1;Inhbb;Slc1a1;Frk;Car12;Pgr;Abat;Pdlim3;Podxl;Sema3b;Krt15;Kcnk15;Krt13;Stc2;Muc1;Prss23;Sybu;Rhobtb3;Cldn7;Tfap2c;Myb;Akap1;Celsr2;Hr;Cyp26b1;Ablim1;Add3;Mybl1;Fcmr;Celsr1;Ovol2;Bcl11b;Asb13;Elf1"
"HALLMARK_MTORC1_SIGNALING",0.185858585858586,0.776018099547511,0.096240602328129,-0.387779187952582,-1.1417141931064,198,"Me1;Serpinh1;Elovl6;Vldlr;Srd5a1;Sytl2;Bub1;Asns;Scd1;Qdpr;Sqle;Ak4;Tfrc;Dhfr;Rrm2;Add3;Igfbp5;Eef1e1;Actr3;Uchl5;Mcm4;Slc2a3;Bcat1;Mthfd2;Idi1;Fads1;Hmgcs1;Psma3;Pgk1;Stc1;Pitpnb;Elovl5;Tubg1;Eif2s2;Ube2d3;Mcm2;Canx;Actr2;Lta4h;Plod2;Plk1;Etf1;Wars1;Acsl3;Tpi1;Hspa4;Mthfd2l;Ddit4;Egln3;Dhcr24;Cdc25a;Ppa1;Rdh11;Lgmn;Glrx;Gga2;Serp1;Nampt;Gpi1;Tmem97;Tbk1;Niban1;Gbe1;Pno1;Ufm1;Sdf2l1;Calr;Cacybp;Acaca;Aldoa;Ccng1"
"HALLMARK_APICAL_SURFACE",0.209919261822376,0.776018099547511,0.096887770327544,-0.458419144144959,-1.19247150629243,43,"Afap1l2;Gstm5;Srpx;Slc34a3;Cd160;Shroom2;Pkhd1"
