"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_MYC_TARGETS_V1",1.03619405748373e-11,5.18097028741866e-10,0.875325132024659,-0.52448975975784,-2.2242661996292,183,"Fam120a;Abce1;Hnrnpc;Prps2;Cbx3;Psma7;Ran;Usp1;Eif3j1;Etf1;Hnrnpa2b1;Pgk1;Hnrnpr;Ube2e1;Srm;Pabpc1;Prdx3;Psma6;Snrpb2;Snrpg;Psma1;Cct3;Canx;Eif2s1;Mcm4;Cul1;Eif1ax;Tomm70a;Ywhaq;Xrcc6;Pwp1;Ddx18;Srsf3;Smarcc1;Nap1l1;Orc2;Prdx4;Ncbp1;Ndufab1;Txnl4a;Eif2s2;Lsm2;Eif4g2;H2az1;Stard7;Kpnb1;Ptges3;Mcm6;Uba2;Trim28;Psma2;Xpot;Hnrnpa1;Acp1;Impdh2;Iars;Hprt;Clns1a;Vdac1;Eef1b2;Serbp1;Aimp2;Eprs;Pa2g4;Xpo1;Ranbp1;Rrm1;Snrpa1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",9.80885215546964e-09,2.45221303886741e-07,0.747739663149885,0.451574398126758,1.98960979612333,198,"Oasl1;Gbp4;Socs1;Rsad2;Isg15;Helz2;Gbp8;Serping1;Pfkp;Tap1;Tnfaip6;Nlrc5;Trafd1;Cd274;Dhx58;Trim25;Stat2;Irf7;Oas3;Cmpk2;Fgl2;Cxcl9;Ifit2;Ciita;Il18bp;Adar;Zbp1;Oas2;Il4ra;Xaf1;Tapbp;Ifit3;Pml;Rtp4;Trim14;H2-Eb1;H2-D1;Ube2l6;Cmtr1;Arl4a;Pim1;Cd74;Irf1;Lgals3bp;Batf2;Stat1;Sectm1a;Cdkn1a;Cd40;Ifi35;C1s1;Gbp3;Casp8;Psmb9;Herc6;Psmb10;Cd69;Ccl5;H2-DMa;Il15ra;Rnf31;Ifi44;Xcl1;Irf8;Nod1;Isg20;Upp1;Pnp2;Itgb7;Mvp;Usp18;Nmi;H2-M2;Nfkb1;Tnfaip2"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1.76846568510632e-08,2.94744280851053e-07,0.73376198835648,0.54448479594826,2.14052368427943,96,"Oasl1;Rsad2;Isg15;Helz2;Tap1;Uba7;Trafd1;Dhx58;Trim25;Stat2;Irf7;Oas1g;Tmem140;Cmpk2;Ifit2;Mov10;Adar;Oas1a;Il4ra;Ncoa7;Gbp2;Ifit3;Rtp4;Trim14;Ube2l6;Cmtr1;Cd74;Irf1;Lgals3bp;Batf2;Ifi35;C1s1;Gbp3;Casp8;Psmb9;Herc6;Tent5a;Rnf31;Ifi44;Isg20;Usp18;Nmi"
"HALLMARK_PROTEIN_SECRETION",2.06088954123842e-05,0.000220548705985362,0.575610261071129,-0.498761238814781,-1.91691548013682,93,"Rer1;Arfgef1;Rab14;Stx12;Dnm1l;Lamp2;Stx7;Copb1;Ppt1;Atp6v1h;Sh3gl2;Arcn1;Scamp1;Vamp3;Mapk1;Gbf1;Egfr;Atp7a;Cltc;Vps4b;Rab2a;Golga4;Ocrl;Snx2;Dst;Sec31a;Dop1a;Ap1g1;Zw10;Tsg101;Tmed10;Cope;Rab22a;Sec24d;Gosr2;Tmed2"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",2.20548705985362e-05,0.000220548705985362,0.575610261071129,-0.413455043748085,-1.75508016199327,186,"Slc25a5;Uqcrc2;Ndufv2;Acat1;Ndufb4;Etfdh;Decr1;Mpc1;Slc25a11;Dld;Prdx3;Abcb7;Glud1;Echs1;Fh1;Uqcrb;Idh3g;Timm9;Tomm70a;Atp6v1h;Ldhb;Phyh;Retsat;Mdh1;Ndufab1;Sucla2;Hadhb;Fdx1;Atp6v0b;Cyb5a;Uqcrfs1;Opa1;Mtrr;Lrpprc;Cox7a2l;Ndufs3;Atp6v1c1;Ndufa4;Vdac2;Pmpca;Ndufa6;Aco2;Vdac1;Eci1;Dlat;Ndufa5;Ech1;Aldh6a1;Idh3a;Ndufs8;Rhot1;Idh3b;Tomm22;Sdhc;Cox7b"
"HALLMARK_ANDROGEN_RESPONSE",0.000101270173357206,0.000843918111310047,0.538434096309916,-0.458142806583869,-1.80613897499356,106,"Tnfaip8;Selenop;B2m;B4galt1;Lifr;Xrcc6;Fkbp5;Zmiz1;Dnajb9;Fads1;Plpp1;Elovl5;Mertk;Slc26a2;Elk4;Srp19;Inpp4b;Spcs3;Pias1;Arid5b;Adamts1;Ell2;Dbi;Pa2g4;Hpgd;Sms;Sgk1;Gpd1l;Ncoa4;Stk39;Ccnd1;Sec24d;Cdk6;Itgav;Uap1;Bmpr1b;Lman1;Pmepa1;Ank;H1f0;Cdc14b;Iqgap2;Idi1;Acsl3"
"HALLMARK_FATTY_ACID_METABOLISM",0.0003999260454635,0.00285661461045357,0.49849310876659,-0.393538168841679,-1.64614800854882,153,"Ywhah;Serinc1;Etfdh;Acsl5;Decr1;Dld;Suclg2;Echs1;Fh1;Idh3g;Mcee;Maoa;Adsl;Crat;Nbn;Grhpr;Aldh3a2;Retsat;Elovl5;Gstz1;Mdh1;Sucla2;Nsdhl;Hadhb;H2az1;Glul;Hsd17b4;Aco2;Eci1;Hadh;Ech1;Erp29;Hsd17b11;Ehhadh;Ephx1;Acads;Pts;Me1;Idh3b;Hpgd;Sms;Slc22a5;Sdhc"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.000817222567418235,0.00458823089524218,0.477270815362862,0.351279713482821,1.5402139461583,188,"Slc2a1;Mast4;Fdft1;Tgm2;Wfs1;Sfn;Med13l;Cish;Pmaip1;Ncor2;Slc7a2;Mreg;Itpk1;Tsku;Bcl2;Slc16a1;Amfr;Gab2;Rara;Tob1;Abhd2;Slc37a1;Nxt1;Dlc1;Slc24a3;Pex11a;Blvrb;Krt8;Tiam1;Gla;Xbp1;Slc7a5;Klf4;Nbl1;Fasn;Plaat3;Ttc39a;Aqp3;Ppif;Cbfa2t3;Adcy1;Cant1;Flnb;Cd44;Myof;Krt18;Rasgrp1;Tff1;Cxcl12;Mill2;Anxa9;Tff3;Bhlhe40;Mindy1;Celsr1;Sh3bp5;Wwc1;Lad1;Lrig1;Il17rb;Fhl2"
"HALLMARK_HYPOXIA",0.000825881561143593,0.00458823089524218,0.477270815362862,0.34070051532642,1.48866446108998,192,"Slc2a1;Pfkp;Tgm2;Angptl4;Gpc1;Sdc3;Ppfia4;Foxo3;Ddit3;Chst2;Bcl2;Klf7;Prdx5;Hk2;Plin2;Ext1;P4ha2;Chst3;Edn2;Stbd1;Csrp2;Maff;Ilvbl;Nagk;Pim1;Sdc4;S100a4;Cdkn1a;Gys1;Plaur;Cdkn1b;Pfkl;Ackr3;Cavin1;Ndrg1;Sdc2;Jun;Wsb1;Vhl;Tgfb3;Isg20;Ppp1r15a;Gpc4;Zfp292;Eno3;Mif;Irs2;Zfp36;Dcn;Myh9;Klf6;Cav1;Igfbp3;Ldhc;Gapdhs;Bhlhe40;Slc37a4;Atf3;Pdgfb"
"HALLMARK_P53_PATHWAY",0.00102633288236781,0.00513166441183904,0.45505986738723,0.339226585958063,1.48730859566639,190,"Socs1;Ier5;Osgin1;Tap1;Ccnd2;Sfn;Trafd1;Foxo3;Ddit3;H2aj;Mxd1;Sertad3;Sdc1;Hspa4l;Jag2;Wrap73;Mapkapk3;Dram1;Tob1;Fdxr;Pcna;Csrnp2;Tgfb1;Bax;Rhbdf2;Aen;Tsc22d1;Notch1;Ralgds;Rab40c;Mdm2;Klf4;Cebpa;Def6;S100a4;Gadd45a;Cdkn1a;Traf4;Gm2a;Ndrg1;Trib3;Cdkn2a;Jun;Plk2;Cdkn2aip;Upp1;Ppp1r15a;Mknk2;Slc7a11;Rap2b;Abcc5"
