"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",5.25768794176428e-11,2.62884397088214e-09,0.851339057116899,0.558792064897087,2.48012337738166,96,"Isg20;Dhx58;Stat2;Ripk2;Oas1a;Trim25;Parp12;Adar;Ube2l6;Nmi;Herc6;Usp18;Uba7;Mov10;Ifit2;Trim14;Tap1;Irf7;Psmb9;Ifi35;Helz2;Rtp4;Ifit3;Isg15;Lgals3bp;Rsad2;Gbp3;Trim21;Oasl1;Epsti1;Lap3;Cmtr1;Trafd1;Oas1g;Cmpk2;Tmem140;Eif2ak2;Gbp2;Cxcl10;Ogfr;Ifi44;C1s1;Sp110;Ifi30;Trim26;Nub1;Irf2;Cnp;Irf1;Ncoa7;Tent5a;Bst2;Irf9"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",4.48651601032742e-08,1.12162900258186e-06,0.719512826338911,0.39949413549106,1.98113175636542,198,"Isg20;Dhx58;Sectm1a;Stat2;Gbp8;Ripk2;Trim25;Parp12;Adar;Ube2l6;Socs1;Nmi;Pfkp;Cxcl9;Nlrc5;Herc6;Usp18;Oas3;Tnfaip6;Ifit1bl1;Ifit2;Oas2;Trim14;Tap1;Irf7;Psmb9;Ifi35;Cd40;Helz2;Rtp4;H2-D1;Xaf1;Zbp1;Ifit3;Isg15;Cd69;Lgals3bp;Rsad2;Fgl2;Gbp3;Trim21;Oasl1;Epsti1;Lap3;Pml;Cmtr1;Cdkn1a;Itgb7;Trafd1;Cmpk2;Cd274;Eif2ak2;Ido1;Pla2g4a;Il15ra;Cxcl10;Ciita;Ogfr;Psmb10;Ifi44;C1s1;H2-DMa;Sp110;Rbck1;Znfx1;Nod1;Gbp4;Tapbp;Ifi30;H2-M3;Trim26"
"HALLMARK_MYC_TARGETS_V1",2.72395463480405e-06,4.53992439134008e-05,0.627256739718528,-0.403528449950746,-1.87563233320266,183,"Abce1;Cbx3;Hnrnpr;Prps2;Nap1l1;Hnrnpc;Eif2s1;Cul1;Srm;Eif3j1;Srsf3;Ddx18;Xpot;Eif1ax;Cct3;Myc;Ube2e1;Etf1;Psma7;Smarcc1;Ncbp1;Fam120a;Pabpc1;Snrpb2;Eif2s2;Pwp1;Hdac2;Ran;Txnl4a;Eif4g2;Psma6;Hnrnpa2b1;Cct5;Eprs;Xrcc6;Ruvbl2;H2az1;Usp1;Hprt;Lsm2;Ptges3;Dhx15;Gnl3;Kpnb1;Eif4a1;Syncrip;Prdx3;Impdh2;Vdac1;Canx;Tomm70a;Iars;Pgk1;Uba2;Pcbp1;Psmd1;Stard7;Eif4e;Psma1;Snrpd3;Psmd3;Nhp2;Mcm4;Orc2;Prdx4;Psma4;Psmd7;Eif4h;Trim28"
"HALLMARK_UV_RESPONSE_DN",9.97389877433314e-06,0.000124673734679164,0.593325476396405,-0.417061000207845,-1.89212452366868,141,"Rasa2;Gcnt1;Ptprm;Igf1r;Inpp4b;Nipbl;Cdk13;Atrn;Prdm2;Dab2;Atrx;Nek7;Dyrk1a;Myc;Nr1d2;Gja1;Ptpn21;Zmiz1;Pik3r3;Phf3;Tgfbr2;Nrp1;Pmp22;Sfmbt1;Nr3c1;Pten;Mgll;Adora2b;Rbpms;Mios;Atxn1;Smad3;Kcnma1;F3;Vav2;Bmpr1a;Tjp1;Atp2b1;Fhl2;Dmac2l;Prkca;Ythdc1;Mta1;Ddah1;Pdlim5"
"HALLMARK_ANDROGEN_RESPONSE",3.03531673468082e-05,0.000303531673468082,0.575610261071129,-0.441176509192691,-1.9020178978961,107,"Acsl3;Selenop;Adamts1;Xrcc5;Pias1;Dnajb9;Inpp4b;Lifr;Hpgd;Itgav;B4galt1;Ptpn21;Zmiz1;Appbp2;Ank;Slc26a2;Scd2;Ncoa4;Ell2;Tnfaip8;Fads1;Camkk2;Arid5b;Xrcc6;Mertk;Uap1;Gsr;Plpp1;Sec24d;Idi1;B2m;Sgk1;Srp19;Abhd2;Cdk6"
"HALLMARK_PROTEIN_SECRETION",4.47150400227321e-05,0.000372625333522768,0.557332238758646,-0.454104979559542,-1.91020433954607,93,"Scamp1;Rab2a;Egfr;Arfgef1;Atp6v1h;Gbf1;Rab22a;Ap1g1;Arcn1;Dnm1l;Stx7;Stx12;Rab14;Copb1;Cltc;Vps45;Rer1;Vps4b;Snap23;Dst;Vamp3;Ppt1;Zw10;Tmed2;Mapk1;Golga4;Arfgap3;Sec24d;Tspan8;Atp7a;Lamp2;Dop1a;Gosr2"
"HALLMARK_E2F_TARGETS",0.0005910899913069,0.00422207136647786,0.477270815362862,0.313942283852863,1.55404445259419,197,"Spc25;Wdr90;Slbp;H2ax;Stmn1;Pnn;Nop56;Tubb5;Orc6;Nasp;Pcna;Top2a;Hmgb3;Srsf1;Tmpo;Bub1b;Cenpm;Tacc3;Cdkn2a;Tk1;Rrm2;Dctpp1;Aurkb;Anp32e;Mlh1;Ak2;Hells;Pan2;Ung;Ncapd2;Lmnb1;Asf1b;Chek1;Cdkn1a;Pole4;Diaph3;Chek2;Racgap1;Mcm2;Brms1l;Hmmr;Mcm7;Jpt1;Cks1b;Ubr7;Timeless;Rnaseh2a;Lyar;Prps1;Pold1;Dlgap5;Cdc25a;Dut;Bard1;E2f8;Tra2b;Mxd3;Depdc1a;Rad51c;Plk4;Ccp110;Ddx39a;Melk;Cenpe;Spc24"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.00299709184683623,0.0187318240427264,0.431707695803346,-0.36646350404623,-1.56484022731625,103,"Ube2n;Ube2d3;Egfr;Dapp1;Actr3;Actr2;Smad2;Mapkap1;Tbk1;Pik3r3;Pin1;Cltc;Grk2;Prkag1;Pten;Cab39;Ralb;Mapk8;Ecsit;Mapk1;Gsk3b;Grb2;Map2k3;Vav3;Nck1;Pak4;Eif4e;Prkar2a;Dusp3;Pdk1;Ripk1;Cxcr4;Rac1;Plcg1"
"HALLMARK_HEME_METABOLISM",0.00385422047498225,0.0212663224341929,0.431707695803346,-0.313246593055958,-1.46269364328961,191,"Slc11a2;Cdr2;Vezf1;Top1;Slc25a37;Gapvd1;Btrc;Nek7;Xpo7;Kdm7a;Hbb-bt;Abcg2;Gclc;Bmp2k;Rnf19a;Klf3;Nudt4;Mospd1;Arhgef12;Ranbp10;Gclm;Dcun1d1;Kat2b;Ypel5;Ncoa4;Bnip3l;Ell2;Nfe2;Mark3;Nr3c1;Minpp1;Foxj2;Tal1;Fech;Slc10a3;Bach1;Ezh1;Cir1;Eif2ak1;Map2k3;Aldh6a1;Cdc27;Lamp2;Epor;Rbm5;Rad23a;Marchf8;Narf;Cat;Dcaf10;Sec14l1;Smox;Tnrc6b;Arl2bp;Tmcc2"
"HALLMARK_MITOTIC_SPINDLE",0.00425326448683857,0.0212663224341929,0.407017918923954,-0.315773181630334,-1.48418289117645,199,"Rasa2;Rasal2;Ckap5;Arhgap5;Ppp4r2;Tubgcp5;Arfgef1;Lats1;Smc1a;Rictor;Rock1;Ssh2;Rapgef6;Dock2;Dock4;Rasa1;Arhgef12;Tuba4a;Numa1;Nf1;Kif20b;Cttn;Sos1;Abi1;Tubd1;Smc3;Dst;Trio;Llgl1;Fbxo5;Rabgap1;Pcm1;Epb41l2;Wasf2;Stau1;Arap3;Fscn1;Kif3b;Rapgef5;Hook3;Tubgcp3;Myo9b;Lrpprc;Dync1h1;Wasl;Cdc27;Fgd4;Nck1;Cdc42;Ophn1;Cdc42ep2;Katnb1;Abl1;Arhgef7;Dynll2;Tsc1;Mapre1"
