"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",1.17538981699845e-11,5.5243321398927e-10,0.875325132024659,-0.530203113289012,-1.91820137319379,198,"Gbp4;Socs1;Rsad2;Oasl1;C1s1;Isg15;Cd40;Tnfaip6;Gbp3;Cmpk2;Helz2;Ifit2;Pfkp;Gbp8;Serping1;Isg20;Irf7;Upp1;Ccl5;Rtp4;Ifit3;Dhx58;Stat2;Fgl2;Nlrc5;Sectm1a;Zbp1;Tap1;Oas3;Ciita;Cxcl9;Oas2;Arl4a;Ifi44;Klrk1;Trafd1;Nmi;Adar;Xaf1;H2-Eb1;Mettl7b;Gpr18;Cmtr1;Cd74;Stat1;Trim25;Ifi44l;Ube2l6;H2-M2;Samhd1;Irf1;Vcam1;Herc6;Pml;Ifi35;Fpr1;Usp18;Il18bp;Tnfsf10;Trim14;Il2rb;Ifih1;Pla2g4a;Samd9l;Irf2;Itgb7;Xcl1;H2-DMa;Pnp2;Nod1;Trim21;Psmb9;Cd69;Tapbp;Znfx1;Batf2;Cxcl10;Rnf31;Ifit1bl1;Ripk2;Peli1;Parp12;Cd274;Psmb10;Rigi;Ido1;Rnf213;Cfb;Epsti1;Casp8"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1.06855401566088e-10,2.51110193680307e-09,0.839088935621274,-0.611073752533149,-2.13026122127025,96,"Rsad2;Oasl1;C1s1;Isg15;Gbp3;Cmpk2;Helz2;Ifit2;Isg20;Irf7;Sell;Rtp4;Ifit3;Dhx58;Stat2;Cnp;Gbp2;Tmem140;Tap1;Oas1g;Uba7;Ifi44;Trafd1;Mov10;Nmi;Adar;Oas1a;Ncoa7;Cmtr1;Cd74;Trim25;Ifi44l;Ube2l6;Irf1;Herc6;Ifi35;Usp18;Trim14;Ifih1;Samd9l;Irf2;Trim21;Psmb9;Batf2;Cxcl10;Rnf31;Tent5a;Ripk2;Parp12"
"HALLMARK_PROTEIN_SECRETION",1.22740796492098e-08,1.92293914504288e-07,0.747739663149885,0.450017050753771,2.27237544474547,94,"Copb1;Cope;Sec31a;Golga4;Rer1;Lamp2;Rab2a;Mapk1;Arfgef1;Zw10;Arcn1;Dnm1l;Ppt1;Ap1g1;Rab14;Rab22a;Gbf1;Scamp1;Stx7;Egfr;Atp7a;Stx12;Cltc;Stam;Atp6v1h;Lman1;Vps4b;Vamp3;Tmed2;Dop1a;Dst;Adam10;Arfgap3;Sec24d;Tsg101;Vamp4;Gnas;Vps45;Clcn3;Tmed10;Gosr2;Snap23"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.000149252135165397,0.00175371258819342,0.518848077743792,-0.421823536623285,-1.52603524943789,195,"Mast4;Fdft1;Sfn;Tsku;Celsr1;Dlc1;Nxt1;Fasn;Tiam1;Tob1;Wfs1;Slc16a1;Rasgrp1;Pmaip1;Aqp3;Mill2;Ppif;Krt8;Slc2a1;Anxa9;Med13l;Itpk1;Olfm1;Ret;Flnb;Elf3;Gla;Lad1;Abhd2;Slc37a1;Il17rb;Cyp26b1;Krt18;Pdzk1;Amfr;Cbfa2t3;Ncor2;Nbl1;Rara;Bcl2;Egr3;Gab2;Ttc39a;Slc7a5;Slc7a2;Xbp1;Tgm2;Esrp2;Tmprss3;Tff3;Sox3;Myb;Calcr;Blvrb;Ablim1;Fhl2;Pex11a;Plaat3;Mreg;Clic3;Fcmr;Scnn1a;Ptges;Rhod;Klf4;Cish;Siah2;Tff1;Stc2"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.00443784915564258,0.0417157820630403,0.407017918923954,-0.378106215273881,-1.37020819560513,201,"Fdft1;Sfn;Nxt1;Tiam1;Tob1;Pkp3;Wfs1;Rnaseh2a;Isg20;Slc16a1;Hspa4l;Mill2;Ppif;Unc13b;Lsr;Anxa9;Itpk1;Olfm1;Ret;Flnb;Gper1;Gla;Mapk13;Xrcc3;Dusp2;Abhd2;Il17rb;Cyp26b1;Serpina3n;Serpina3k;Pdzk1;Amfr;Scube2;Ncor2;Nbl1;Bcl2;Egr3;Slc7a5;Ascl1;Cav1;Tspan13;Atp2b4;Agr2;Xbp1;Cyp4f15;Tmprss3;Tfpi2;Tff3;Sox3;Myb;Calcr;Blvrb;Plaat3;Gale;Plac1;Ass1;Cdh1;Clic3;Scnn1a;Ptges;Ckb;Klf4;Pdcd4;Etfb;Serpina5;Cish;Mocs2;Siah2;Tff1;Gins2"
"HALLMARK_ALLOGRAFT_REJECTION",0.0107291359712744,0.0840448984416493,0.380730400722792,-0.375370890109544,-1.35634715975006,191,"Nos2;Cxcl13;Il12a;Itk;Socs1;Zap70;Ccnd2;Cd40;Inhba;Fasl;Cd3e;Cd3g;Il12rb1;Irf7;Cd79a;Ccl5;Gbp2;Tap1;Trat1;Cd96;Cxcl9;Cd2;Dyrk3;Tgfb2;Ltb;Lck;Sit1;Elane;Cfp;Cd74;Stat1;H2-Ob;Ccl11;Cd7;Il2rb;Rars;H2-DMa;Mbl2;Timp1;Ccl22;Il27ra;Cdkn2a;Tapbp;Cd247;Cd3d;Ly75;Ripk2;C2;Tap2;Psmb10;Krt1;Il13"
"HALLMARK_E2F_TARGETS",0.0125423830018831,0.0842131430126437,0.380730400722792,-0.372174543457403,-1.3462257171866,197,"Tk1;Bub1b;Hmgb3;Plk1;Wdr90;Ung;Spc25;Nop56;Rnaseh2a;Nasp;Melk;Rad51c;Pcna;Cenpm;Mad2l1;Mybl2;Cdkn3;Pnn;Slbp;H2ax;Ddx39a;Kif4;Orc6;Chek1;Aurkb;Pan2;Srsf2;Dck;Tbrg4;Mcm5;Tcf19;Spc24;Stmn1;Srsf1;Mcm7;Depdc1a;Pop7;Racgap1;Jpt1;Lmnb1;Ubr7;Cdkn1b;Rrm2;Mxd3;Kif18b;Ak2;Cdkn2a;Cks1b;Cbx5;Wee1;Aurka;Timeless;Gins3;Tacc3;Tra2b;Trip13;Nup107;Asf1b;Prps1;Pttg1;Pold1;Phf5a;Pole;Tipin;Dlgap5;Kif2c;Cdkn1a;Ube2s;Kif22;Brms1l;Mlh1;Pole4;Pold2;Anp32e;Hnrnpd;Trp53;Smc4;Ccp110;Shmt1;Brca2;Mcm2"
"HALLMARK_ANDROGEN_RESPONSE",0.0297962543397172,0.175052994245838,0.352487857583619,0.24729224787726,1.29632284444926,107,"Fkbp5;B4galt1;Itgav;Zmiz1;Elk4;Pias1;Sms;Bmpr1b;Tnfaip8;Sgk1;Xrcc6;Selenop;Ncoa4;Mertk;Mak;Srp19;Pmepa1;B2m;Scd2;Ank;Plpp1;Cdk6;Ell2;Inpp4b;Gpd1l;Lman1;Tmem50a;Elovl5;Spcs3;Lifr;Sec24d;Appbp2"
"HALLMARK_KRAS_SIGNALING_DN",0.0381526104417671,0.199241410084784,0.231126709673834,-0.35378953199377,-1.27990794687872,195,"Edn2;Ryr1;Rsad2;Sstr4;Slc5a5;Ypel1;Hsd11b2;Synpo;Mefv;Tnni3;Coq8a;Atp4a;Cdh16;Gdnf;Myo15a;Slc12a3;Tgfb2;Oxt;Mthfr;Tgm1;Fgf16;Ifi44l;Nudt10;Scn10a;Sphk2;Slc6a3;Sprr3;Igfbp2;Cacng1;Ckm;Lypd3;Kcnn1;Nr6a1;Egf;P2rx6;Entpd7;Zfp112;Cpa2;Cyp11b2;Gpr3;Fgf22"
"HALLMARK_HYPOXIA",0.0672690763052209,0.294633901705115,0.170932335370056,-0.342378061984833,-1.23844620796114,197,"Edn2;Csrp2;Ackr3;P4ha2;Chst3;Tgfb3;Pfkp;Isg20;Ldhc;Ndrg1;Ddit3;Klf7;Slc2a1;S100a4;Ppfia4;Sdc3;Sdc2;Cdkn1c;Stbd1;Wsb1;Jmjd6;Gapdhs;Col5a1;Foxo3;Cited2;Bcl2;Adm;Cdkn1b;Prdx5;Pgm1;Cav1;Gpc4;Tgm2;Srpx;Ilvbl;Pnrc1;Dcn;Ppp1r15a;Irs2;Vhl;Slc2a3;Plac8;Pygm;Mif;Eno3;Maff;Ext1;Brs3;Gpc1;Pgam2;Hk1;Slc37a4;Cdkn1a;Cp;Siah2;Cavin1;Gys1;Stc2;Pgf;Pim1;Rragd;Tgfbi;Jun;Sdc4;Errfi1;Fam162a;Aldob;Akap12;Atf3;Ccn5;Plin2;Hspa5;Nagk;Hk2;Igfbp3;Fbp1;Nfil3;Ddit4;Klf6;Adora2b;Myh9;Anxa2;Ldha;Efna1;Angptl4"
"HALLMARK_INFLAMMATORY_RESPONSE",0.073293172690763,0.294633901705115,0.163180127180689,-0.340951886256123,-1.23265441986574,199,"Cd40;Tnfaip6;Inhba;Mefv;Rasgrp1;Il1r1;Irf7;Ccl5;Sell;Rtp4;Cxcl5;Hrh1;Aqp9;Cxcl9;Fzd5;Slc28a2;Nod2;Mxd1;Lck;Tnfsf15;Nmi;Lta;Marco;Tacr1;Tnfrsf9;Irf1;Oprk1;Met;Fpr1;Ffar2;Ccr7;Tnfsf10;Scarf1;Il2rb;Ccl17;Ldlr;Aplnr;Timp1;Adm;Cd55;Ccl22;Lpar1;Slc7a2;Cd69;Tapbp;Cxcl10;Ripk2;Kcna3;Il18r1"
"HALLMARK_G2M_CHECKPOINT",0.0752256770310933,0.294633901705115,0.160801401070022,-0.340873120313094,-1.23191541909667,193,"Rad54l;Hmgb3;Plk1;Knl1;Ccnf;Uck2;Chaf1a;Nasp;Tent4a;Mad2l1;Pura;Exo1;Sfpq;Efna5;Troap;Mybl2;Cdkn3;H2ax;Ddx39a;Kif4;Slc38a1;Hoxc10;Odc1;Orc6;Rbm14;Chek1;Aurkb;Srsf2;Pml;Kif15;G3bp1;Mcm5;Stmn1;Srsf1;Racgap1;Jpt1;Tpx2;Ttk;Lmnb1;Slc7a5;Cdkn1b;Egf;Cks1b;H2az2;Srsf10;Cenpa;Aurka;Tacc3;Tra2b;Nsd2;Pttg1;Sqle;Pole;Hnrnpu;Nek2;Dtymk;Kif2c;Ube2s;Kif22;Ube2c;Gins2;Hnrnpd;Cdc45;Smc4;Brca2;Mcm2;Cdc7;Tle3;Marcks;Pbk;Tmpo;Pola2;Ezh2;Kif11;Mnat1;Tgfb1;Lig3;Chmp1a;E2f2;Espl1;Ndc80;Kif23;Notch2"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.107064017660044,0.370768789443488,0.139599673451922,-0.421008505871474,-1.32091851602039,41,"Ccnd2;Fzd1;Jag2;Wnt6;Hdac5;Hey1;Hey2;Kat2a;Ncor2;Dvl2;Fzd8;Wnt5b;Skp2;Tcf7;Trp53;Nkd1;Lef1;Axin2;Psen2"
"HALLMARK_MYOGENESIS",0.110441767068273,0.370768789443488,0.130105630751129,-0.331661610419665,-1.19906698412128,199,"Tagln;Ryr1;Agrn;Tpm2;Ocel1;Tnnt3;Chrnb1;Spdef;Hdac5;Pde4dip;Casq2;Ppfia4;Dapk2;Ctf1;Actn2;Smtn;Myom2;Bdkrb2;Myh2;Igfbp7;Ptgis;Cacng1;Sh2b1;Acsl1;Fdps;Ckm;Cd36;Gja5;Aplnr;Mybph;Cacna1h;Ankrd2;Syngr2;Tnni1;Slc6a8;Myh4;Dmpk;Casq1;Apod;Hrc;Mylpf;Ablim1;Wwtr1;Pygm;Eno3;Cfd;Kifc3;Sptan1;Des;Ckb;Tcap;Cox7a1;Pick1;Pgam2;Atp2a1;Ephb3;Cdkn1a;Nqo1;Stc2;Ckmt2;Myl4;Itga7;Mb;Sod3;Myo1c;Hspb2;Ache;Pcx;Fst;Psen2;Pvalb;Sgcd;Tgfb1"
"HALLMARK_IL2_STAT5_SIGNALING",0.127382146439318,0.397883597883598,0.119887845115423,-0.326284076373827,-1.18045056255711,198,"Socs1;Traf1;Ccnd2;Adam19;Irf6;Tiam1;Gbp3;Uck2;Batf3;Sell;Tnfsf11;Fgl2;Tnfrsf8;Rabgap1l;Ndrg1;Etv4;Plec;Itgae;Arl4a;Fah;Ltb;Mxd1;Gabarapl1;Ager;Flt3l;Odc1;Tnfrsf9;Twsg1;Cdkn1c;Tnfrsf4;Il1r2;Tnfsf10;Il2rb;Socs2;Il3ra;Bcl2;Pnp2;Ccr4;Rnh1;Spred2;Xbp1;Tgm2;Syngr2;Cxcl10;Il18r1;Slc2a3;Ahnak;Swap70;Hopx;Eno3;Ahr;Il13"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.135449735449735,0.397883597883598,0.119348440591015,-0.365786391224289,-1.23450699494049,74,"Cyp51;Fdft1;Hsd17b7;Srebf2;Fasn;Stard4;Hmgcs1;Pmvk;Acat3;Mvk;Pcyt2;Chka;Tnfrsf12a;Fdps;Ldlr;Tm7sf2;Trib3;Pnrc1"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.154004106776181,0.425776059910617,0.108820126769161,-0.350911960639177,-1.21252810507224,86,"Cxcl13;Socs1;Il12rb1;Il1r1;Stat2;Cxcl9;Ltb;Csf2ra;Stat1;Irf1;Il17rb;Il1r2;Tnfrsf12a;Il3ra;Cd36;Acvrl1;Cxcl10;Inhbe;Il18r1;Crlf2;Reg1;Il9r;Il15ra;Pim1;Itga4;Pf4;Il4ra;Jun;Cd44;Irf9;Il2rg"
"HALLMARK_ANGIOGENESIS",0.167694086632846,0.43711688860706,0.249246554383295,0.27388029532249,1.17942728576858,35,"Spp1;Itgav;Olr1;Fstl1;Tnfrsf21;Nrp1;Lpl"
"HALLMARK_GLYCOLYSIS",0.176706827309237,0.43711688860706,0.0988903007520636,-0.317590140831571,-1.14819394343442,199,"P4ha2;Agrn;Tpst1;Pfkp;Hs6st2;Isg20;Nasp;Gal3st1;Ldhc;Dsc2;Spag4;Fbp2;Sdc1;Capn5;Vcan;Gpr87;B3gat3;Gmppb;Pygb;Ppfia4;Elf3;Sdc3;Sdc2;Chpf;Met;Rars;Chst4;Stmn1;Gapdhs;Depdc1a;Col5a1;Cited2;Cacna1h;Gpc4;Dcn;Tff3;Irs2;Cenpa;Aurka;Me2;Lct;Got2;Pgam1;Cldn3;Mif;Artn;Xylt2;Gale;Cldn9;Ext1;Prps1;Got1;Psmc4;Gpc1;Pgam2;Slc37a4;Cog2;Gys1;Ppp2cb;Stc2;Alg1"
"HALLMARK_SPERMATOGENESIS",0.234642497482377,0.529248974138754,0.0828962134571565,-0.31997258413698,-1.1376044058695,132,"Mlf1;Sirt1;Hspa2;H1f6;Rfc4;Elovl3;Coil;Tnni3;Hspa4l;Oaz3;Ldhc;Hspa1l;Arl4a;Cdkn3;Actl7b;Il13ra2;Dpep3;Chfr;Crisp2;Art3;Gapdhs;Gpr182;Ttk;Acrv1;Clvs1;Topbp1;Aurka;Cnih2;Cftr;Pomc;Tnp2;Hoxb1;Cct6b;Odf1;Nek2;Kif2c;Pdha2;Pebp1;Pgk2"
