"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",5.60603255201054e-18,2.80301627600527e-16,1.0959292864312,-0.561837152072232,-2.57449131615498,186,"Ndufa5;Ndufb1;Ndufa7;Atp5k;Cox7b;Cox8a;Atp5l;Fxn;Ndufa3;Ndufab1;Aco2;Atp5j;Cox7c;Ndufs3;Iscu;Timm8b;Ndufa2;Uqcrb;Ndufa6;Uqcrq;Cox5b;Atp5e;Ndufa1;Ndufb6;Polr2f;Cox17;Cox6c;Ndufa4;Atp5pb;Tomm70a;Uqcr11;Slc25a12;Atp5o;Alas1;Mpc1;Ndufs6;Vdac2;Ndufs7;Atp6v0e;Ndufb5;Atp6v1e1;Atp5g3;Dld;Hccs;Grpel1;Timm13;Etfa;Eci1;Atp6v1g1;Timm10;Cox6b1;Mtx2;Sdhb;Vdac3;Atp6v1c1;Cox5a;Mtrr;Bax;Sdha;Etfb;Atp6v1d;Uqcr10;Dlat;Ndufb7;Ndufc1;Fdx1;Por;Ndufc2;Prdx3;Suclg1;Nqo2;Atp6v1f;Slc25a5;Cyb5a;Atp5c1;Maob;Sdhd;Cox6a1;Ndufa8;Timm9;Uqcrfs1;Echs1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",1.01269957313962e-16,2.53174893284905e-15,1.05746357275086,-0.539845847856866,-2.48977604894379,198,"Ccl5;Cxcl9;Il18bp;H2-M2;Gbp8;Sspn;Nampt;Slamf7;Cxcl10;Serping1;Batf2;Klrk1;Casp1;Vamp5;Sectm1a;Cd38;Ptgs2;Plscr1;Cd274;Oasl1;Il2rb;Fgl2;Tnfaip6;Psme1;Vcam1;Psma2;Gbp4;Stat1;Vamp8;H2-D1;Isoc1;Zbp1;Ifi30;Isg15;Ptpn2;Cfb;Stat4;Sri;C1s1;Nlrc5;Il7;Bst2;Tap1;Psmb9;Psmb8;Epsti1;Ube2l6;Irf5;Trafd1;Ccl2;Hif1a;Cd69;Ifih1;Oas3;Il15ra;Rsad2;Upp1;Nfkb1;Pml;Ccl7;Psmb10;Ifit2;Mthfd2;Tnfsf10;Dhx58;Gbp9;Ifnar2;Cd74;Nod1;Stat2;Parp12;Lgals3bp;Arl4a;Ifi44;B2m;H2-DMa;H2-Eb1;Socs1;Gzma;Jak2;Tapbp;Helz2;Gpr18;Samhd1;Slc25a28;Nmi;Xaf1;Trim25;Lap3;Oas2;Pde4b;Ifi35;Pim1;Tnfaip2;Ciita;Cmtr1;Samd9l;Rnf213;H2-Aa;Irf7;Ly6e;Psma3;H2-Q7;Rtp4;Usp18;C1rb;Herc6;Ogfr;Cd86;Ifi27l2b"
"HALLMARK_MYC_TARGETS_V1",3.24522138769963e-11,5.40870231283271e-10,0.851339057116899,-0.493215710801762,-2.25648769420214,183,"U2af1;Erh;Psmc6;Ndufab1;Snrpd2;Snrpd1;Psmb3;Cdc45;Eif4e;Psma2;Psmd8;Tomm70a;Eif1ax;C1qbp;Tfdp1;Cct2;Srpk1;Psmd14;Pwp1;Nhp2;Gnl3;Srsf1;Pole3;Eprs;Rfc4;Pold2;Snrpg;Ube2l3;Snrpd3;Ranbp1;Vdac3;Npm1;Ssb;Cox5a;Ifrd1;Ywhaq;Stard7;Fbl;Vbp1;Hnrnpd;Cbx3;Hdgf;Dek;Tufm;Prdx3;Snrpa1;Eif4g2;Psmd1;Ptges3;Srsf2;Eif2s2;Etf1;Pa2g4;Ddx21;Hprt;Ctps;Cct5;Ran;Cct3;Ap3s1;Kars;Eef1b2;Acp1;Dhx15;Ssbp1;Lsm7;Hddc2;Fam120a;Ncbp2;Eif3b;Psma1;Hspd1;Mcm4;Hspe1;Psma4;Serbp1;Psmb2;Prdx4;Mcm2;Phb2;Cct4;Mcm6;Got2;Clns1a;Impdh2;H2az1;Snrpb2"
"HALLMARK_ALLOGRAFT_REJECTION",7.06403995930606e-10,8.83004994913258e-09,0.801215574617779,-0.470763156013771,-2.16039245238917,191,"Il12rb1;Ccl5;Il12b;Cxcl9;Cxcl13;Cd8b1;Cd3e;Il2ra;Ifng;Lck;Prf1;Il12a;Ly75;Tlr1;Cd79a;Cd40lg;Il2rb;Gzmb;Gpr65;Gbp2;Inhba;Ube2d1;Cd96;Cd3d;Stat1;Il2rg;Itgal;Cd2;Tpd52;Stat4;Il7;Cxcr3;Tap1;Cdkn2a;Tgfb2;Cd3g;H2-T23;Brca1;Ccl22;Ccl2;Hif1a;Itk;Degs1;Ltb;Npm1;Igsf6;Lif;Ccl7;Psmb10;Il9;Ifnar2;Cd74;Cd28;Nos2;Ccl19;Ccnd2;Ctss;B2m;H2-DMa;Cd47;Socs1;H2-Oa;Gzma;Jak2;Tapbp;C2;Tlr2;Cd247;Rars;Tap2;Prkcb;Ncf4;Sit1;H2-Aa;Irf7;Ncr1;Cd8a"
"HALLMARK_E2F_TARGETS",2.51249155225954e-09,2.51249155225954e-08,0.774939030136436,-0.451709934778252,-2.08156135696762,197,"Kif22;Naa38;Rad1;Diaph3;Melk;Asf1b;Suv39h1;Mms22l;Atad2;Prps1;Hells;Lyar;Ezh2;Aurkb;Bard1;Ube2t;Gins3;Rpa3;Hmmr;Stmn1;Dlgap5;Smc4;E2f8;Exosc8;Tk1;Pnn;Kif4;Cenpe;Ubr7;Shmt1;Spc24;Ipo7;Timeless;Lmnb1;Cdkn2a;Aurka;Hmgb3;Srsf1;Cks1b;Plk4;Brca1;Ak2;Pold2;Dck;Bub1b;Dnmt1;Nudt21;Pop7;Ranbp1;Tcf19;Top2a;Nup205;Mthfd2;Rad51ap1;Pole4;Rpa2;Hnrnpd;Pold3;Trip13;Dek;Tubb5;Rrm2;Phf5a;Tfrc;Mlh1;Srsf2;Ung;Pa2g4;Cdk1;Pola2;Ctps;Ran;Prim2;Cse1l;Rfc2;Lig1;Dscc1;Tacc3;Anp32e"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",7.47265474928181e-07,6.22721229106818e-06,0.659444398037935,-0.499667911745111,-2.10746357961505,96,"Cxcl10;Batf2;Casp1;Procr;Plscr1;Oasl1;Psme1;Gbp2;Ifi30;Isg15;Ncoa7;C1s1;Il7;Bst2;Tap1;Psmb9;Psmb8;Epsti1;Ube2l6;Trafd1;Ifih1;Rsad2;Ifit2;Dhx58;Cd74;Oas1a;Stat2;Parp12;Lgals3bp;Oas1g;Ifi44;B2m;Cd47;Helz2;Slc25a28;Nmi;Trim25;Lap3;Ifi35;Ccrl2;Cnp;Cmtr1;Samd9l;Irf7;Ly6e;Psma3;H2-Q7;Rtp4;Usp18;Herc6;Ogfr;Ifi27l2b"
"HALLMARK_ADIPOGENESIS",1.82927840598609e-06,1.30662743284721e-05,0.643551836150722,-0.402317663553399,-1.85395280732395,197,"Sparcl1;Chchd10;Ndufa5;Fabp4;Sspn;Reep6;Cox7b;Cox8a;Tst;Acadl;Retn;Sod1;Ndufab1;Aco2;Dnajc15;Gphn;Ndufs3;Qdpr;Coq5;Dgat1;Uqcrq;Tank;Adcy6;Riok3;Uqcr11;Atp5o;Cmpk1;Phldb1;Aldoa;Pqlc3;Pfkl;Gpd2;Mtch2;Angptl4;Dld;Grpel1;Map4k3;Slc25a10;Sncg;Ak2;Rmdn3;Ghitm;Sdhb;Coq3;Cd302;Etfb;Vegfb;Chuk;Me1;Uqcr10;Dlat;Ndufb7;Esyt1;C3;Plin2;Arl4a;Por;Prdx3;Suclg1;Rnf11;Angpt1;Tkt;Slc27a1;Cox6a1"
"HALLMARK_COMPLEMENT",1.04160947567645e-05,6.13138644102871e-05,0.593325476396405,-0.392903899177733,-1.80271876790834,192,"Mt3;Clu;Ccl5;Hpcal4;Itih1;Gnb4;Car2;Gca;Lck;Serping1;Cpm;Pla2g7;Casp1;Csrp1;Gngt2;Plscr1;Cd40lg;Msrb1;Gzmb;Cr2;Rnf4;Mmp8;Cpq;Usp15;Cblb;Mmp14;Fcnb;F7;Fyn;Cfb;C1s1;Gpd2;Psmb9;Gata3;Kynu;Klk1;Ltf;Gzmk;Cd55;Grb2;Me1;Cebpb;Atox1;Scg3;C3;Calm1;Usp14;Fdx1;Ctss;Gzma;Jak2;Rabif;Lipa;C2;Calm3;Fcer1g;Src;Lap3;Anxa5;Pim1;Lgals3;Serpina1b;Lta4h;Plaur;Irf7;Cd36;Lamp2;Ctsc;C1rb;Gp1ba;Stx4a;Gnai2;Dgkg;Vcpip1;Plg"
"HALLMARK_MTORC1_SIGNALING",1.10364955938517e-05,6.13138644102871e-05,0.593325476396405,-0.387725677472241,-1.78819585102531,198,"Prdx1;Tuba4a;Igfbp5;Cacybp;Nampt;Fads2;Psmc6;Ero1a;Ppa1;Psme3;Ccng1;Fgl2;Qdpr;Pno1;Gsr;Ifi30;Psmd12;Psmd14;Nufip1;Aldoa;Polr3g;Pfkl;Tcea1;Aurka;Eprs;Ak4;Scd1;Got1;Abcf2;Nup205;Ifrd1;Atp6v1d;Me1;Mthfd2;Slc2a1;Bub1;Gsk3b;Tes;Idi1;Rrm2;Tfrc;Cct6a;Ung;Eif2s2;Ufm1;Etf1;Srd5a1;Txnrd1;Pdap1;Glrx;Hprt;Psmg1;Atp5g1;Cxcr4;Psmb5;Lta4h;Slc7a11;Skap2;Slc37a4;Pgm1;Pitpnb;Hspd1;Psma3;Ctsc;Mcm4;Hspe1;Elovl5;Psma4;Psph;Stard4;Hk2;Mcm2;Wars1;Gmps;Immt;Hspa5;Xbp1;Actr3;Nfil3;Gtf2h1;Cyb5b"
"HALLMARK_G2M_CHECKPOINT",0.00011983604542269,0.000599180227113448,0.538434096309916,-0.361625295254059,-1.65989622713011,193,"Kif5b;Kif22;Troap;Chaf1a;Kmt5a;Kif15;Suv39h1;Nup98;Snrpd1;Ezh2;Atf5;Aurkb;Bard1;Cdc6;Cdc45;Hmmr;Stmn1;Smc4;Traip;Pbk;Kif4;Cenpe;Tfdp1;Nek2;E2f2;Tpx2;Map3k20;Ube2c;Lmnb1;Aurka;Hmgb3;Srsf1;Cdc27;Cks1b;Plk4;Slc7a1;Hif1a;Smc2;Nup50;Top2a;Pml;Rad54l;Rpa2;Hnrnpd;Bub1;Ttk;Pafah1b1;E2f1;Gins2;Srsf2;Exo1;Cdk1;Srsf10;Cenpf;Pola2;Prim2;Ewsr1;Cul5;Tacc3;Dbf4;Ccnt1;Birc5;Efna5;Hira;Ythdc1;Chmp1a;Dr1;Katna1;Kif11;Mcm2;Tmpo;Incenp;Mt2;Cdkn1b;Mcm6;Top1"
