"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",8.11953241651816e-29,4.05976620825908e-27,1.39518713415833,0.62375404725455,2.98858330665477,197,"Stmn1;Ccnb2;Birc5;Cdca8;Cbx5;Diaph3;Cdca3;Hmmr;Tipin;Nup107;Ncapd2;Mcm2;Dlgap5;Espl1;Mki67;Plk1;Chek1;Cdc20;Mcm5;Tubg1;Tacc3;Racgap1;Ccne1;Rrm2;Rad51c;Orc6;Melk;Mcm4;Pole;Hells;Dut;Ctcf;E2f8;Spc24;Cenpm;Brca1;Top2a;Ezh2;Plk4;Trip13;Cenpe;Ran;Rpa2;Brca2;Tfrc;Gins1;Ung;Cdkn3;Cks1b;Mad2l1;Kif18b;Mybl2;Ube2t;Mcm6;Psip1;Psmc3ip;Cks2;Rbbp7;Dscc1;Ctps;Msh2;Myc;Xrcc6;Rad51ap1;Ddx39a;Kif22;Smc1a;Depdc1a;Orc2;Aurkb;Rpa1;Smc3;Hus1;Donson;Bard1;Atad2;Nbn;Pa2g4;Kif4;Lbr;Xpo1;Wee1;Eif2s1;Lig1;Asf1b;Nme1;Shmt1;Tbrg4;Kif2c;Trp53;Ing3;Tk1;Rad50;Rad1;Pold2;H2az1;Smc6;Aurka;Eed;Pds5b;Stag1;Prim2;Rpa3;Cdk1;Rad21;Asf1a;Rnaseh2a;Rfc1;Mms22l;Srsf2;Ranbp1;Ccp110;Mlh1;Mxd3"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",1.40586718828516e-25,3.5146679707129e-24,1.31101476274061,-0.627718957858559,-2.7959224015392,198,"Cd274;Csf2rb2;Tnfaip2;Slamf7;Ccl5;H2-D1;Cfb;Itgb7;Jak2;Tnfaip6;Lgals3bp;Il15ra;Helz2;Oas3;Tap1;Gbp8;Fgl2;Oasl1;Cxcl9;Psmb9;Ciita;Il4ra;Trim25;Pim1;H2-Eb1;Il18bp;Stat4;Nlrc5;Cdkn1a;Cd74;Pfkp;Irf7;Il2rb;Stat1;Isg15;Rbck1;Cmpk2;Batf2;Nampt;Tapbp;H2-DMa;Rsad2;Trafd1;Socs1;Cd69;Zbp1;Bst2;Nfkb1;Ifi44;Gbp4;Ptpn2;Psmb8;Ube2l6;Cmtr1;Psmb10;Stat2;Ptgs2;Ly6e;C1s1;H2-M3;Dhx58;Adar;Plscr1;Casp7;Xcl1;Gzma;Sectm1a;H2-M2;Samhd1;Ido1;Serping1;Epsti1;Ogfr;Vamp8;Irf8;H2-Aa;Arl4a;Nod1;Pml;Xaf1;Mvp;Ifi30;Ifi35;Pde4b;Klrk1;Usp18;Vamp5;Ifitm2;Psme1;Oas2;Gch1;Ifit2;Trim21;Nmi;Btg1;Socs3;Cxcl10;Rtp4;Ifih1;C1rb;Myd88;Gbp3"
"HALLMARK_G2M_CHECKPOINT",2.19975095915203e-21,3.66625159858672e-20,1.19534448258848,0.574931434611012,2.75233020159163,193,"Stmn1;Ccnb2;Birc5;Stil;Ccna2;Hmmr;Mcm2;Espl1;Mki67;Plk1;Chek1;Cdc20;Mcm5;Polq;Dkc1;Tacc3;Racgap1;Knl1;Orc6;Orc5;Kif15;Pole;Bub1;Prc1;Ctcf;Mt2;Nek2;Ube2c;Exo1;Top2a;Ncl;Ezh2;Plk4;Smc2;Cenpe;Dtymk;Slc12a2;Rpa2;Troap;Cenpf;Brca2;Kif23;Ccnd1;Sap30;Cdkn3;Cks1b;Mad2l1;Chaf1a;Nusap1;Cdc6;Mybl2;Kif11;Mcm6;Cdc7;Ttk;Pbk;Cks2;Hira;Fbxo5;Myc;Cdc45;Ndc80;Ddx39a;Kif22;Smc1a;Aurkb;Slc7a5;Hus1;Mapk14;Bard1;Fancc;Rasal2;Kif4;Kpnb1;Tpx2;Prmt5;Lbr;Wrn;Xpo1;Hspa8;Rad54l;Kif20b;Kif2c;Cul1;Mtf2;Hoxc10;Casp8ap2;Tnpo2;H2az1;Ewsr1;Sqle;Aurka;Pds5b;Stag1;E2f3;Prim2;Cdk1;Rad21;Atrx"
"HALLMARK_INFLAMMATORY_RESPONSE",2.59760913656844e-16,3.24701142071055e-15,1.03769615548758,-0.547345760882461,-2.43537282386015,199,"Sgms2;Slc7a2;Chst2;Ptgir;Pdpn;Ccl5;Plaur;Abca1;Ptger2;Mefv;Met;Inhba;P2ry2;Tnfaip6;Ccr7;Il15ra;Tnfrsf1b;P2rx4;Slc31a2;Cxcl9;Kcna3;Tnfrsf9;Ccl17;Tnfsf15;Il12b;Il4ra;Axl;Pvr;Ebi3;Cdkn1a;Irf7;Il2rb;Raf1;Gpr132;Mxd1;Adora2b;Nod2;Sema4d;Nampt;Cybb;Cd14;Tapbp;Cd69;Edn1;Timp1;Bst2;Nfkb1;Pik3r5;Itga5;Olr1;Ccl22;Acvr1b;Irak2;Ly6e;Rasgrp1;Scarf1;Ffar2;Aqp9;Il10;Il1b;Mmp14;Slc28a2;Tlr2;Emp3;Pde4b;Ahr;Lck;Gch1;Sell;Ccrl2;Nmi;Hpn;Sphk1;Best1;Cxcl10;Adrm1;Rtp4;Il18r1;Ldlr;Gnai3;Rhog;Cd70;Slc31a1;Ptpre;Cd40;C5ar1;Aplnr;Fzd5;Slc7a1;Ptger4;Serpine1"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",5.0649411836408e-12,5.0649411836408e-11,0.887074988399873,-0.616637381646995,-2.46670724510034,96,"Procr;Gbp2;Lgals3bp;Helz2;Tap1;Oasl1;Psmb9;Il4ra;Trim25;Cd74;Irf7;Isg15;Ncoa7;Cmpk2;Batf2;Oas1g;Rsad2;Trafd1;Oas1a;Bst2;Ifi44;Psmb8;Ube2l6;Cmtr1;Stat2;Ly6e;C1s1;Dhx58;Adar;Mov10;Plscr1;Epsti1;Ogfr;Mvb12a;Uba7;Ifi30;Tmem140;Ifi35;Usp18;Ifitm2;Psme1;Ifit2;Sell;Ccrl2;Trim21;Nmi;Cxcl10;Rtp4;Ifih1;Gbp3;Cd47"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",2.07826182581897e-11,1.73188485484914e-10,0.863415391606693,-0.499356917518808,-2.22402765083167,197,"Vegfa;Trip10;Dram1;Tnfaip2;Ccl5;Plaur;Abca1;Sik1;B4galt5;Bhlhe40;Inhba;Nfil3;Plpp3;Cebpb;Litaf;Relb;Tnfaip6;Il15ra;Cd44;Dusp5;Tap1;Tnip1;Tnfrsf9;Il12b;Kynu;Ehd1;Stat5a;Cdkn1a;Jag1;Ninj1;Mxd1;Slc2a6;Nampt;Nfkb2;Traf1;Cd69;Kdm6b;Edn1;Nfkb1;Fosl2;Fut4;Olr1;Cflar;Ptgs2;Mcl1;Cxcl3;Nr4a2;Bcl3;Tnip2;Gadd45a;Il1b;Ets2;Zc3h12a;Nfat5;Tlr2;Pde4b;Phlda2;G0s2;Nr4a3;Ptx3;Klf4;Sqstm1;Gch1;Ifit2;Nfe2l2;Ccrl2;Sphk1;Btg1;Socs3;Cxcl10;Map2k3;Ifih1;Ldlr;Nfkbie;Trib1;Clcf1;Sdc4;Dusp2;Ptpre;Sat1;Ier5;Ptger4;Serpine1;Klf9;Nr4a1;Zfp36;Il7r"
"HALLMARK_COMPLEMENT",5.63110951258642e-11,4.02222108041887e-10,0.851339057116899,-0.495520096311139,-2.1980649686028,192,"F10;F7;Gca;Ccl5;Plaur;C3;Pla2g7;Cfb;Cebpb;Jak2;Mmp8;Src;Msrb1;Dusp5;Cpq;Psmb9;F5;Pim1;Ctss;Fcer1g;Kynu;Gnb4;Ehd1;Irf7;Gpd2;Raf1;Ctsd;Fn1;Ppp4c;Anxa5;Timp1;Gngt2;Pik3r5;Grb2;Olr1;Atox1;Fcnb;C1s1;Rasgrp1;C1qc;Stx4a;Gnai2;Ctsb;Plscr1;C2;Cblb;Casp7;Cxcl3;Gzma;Lgals3;Dpp4;Gzmk;Serping1;Rnf4;S100a13;Mmp14;Lrp1;Pfn1;Prkcd;Lipa;Klk1;Lck;Ltf;Rce1;Timp2"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",1.72462649174463e-10,1.07789155734039e-09,0.826657301178302,-0.611643630573728,-2.40970701026624,86,"Csf2rb2;Il3ra;Il12rb1;Cxcl13;Il2rg;Il15ra;Cd44;Tnfrsf1b;Cxcl9;Crlf2;Itga4;Il4ra;Pim1;Csf2ra;Ebi3;Stat1;Tgfb1;Cd14;Socs1;Acvrl1;Il2ra;Ptpn2;Pik3r5;Grb2;Stat2;Acvr1b;Cxcl3;Ltb;Tnfrsf12a;Il1b;Cbl;Dntt;Tlr2;Bak1;Socs3;Cxcl10;Il18r1;Il17ra;Myd88;Il1r2;Hmox1"
"HALLMARK_ALLOGRAFT_REJECTION",1.99742026517592e-09,1.10967792509773e-08,0.774939030136436,-0.477102865199614,-2.11170303302275,191,"Ccl5;Ly75;Fgr;Il12rb1;Inhba;Cxcl13;Itgal;Il2rg;Jak2;Nos2;Gbp2;Tap1;Cxcl9;Il12b;Cd8b1;Srgn;Il4ra;Stat4;Ctss;Itgb2;Cd74;Irf7;Il2rb;Stat1;Cfp;Npm1;Tgfb1;Map4k1;Tapbp;H2-DMa;H2-DMb1;Socs1;H2-T23;Tap2;Fcgr2b;Timp1;Il2ra;Ikbkb;Ifng;Psmb10;Ccl22;Tpd52;H2-M3;C2;Gzma;Ltb;Bcl3;Cd3e;Il10;Irf8;H2-Aa;Il1b;Gpr65;Traf2;Cd2;Cd8a;Tlr2;Capg;Trat1;Ncr1;Il12a;Cd247;Ccnd2;Lck;Dyrk3;H2-Ob;H2-Oa;Ccr2;Itk;Cd47;Cd7;Sit1;Ncf4;Ccl19;B2m;Elf4;Akt1"
"HALLMARK_COAGULATION",7.91197462764639e-08,3.66634188216354e-07,0.704975715167238,-0.487010638354718,-2.06673887528109,138,"Apoc2;F10;Gda;Thbs1;S100a1;Ctsk;C3;Mmp2;Furin;Sh2b2;Cfb;Mmp8;Cpq;P2ry1;Anxa1;Sirt2;Htra1;Fn1;Thbd;Timp1;Olr1;C1s1;Ctsb;C2;Dpp4;Serping1;S100a13;Vwf;Mmp14;Lrp1"
