"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.10741841003163,0.721,0.416,0,"0","Sparc"
0,1.8829378252795,0.662,0.367,0,"0","Il1a"
0,1.52300681618729,0.649,0.377,0,"0","Ccl4"
0,1.46710882222624,0.707,0.464,0,"0","Ccl3"
0,1.31449424884281,0.736,0.512,0,"0","Egr1"
0,1.6658051500356,0.526,0.309,0,"0","Cd83"
0,0.860622281166819,0.615,0.412,0,"0","Cd81"
0,1.96628683813659,0.42,0.217,0,"0","Icam1"
0,1.52356617522486,0.504,0.309,0,"0","Kdm6b"
0,1.28903803050713,0.437,0.254,0,"0","Herpud1"
0,1.89654370884208,0.325,0.151,0,"0","Tnf"
0,1.62887495982898,0.289,0.123,0,"0","Adamts1"
0,0.617563536755218,0.9,0.744,0,"0","Hexb"
0,1.427100117379,0.35,0.195,0,"0","Pmp22"
0,1.29677823370459,0.387,0.247,0,"0","Pfkfb3"
0,1.34807584536717,0.409,0.269,0,"0","Gadd45b"
0,1.13161343396625,0.483,0.349,0,"0","Nfkbiz"
0,1.18948593079067,0.469,0.342,0,"0","Skil"
0,1.08113909917524,0.519,0.397,0,"0","Ifrd1"
0,1.38419837725703,0.396,0.275,0,"0","Jmjd1c"
0,1.05850370703717,0.431,0.323,0,"0","Ccnl1"
0,1.08858919525325,0.324,0.22,0,"0","Epb41l2"
0,1.45817105681126,0.271,0.17,0,"0","Bach1"
0,1.28926069343905,0.291,0.192,0,"0","Nfkbib"
0,1.38722818682679,0.252,0.154,0,"0","Tbc1d10a"
0,1.1382523880046,0.304,0.216,0,"0","Nfkbia"
0,0.864044032849203,0.675,0.59,0,"0","Id2"
0,0.736694732880939,0.45,0.367,0,"0","Kctd12"
0,0.808889933852642,0.413,0.338,0,"0","Smap2"
0,1.09256247630832,0.311,0.237,0,"0","Trib1"
0,0.305007497869821,0.35,0.418,0,"0","Zeb2"
0,0.614101287605007,0.658,0.591,0,"0","Csf1r"
0,0.416045756449138,0.21,0.277,0,"0","Fnip2"
