"cluster","pathway","NES","pval","padj"
"Angiogenic TAMs","GSE25123_CTRL_VS_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_UP",2.66343597908343,5.41917662068527e-17,2.69929187476333e-13
"Angiogenic TAMs","KAECH_NAIVE_VS_DAY8_EFF_CD8_TCELL_DN",2.47002566857497,1.35479384060034e-12,3.37411406001516e-09
"Angiogenic TAMs","KAECH_DAY8_EFF_VS_DAY15_EFF_CD8_TCELL_UP",2.37306770736679,4.88465045897232e-11,4.86608878722823e-08
"Angiogenic TAMs","KAECH_NAIVE_VS_DAY15_EFF_CD8_TCELL_DN",2.34031271595183,1.70615986981311e-10,1.06229778894238e-07
"Angiogenic TAMs","KAECH_NAIVE_VS_MEMORY_CD8_TCELL_DN",2.31770865013969,2.07618664539132e-10,1.14905396452157e-07
"Angiogenic TAMs","GSE21360_PRIMARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP",2.29774975655721,2.95089085536196e-11,3.67459683763948e-08
"Angiogenic TAMs","GSE13522_WT_VS_IFNAR_KO_SKIN_DN",2.28194589559087,2.50202198659016e-09,1.03854762626713e-06
"Angiogenic TAMs","GSE9650_NAIVE_VS_MEMORY_CD8_TCELL_DN",2.26064873593094,1.74925592919951e-09,7.92094889394798e-07
"Angiogenic TAMs","GSE40068_CXCR5NEG_BCL6NEG_CD4_TCELL_VS_CXCR5POS_BCL6NEG_TFH_DN",2.24316393762444,4.53453927049746e-09,1.71410381524497e-06
"Angiogenic TAMs","GSE34156_NOD2_LIGAND_VS_TLR1_TLR2_LIGAND_6H_TREATED_MONOCYTE_DN",2.24137527332132,1.46525359460466e-10,1.04263259353226e-07
"Angiogenic TAMs","GSE17580_UNINFECTED_VS_S_MANSONI_INF_TREG_DN",2.23628553530191,5.73839890404509e-09,1.90553099606991e-06
"Angiogenic TAMs","GSE360_L_DONOVANI_VS_L_MAJOR_MAC_DN",2.22974436169809,1.92324293155291e-08,4.78983652103253e-06
"Angiogenic TAMs","GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_DN",2.22938132334426,4.81779831628781e-09,1.71410381524497e-06
"Angiogenic TAMs","GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_DN",2.22276400070661,1.20725285978371e-09,6.01332649458264e-07
"Angiogenic TAMs","GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_DN",2.20066568352469,9.70706898637611e-09,2.68616170117441e-06
"Angiogenic TAMs","FLETCHER_PBMC_BCG_10W_INFANT_BCG_STIMULATED_VS_UNSTIMULATED_10W_DN",2.19495390910712,8.56388688421989e-11,7.10945342838321e-08
"Angiogenic TAMs","GSE7852_LN_VS_FAT_TCONV_DN",2.18704462184966,4.41753624901803e-08,8.80149922254353e-06
"Angiogenic TAMs","GSE22886_DAY0_VS_DAY1_MONOCYTE_IN_CULTURE_DN",2.1862823516149,6.88871703677246e-09,2.14454372251023e-06
"Angiogenic TAMs","GSE36392_TYPE_2_MYELOID_VS_MAC_IL25_TREATED_LUNG_UP",2.17554916517543,2.0683473030938e-06,0.000156097544192579
"Angiogenic TAMs","GSE18893_TCONV_VS_TREG_24H_CULTURE_UP",2.16860777174733,2.0608245610315e-08,4.88807958976092e-06
"Angiogenic TAMs","GSE12392_CD8A_POS_VS_NEG_SPLEEN_DC_UP",2.1685691372321,1.91217521081796e-08,4.78983652103253e-06
"Angiogenic TAMs","GSE11961_UNSTIM_VS_ANTI_IGM_AND_CD40_STIM_6H_FOLLICULAR_BCELL_UP",2.16815113911885,1.81651924492651e-07,2.58606771947993e-05
"Angiogenic TAMs","GSE15330_LYMPHOID_MULTIPOTENT_VS_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_IKAROS_KO_DN",2.15956644008641,8.39695415338748e-09,2.46030756694253e-06
