cell_group	parameter	factor	c_lower	c_effect	c_upper	c_pH0	c_FDR	c_rhat	c_ess_bulk	c_ess_tail	v_lower	v_effect	v_upper	v_pH0	v_FDR	v_rhat	v_ess_bulk	v_ess_tail
Angiogenic TAMs	(Intercept)	NA	0.528329221025	0.7504340345	0.986721976525	0	0	1.00427377572097	1177.53389924706	3183.83174000945	-4.9247448725	-4.36673961	-3.837266488	0	0	1.01257092231313	173.661548718271	524.459994929034
Angiogenic TAMs	conditionB7H3	condition	-0.0689769687675	0.2606768965	0.58208149995	0.17375	0.06175	1.00034728504188	1861.55823825511	3400.15685271676	NA	NA	NA	NA	NA	NA	NA	NA
Angiogenic TAMs	conditionCD28-41BB	condition	-0.48108319445	-0.147829005	0.18700333365	0.38925	0.184888888888889	1.00076264983163	2148.21265056343	2087.37943020568	NA	NA	NA	NA	NA	NA	NA	NA
Angiogenic TAMs	conditionCD8-41BB	condition	-0.123076390275	0.208183525	0.53811786625	0.26225	0.09375	1.00061387746308	3094.12979683676	3658.28631385524	NA	NA	NA	NA	NA	NA	NA	NA
Angiogenic TAMs	conditionSTOP	condition	-0.5157564173	-0.1615884525	0.194868787075	0.3675	0.140208333333333	1.00573467054541	1176.51385379824	2899.32840859752	NA	NA	NA	NA	NA	NA	NA	NA
Angiogenic TAMs	conditiontumor	condition	-1.044492368	-0.6808553775	-0.2908994599	0.00175000000000003	0.000458333333333338	1.00057362567176	985.937814278881	2905.23934114243	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting TAMs	(Intercept)	NA	0.3523863122	0.54598375	0.73178924645	0	0	1.00094145709554	2324.15015112374	3270.95076662734	-5.570622725	-5.055637995	-4.547264994	0	0	1.00170687979012	2569.2021641035	2704.57604298741
Antigen-presenting TAMs	conditionB7H3	condition	0.138385999025	0.4311576855	0.7254303477	0.01375	0.01375	1.00254958553856	3732.38820949148	3919.61742982829	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting TAMs	conditionCD28-41BB	condition	-0.408591360425	-0.0863387916	0.2333482258	0.53975	0.261291666666667	0.999766010916197	2968.77345497392	3983.42094231861	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting TAMs	conditionCD8-41BB	condition	-0.278690988325	0.02804034445	0.335011494175	0.67875	0.20325	1.00036183180938	2944.90840385375	3513.23433944237	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting TAMs	conditionSTOP	condition	-0.731819643575	-0.39111634	-0.057187228585	0.04475	0.01465	1.00265091710098	2343.71198690863	3292.58035420562	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting TAMs	conditiontumor	condition	-0.610646753775	-0.2777030105	0.0545779505000001	0.151	0.0175681818181818	0.999833823348934	2229.63969942453	3602.46421530751	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting monocytes	(Intercept)	NA	-0.998304964875	-0.758857574	-0.511934693775	0	0	1.00049048738619	803.896406523371	1960.62327947251	-6.319290354	-5.724005895	-5.16195210025	0	0	1.00106379426943	1150.31636601455	3390.26880488707
Antigen-presenting monocytes	conditionB7H3	condition	0.03345128515	0.3641920715	0.703655764025	0.05925	0.03146875	1.00035511081572	955.167192067514	2992.26774122936	NA	NA	NA	NA	NA	NA	NA	NA
