"cluster","pathway","NES","pval","padj"
"Activated microglia","HALLMARK_TNFA_SIGNALING_VIA_NFKB",1.90729689664239,1.64052403609952e-08,5.57778172273838e-07
"Activated microglia","HALLMARK_APOPTOSIS",1.70079567489547,0.000796582055714019,0.0135418949471383
"Antigen-presenting macrophages","HALLMARK_INTERFERON_GAMMA_RESPONSE",1.94298417682265,3.67613630017919e-08,1.47045452007168e-06
"Antigen-presenting macrophages","HALLMARK_ALLOGRAFT_REJECTION",1.93922662444408,7.25442316867844e-07,1.45088463373569e-05
"Antigen-presenting macrophages","HALLMARK_INTERFERON_ALPHA_RESPONSE",1.6881616418763,0.00171192995507835,0.022825732734378
"Antigen-presenting macrophages","HALLMARK_INFLAMMATORY_RESPONSE",1.5516819181332,0.00327130777766503,0.0327130777766503
"Interferon-responsive macrophages","HALLMARK_INTERFERON_GAMMA_RESPONSE",2.30790075002606,4.42274090683954e-30,1.76909636273582e-28
"Interferon-responsive macrophages","HALLMARK_INTERFERON_ALPHA_RESPONSE",2.2308081538879,6.28685966938124e-18,1.25737193387625e-16
"Interferon-responsive macrophages","HALLMARK_ALLOGRAFT_REJECTION",1.79639108585102,4.79338431424963e-06,6.39117908566617e-05
"Interferon-responsive macrophages","HALLMARK_INFLAMMATORY_RESPONSE",1.76086262042256,7.12010143471192e-06,7.12010143471192e-05
"Interferon-responsive macrophages","HALLMARK_DNA_REPAIR",1.64205838819899,0.00739766489715126,0.0328785106540056
"Interferon-responsive macrophages","HALLMARK_IL6_JAK_STAT3_SIGNALING",1.63568148113573,0.00215603728857617,0.0172482983086093
"Interferon-responsive macrophages","HALLMARK_TNFA_SIGNALING_VIA_NFKB",1.39333564664727,0.013373981330234,0.0534959253209361
"Lipid-associated macrophages","HALLMARK_OXIDATIVE_PHOSPHORYLATION",1.94977164384076,5.79310414798637e-05,0.000772413886398183
"Lipid-associated macrophages","HALLMARK_COAGULATION",1.82000548496232,0.000772242623746872,0.00762005930518346
"Lipid-associated macrophages","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1.74770668440345,0.00217419140446814,0.0124239508826751
"Lipid-associated macrophages","HALLMARK_ADIPOGENESIS",1.74198840919283,0.00114300889577752,0.00762005930518346
"Lipid-associated macrophages","HALLMARK_XENOBIOTIC_METABOLISM",1.7178687404022,0.000955253149257025,0.00762005930518346
"Lipid-associated macrophages","HALLMARK_CHOLESTEROL_HOMEOSTASIS",1.62158418804276,0.0136714683639548,0.0607620816175768
"Lipid-associated macrophages","HALLMARK_COMPLEMENT",1.5763786229001,0.00642987072318592,0.0321493536159296
"Lipid-associated macrophages","HALLMARK_KRAS_SIGNALING_UP",1.56381461037654,0.0160085705859991,0.0640342823439965
"Lipid-associated macrophages","HALLMARK_MYOGENESIS",1.53034885613245,0.0319183473825328,0.0911952782358081
"Lipid-associated macrophages","HALLMARK_GLYCOLYSIS",1.52910068756974,0.0293214758460738,0.0902199256802272
"Lipid-associated macrophages","HALLMARK_ESTROGEN_RESPONSE_EARLY",1.52906052106516,0.0219656766365221,0.0798751877691711
"Lipid-associated macrophages","HALLMARK_IL2_STAT5_SIGNALING",1.48320977698256,0.0285910988004933,0.0902199256802272
"Monocytes","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",1.73185966877375,0.00160450680736026,0.06257576548705
"Neurons","HALLMARK_UV_RESPONSE_DN",1.61629319791799,0.00341417692875773,0.0182089436200412
"Neurons","HALLMARK_MYOGENESIS",1.50937136500234,0.00936986897638676,0.0343870618869107
"Phagocytic microglia","HALLMARK_OXIDATIVE_PHOSPHORYLATION",2.04500580959005,3.72859763650009e-05,0.00149143905460004
"Phagocytic microglia","HALLMARK_COAGULATION",1.82516209034751,0.00245371478848084,0.0262293872416083
"Phagocytic microglia","HALLMARK_ADIPOGENESIS",1.69710169643122,0.00349916649594088,0.0279933319675271
"Phagocytic microglia","HALLMARK_COMPLEMENT",1.57105938461451,0.00900630265170208,0.0514645865811547
"Phagocytic microglia","HALLMARK_INFLAMMATORY_RESPONSE",1.56851812021081,0.00780093215844683,0.0514645865811547
