cell_group	parameter	factor	c_lower	c_effect	c_upper	c_pH0	c_FDR	c_rhat	c_ess_bulk	c_ess_tail	v_lower	v_effect	v_upper	v_pH0	v_FDR	v_rhat	v_ess_bulk	v_ess_tail
Angiogenic TAMs	(Intercept)	NA	0.528329221025	0.7504340345	0.986721976525	0	0	1.00250455305535	1255.6646775687	3257.93543305515	-4.9247448725	-4.36673961	-3.837266488	0	0	0.999911559870685	269.639560406829	840.367731878432
Angiogenic TAMs	conditionB7H3	condition	-0.068976968765	0.2606768965	0.58208149995	0.17375	0.06175	0.999971838784258	1750.12074324382	3424.03852559248	NA	NA	NA	NA	NA	NA	NA	NA
Angiogenic TAMs	conditionCD28-41BB	condition	-0.48108319445	-0.147829005	0.18700333365	0.38925	0.184888888888889	1.00045472719993	2439.23097411915	2217.65092500367	NA	NA	NA	NA	NA	NA	NA	NA
Angiogenic TAMs	conditionCD8-41BB	condition	-0.123076390275	0.208183525	0.53811786625	0.26225	0.09375	1.0005514375092	3100.1254204207	3661.1989055849	NA	NA	NA	NA	NA	NA	NA	NA
Angiogenic TAMs	conditionSTOP	condition	-0.5157564173	-0.1615884525	0.194868787075	0.3675	0.140208333333333	1.00262230585051	1300.80065531781	2886.94274116953	NA	NA	NA	NA	NA	NA	NA	NA
Angiogenic TAMs	conditiontumor	condition	-1.044492368	-0.6808553775	-0.2908994599	0.00175000000000003	0.000458333333333338	1.00013762878679	947.960248782147	2985.23241285316	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting TAMs	(Intercept)	NA	0.3523863122	0.54598375	0.73178924645	0	0	1.00068915054535	2608.91027459159	3336.35295870195	-5.570622725	-5.055637995	-4.547264994	0	0	1.00121225274999	2536.20872727122	2880.37583871397
Antigen-presenting TAMs	conditionB7H3	condition	0.138385999025	0.4311576855	0.7254303477	0.01375	0.01375	1.00103634739853	3679.63554383756	3905.7730594003	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting TAMs	conditionCD28-41BB	condition	-0.408591360425	-0.0863387916	0.2333482258	0.53975	0.261291666666667	1.00022658679473	3168.58088800303	3883.68310426376	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting TAMs	conditionCD8-41BB	condition	-0.278690988325	0.02804034445	0.335011494175	0.67875	0.20325	1.00018419495233	3234.50951139144	3517.87319795402	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting TAMs	conditionSTOP	condition	-0.731819643575	-0.39111634	-0.057187228585	0.04475	0.01465	0.999845181923504	2512.05993045846	3673.3178022477	NA	NA	NA	NA	NA	NA	NA	NA
