"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"mt-Nd6",137.672811039356,27.3838847294302,3.92465348851987,6.97740190555208,3.00688621308161e-12,2.23411645631964e-08
"Sparc",476.976096430246,-25.5725363801048,4.13123608214736,-6.19004478843838,6.01471223352796e-10,2.23446559475564e-06
"Oasl2",74.9578982793468,2.79518238223807,0.635446949894443,4.39876591224869,1.08868176407463e-05,0.0269630183569149
"Kdm7a",259.18366273259,-1.07690807731562,0.259603494832648,-4.14828035350542,3.34982026006913e-05,0.0414819408871894
"Serpinb1a",35.7791377448819,-6.97221176170303,1.65958300992706,-4.20118289955829,2.65523964335438e-05,0.0414819408871894
"Morf4l2",227.156344595451,-1.88189300879444,0.453459696083579,-4.15007777989509,3.32362316080092e-05,0.0414819408871894
"Bnip3l",85.7666275958088,-1.2586516609877,0.30798149414252,-4.08677691655478,4.37407334269211e-05,0.0464276641945748
"Ccl1",696.944277716676,3.56389263222398,0.908228385915917,3.92400489512329,8.70889643951963e-05,0.0647071005456308
"Retreg1",176.906307816673,-1.50601614292214,0.379691927411966,-3.96641601834245,7.29614673247545e-05,0.0647071005456308
"Vma21",52.343570841372,-2.65740066606937,0.673340752572129,-3.94659116638675,7.92717460322382e-05,0.0647071005456308
"Rb1cc1",203.194835423703,-1.12762590733744,0.29436955162501,-3.83064722935033,0.000127806632014651,0.0730464058360656
"Ube2h",393.403261270251,-1.00251961616866,0.261011414898472,-3.84090334347492,0.000122582377915347,0.0730464058360656
"Selenop",1136.00333103198,-5.71269175504243,1.48608354207926,-3.84412557792645,0.00012098304560062,0.0730464058360656
"Gimap6",1089.26881673785,-1.56186765049229,0.410270275778716,-3.80692373467169,0.000140706112502428,0.0746747439923601
"Pmp22",202.546151862006,-2.76673429364216,0.73153643855969,-3.78208678037904,0.000155519122232548,0.077033805212522
"Ubxn2a",78.3822731372213,-1.96196102449762,0.523102479398711,-3.75062459415759,0.000176394627448333,0.0819132551213198
"Rab6a",96.5811924131926,-1.55988570917716,0.418699176484567,-3.72555236978034,0.00019488798430764,0.0851775131415158
"Tmem131",71.8705112904557,-1.04637699938566,0.283128911024449,-3.69576174894871,0.000219228486912531,0.0857298767242161
"Cfh",223.843129162205,-4.60795038230172,1.24393996652953,-3.70431894326658,0.000211959436009498,0.0857298767242161
"Dtx4",183.187519213594,-1.83823981208493,0.503110763625464,-3.65374773308048,0.000258440195387065,0.0960105325862945
"Il1rl1",143.707529047592,-1.62077695100102,0.455138033992426,-3.56106681918829,0.000369351066556015,0.0979973539756188
"Acbd3",207.603635878953,-0.990845097449948,0.277040741904598,-3.57653206758722,0.000348182621842413,0.0979973539756188
"Bub1b",36.2447476088112,1.90457763594227,0.540690516944792,3.52249128892479,0.000427511091009532,0.0979973539756188
"Cdc20",25.0867800778262,1.80380553151334,0.501454730325304,3.59714531029186,0.00032172876902942,0.0979973539756188
"Klri2",188.089837677433,-1.54205476816703,0.431304709628343,-3.5753255963651,0.000349792294578745,0.0979973539756188
"Klra7",63.5670350447167,-2.12501328442271,0.60046697747767,-3.53893446955081,0.000401745569683714,0.0979973539756188
"Hpgd",73.9401090138045,-3.7461272747212,1.06733286837392,-3.50980222358224,0.000448440112405254,0.0979973539756188
"Mars1",202.636562694831,0.810816551227147,0.230923619863207,3.51118933484349,0.000446106545677592,0.0979973539756188
"Fnip1",153.129322545012,-1.50280881900456,0.419076645715922,-3.58599992237045,0.000335789056864786,0.0979973539756188
"Vezf1",147.497190963913,-1.44159461608158,0.397027039517422,-3.63097339121742,0.000282354297205362,0.0979973539756188
"Psma3",444.435551489509,-1.38406532972756,0.383159076093648,-3.6122472781756,0.000303554891355062,0.0979973539756188
"Uqcrb",29.436829930304,-2.51579666092058,0.70991369185024,-3.54380636660731,0.000394394789008541,0.0979973539756188
"Wac",374.153805998418,-1.4002941043259,0.398446512715985,-3.51438413849048,0.000440774904788928,0.0979973539756188
"Smndc1",220.78804429037,-0.854175082563381,0.241578287761477,-3.53581064953467,0.000406525963406957,0.0979973539756188
"Pex16",69.6559922063723,1.1596892569426,0.335224165116896,3.45944409030955,0.000541291639572678,0.105836760053289
"Vps13c",72.3708711120853,-2.08812770554977,0.601693981405988,-3.47041481231109,0.000519655151448455,0.105836760053289
"Lpin1",159.949936800489,-1.02867251051094,0.297168222175095,-3.46158314971118,0.000537008205839458,0.105836760053289
"Hacd2",26.5746521127031,-3.1360679442275,0.904659291881223,-3.46657351819833,0.000527137555511528,0.105836760053289
"Arl8b",268.041758237277,-1.08625857987158,0.316163391064058,-3.43575066112412,0.000590914541709443,0.107085244997589
"Tfdp1",144.911461833785,1.247583276378,0.362740041236558,3.43933157234329,0.000583152522253837,0.107085244997589
"Tedc1",34.8133527367514,1.47097719183363,0.428061345841794,3.43637005798996,0.000589565088297551,0.107085244997589
"P2ry13",168.042804457132,-2.80033907912973,0.817745645803545,-3.42446223162463,0.000616017463164874,0.108976422650357
