"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Slc29a3",147.266567802753,-2.46963218099777,0.351819741192565,-7.01959524109265,2.22511897036517e-12,2.34861307322044e-08
"Marcks",519.683854480507,-4.31897750933428,0.647736871393875,-6.66779629209652,2.59672859786702e-11,1.37042351752432e-07
"Mafb",380.050550484958,-2.99389444502754,0.477658368315543,-6.26785720427232,3.66050217813861e-10,1.12771631411727e-06
"Aif1",429.999382191217,-2.6083704401436,0.417761066850944,-6.24368962815355,4.27367622592996e-10,1.12771631411727e-06
"Mt2",131.960557181328,-24.6739596922248,3.99496863291738,-6.17625867920927,6.56384114171441e-10,1.38562686501591e-06
"Cebpd",34.6122354161985,-6.70841913315844,1.16340308734469,-5.76620365385955,8.10770791772928e-09,1.42628095119388e-05
"Sowahc",125.057233452956,-1.97684812352909,0.345518227615093,-5.72140039376241,1.05649589952382e-08,1.59304488849628e-05
"Lhfpl2",53.1704117588509,-4.21489058780142,0.783104526328656,-5.38228352166682,7.35468005971787e-08,9.70358100379027e-05
"Il17a",317.547161922044,3.89771712249243,0.732729188488417,5.31945114747404,1.0408075513436e-07,0.000122063596715908
"C1qb",1173.83643670252,-2.6084198896967,0.493186628781946,-5.28891039917056,1.23047144786367e-07,0.00012987626132201
"Pld4",269.695108686778,-2.01862586069201,0.396832134698514,-5.08685079706466,3.64058014352443e-07,0.000349330212862731
"Rasgef1b",285.944910922645,-1.72149573726631,0.339787180607686,-5.06639401223886,4.05422314174718e-07,0.000356602710509513
"Ubtd1",27.6482230738135,-2.68207299838048,0.535681929830898,-5.00683866492779,5.53312665819793e-07,0.000449247322132916
"Axl",248.532722659623,-2.89802086156752,0.581983692506561,-4.97955681384466,6.37300428982823e-07,0.000480479001993835
"Slc11a1",105.348319867387,-2.95686966367981,0.597731845863413,-4.94681634271747,7.54370884540597e-07,0.000530825645755067
"Gab2",60.4436823869511,-2.70546082636148,0.551118879046803,-4.90903311285716,9.15265247477453e-07,0.000603789042945282
"Fcgrt",12.873262549873,-7.83798105333285,1.62297478462523,-4.82939176109429,1.36950732792826e-06,0.000803063880349041
"Zdhhc14",30.3815708424111,-4.07011488837723,0.841204203379728,-4.83843860031206,1.30863108911984e-06,0.000803063880349041
"Tubb6",46.2149241184492,-2.05163571605977,0.427598534364631,-4.79804197436808,1.60224207119683e-06,0.000890087634814868
"Tmem86a",33.4379239865664,-3.12131928645159,0.655574200073371,-4.76119909249365,1.92446077837434e-06,0.00101563417578706
"Sdc3",86.9960725194365,-4.03126596969795,0.84855491148195,-4.75074260386707,2.02670978170088e-06,0.0010186629402787
"Fcer1g",800.343140678143,-1.31124436647233,0.277262433688838,-4.72925361372213,2.25346744726573e-06,0.00103807903938615
"Trem2",63.3613192331617,-3.44008272532824,0.727523589119055,-4.72848272795356,2.26203864574907e-06,0.00103807903938615
"Or13a27",8.16343035139446,5.09215717812567,1.09908008818763,4.63310839023805,3.60215816690112e-06,0.00152083117806565
"Cxcl16",243.740723167948,-2.12170595722566,0.457765270759905,-4.6349211981581,3.5707347796493e-06,0.00152083117806565
"Fn1",19.7432946247114,-8.45532259170379,1.87317813314755,-4.5138913603994,6.36488302688693e-06,0.00216782274292215
"F11r",218.285628627522,-2.37826601785097,0.523313179519654,-4.54463237488872,5.50312145188856e-06,0.00216782274292215
"Hck",111.248648314821,-1.95449633358459,0.432600400096281,-4.51801785932142,6.24212203926584e-06,0.00216782274292215
"Crocc",21.862347836586,-8.57643519655743,1.89412996162569,-4.52790218744887,5.95721435602232e-06,0.00216782274292215
"Hmox1",248.744255346424,-2.83837610760488,0.628818433157425,-4.51382459218445,6.36688820754017e-06,0.00216782274292215
"Ier3",152.768093450232,-2.71412245431752,0.598167128495655,-4.5373982036481,5.69525061401217e-06,0.00216782274292215
"Rassf4",63.1884257112032,-2.35526249306223,0.526618122921538,-4.47242962318854,7.73358560558761e-06,0.00255087487709304
"Cited4",129.93137112351,-1.55717185164286,0.350416613092048,-4.44377290763273,8.83949062175233e-06,0.00282729768219987
"Tcn2",231.384117368964,-1.87051811776593,0.429596244430215,-4.35413051677592,1.33596098484677e-05,0.00414737299854636
"Klf4",456.846823347062,-2.39765583939732,0.551506838809044,-4.34746347765144,1.37720994544775e-05,0.00415327170691459
"C1qc",23.2162074950192,-3.27377392634248,0.764629274661687,-4.2815179000189,1.85622788784174e-05,0.00544235704338044
"Acp2",58.3205996543184,-2.34269900118509,0.548216039072432,-4.27331350091267,1.92589376089223e-05,0.00549400233681553
"Hif1a",896.837676000412,1.26545320820154,0.296670396579428,4.26551898265569,1.99438055222814e-05,0.00553965440230737
"Atf3",2176.33482388768,-1.65043279216406,0.3892493845816,-4.24003956727663,2.23480390513267e-05,0.00561627505206555
"Themis2",34.5017406334589,-2.74047092494078,0.644278357681963,-4.25355111228735,2.10406884054422e-05,0.00561627505206555
"Sh2b2",66.7772862332726,-2.84373130218664,0.669614641894304,-4.24681768329002,2.16828257780337e-05,0.00561627505206555
"Mtus1",64.1955479676026,-3.10325339107182,0.731104583426567,-4.24460940530202,2.18974511249371e-05,0.00561627505206555
"Stab1",52.6843487761735,-2.48583736501398,0.590225852704165,-4.21167143666264,2.53488065726626e-05,0.00622224775289427
"Ctnnd1",13.4949140740701,-6.35195574983297,1.51842299852232,-4.18325839111664,2.87360464408384e-05,0.00689338568597839
"Ablim3",6.20776599780776,6.68156677663035,1.65585853322915,4.03510725255037,5.45773613573285e-05,0.0128014233139245
"Cxcr6",1013.64759535868,1.13375156378943,0.285260245890804,3.97444642259553,7.05431392370449e-05,0.0161865833618915
"Fndc3b",32.7808680835559,-2.10609858865277,0.531319867287032,-3.9638995609306,7.37352856043257e-05,0.0162164286307134
"Csf2ra",81.7361341530167,-2.40242300881054,0.60608093080731,-3.96386503302534,7.37459568237085e-05,0.0162164286307134
"Cenpl",124.696365998882,1.01860761092564,0.257880660675658,3.94991857185738,7.81777848040666e-05,0.0165643341729532
"Lmo2",87.1651786418515,-2.44997196655506,0.620397578382889,-3.94903534752841,7.84667653858511e-05,0.0165643341729532
"Anxa3",162.773482083828,-2.11515871891006,0.537663175812356,-3.93398472140902,8.35490964626537e-05,0.0172913865326139
"Spp1",10.476396884357,-7.51269149805633,1.91923492120082,-3.91441996759615,9.0621788815392e-05,0.0183944804028166
"Lyl1",44.2773220440387,-2.17725581447565,0.561474599827362,-3.87774587691962,0.000105428756211668,0.0208671060967033
"Myo18a",121.109357790911,-1.39100641329594,0.35941215589936,-3.87022639736605,0.000108734328310628,0.0208671060967033
"Hfe",39.9080253614415,-2.54544828590629,0.657679719915943,-3.87034632333139,0.000108680849780033,0.0208671060967033
"Trbv3",251.142766041035,2.00028073242815,0.524674772083941,3.81242026271492,0.000137612630875412,0.0242083553148329
"Tmem205",7.58928689909882,-7.07265051522898,1.85077784094408,-3.82144758747557,0.00013267061278787,0.0242083553148329
"Atp6v0a1",24.8048615366163,-3.86942893884596,1.01462686420936,-3.81364723854537,0.000136930883392015,0.0242083553148329
"Prdx5",280.821251062429,-1.61078696324695,0.421606791069232,-3.82059064836657,0.00013313246163066,0.0242083553148329
"Rab3il1",151.254319206548,-2.0265603807147,0.530441933045254,-3.82051315038438,0.000133174303915264,0.0242083553148329
"Cebpa",109.463584847798,-1.97074107408888,0.518559241748896,-3.80041645279013,0.000144453115938373,0.0249951252250742
"Eef2k",108.744037929466,-1.24536166452535,0.329498206325161,-3.77957039103388,0.000157099177951098,0.02674486811732
"Tlr9",40.4813685339838,-1.83873879232768,0.487890752332653,-3.76875106473424,0.000164066409357238,0.0274876341391373
"Il1r2",150.237060068179,1.38389381867593,0.367904450789238,3.76155769713349,0.000168858458009058,0.0278484535044626
"Il23r",36.6151039232989,3.53165890410309,0.943430455288103,3.74342261722365,0.000181530525518626,0.0294777645669092
"Cd180",66.2737081354963,-2.24858422313759,0.602030431039544,-3.73500093550901,0.00018771448940876,0.0300200975107495
"Spint1",15.7087265635852,-2.5885706072375,0.698218753369005,-3.70739198101924,0.000209404689125346,0.0318144264069095
"Csf3r",218.888108289247,-1.68398198445196,0.453366967189315,-3.7143905628854,0.000203693995390719,0.0318144264069095
"Agrn",13.1928906508445,-7.84597165958731,2.11739698598053,-3.70547975251507,0.000210990985171356,0.0318144264069095
"Mks1",36.8817409859851,-1.747062843331,0.470752085593295,-3.7112163637664,0.000206265702361802,0.0318144264069095
"Rhob",826.847662671413,-1.36098719394656,0.368356364730398,-3.69475682860175,0.000220097325544237,0.0327201024101327
"Cebpb",1501.74541725092,-1.94809052130066,0.529567945284205,-3.67864131250462,0.00023447976099085,0.0343740816285893
"Rorc",69.4868633973342,2.65442812851852,0.724152445442406,3.66556537262931,0.000246792756820562,0.0347319673098804
"Tmem106a",51.0160347989404,-2.67255670939577,0.728750453393366,-3.6673139576809,0.000245111767466435,0.0347319673098804
"Gaa",60.5354768680435,-1.8021334121688,0.490759962145319,-3.67212802831534,0.000240539117521647,0.0347319673098804
"Nr1d1",9.06730289725901,6.06489755961272,1.65808032446273,3.65778272025388,0.000254406569316202,0.0348735238848379
"Abi3bp",19.5939181598858,4.56861848814259,1.24863044485602,3.65890364676268,0.000253296544098378,0.0348735238848379
"Lonrf3",55.9242217653797,-2.02841366945413,0.555206450251448,-3.65344038876977,0.000258749881066667,0.035014166598188
"Apobec1",51.5443613541675,-1.52277424452343,0.418634063106748,-3.63748289669189,0.000275315467876833,0.0367476159696135
"Zfp768",10.3847174618588,-3.48947300924637,0.960944957004235,-3.63129332623262,0.000282004442779601,0.0367476159696135
"Kctd12",732.732948638205,-1.2126635525756,0.33388934965287,-3.63193241664147,0.00028130680220151,0.0367476159696135
"Gusb",93.2378276235597,-1.42324429560425,0.392806950451944,-3.62326657908354,0.000290905730850859,0.037445243769888
"Arap1",444.524230310618,-0.862128819487672,0.240348503650544,-3.58699474468611,0.000334511062791019,0.0425393285272193
"Pla2g15",211.150465848585,-2.38070180179741,0.664510215860393,-3.5826413875593,0.000340137409315609,0.0427398851824553
"Lamp1",109.898424778226,-1.54758716168849,0.435261380290062,-3.55553520658591,0.000377210426159812,0.0468406593896096
"Asph",40.4925294974211,-3.38146766132217,0.955891750267455,-3.53750062219498,0.000403933234108887,0.0495757591397593
"Ccdc86",74.5821477141338,-1.70942032840023,0.484634489543373,-3.52723622706024,0.00041992193200839,0.0509457010614776
"Marcksl1",246.524488343097,-1.632378814693,0.463493038168605,-3.5219057898755,0.000428456376863809,0.0513904211113353
"Man1c1",24.1369999338576,-3.72033912400327,1.05933210436787,-3.51196674646548,0.000444803650649722,0.0521034824725871
"Ncor2",136.291891801704,-1.34584178462674,0.383456812268842,-3.5097610514823,0.000448509550886352,0.0521034824725871
"Ccl1",1837.56969400353,-4.50506145300085,1.28373256794845,-3.50934576677481,0.000449210507343006,0.0521034824725871
"Icos",1803.68761585348,1.38091084166844,0.395078536565509,3.49528185882471,0.000473561376593722,0.0522796853900413
"Frmd4a",167.399908657753,-1.19262804798307,0.340708648108632,-3.50043374186032,0.000464501694401245,0.0522796853900413
"Il17re",18.6324086779594,3.08669875519739,0.884079467755472,3.49142680921433,0.000480448079851635,0.0522796853900413
"Arrdc4",164.118632611254,-1.29394658240528,0.370465354157768,-3.4927600324381,0.000478055897630901,0.0522796853900413
"Plxdc1",21.4055953470686,-3.53017422941747,1.00952432483575,-3.49686891397276,0.000470753092255083,0.0522796853900413
"Satb1",1297.6612090895,0.963789114214208,0.27573027987695,3.49540541809306,0.000473342179498193,0.0522796853900413
"Clic4",256.718257148072,-1.41452824706238,0.406195949711061,-3.48237900468621,0.000496979753905491,0.0535267479844129
"Iglc3",10.1382810039207,4.74451117928697,1.3724364744846,3.45699875185021,0.000546227379028829,0.05823666652171
"P2rx1",8.04647460742768,-5.78115479753303,1.67526039198616,-3.4508992304647,0.000558722139063889,0.0589731217781935
"Ctsz",598.468622881358,-2.09313730084974,0.607576257990738,-3.4450610492447,0.000570930428475662,0.0596650561639664
"Klra6",81.8899926123344,1.74494537554463,0.508187828815903,3.4336622732788,0.00059548564242623,0.0611615374276055
"Plscr3",94.6496696114008,-1.10960302251207,0.323459228797901,-3.43042622909781,0.000602633812645284,0.0611615374276055
"Pde4d",535.766540795085,0.841429063098136,0.245219320658763,3.43133265697704,0.000600623573671989,0.0611615374276055
"Plekho1",140.098259907108,-1.4777663943321,0.433736093478987,-3.40706345759463,0.000656658581123236,0.0649918745470091
"Nxn",12.6810826682279,-3.82330642797686,1.12246981121479,-3.40615523890046,0.000658847046568449,0.0649918745470091
"Dap",498.414951684126,1.06222622726835,0.311573759153775,3.40922878150368,0.000651468205983087,0.0649918745470091
"Ttyh2",6.60565680192966,-6.81099686376036,2.00177971051628,-3.40247072541451,0.000667795090626184,0.0652646035329572
"Abcc3",42.2158693134464,-1.80097078545408,0.529899052537604,-3.39870542668365,0.000677055958226265,0.0655626205420021
"Ptms",313.589232139785,-1.99050440539597,0.586510342734795,-3.39380955519829,0.000689276084304758,0.066139173362152
"Pla2g4a",19.6117529193005,-2.50335812938595,0.740595691271069,-3.38019537365859,0.000724343204956553,0.0688778606154633
"Rasa4",142.203934840742,-1.07469222586297,0.318789372722855,-3.37116703948996,0.000748504580346076,0.0697557012726027
"Furin",617.737742081356,0.904010964540315,0.268302640610053,3.36937035910202,0.000753401226440237,0.0697557012726027
"Gzmc",1223.29644052809,-4.0888856978484,1.21290797152287,-3.37114257128229,0.000748571066664915,0.0697557012726027
"Egr2",104.938190367935,-1.8464138776495,0.549310537546652,-3.36132979697788,0.000775681465921266,0.0711940684591214
"Il6ra",87.7962379515649,-1.32943189604195,0.396283115367966,-3.35475281304255,0.000794359310074639,0.0722798492917053
"Pitpnm2",29.2882735980787,2.21787547920795,0.663406144907855,3.34316390680404,0.000828289606811583,0.0747230495717629
"Ltbr",15.8417629962533,-4.41488645354385,1.3215913522367,-3.34058364264563,0.000836024938500056,0.0747817222531194
"Tdrd7",57.9469527796428,-1.40742836271707,0.423077925232224,-3.32664097741461,0.000878995441418201,0.0775974097712654
"Tbxas1",112.358161002226,-2.42950831729567,0.730541951862148,-3.32562464223015,0.000882206458792217,0.0775974097712654
"Daglb",181.683754610301,-1.6390496523902,0.4932045606836,-3.32326540151701,0.000889702227892262,0.0776099753339076
"Neurl2",6.26944172200063,-6.78189274834455,2.0463771675015,-3.31409715474144,0.000919395555507134,0.0776337607070224
"Trim6",5.00377887214477,-6.48022710479202,1.95431539383091,-3.31585532470748,0.000913631133129514,0.0776337607070224
"Tbc1d9",36.8586933317019,-2.34425555473013,0.705935646709467,-3.32077798543997,0.000897669139370025,0.0776337607070224
"Basp1",177.058861826401,-1.45386894539186,0.43856598107546,-3.31505180093234,0.000916261437387047,0.0776337607070224
