"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mafb",322.279863391834,-2.9534353713597,0.411866935149617,-7.17084844474544,7.45343810957821e-13,7.95058243148708e-09
"Slc29a3",116.062005947571,-2.3335237821609,0.342640277178775,-6.81041879073477,9.73150348657935e-12,5.19029738456709e-08
"Marcks",438.918676007405,-4.2651887361266,0.662734124890999,-6.43574636635484,1.22868058201315e-10,4.36877858944474e-07
"Cebpd",33.5641437716686,-6.86043063970003,1.13266698127775,-6.05688234326461,1.38785021321839e-09,3.70104955610015e-06
"Mt2",131.070268311856,-24.3003664484236,4.12669160901652,-5.88858309531275,3.89520684549367e-09,8.3100342841762e-06
"Sowahc",115.97041946286,-2.08315987913133,0.375805138628828,-5.54319157724132,2.97007597152598e-08,4.52597148403823e-05
"Trem2",57.7982114242513,-3.50978805913341,0.631721524226655,-5.55591019861172,2.76168836023335e-08,4.52597148403823e-05
"Tmem86a",31.0302934103568,-3.1900764494251,0.595438293893436,-5.35752651809797,8.43689879553421e-08,0.000112495499314954
"Ubtd1",22.1504745300551,-2.55032803612638,0.478703746087496,-5.32757066760084,9.95350576938923e-08,0.000117971162268972
"Lhfpl2",60.240980205207,-4.56351630269436,0.874707185233965,-5.21719311300011,1.81654843623448e-07,0.000193771221693132
"Pld4",255.297342296963,-2.16234917950629,0.416585134568631,-5.19065372254671,2.09557030244285e-07,0.000203213167419617
"C1qb",1114.15611130612,-2.74768029433486,0.532360649087333,-5.16131366780288,2.45222896276765e-07,0.000217982719548688
"Prxl2a",8.15872082534154,-20.9452072784881,4.13487621075567,-5.06549802482727,4.07334002101885e-07,0.000334233215416985
"Myo18a",101.325244122616,-1.37619328653514,0.275259577493574,-4.99961999166866,5.74434149473834e-07,0.000437677790888385
"Aif1",416.405016895282,-2.77467742063091,0.560231834472113,-4.95273072663818,7.31792076458617e-07,0.000520401738638938
"Fcgrt",16.6248643113488,-8.35067555736502,1.69068548088054,-4.93922474156211,7.84337740258587e-07,0.000522908167208647
"Il17a",174.017642580079,4.29835746267062,0.877042417906338,4.90096872729553,9.53652375619428e-07,0.000598388817101908
"Cenpl",89.5955965191389,1.05628933154169,0.219745137938259,4.80688374474283,1.53301074575281e-06,0.000860664506576064
"Or13a27",4.42083094946172,5.13857103821531,1.06771372194168,4.81268614668605,1.48915057644084e-06,0.000860664506576064
"F11r",247.667611308806,-2.78262696976849,0.584726332974074,-4.75885352317778,1.94695654396462e-06,0.00103840927272353
"Tcn2",204.4454659385,-1.91610865247349,0.409723512273828,-4.67658944403685,2.91685406158388e-06,0.00148162296547215
"Klf4",369.90245108686,-2.31191610057742,0.499897751504644,-4.6247779543292,3.74999905399506e-06,0.00181823817768024
"Acp2",58.3355684794005,-2.54910065866776,0.55307388720883,-4.60896946614524,4.04669751212133e-06,0.00187678792877383
"Lyl1",42.9222734610441,-2.32854611832264,0.508164262716936,-4.58227051598023,4.59954346150245e-06,0.00204430542099361
"Fn1",19.2184444681018,-8.59379461472401,1.88469058742298,-4.55979070096312,5.12046291867124e-06,0.00218479911813865
"Sh2b2",56.2173949870911,-2.78336870764411,0.612392681406498,-4.54507180139951,5.49165306452619e-06,0.00225305627843465
"Kctd12",648.531806983311,-1.29301879452216,0.285570976307582,-4.52783686648,5.95905566331381e-06,0.00235426839853957
"Rasgef1b",257.529111616571,-1.80406827267943,0.403305933003707,-4.47320042936944,7.70574865704486e-06,0.00293561503302491
"Ctnnd1",13.2320214038995,-6.5283214667989,1.46852475449356,-4.44549637098236,8.76891612597121e-06,0.00322544925226672
"Cebpa",99.44712642348,-2.05713900906516,0.469827191272101,-4.37850138791512,1.1949818033815e-05,0.00424895696555683
"Slc11a1",109.169337847006,-3.2048408684948,0.744134832054226,-4.30680130863873,1.65632261629383e-05,0.00510057227892515
"Hck",100.330915600846,-2.0244351964343,0.469609322583571,-4.31089226529149,1.62597114821182e-05,0.00510057227892515
"Il6ra",83.6160498980851,-1.50482812942388,0.349593531686394,-4.30450793000884,1.67357297986669e-05,0.00510057227892515
"Themis2",27.4021211314779,-2.59419298862918,0.600115294143941,-4.32282432049957,1.54044394776798e-05,0.00510057227892515
"Ier3",161.871612998021,-3.00803334744496,0.698081436368945,-4.30900062762187,1.63993902939723e-05,0.00510057227892515
"Hmox1",200.107504772465,-2.73116077247876,0.643673248135343,-4.24308572772079,2.20467166311186e-05,0.0065325646195595
"Kcnk6",32.6414764238524,-1.48827676782529,0.352287234727381,-4.22461168363652,2.39353130000316e-05,0.00690048604787396
"Hfe",40.4191731046756,-2.75946701696051,0.655607149343963,-4.20902520621044,2.56474779057457e-05,0.00719951702159445
"Rab3il1",143.288912664294,-2.16742460548772,0.516323310717823,-4.19780505837406,2.69514473731565e-05,0.00737156638793488
"Atf3",2109.79322937983,-1.85478319008533,0.445635486965138,-4.16210836959318,3.15322633751618e-05,0.00832504133528094
"C1qc",20.6164095260307,-3.26724421514091,0.785629947907042,-4.15875721622504,3.19983776831835e-05,0.00832504133528094
"Tlr9",42.057329212969,-2.10746236473811,0.508240971415871,-4.14658101818727,3.37476798417977e-05,0.0085711071636299
"Fcer1g",652.37578163002,-1.2609951895374,0.30640372104393,-4.11546956819303,3.86391977204843e-05,0.00858675671009179
"Adam15",39.5048795114591,-2.57001308397171,0.623424123695286,-4.12241520064737,3.74920646203296e-05,0.00858675671009179
"Rorc",42.5103083184521,2.80202183091129,0.677482774754632,4.13593073554691,3.53518820470585e-05,0.00858675671009179
"Rassf4",64.3046755297267,-2.59350470088874,0.62889673197602,-4.12389597373139,3.72517187590758e-05,0.00858675671009179
"Il10ra",100.49244164911,-1.2401802444723,0.300935934091193,-4.12107729247277,3.7710487209285e-05,0.00858675671009179
"Hif1a",691.154892113219,1.13623731743844,0.276047466264221,4.11609399215017,3.85347210382011e-05,0.00858675671009179
"Lmo2",91.7425474829134,-2.73488569330277,0.667195685933959,-4.09907580483587,4.14803171713419e-05,0.00884941086533408
"Rhob",740.072042761091,-1.45292507432558,0.354123346472872,-4.10287852748755,4.08041507880561e-05,0.00884941086533408
"Spint1",12.990504931172,-2.48637425358582,0.608822735654069,-4.08390506460745,4.4285129028833e-05,0.00926253865393258
"Gab2",54.7704642259552,-2.78939278973029,0.695671042762071,-4.00964337778869,6.08105197401268e-05,0.0120123298901469
"Arap1",360.734268545157,-0.825238871316734,0.205766788853799,-4.01055425860333,6.0576377161215e-05,0.0120123298901469
"Lonrf3",58.0418908154671,-2.3160087647783,0.577577094347395,-4.00986948312962,6.07523193741118e-05,0.0120123298901469
"Crocc",14.8686428392382,-8.21489891229748,2.05683795191045,-3.9939456118394,6.49827757376052e-05,0.0123780583713042
"Plxdc1",19.0223051741205,-3.51114405615221,0.878825576001713,-3.99526840368762,6.46210008133917e-05,0.0123780583713042
"Anxa3",169.195122306143,-2.39602200497976,0.603578612317375,-3.96969335242097,7.19651885404435e-05,0.0134675906344019
"Pla2g15",215.459207485098,-2.62179093702278,0.661476532619019,-3.96354338776341,7.38454349439802e-05,0.0135811940439213
"Nuak2",89.745406008946,-2.05634361129242,0.520350584166101,-3.95184261124229,7.75517414923195e-05,0.0138214390081467
"Mtus1",75.472122380374,-3.54547472053375,0.897303955336035,-3.95125274936072,7.77431649469204e-05,0.0138214390081467
"Abcc3",37.219072211232,-1.81828036795912,0.461830009205889,-3.93712043763816,8.24652238074328e-05,0.0144205990549817
"Spp1",9.63837611980547,-7.56815990102405,1.94135307308884,-3.89839437551797,9.68326214572093e-05,0.0166598963400654
"Vps18",137.787266239886,-1.00512609684888,0.258427877650209,-3.88938726730309,0.000100497638560525,0.0170160049289702
"Grn",314.620463220122,-2.94231479508904,0.758211315535147,-3.88059995255062,0.000104199111270738,0.0173670612488275
"Eef2k",94.0471964047594,-1.27588721056884,0.329826613400335,-3.86835736939215,0.000109570998450904,0.0179814436996276
"Cnpy3",67.7134985858362,-1.04116976232705,0.269814877689448,-3.85883006616641,0.000113931120683198,0.0184136858231466
"Neurl2",8.64950662312991,-7.40451569936163,1.93029582082247,-3.83594867661614,0.000125080528741561,0.0199139402997946
"Icos",1327.98173316002,1.32062831121401,0.344836909399024,3.8297185574351,0.000128289899082589,0.0201245346104997
"Egr2",91.9494943492667,-1.87284134298621,0.490886103858422,-3.81522582991341,0.000136058446356778,0.0210338470621413
"Axl",168.024973979674,-2.53001028115015,0.664182974182838,-3.80920676905771,0.000139413336551247,0.0212446008713165
"Marcksl1",225.259358545595,-1.73668899896419,0.456746861934441,-3.80230088852469,0.000143358470537486,0.0215380958482164
"Gaa",51.4311680094797,-1.79616321775356,0.474806727236469,-3.78293548663015,0.000154989596256964,0.0226475893599046
"Dnmt3a",163.650635238984,-0.795986895102172,0.210380184217912,-3.78356401797656,0.000154598536373436,0.0226475893599046
"Fndc3b",30.2872713520856,-2.22004311651443,0.591049116158281,-3.7561059746512,0.000172577638738796,0.0248768334111722
"Mks1",30.1176709050314,-1.66142761736154,0.443279059735771,-3.74803993302071,0.000178221884129268,0.0253479045067587
"Frmd4a",155.951281227399,-1.34547570648982,0.360401598517178,-3.73326786569647,0.000189011393530447,0.0261842147375231
"C5ar2",21.9916704653665,-3.11338511510225,0.833766787659184,-3.73411985363813,0.000188372778528064,0.0261842147375231
"Lamp1",124.350974415414,-1.99541116903202,0.537220865841091,-3.71432179185359,0.000203749392401185,0.0275113261866258
"Zdhhc14",25.992852498338,-4.04832051491745,1.08968529926366,-3.7151281362179,0.000203100748163693,0.0275113261866258
"Cxcl16",177.296045215956,-1.86817768890971,0.507678138832957,-3.67984663118299,0.000233374268887298,0.0311175415777601
"Dusp6",332.722623125699,-1.42127363019371,0.387787487569786,-3.66508377849076,0.000247257629540493,0.0322504013168045
"P2rx1",8.19778019288434,-5.97877973333066,1.63158404967258,-3.66440192555846,0.000247917212710037,0.0322504013168045
"Il17re",11.1225684374528,3.23144894630108,0.885373973477748,3.64981244434818,0.000262431855578711,0.0337272361862423
"Ctsz",538.482204583524,-2.16758198150717,0.597658712441557,-3.62678889537502,0.000286967719096011,0.0364414840428232
"Plscr3",73.4338874329753,-0.987991886555182,0.272939905699654,-3.61981471350833,0.000294814046286664,0.036997428608704
"Sqor",14.983202254048,-3.79010645515194,1.04981645768338,-3.6102562761452,0.000305894618367063,0.0370926770785901
"Bag3",184.156839046417,-0.9877854331984,0.27361244379926,-3.61016267930819,0.000306005023241392,0.0370926770785901
"Plxnb2",106.70867009659,-2.57599630837488,0.71272597531625,-3.61428711396671,0.00030117516522082,0.0370926770785901
"Tnfsf13b",31.8330527002215,-2.00287978522912,0.555874801416903,-3.60311311130467,0.000314428618062384,0.0371922873725946
"Jup",50.729241861025,-4.49745057634331,1.2470976377177,-3.60633397123104,0.000310553401346135,0.0371922873725946
"Cysltr2",113.313379422639,1.21828404014175,0.338340684667591,3.60076128987762,0.000317286786435372,0.0371922873725946
"Abca1",108.205685229776,-2.017605639157,0.561176277458888,-3.5953152693715,0.000323998968659048,0.0374343068636509
"Daglb",159.76555740183,-1.68162211465989,0.468492531368915,-3.58943206574984,0.000331399177776795,0.0374343068636509
"Cd180",66.9598613189689,-2.48588014140362,0.692763120151624,-3.58835519543757,0.00033277073222412,0.0374343068636509
"Slc7a8",18.4955331829217,-3.054415946958,0.851317051489416,-3.58787121861846,0.000333388877101982,0.0374343068636509
"Tbxas1",111.024998201555,-2.62024044153854,0.731341168214503,-3.58278810959814,0.000339946350492183,0.037742091403757
"Satb1",1009.20184518596,0.872139195525085,0.243594222694531,3.58029507382347,0.000343206418502337,0.037742091403757
"Il18r1",192.632298412876,1.12695935651478,0.315352942726523,3.57364464961437,0.000352046619463961,0.0383191968349191
"Tbc1d9",34.9011427730783,-2.47473427753279,0.695527831857027,-3.55806649882775,0.000373594742975278,0.040253890134518
"Ttyh3",61.8720500161641,-0.873631379460237,0.249098557310049,-3.5071715745541,0.00045289703096528,0.0478322042505609
"Dock1",20.8227999889172,-5.79588056358103,1.65165912669397,-3.50912635053354,0.000449581271313605,0.0478322042505609
"Cst3",12296.8529648437,-2.24915075094064,0.644370745075285,-3.49046068296887,0.000482188557311466,0.0504265229494256
"Emb",1123.60475117662,1.26994389111685,0.364126346423355,3.48764626232329,0.000487292314525923,0.050465506010175
"Cd34",61.1653028768281,-10.2588492529241,2.94903134260062,-3.47871828445109,0.000503817927052355,0.0506287553981796
"Mertk",114.62550072412,-3.06747318577494,0.882116190543008,-3.47740265813133,0.000506296852667711,0.0506287553981796
