"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mcpt4",153.913534552075,27.217177010422,3.67849218763155,7.39900361945479,1.37210112830024e-13,1.35001030013461e-09
"Tsc22d1",15.8069972701639,8.65774730235942,1.28365314842079,6.74461579672873,1.53432481281087e-11,7.54811091662308e-08
"Cpa3",107.71928232573,10.355523727102,1.5583747894265,6.64507908967969,3.03054300687027e-11,9.93917088153218e-08
"Penk",283.061760280732,-9.87482703095137,1.59595265900849,-6.18741851471099,6.11574416066924e-10,1.50432016992062e-06
"Tnfrsf4",1102.71341329967,-1.92379638614881,0.326691283163227,-5.88872885594446,3.89177344762578e-09,7.0249270443598e-06
"Ifitm2",366.389489862583,-3.37153010289321,0.574088565634789,-5.87283967094031,4.28392745870097e-09,7.0249270443598e-06
"Adam8",95.4780061182493,-2.6865074829727,0.464931262478309,-5.77828960920441,7.54638314723601e-09,1.06069805408079e-05
"Lrrc32",378.694841902201,-2.52097572333178,0.459849601824772,-5.48217441817512,4.20129713606486e-08,5.16707031521777e-05
"Itpr1",40.2597458344485,-20.651195112683,3.88523772463532,-5.31529769252958,1.06483096794706e-07,0.000116409687707012
"Pgam1",176.941581152406,-3.39429591392387,0.682268382657801,-4.97501569793,6.52423525921063e-07,0.000641919507153734
"Mcm6",76.2566996495969,-2.37160348434547,0.482542220588393,-4.91481031743425,8.88684588965021e-07,0.000794887970075167
"Dut",69.8484682902725,-2.42099056866812,0.524918571520011,-4.61212595633192,3.98571340897783e-06,0.00261436228206219
"P2ry12",44.2538637382561,3.88789908316665,0.83832920282825,4.63767583194066,3.52348829603128e-06,0.00261436228206219
"Ifitm1",197.401211256525,-3.18664404756417,0.684738598432619,-4.65381103804936,3.25855448172774e-06,0.00261436228206219
"Azin1",342.204954710699,1.04781410668406,0.22705369062936,4.61482966332621,3.93417844833061e-06,0.00261436228206219
"Lamc1",142.933150704506,-1.87571771475564,0.409119443232102,-4.58476795905177,4.54490885274306e-06,0.00279483488763368
"Uhrf1",62.253976699009,-3.93206749757875,0.861741518491194,-4.56293147446734,5.04442828306005e-06,0.00291953705158987
"Gzmf",1087.14242007312,-11.8162304193323,2.60257812492812,-4.54020200437159,5.62003579058953e-06,0.00307197400797835
"Rcc1",84.0557027960209,-3.14560867277128,0.701217055569477,-4.48592721438677,7.25975234249863e-06,0.00375940543672863
"Agmo",44.261555700246,3.49963680274823,0.782400582099408,4.47294759592036,7.71486892681418e-06,0.00379532976854624
"AA467197",182.929719979494,-2.67579620799871,0.607274308927111,-4.4062397645738,1.05180536163789e-05,0.00492795854912153
