"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",1.4700185540141e-11,7.35009277007048e-10,0.863415391606693,-0.508097348198934,-2.14494683563118,197,"Ran;Rfc1;Hus1;Brca2;Rad51c;Cbx5;Dck;Nbn;Ezh2;Mcm2;Usp1;Cks2;Naa38;Cdca8;Nudt21;Smc1a;Tfrc;Ctps;Mms22l;Cse1l;Rfc2;Pole;Mcm4;Mthfd2;Tubg1;Ssrp1;Ipo7;Nap1l1;Depdc1a;Mcm5;Smc6;Ctcf;Cit;Tcf19;Nup205;Lbr;Rbbp7;Dut;Rpa3;Msh2;Nup153;Ing3;Orc2;Cdc20;Xpo1;Rad50;Rad21;Gspt1;H2az1;Tipin;Asf1a;Eif2s1;Plk1;Mki67;Prdx4;Cdk1;Trip13;Smc3;Ranbp1;Dnmt1;Prkdc;Pop7;Pold2;Ccp110;Exosc8;Chek1;Ccne1;Ilf3;Mlh1;Hells;Eed;Top2a;Birc5;Dctpp1;Psmc3ip;Zw10;Brca1;Rad51ap1;Pa2g4;Diaph3;Ccnb2;Luc7l3;Wdr90;Pds5b;Aurkb;Dclre1b;Espl1;Dscc1;Asf1b;Mcm3;Kif4;Dek;Atad2;Ppm1d;Rrm2;Stag1;Aurka"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",8.99299829628483e-06,0.000224824957407121,0.593325476396405,-0.43085804519979,-1.81074250287131,185,"Ndufs3;Cox11;Prdx3;Slc25a5;Polr2f;Fh1;Aco2;Vdac1;Ndufv2;Atp5j;Acadm;Idh3a;Cyb5a;Etfdh;Uqcrc2;Slc25a11;Mpc1;Atp5o;Dld;Acat1;Ndufa4;Ldhb;Glud1;Ndufb4;Ndufab1;Atp6v1h;Sdha;Decr1;Atp5g3;Ndufs8;Tomm22;Mdh1;Lrpprc;Ech1;Ndufb3;Ndufc1;Timm8b;Aldh6a1;Atp6v1e1;Atp6v1c1;Uqcrfs1;Slc25a20;Echs1;Timm9;Uqcrb;Tomm70a;Ndufs6;Hccs;Ndufa1;Pdp1;Cycs;Fdx1;Eci1;Mtrf1;Sdhc;Retsat;Oat;Cox7c;Abcb7;Cox7b;Uqcr11;Idh3g;Sucla2;Hadhb;Cox8a;Opa1;Pdhx;Atp6v1g1;Atp6v0e"
"HALLMARK_MYC_TARGETS_V1",2.14071880516531e-05,0.000356786467527552,0.575610261071129,-0.418599563358423,-1.76013420458804,183,"Prdx3;Ran;Prps2;Fam120a;Vdac1;Hnrnpr;Stard7;Mcm2;Usp1;Eif2s2;Impdh2;Pgk1;Snrpb2;Ctps;Ube2e1;Psma7;Cbx3;Ndufab1;Mcm4;Psma6;Txnl4a;Abce1;Cct3;Uba2;Nap1l1;Etf1;Snrpg;Hnrnpa2b1;Kpnb1;Mcm5;Ywhaq;Psma2;Lsm2;Canx;Ddx18;Dut;Psma1;Orc2;Cdc20;Xpo1;Cul1;Gspt1;H2az1;Srsf3;Tomm70a;Hnrnpc;Ptges3;Eif2s1;Hprt;Eif1ax;Prdx4;Smarcc1;Ranbp1;Set;Cdc45;Eif3j1;Pold2;Apex1;Ruvbl2"
"HALLMARK_FATTY_ACID_METABOLISM",5.83854025895097e-05,0.000729817532368872,0.557332238758646,-0.432354941562327,-1.75365806968758,139,"Ywhah;Fh1;Aco2;Nbn;Acsl5;Acadm;Etfdh;Hmgcs1;Suclg2;Dld;Hsd17b11;Sdha;Decr1;Rap1gds1;Nsdhl;Mdh1;Ech1;Eno2;Serinc1;Sms;Grhpr;Slc22a5;Pts;Echs1;Gstz1;H2az1;Acox1;Hccs;Hibch;Eci1;Adh1;Cd1d1;Sdhc;Retsat;Idi1;Apex1;Hadh;Acadl;Idh3g;Hsd17b4;Acsl4;Sucla2;Hadhb;S100a10;Erp29;Elovl5;Hsd17b7;Ehhadh;Adsl;Urod;Aldh9a1"
"HALLMARK_G2M_CHECKPOINT",0.000208544537878166,0.00193066925632644,0.518848077743792,-0.388486106769559,-1.63725849122844,191,"E2f3;Hus1;Brca2;Tnpo2;Dbf4;Ezh2;Wrn;Mcm2;Cks2;Dkc1;Smc1a;Fancc;Pole;Smad3;Hif1a;Kpnb1;Cdc6;Slc12a2;Mcm5;Numa1;Ctcf;Mt2;Cdc7;Bub1;Lbr;Rbl1;Stil;Bcl3;Polq;Mtf2;Cdc20;Xpo1;E2f2;Top1;Cul1;Knl1;Rad21;Gspt1;H2az1;Kif20b;Atrx;Plk1;Mki67;Traip;Cdk1;Smarcc1;Hira;Ncl;Cdc45;Sap30;Meis2;Chek1;Cbx1;Ilf3;Prc1;Top2a;Birc5;Ube2c;Katna1;Orc5;Prpf4b;H2az2;Snrpd1;Ss18;Ccnb2;Pds5b;Nup98;Dtymk;Aurkb;Ccna2;Ndc80;Espl1;Casp8ap2;Mcm3;Nusap1;Kif4;Odf2;Slc7a1;Stag1;Aurka;Meis1;Sqle;Ccnf;Smc2;Rad54l;Map3k20"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.000231680310759173,0.00193066925632644,0.518848077743792,0.413714056499811,1.68531156410712,81,"Tnfrsf12a;Cbl;Il6;Tgfb1;Il4ra;Itga4;Myd88;Tnf;Ltb;Socs1;Pim1;Pdgfc;Pik3r5;Stat2;Il3ra;Il9r;Crlf2;Csf2ra;Jun;Il12rb1;Dntt;Ebi3;Acvr1b;Ccl7;Itgb3;Stat1;Csf1;Stam2;Il17ra"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.00203330099337019,0.0145235785240728,0.431707695803346,0.299513385963135,1.41355272329367,193,"Tnip2;Kdm6b;Il6;Cebpb;Mcl1;Tubb2a;Sik1;Cd80;Ier5;Sqstm1;Nfkb2;Pmepa1;Fosb;Cdkn1a;Klf6;Clcf1;Ets2;Klf4;Tnf;Nfkbia;Nfat5;Slc16a6;Jag1;Zfp36;Tap1;Zc3h12a;Ehd1;Slc2a6;Klf2;Dusp2;Abca1;Stat5a;Tnfaip6;Jun;Atf3;B4galt5;Cflar;Nfkb1;Zbtb10;Marcks;Nr4a1;Rhob;Maff;Junb;Plek;Dnajb4;Bcl6;Trib1;Trip10;Map2k3;Dusp4;Plau;Per1;Csf1;Ptger4;Ppp1r15a;Plaur;Relb;Btg2;Tsc22d1;Sat1;Il23a;Traf1;Rela;Gadd45b;Nr4a3;Fos;Ccrl2;Ninj1;Cebpd;Ier3;Ccl2;Olr1;Pnrc1;Serpinb2;Birc2;Klf9;Cxcl10;Tnfaip2"
"HALLMARK_MITOTIC_SPINDLE",0.00302760167030349,0.0189225104393968,0.431707695803346,-0.356072027208093,-1.49818956132591,189,"Ckap5;Rfc1;Brca2;Fgd6;Anln;Dock2;Smc1a;Ssh2;Arhgap5;Flna;Tuba4a;Arhgef3;Tlk1;Arfgef1;Pdlim5;Pcm1;Rapgef6;Numa1;Lrpprc;Tubgcp5;Kntc1;Dock4;Itsn1;Bub1;Cdk5rap2;Myo9b;Apc;Wasf2;Hook3;Rasa2;Pcgf5;Farp1;Kif20b;Sass6;Sos1;Clasp1;Plk1;Cep131;Cdk1;Arhgef11;Capzb;Smc3;Cep192;Llgl1;Lats1;Kif1b;Stau1;Akap13;Rasa1;Prc1;Top2a;Birc5;Fgd4;Ppp4r2;Clip1;Tsc1;Rictor;Katna1;Trio;Ect2;Ccnb2;Rock1;Ophn1;Hdac6;Nck2;Ndc80;Ralbp1;Espl1;Kif3c;Nusap1;Kif4;Cep57;Uxt"
"HALLMARK_P53_PATHWAY",0.00504441019075907,0.0280245010597726,0.407017918923954,0.298038448613066,1.40082077893001,185,"Tgfb1;Mapkapk3;Rhbdf2;Tnni1;Bax;Ier5;Ccnd2;Ddit3;Mdm2;Cdkn1a;Cebpa;Aen;Klf4;Def6;Rxra;Ralgds;Vamp8;Slc7a11;Sfn;Fdxr;Foxo3;Slc3a2;Irag2;Phlda3;Socs1;Apaf1;Wrap73;Osgin1;Tap1;Ddit4;Trafd1;H2aj;Gm2a;Kif13b;Coq8a;Mxd4;Pidd1;Cdkn2aip;Irak1;Hspa4l;Plk3;Mknk2;Iscu;Jun;Atf3;Prkab1;Acvr1b;Epha2;Tob1;Rap2b;Csrnp2;Tchh;Trp63;Slc19a2;Traf4"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.00832812900670405,0.0402582817980133,0.380730400722792,-0.484558473748546,-1.6551923622455,45,"Mbp;Glrx2;Ptpa;Gclm;Ndufb4;Prdx1;Ipcef1;Hmox2;Msra;Glrx;Lsp1;Prdx4;Scaf4;Txn1;Gpx3"
