"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_IL2_STAT5_SIGNALING",0.000586310261086466,0.0293155130543233,0.477270815362862,0.346354155427677,1.49613472177311,195,"Xbp1;Mapkapk2;Myo1c;Socs2;Ahnak;Ikzf4;Flt3l;Pdcd2l;Irf8;P4ha1;Eomes;Ltb;Il4ra;Rabgap1l;Socs1;Ccnd2;Syngr2;Swap70;Itgav;Plec;Pim1;Il3ra;Bcl2;Il2rb;Bcl2l1;Tnfrsf8;Hk2;Klf6;Ikzf2;Spred2;Tnfrsf4;Cish;Gabarapl1;Ecm1;Rgs16;Rhoh;Fgl2;Tgm2;Traf1;Snx9;Lclat1;Mxd1;Ccr4;Myo1e;Odc1;Gpr65;Nt5e;Slc1a5;Hopx;Cxcl10;Ifngr1;Tnfrsf18;Itih5;Rnh1;Uck2;Ptrh2;Il2ra;Spry4;Itgae"
"HALLMARK_FATTY_ACID_METABOLISM",0.00196154038723816,0.0385310085235419,0.431707695803346,-0.407470864626156,-1.49468505202334,143,"Ywhah;Acadm;Fh1;Etfdh;Acsl5;Suclg2;Hsd17b11;Aco2;Nbn;Dld;Nsdhl;Acox1;Rap1gds1;Pts;Echs1;Slc22a5;Decr1;Ech1;Adh1;Hsd17b4;Serinc1;Hibch;Gstz1;Cd1d1;Eci1;Hmgcs1;Eno2;Idh1;Sdha;Grhpr;Apex1;H2az1;Acsl4;Ehhadh;Idh3g;Retsat;Cd36;Hccs;Sucla2;Hadhb;Hpgd;Bckdhb;Erp29;Acadl;Elovl5;Idi1;Mdh1;Sms;Eci2"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.00231186051141251,0.0385310085235419,0.431707695803346,-0.392171296192533,-1.48209186730707,185,"Ndufs3;Prdx3;Cox11;Slc25a5;Vdac1;Slc25a11;Acadm;Cyb5a;Atp5j;Fh1;Etfdh;Mpc1;Aco2;Ndufb4;Atp6v1h;Acat1;Polr2f;Ndufv2;Dld;Uqcrc2;Glud1;Ndufab1;Ndufa4;Atp5o;Ndufs8;Ldhb;Atp6v1e1;Echs1;Decr1;Lrpprc;Atp6v1c1;Ech1;Ndufc1;Cycs;Ndufb3;Tomm22;Timm8b;Uqcrb;Timm9;Abcb7;Mtrf1;Aldh6a1;Eci1;Tomm70a;Slc25a20;Idh3a;Ndufs6;Atp6v1g1;Idh1;Vdac2;Atp5g3;Sdha;Idh2;Ndufa1;Oat;Uqcrfs1;Idh3g;Mgst3;Retsat;Hccs;Sucla2;Atp6v0c;Pdhx;Ndufa6;Cox10;Fdx1;Hadhb;Cox7b;Pdp1;Atp6v0b"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.00483968360806298,0.056936097382381,0.407017918923954,0.40575434078709,1.55415787694381,84,"Cbl;Tnfrsf12a;Tgfb1;Ltb;Il4ra;Itga4;Socs1;Myd88;Stat2;Pim1;Il3ra;Cxcl13;Crlf2;Il12rb1;Stat1;Il6;Ebi3;Csf2ra;Itgb3;Pdgfc;Cxcl10;Ifngr1;Pik3r5;Bak1;Tnf;Il2ra;Stam2;Il15ra;Jun;Cd14;Irf1;Stat3;Dntt"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.0056936097382381,0.056936097382381,0.407017918923954,0.380841969557595,1.52043438806346,96,"Il4ra;Uba7;Tent5a;Ogfr;Helz2;Tap1;Trafd1;Irf7;Stat2;Isg15;Rnf31;Trim14;Gbp2;Oas1g;Lgals3bp;Cmtr1;Dhx58;Bst2;Oas1a;Psmb9;Adar;Oasl1;Trim21;Cmpk2;Ube2l6;Mov10;Casp8;Batf2;Cxcl10;Cd74;Ifi35;Mvb12a;Herc6;Ifit3;Rsad2;Ifit2;Trim25;Nmi;Rtp4;Irf2;Irf1;Ifi27l2b;Pnpt1"
"HALLMARK_P53_PATHWAY",0.0175581041844545,0.13406299103382,0.352487857583619,0.307122430595474,1.32054382896322,185,"Tgfb1;Rhbdf2;Bax;Mapkapk3;Mdm2;Ier5;Aen;Vamp8;Cdkn1a;Apaf1;Socs1;Ccnd2;Tap1;Ddit3;Fdxr;Tnni1;Irag2;Trafd1;Slc3a2;Def6;Slc7a11;Osgin1;Sfn;Ddit4;Irak1;Pidd1;Foxo3;Wrap73;Rxra;Klf4;Coq8a;H2aj;Traf4;Gm2a;Iscu;Rgs16;Rap2b;Hspa4l;Slc19a2;Mknk2;Cdkn2aip;Notch1;Kif13b;Mxd4;Cebpa;Mxd1;Pcna"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.0210631666591394,0.13406299103382,0.352487857583619,0.301665885103524,1.3030962614567,195,"Irf8;Nlrc5;Il4ra;Vamp8;Cdkn1a;Socs1;Ogfr;Myd88;Helz2;Pml;Tap1;Trafd1;Irf7;H2-D1;Stat2;Pim1;Isg15;Rnf31;Trim14;Il2rb;Tapbp;Cd274;Lgals3bp;Nfkbia;Cmtr1;Lats2;Dhx58;Bst2;Psmb9;Adar;Oasl1;Cfb;Stat1;Trim21;Oas2;Nfkb1;Il6;Fgl2;H2-Eb1;Cmpk2;Ube2l6;Mvp;Gzma;Casp8;Casp7;Xaf1;Vamp5;Batf2;Psmb10;H2-M3;Cxcl10;Cd74;Ifi35;Zbp1;Tnfaip6;Herc6;Ifit3;Gbp8;Znfx1;Casp3;Rsad2;Ifit2;Trim25;Jak2;Nmi;Rbck1;H2-DMa;Il15ra;Rtp4;Xcl1;Irf2;Irf1;Pfkp;Ifi27l2b;Pnpt1;Stat3"
"HALLMARK_COAGULATION",0.0214500785654112,0.13406299103382,0.352487857583619,-0.386373181761868,-1.39865447515337,125,"Sparc;Trf;Gng12;Ctsl;Lta4h;Ctsh;Anxa1;Cpq;Klk8;Lamp2;Cfh;Gnb2;Arf4;Gp9;Ctsk;Ctse;Pros1;Fyn;Dpp4;Usp11;Mmp2;Lgmn;Pf4;Lrp1;Thbs1;Mmp10;Rapgef3;F2rl2;Cd9;Ang;F3;C1qa;Fn1;Bmp1;Apoc1"
"HALLMARK_UV_RESPONSE_DN",0.025968966342692,0.138546798029557,0.352487857583619,-0.380511696156835,-1.37908583706038,124,"Prdm2;Phf3;Nrp1;Nek7;Gcnt1;Pdlim5;Nr1d2;Pten;Smad3;Dyrk1a;Nipbl;Atrx;Atrn;Inpp4b;Syne1;Mios;Prkce;Dmac2l;Tfpi;Fyn;Zmiz1;Tjp1;Wdr37;Rasa2;Tgfbr2;Prkar2b;Arhgef9;Ldlr;Dab2;Rbpms;Cacna1a;Add3;Acvr2a;Atp2b1;Kalrn;Plpp3;Amph;Kcnma1;Bckdhb;Dusp1;Prkca;F3;Atp2c1;Mt1;Myc;Dlc1;Bdnf;Plcb4"
"HALLMARK_MITOTIC_SPINDLE",0.0305250305250305,0.138546798029557,0.287857117255149,-0.345121176864927,-1.31134815617314,193,"Rfc1;Ckap5;Dock2;Arhgef3;Smc1a;Brca2;Fgd6;Numa1;Arhgap5;Ssh2;Pdlim5;Tuba4a;Anln;Tubgcp5;Flna;Tlk1;Rapgef6;Arfgef1;Myo9b;Wasf2;Pcm1;Lrpprc;Dock4;Hook3;Cdk5rap2;Apc;Arhgef11;Kif20b;Clasp1;Akap13;Sos1;Itsn1;Ophn1;Nf1;Rapgef5;Capzb;Cd2ap;Trio;Kntc1;Lats1;Rasa2;Rasa1;Tsc1;Clip1;Farp1;Sass6;Stau1;Cep131;Nck2;Rictor;Cep57;Smc3;Cep192;Myh10;Llgl1;Taok2;Bub1;Kif1b;Rabgap1;Ppp4r2;Fgd4;Kifap3;Tubd1;Dst;Pcgf5;Hdac6;Arhgdia;Rock1;Rhot2;Ndc80;Katna1;Rasal2"
