"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",3.08247920313841e-18,1.5412396015692e-16,1.10533657731401,0.537314334736597,2.56306425050432,197,"Bub1b;Cdc20;Tubb5;Pold1;H2ax;Stmn1;Rrm2;Tmpo;Spc24;Rnaseh2a;Cdkn2c;Timeless;Mlh1;Kif18b;Anp32e;Hmgb3;Mcm7;Tcf19;Racgap1;Cdca3;Pan2;Ncapd2;Pnn;Rpa2;Slbp;Cdk4;Dctpp1;Wdr90;Mxd3;Cenpe;Melk;Espl1;Bard1;Cenpm;Nasp;Nop56;Ddx39a;Hmmr;Aurkb;Aurka;Plk1;Top2a;Spc25;Tacc3;Cks1b;Dlgap5;Cdk1;Pola2;Gins3;Jpt1;Gins1;Tk1;Pcna;Ppp1r8;Lig1;Asf1b;Ubr7;Kif22;Mcm3;Brca1;Dnmt1;Phf5a;Pole4;Spag5;Cit;Hells;Ak2;Ccp110;Lyar;Mybl2;Brms1l;Brca2;Kif2c;Orc6;Mre11a;Kif4;Ccne1;Ung;Nme1;Prim2;Nup107;Cbx5;Pds5b;Chek1;Shmt1;Birc5"
"HALLMARK_G2M_CHECKPOINT",2.50231511969194e-12,6.25578779922985e-11,0.898671232061694,0.478213348014511,2.25735132995108,191,"Tfdp1;Cdc20;Chaf1a;H2ax;Stmn1;Rad54l;Nek2;Tmpo;Mt2;Cdkn2c;Ccnf;Troap;Hmgb3;Tpx2;H2az2;Racgap1;Rpa2;Cdk4;Nsd2;Cenpe;Espl1;Bard1;Nasp;Ddx39a;Meis2;Hmmr;Aurkb;Aurka;Plk1;Top2a;Slc7a5;Tacc3;Cks1b;Cdk1;Pola2;Jpt1;Kif23;Prc1;Incenp;Smc2;Polq;Uck2;Chmp1a;Kif22;Mcm3;Traip;Slc7a1;Exo1;Ndc80;Pml;Odf2;Cdc45;G3bp1;Srsf10;Cenpf;Nusap1;Pbk;E2f2;Dtymk;Pura;Mybl2;Slc38a1;Kif15;Ccna2;Ttk;Hnrnpu;Brca2;Kif2c;Orc6;Sqle;Kif4;Cul4a;Gins2;Kpnb1;Prim2;Dkc1;Pds5b;Atf5;Sfpq;Chek1;Birc5;Bub1;Kif11;Ube2c;Srsf1;Tgfb1;Mki67"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",2.07534566346142e-07,3.45890943910237e-06,0.690132458796796,0.498712770678163,2.13749427420401,96,"Ifi44;Ncoa7;Usp18;Rsad2;Ifih1;Dhx58;Oas1a;Herc6;Isg20;Trim25;Adar;Ube2l6;Ifi35;Ifit2;Casp8;Trafd1;Nub1;Isg15;Stat2;Oasl1;Parp12;Psmb9;Tap1;Irf7;Ifit3;Uba7;Cmpk2;Trim21;Trim14;Cmtr1;Trim26;Rtp4;Mov10;Tmem140"
"HALLMARK_ANDROGEN_RESPONSE",2.92152672097488e-05,0.000309298392081068,0.575610261071129,-0.468952137939928,-1.91091882965597,97,"Hpgd;Selenop;B4galt1;Arid5b;Dnajb9;Ell2;Mertk;Iqgap2;Actn1;Lifr;Sgk1;Scd1;B2m;Adamts1;Pias1;Uap1;Rab4a;Gsr;Slc26a2;Itgav;Elovl5;Elk4;Tnfaip8;Spcs3;Srp19;Ngly1;Ncoa4;Abhd2;Appbp2;Fads1;Ccnd1;Zbtb10;Plpp1;Acsl3;Zmiz1;Pa2g4;Ccnd3;Gpd1l;Ank;Cdc14b;Klk1"
"HALLMARK_PROTEIN_SECRETION",3.09298392081068e-05,0.000309298392081068,0.557332238758646,-0.47952298991818,-1.92669867070746,90,"Arfgef1;Vamp3;Stx7;Rab2a;Vps4b;Atp6v1h;Dnm1l;Rab14;Tmed2;Ap1g1;Vps45;Rab22a;Arcn1;Mapk1;Vamp4;Snx2;Ppt1;Snap23;Mon2;Ica1;Rer1;Sgms1;Abca1;Golga4;Sod1;Copb1;Scamp1;Arfip1;Cope;Atp7a;Cltc;Gbf1;Stx12;Lamp2;Arfgef2;M6pr;Tmed10"
"HALLMARK_ALLOGRAFT_REJECTION",4.83720626654375e-05,0.000403100522211979,0.557332238758646,-0.388543402838797,-1.74494270599063,184,"Ncr1;Cd86;Gcnt1;Klrd1;Ccr2;Ets1;Abce1;Pf4;Il15;Abi1;Ccr5;Ccl5;Hif1a;Eif3j1;H2-Q7;Ube2n;Csf1;Ptprc;Cd1d1;Lyn;Bcl10;Galnt1;St8sia4;B2m;Degs1;Fasl;Cd7;Ifngr2;Nck1;Flna;Ly86;Il2ra;Ifngr1;Stat4;Mmp9;Cd40lg;Trat1;Ifnar2;Fas;Nlrp3;Tnf;Spi1;Igsf6;Icosl;Ccr1;Il18rap;Cd79a;Was;Cd80;Cd4;Lcp2;Csk;Icam1;Il16;Il6;Irf4;Cd3d;Fcgr2b;Ccl4;Jak2;Lif;Ccnd3;Mtif2;Ccl7;Ube2d1;H2-Ob"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",6.64589582768115e-05,0.000474706844834368,0.538434096309916,0.348730617629495,1.65376621567814,194,"Ifi44;Usp18;Rsad2;Mt2;Cfb;Ifih1;Dhx58;Herc6;Isg20;Trim25;Nup93;Slamf7;Adar;Ube2l6;Oas3;Il15ra;Gbp8;Ifi35;Xaf1;Ifit2;Casp8;Il18bp;Trafd1;Pfkp;Isg15;Cd40;Stat2;Xcl1;Oasl1;Nfkb1;Parp12;Zbp1;Psmb9;Tap1;Irf7;Ifit3;Socs1;Cmpk2;Trim21;Trim14;Cmtr1;Trim26;Oas2;Rtp4;Tnfsf10;Ciita;Pml;Nlrc5;Ifit1bl1;Tapbp"
"HALLMARK_INFLAMMATORY_RESPONSE",7.94359889904339e-05,0.000496474931190212,0.538434096309916,-0.382421291019682,-1.71744839187805,184,"Il1a;Calcrl;Il7r;Cd55;Pde4b;Rgs1;Slc11a2;Clec5a;Gpr183;Sell;Ccl24;Il15;Abi1;Gna15;Il18r1;Ccl5;Hif1a;Itga5;Csf1;Lyn;Gpr132;Il1r1;Cd48;Ifitm1;Ifngr2;Irak2;Sri;Cxcr6;Pdpn;Gch1;Slamf1;Psen1;Ifnar1;Ptafr;Cd82;Adgre1;Atp2b1;Osm;Nlrp3;Cmklr1;Abca1;Icosl;Lta;Pvr;C3ar1;Il18rap;Lcp2;P2ry2;Csf3r;P2rx7;Icam1;Slc31a2;Ffar2;Tnfrsf1b;Il6"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.000216229619334614,0.00120127566297008,0.518848077743792,-0.364467944862533,-1.65298834323041,193,"Il1a;Tnfaip3;Cd83;Il7r;Pde4b;Gpr183;B4galt1;Cxcl3;Rcan1;Il6st;Btg1;Ccl5;Eif1;Csf1;Sgk1;Vegfa;Rnf19b;Ifngr2;Nfkbie;Egr1;Bcl6;Tgif1;Gch1;Pfkfb3;Tank;Panx1;Plek;Bmp2;Atp2b1;Smad3;Ier3;Litaf;Jag1;Tnf;Tnfaip8;Abca1;Dennd5a;Icosl;Areg;Ptgs2;Btg3;Dusp5;Cd80;Ninj1;Tiparp;Irs2;Icam1;Fosl2;Ccnd1;Ccnl1;Zbtb10;Il6;Cd44;Birc3;Per1;Nr4a2;Trip10;Ccl4;Lif;Birc2;Nr4a3;Serpine1;Cxcl2;Rel;Nfe2l2;Csf2;Ccrl2;Rela;Id2;Dusp1;Snn;Yrdc;Stat5a"
"HALLMARK_MITOTIC_SPINDLE",0.000633577471054275,0.00316788735527138,0.477270815362862,0.323002019728039,1.52998422958612,189,"Cep131;Nek2;Cep250;Tpx2;Racgap1;Als2;Cntrob;Rab3gap1;Cenpe;Espl1;Abr;Aurka;Plk1;Top2a;Bcr;Dlgap5;Cdk1;Net1;Cep72;Kif23;Prc1;Incenp;Tubd1;Myo1e;Kif22;Anln;Ralbp1;Klc1;Ezr;Pif1;Ect2;Cenpj;Ywhae;Mid1ip1;Ccdc88a;Ndc80;Cenpf;Nusap1;Pkd2;Actn4;Arfip2;Arf6;Kif15;Kntc1;Tubgcp6;Ttk;Brca2;Kif2c;Sac3d1;Kptn;Map3k11;Kif4;Pcnt;Shroom2"
"HALLMARK_MYC_TARGETS_V2",0.000763760601779388,0.00320789156868244,0.477270815362862,0.464114701237776,1.79889861772584,56,"Cdk4;Dctpp1;Dusp2;Nop56;Plk1;Hspd1;Tcof1;Ppan;Nip7;Ipo4;Nop2;Map3k6;Rrp9;Mphosph10;Ung;Npm1;Prmt3;Grwd1;Mybbp1a;Myc;Rcl1;Ndufaf4;Rabepk;Exosc5;Plk4;Nop16;Imp4;Slc29a2;Farsa"
"HALLMARK_HEME_METABOLISM",0.000769893976483787,0.00320789156868244,0.477270815362862,-0.361389741552671,-1.62037768370773,174,"Bnip3l;Kdm7a;Klf3;Vezf1;Ypel5;Top1;Slc11a2;Cir1;Sdcbp;Smox;Arl2bp;Nek7;Ell2;Gclc;Mfhas1;Bach1;Abcg2;Sec14l1;Ezh1;Eif2ak1;Mark3;Arhgef12;Nr3c1;Slc10a3;Nudt4;Aqp3;Aldh6a1;Mpp1;Gapvd1;Ranbp10;Fbxo34;Rbm5;Foxj2;Bmp2k;Dcun1d1;Gclm;Minpp1;Picalm;Fech;Mospd1;Tent5c;Epb41;Ncoa4;Tnrc6b;Slc25a37;Slc7a11;Cdr2;Kat2b;Tfrc;Pdzk1ip1;Acp5;Daam1;Lamp2;Ctse;Xpo7;Ccnd3;Bsg;Tfdp2;Marchf8;Igsf3;Car2;Marchf2;Fbxo9;Cdc27;Gypc;Btrc;Add1;Dcaf10;Khnyn"
"HALLMARK_UV_RESPONSE_DN",0.00222133166609329,0.00854358333112804,0.431707695803346,-0.38312812203405,-1.61149349665026,117,"Pmp22;Dab2;Gcnt1;Prdm2;Nr1d2;Igf1r;Atrx;Rbpms;Nipbl;Dyrk1a;Nek7;Vav2;Mios;Pten;Cdk13;Phf3;Tgfbr2;Nrp1;Nr3c1;Sri;Rasa2;Fyn;Add3;Adgrl2;Atp2b1;Smad3;Synj2;Ica1;Smad7;Kit;Mapk14;Grk5;Wdr37"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.00271693315205209,0.00970333268590033,0.431707695803346,-0.409643379907193,-1.63472865023945,81,"Il1r2;Cd9;Pf4;Cxcl3;Il18r1;Il6st;Csf1;Il10rb;Tnfrsf1a;Il1r1;Grb2;Ifngr2;Stat3;Ifnar1;Tnfrsf21;Il2ra;Ifngr1;Fas;Tnf;Hmox1;Ccr1;Dntt;Ptpn2;Csf3r;Il13ra1;Pdgfc;Tnfrsf1b;Il17ra;Il6;Cd44;Stam2;Cxcl2;Ccl7;Csf2;Cd14"
"HALLMARK_IL2_STAT5_SIGNALING",0.00331279895422,0.0110426631807333,0.431707695803346,-0.332576052920505,-1.50658426031921,192,"Il1rl1;Cd86;Cd83;Icos;Il1r2;Igf1r;Sell;Pou2f1;Il18r1;Glipr2;Csf1;Wls;Lrrc8c;Tlr7;Smpdl3a;Ikzf2;Ncoa3;Rora;Nt5e;Dhrs3;Ctla4;Cd48;Nrp1;Fah;Spry4;Eomes;Cyfip1;Itga6;Itgav;Bmpr2;Tnfrsf21;Il2ra;Ifngr1;Batf;Bmp2;Hk2;Etfbkmt;Nfkbiz;Dennd5a;Ahcy;Emp1;Cd81;Prkch;She;Furin;Tnfrsf1b;Plpp1;Tnfsf11;Cd44;Irf4;Cdc42se2;Huwe1;St3gal4;Lif;Phtf2;Ccnd3;Odc1;Prnp;Itgae;Ikzf4;Csf2;Ahr;Ptrh2;Cdkn1c"
"HALLMARK_NOTCH_SIGNALING",0.00626482121755412,0.0195775663048566,0.407017918923954,-0.537994429988251,-1.72234729456921,28,"Dtx4;Cul1;St3gal6;Sap30;Maml2;Tcf7l2;Jag1;Fzd7;Ccnd1;Ppard;Skp1;Dtx2;Dtx1;Arrb1;Dll1"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.00914157651927801,0.0268869897625824,0.380730400722792,0.323443703040636,1.42676877133256,109,"Asns;Eef2;H2ax;Psat1;Bag3;Chac1;Tspyl2;Wipi1;Cxxc1;Nop56;Banf1;Exosc1;Slc7a5;Cks1b;Imp3;Srpr;Aldh18a1;Fkbp14;Ifit1bl1;Hspa9;Iars;Eif2ak3;Lsm4;Slc1a4;Srprb"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.0106071409618368,0.0294642804495467,0.380730400722792,-0.366975566264387,-1.49561019993959,100,"Actr3;Smad2;Cxcr4;Dapp1;Ube2n;Actr2;Arpc3;Ube2d3;Tnfrsf1a;Pten;Prkag1;Mapk1;Prkar2a;Tbk1;Fasl;Grb2;Ralb;Nck1;Cab39;Eif4e;Grk2;Gsk3b;Pikfyve;Mapkap1;Cltc;Cab39l;Rac1;Ripk1;Pla2g12a;Cdk2;Pdk1;Vav3;Cdkn1b;Mknk2;Dusp3"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.0139759030359036,0.0357963405192201,0.380730400722792,-0.442203054840292,-1.58865748467437,45,"Txnrd1;Ipcef1;Gclc;Sbno2;Ndufb4;Prdx6;Gsr;Scaf4;Gclm;Glrx2;Glrx;Srxn1;Hhex;Ndufa6;Sod1;Lsp1"
"HALLMARK_TGF_BETA_SIGNALING",0.0143185362076881,0.0357963405192201,0.380730400722792,-0.435011982601213,-1.60517704491131,51,"Smurf2;Ube2d3;Ppm1a;Ifngr2;Acvr1;Arid4b;Tgif1;Bmpr2;Rab31;Tgfbr1;Bmp2;Smad3;Trim33;Smad7;Skil;Furin;Serpine1;Id1;Xiap;Eng;Cdkn1c;Id2"
"HALLMARK_KRAS_SIGNALING_UP",0.0164033333545621,0.0390555556061002,0.352487857583619,-0.320882795158003,-1.43336098993202,171,"Zfp277;Cfh;Tnfaip3;Il7r;Tmem176a;Itga2;Ets1;Cxcr4;Il1rl2;Dock2;Ptcd2;Ace;Tmem176b;Wdr33;Nrp1;Mmd;Akt2;Ccser2;Hsd11b1;Mmp9;Cdadc1;Map3k1;Bmp2;Zfp639;Trib2;Cmklr1;Satb1;Glrx;St6gal1;Nin;C3ar1;Prelid3b;Emp1;Ptgs2;Mtmr10;Sdccag8;Dnmbp;Tph1;Mmp10;Tnfrsf1b;Clec4a3;Avl9;Birc3;Cab39l;Mycn;Ero1a;Lif;Ikzf1;Ammecr1;Ank;Cd37;Eng;Csf2;Id2;Car2"
"HALLMARK_APOPTOSIS",0.0286260688255559,0.0629248355495654,0.352487857583619,-0.318622263484814,-1.38564653736486,147,"Bnip3l;Il1a;Crebbp;Gna15;Lef1;Sc5d;Bcl10;Dnm1l;Etf1;Rock1;Fasl;App;Dap3;Gsr;Gch1;Nefh;Ppt1;Dap;Psen1;Dnaja1;Ifngr1;Bik;Bmp2;Timp2;Fas;Ier3;Tnf;Rnasel;Ppp3r1;Satb1;Hmox1;Smad7;Sod1;Emp1;Retsat;Btg3;Gpx1;Ccnd1;Madd;Il6;Cd44;Birc3;Ank;Xiap;Cdk2;Cdkn1b;Cd14;Casp2;Rela;Casp6"
"HALLMARK_ANGIOGENESIS",0.0289454243528001,0.0629248355495654,0.352487857583619,-0.473829659757422,-1.51692877673039,28,"Pf4;Vav2;Vegfa;App;Nrp1;Itgav;Tnfrsf21;Jag1;Pdgfa;Lpl;Lrpap1;Thbd;S100a4"
"HALLMARK_COMPLEMENT",0.0444104134762634,0.0925216947422154,0.266350657088526,-0.295116746088556,-1.32577280903422,176,"Cfh;Tnfaip3;Itgam;Cd55;Usp16;Zeb1;Cxcl3;Ccl5;Dock10;Lyn;Lta4h;Pla2g7;Grb2;Prkcd;Dyrk2;Pik3ca;Kif2a;Psen1;Fyn;Ppp2cb;Fdx1;Lgmn;F8;Plek;Gp9;Cpm;Timp2;Cd40lg;Pik3cg;Akap10;Cblb;Vcpip1;Sh2b3;Ang;Apoc1;Prcp;Gngt2;Dusp5;Pdgfb;Was;Ctsl;Gnb4;Lcp2;Dock4;Usp14;Il6;Lamp2;Cr2;Ctsh;Jak2;Ctso;Ctsd;Pla2g4a;Pdp1;Serpine1;Cxcl2;F5;C1qa;Klk1"
