"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",5.28142616058378e-28,2.64071308029189e-26,1.37274298193398,0.620621330791185,2.88598591157294,197,"Cdc20;Bub1b;H2ax;Tubb5;Pold1;Cdkn2c;Mlh1;Tmpo;Rrm2;Timeless;Ddx39a;Hmgb3;Anp32e;Spc24;Pnn;Kif18b;Stmn1;Slbp;Rnaseh2a;Wdr90;Racgap1;Cdca3;Nop56;Pola2;Bard1;Pcna;Mcm7;Cdkn2a;Melk;Cenpe;Espl1;Nasp;Gins1;Tacc3;Gins3;Cdk4;Cenpm;Top2a;Dlgap5;Rpa2;Cks1b;Mxd3;Jpt1;Ncapd2;Aurkb;Aurka;Pan2;Cdk1;Plk1;Tcf19;Spc25;Brca1;Hells;Asf1b;Lig1;Ppp1r8;Kif22;Tk1;Ubr7;Dnmt1;Hmmr;Pole4;Mcm3;Phf5a;Lyar;Spag5;Brms1l;Dctpp1;Mybl2;Cit;Ak2;Kif2c;Prim2;Hnrnpd;Mki67;Birc5;Orc6;Ccne1;Mre11a;Ccnb2;Kif4;Chek2;Trp53;Ccp110;Ung;Nup107;Nme1;Ezh2;Pole;Cdkn3;Chek1;Mms22l;Cbx5;Plk4;Srsf1;Dscc1;Lmnb1;Brca2;Msh2;Exosc8;Dut;Pold2"
"HALLMARK_G2M_CHECKPOINT",9.50761882651885e-17,2.37690470662971e-15,1.05746357275086,0.535159219628299,2.46618583802273,193,"Cdc20;Tfdp1;H2ax;Nek2;Cdkn2c;Ccnf;Tmpo;Ddx39a;Rad54l;Hmgb3;Stmn1;Tpx2;Troap;H2az2;Chaf1a;Racgap1;Pola2;Bard1;Cenpe;Espl1;Nasp;Tacc3;Cdk4;Top2a;Kif23;Smc2;Rpa2;Cks1b;Jpt1;Aurkb;Incenp;Aurka;Nsd2;Cdk1;Plk1;Prc1;Polq;Pml;Kif22;Srsf10;Nusap1;Hmmr;Mcm3;Cdc45;G3bp1;Uck2;Exo1;Slc7a1;Kif15;Slc7a5;Pura;Pbk;Mybl2;Hnrnpu;Cenpf;Gins2;Kif2c;Chmp1a;Ttk;Dkc1;Prim2;Kif11;Hnrnpd;E2f2;Sfpq;Mki67;Ccna2;Slc38a1;Birc5;Orc6;Bub1;Ccnb2;Kif4;Traip;Ndc80;Ube2c;Tgfb1;Dtymk;Odf2;Cul4a;Ezh2;Pole;Cdkn3;Chek1;Fbxo5;Kpnb1;Plk4;Srsf1"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",2.51785085045185e-10,4.19641808408642e-09,0.814035837847908,0.568280110340227,2.41554782231929,96,"Usp18;Ifi44;Ncoa7;Dhx58;Oas1a;Isg20;Ifi35;Casp8;Rsad2;Ube2l6;Adar;Trim25;Oas1g;Trafd1;Ifit2;Ifih1;Isg15;Psmb9;Herc6;Stat2;Tap1;Cmtr1;Oasl1;Irf7;Trim21;Uba7;Trim14;Bst2;Cmpk2;Nub1;Rtp4;Mov10;Trim26;Ifit3;Gbp2;Parp12;Lgals3bp;Helz2;Cxcl10;Tmem140;Nmi;Tent5a"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",8.4024663947042e-07,1.05030829933803e-05,0.659444398037935,0.38988488777558,1.80606019303542,195,"Usp18;Ifi44;Dhx58;Isg20;Ifi35;Casp8;Gbp8;Rsad2;Ube2l6;Nup93;Adar;Trim25;Xaf1;Trafd1;Ifit2;Ifih1;Oas3;Il15ra;Isg15;Slamf7;Psmb9;Cfb;Herc6;Stat2;Pfkp;Tap1;Socs1;Cmtr1;Oasl1;Irf7;Trim21;Tnfsf10;Zbp1;Nfkb1;Trim14;Pml;Bst2;Nlrc5;Ciita;Cmpk2;Rtp4;Cxcl9;Oas2;Tapbp;Trim26;Cd40;Ifit3;Xcl1;Parp12;Lgals3bp;Stat1;Cd274;Helz2;Casp7"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",4.70759328970037e-06,4.70759328970037e-05,0.610526878385931,-0.418032476197447,-1.76587325084708,194,"Il1a;Pde4b;Tnfaip3;Il7r;B4galt1;Btg1;Cd83;Gpr183;Eif1;Ccl5;Il6st;Csf1;Rnf19b;Sgk1;Rcan1;Cxcl3;Ifngr2;Tgif1;Bcl6;Bmp2;Atp2b1;Egr1;Icosl;Tnfaip8;Pfkfb3;Panx1;Gch1;Plek;Ier3;Tiparp;Tnf;Birc3;Btg3;Zbtb10;Abca1;Per1;Nfkbie;Il6;Ccnl1;Smad3;Cxcl2;Ccl4;Ninj1;Litaf;Birc2;Vegfa;Dennd5a;Irs2;Icam1;Fosl1;Dusp1;Nfe2l2;Ptgs2;Hes1;Tank;Klf10;Il18;Plpp3;Snn;Hbegf;Tsc22d1;Ccnd1;Nr4a2;Cd80;Jag1;Serpine1;F3;Ccrl2;Rel;Tubb2a"
"HALLMARK_MYC_TARGETS_V2",2.25192756353573e-05,0.000187660630294644,0.575610261071129,0.5288713279408,2.00972853015946,56,"Nop56;Dusp2;Cdk4;Hspd1;Plk1;Nip7;Tcof1;Dctpp1;Mphosph10;Npm1;Rabepk;Ung;Nop2;Ppan;Rrp9;Rcl1;Ndufaf4;Plk4;Exosc5;Grwd1;Prmt3;Mybbp1a;Wdr74;Map3k6;Farsa;Slc29a2;Ipo4;Aimp2;Mcm5;Nop16;Nolc1;Phb;Pprc1;Myc;Imp4"
"HALLMARK_MITOTIC_SPINDLE",5.28705233143232e-05,0.000377646595102308,0.557332238758646,0.356445679150818,1.64261635360912,193,"Nek2;Rab3gap1;Tpx2;Cep250;Racgap1;Cenpe;Espl1;Abr;Top2a;Kif23;Dlgap5;Incenp;Aurka;Net1;Myo1e;Ralbp1;Cdk1;Plk1;Als2;Cntrob;Prc1;Ezr;Bcr;Kif22;Nusap1;Cenpj;Anln;Ect2;Cep72;Tubgcp6;Pif1;Kif15;Pcnt;Kif3c;Mid1ip1;Sac3d1;Cyth2;Actn4;Cenpf;Ywhae;Kif2c;Arf6;Ttk;Kif11;Klc1;Tubd1;Map3k11;Birc5;Arfip2;Bub1;Ccnb2;Kif4;Kntc1;Ndc80"
"HALLMARK_UV_RESPONSE_DN",0.000103939332490625,0.000649620828066404,0.538434096309916,-0.436593865335293,-1.7463716633244,124,"Pmp22;Prdm2;Gcnt1;Atrx;Nr1d2;Dab2;Dyrk1a;Mios;Nek7;Nipbl;Tgfbr2;Cdk13;Nrp1;Pten;Phf3;Rbpms;Vav2;Atp2b1;Add3;Fyn;Igf1r;Rasa2;Ica1;Nr3c1;Adgrl2;Synj2;Smad3;Sri;Smad7;Grk5;Dusp1;Zmiz1;Mapk14;Kcnma1;Plpp3;Ptprm;Dbp;Wdr37;Serpine1;F3;Runx1;Atrn;Dlc1;Bdnf;Kit;Sfmbt1"
"HALLMARK_ANDROGEN_RESPONSE",0.000200556867394805,0.00111420481886003,0.518848077743792,-0.457456109534906,-1.78262898385489,103,"Selenop;Hpgd;B4galt1;Dnajb9;Adamts1;Mertk;Lifr;Actn1;Arid5b;Iqgap2;Sgk1;Pias1;Ell2;B2m;Slc26a2;Scd1;Tnfaip8;Plpp1;Rab4a;Ncoa4;Ngly1;Zbtb10;Ank;Elovl5;Elk4;Uap1;Spcs3;Zmiz1;Tsc22d1;Ccnd1;Camkk2;Srp19;Gpd1l;Ube2j1;Gsr;Appbp2;Ccnd3"
"HALLMARK_HEME_METABOLISM",0.000233723921002661,0.0011686196050133,0.518848077743792,-0.385809235003741,-1.60039810216277,182,"Kdm7a;Bnip3l;Vezf1;Top1;Cir1;Klf3;Ypel5;Slc11a2;Mfhas1;Gclc;Nek7;Sdcbp;Smox;Bach1;Arl2bp;Abcg2;Sec14l1;Ezh1;Ell2;Gapvd1;Ranbp10;Mark3;Slc10a3;Fech;Gclm;Eif2ak1;Arhgef12;Foxj2;Ncoa4;Nudt4;Mospd1;Rbm5;Daam1;Fbxo34;Minpp1;Aldh6a1;Mpp1;Bmp2k;Nr3c1;Lamp2;Mgst3;Tnrc6b;Dcun1d1;Btrc;Tent5c;Picalm;Kat2b;Ctse;Acp5;Slc7a11;Slc6a9;Slc25a37;Xpo7;Fbxo7;Dcaf11;Tfrc;Cdr2;Aqp3;Epb41;Add1;Ccnd3;Sptb;Aldh1l1"
"HALLMARK_PROTEIN_SECRETION",0.000436591390542495,0.0019845063206477,0.49849310876659,-0.448630732451473,-1.71256900773441,90,"Arfgef1;Vamp3;Stx7;Rab2a;Atp6v1h;Dnm1l;Vps45;Arcn1;Rab14;Mapk1;Ap1g1;Ppt1;Tmed2;Vps4b;Snx2;Sgms1;Atp7a;Golga4;Rer1;Rab22a;Ica1;Abca1;Scamp1;Cltc;Lamp2;Vamp4;Mon2;Copb1;Sod1;Snap23;Dop1a;Stx12;Gbf1;Dst;Arfip1;Egfr;Arfgef2;Tmed10;Gosr2"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.000794809549844658,0.00331170645768608,0.477270815362862,0.379902075917711,1.63684486659207,110,"H2ax;Asns;Psat1;Nop56;Banf1;Eef2;Chac1;Cxxc1;Cks1b;Bag3;Srpr;Exosc1;Imp3;Srprb;Tspyl2;Lsm4;Hspa9;Aldh18a1;Slc7a5;Dkc1;Iars;Npm1;Eif2ak3;Ifit1bl1;Preb;Rrp9;Slc1a4;Sec11a;Tars;Exosc5;Atf4;Fkbp14;Wipi1;Eif4ebp1;Nop14;Xbp1;Exosc2;Cebpb;Stc2"
"HALLMARK_INFLAMMATORY_RESPONSE",0.000863839465433936,0.00332245948243822,0.477270815362862,-0.370225201130232,-1.5587308901367,191,"Il1a;Rgs1;Calcrl;Pde4b;Slc11a2;Clec5a;Cd55;Il7r;Gpr183;Ccl5;Gna15;Abi1;Csf1;Lyn;Il15;Ccl24;Sell;Itga5;Ifngr2;Hif1a;Il1r1;Cd48;Atp2b1;Ptafr;Icosl;Cmklr1;Il18r1;Adgre1;Ifnar1;Psen1;Gch1;Pvr;Nlrp3;Slamf1;C3ar1;Gpr132;Osm;Cxcr6;Slc31a2;Abca1;P2rx7;Csf3r;Il6;Sri;Lcp2;Cd82;Icam1;Irak2;Ccl7;Il18;Hbegf;Pdpn;P2ry2;Lta;Serpine1;F3;Ccrl2;Tlr1;Il18rap"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.00173824455015591,0.00620801625055683,0.45505986738723,0.323358957560319,1.50136511615496,185,"Ndufc2;Ndufb6;Cox15;Ndufa3;Ndufb5;Cox8a;Ndufa2;Cox5b;Atp5e;Polr2f;Ndufa8;Sdhb;Sdhd;Ndufs2;Etfa;Etfb;Ogdh;Sdhc;Cox6a1;Immt;Atp5g3;Vdac3;Ndufs1;Bax;Atp5c1;Pdhx;Hspa9;Aifm1;Fh1;Ndufs7;Ndufb8;Timm13;Cpt1a;Bckdha;Cox7c;Casp7;Phb2;Afg3l2;Surf1;Timm50;Hsd17b10;Hadha;Ndufv1;Atp5g1;Sdha"
"HALLMARK_ALLOGRAFT_REJECTION",0.00352839511984065,0.0114359532109661,0.431707695803346,-0.347807336782252,-1.45652806264788,188,"Gcnt1;Cd86;Ncr1;Abce1;Klrd1;Cd1d1;Ccr2;Ccl5;Ptprc;H2-Q7;Abi1;St8sia4;Eif3j1;Csf1;Ccr5;Bcl10;Pf4;Lyn;Ube2n;Il15;Galnt1;Ets1;Fasl;Ifngr2;Hif1a;Spi1;B2m;Nck1;Degs1;Ly86;Icosl;Ifnar2;Igsf6;Nlrp3;Flna;Tnf;Cd40lg;Trat1;Il16;Stat4;Cd7;Il6;Ccl4;Cd79a;Fcgr2b;Lcp2"
"HALLMARK_COAGULATION",0.00365950502750915,0.0114359532109661,0.431707695803346,-0.388182471271402,-1.54905389711147,125,"Sparc;Cfh;Cd9;Gp9;Itga2;Pf4;Arf4;Lta4h;Pros1;Lgmn;Trf;F8;Ctsl;F9;Ang;Plek;Fyn;Klk8;Ctsh;Lamp2;Pdgfb;C1qa;Msrb2;Ctse;Mmp10;Usp11;Lrp1;Apoa1;Rapgef3;Serpine1;Mmp9;F3;Ctso;Sh2b2;Anxa1;Bmp1"
"HALLMARK_DNA_REPAIR",0.00389337444230358,0.0114511013008929,0.431707695803346,0.328662159387468,1.45970710458186,145,"Pold1;Pola1;Nelfe;Pola2;Pcna;Polr2f;Rpa2;Alyref;Bola2;Lig1;Itpa;Ercc1;Polr2e;Pole4;Cmpk2;Zwint;Aprt;Nudt9;Upf3b;Umps;Polr1c;Ccno;Sac3d1;Surf1;Dctn4;Snapc4;Supt5;Trp53;Dgcr8;Gtf2f1;Fen1;Nme1;Ncbp2;Cstf3;Nt5c;Rnmt;Polr3gl;Rad51;Dut;Nelfcd;Srsf6;Polr2h;Tyms;Mpg;Gtf2h3;Nelfb;Polh;Rad52;Polr2d;Ercc3"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.00666851255066395,0.0185236459740665,0.407017918923954,-0.392660779826006,-1.51900630536082,100,"Actr3;Smad2;Dapp1;Ube2d3;Actr2;Ube2n;Prkag1;Arpc3;Tnfrsf1a;Pten;Fasl;Tbk1;Cxcr4;Grb2;Nck1;Prkar2a;Ralb;Mapk1;Grk2;Dusp3;Cltc;Gsk3b;Pikfyve;Pdk1;Mapkap1;Cab39;Eif4e"
"HALLMARK_COMPLEMENT",0.0071815316668823,0.0188987675444271,0.407017918923954,-0.333018799833078,-1.38373168236561,181,"Cfh;Itgam;Tnfaip3;Cd55;Ccl5;Usp16;Gp9;Lyn;Dock10;Lta4h;Cxcl3;Lgmn;Grb2;F8;Prkcd;Pik3cg;Vcpip1;Kif2a;Ctsl;Psen1;Ang;Akap10;Dyrk2;Plek;Sh2b3;Fyn;Gngt2;Cd40lg;Timp2;Ppp2cb;Pik3ca;Prcp;Ctsd;Ctsh;Lamp2;Zeb1;Pla2g7;Il6;Adra2b;Cxcl2;Lipa;Pdgfb;Dock4;Lcp2;Fdx1;C1qa;Pla2g4a;Casp4;Lrp1;Was;Cpm;Cr2;Serpine1;Prdm4;F3;Ctso"
"HALLMARK_APICAL_JUNCTION",0.00766255275495072,0.0191563818873768,0.407017918923954,-0.342272786970561,-1.42284857913451,179,"Cd86;Cd34;B4galt1;Arhgef6;Crat;Nf1;Ptprc;Sgce;Itga2;Actn1;Ywhah;Pten;Arpc2;Epb41l2;Vav2;Akt2;Myl12b;Ctnna1;Tspan4;Map3k20;Sirpa;Nectin2;Amigo2;Cdk8;Pals1;Pik3cb;Adam15;Syk;Dhx16;Cap1;Tial1;Icam1;Fscn1;Mapk13;Actg2;Skap2;Mapk14;Adamts5;Nrap;Myh10;Itga9;Rasa1;Mmp9;Cadm3;Egfr;Jup;Negr1;Gamt;Inppl1;Bmp1"
