"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_PROTEIN_SECRETION",0.000294683388232103,0.0147341694116052,0.49849310876659,0.39172990119963,1.74462871278798,90,"Scamp1;Snap23;Arfgef1;Ap1g1;Rab14;Vamp4;Galc;Dnm1l;Arfip1;Napg;Tmed10;Abca1;Rab2a;Copb1;Cope;Rer1;Dop1a;Cav2;Stx12;Stx7;Cltc;Tmed2;Ppt1;Mapk1;Vps45;Pam;Vamp3;Gbf1;Atp7a;Yipf6;Lamp2;Dst;Rab22a;Arcn1;Snx2;M6pr;Tpd52"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.00112404810065752,0.0281012025164381,0.45505986738723,-0.405124524303351,-1.47939846349044,195,"Mt2;Ccl7;Il18bp;Helz2;Cxcl9;Isg15;Rsad2;Nlrc5;Socs1;Oasl1;Ifi44;Zbp1;Stat1;Irf7;Adar;Dhx58;Tap1;H2-Eb1;Ciita;Ube2l6;Stat2;Epsti1;Rbck1;Auts2;Tapbp;Pfkp;Rnf31;Nfkb1;Psmb9;Peli1;Pml;Cmpk2;Trafd1;Pim1;Trim26;Oas2;Oas3;H2-D1;Cmtr1;Psmb10;Bst2;Samhd1;Lgals3bp;Irf1;Trim21;Cfb;Xaf1;Plscr1;Ifi35;Gbp8;Bpgm;Cd74;Ifit3;H2-M3;Xcl1;Casp8;Il15ra;Ifih1;Ifit2"
"HALLMARK_G2M_CHECKPOINT",0.00191182726625648,0.0318637877709414,0.45505986738723,-0.40629153972162,-1.48277324254916,193,"Mt2;Slc38a1;Hmgb3;Slc7a5;Uck2;Sqle;Ddx39a;Srsf1;Traip;Jpt1;Plk4;Pttg1;Kif22;G3bp1;E2f1;Chaf1a;Ube2s;Pml;Tent4a;Srsf2;H2ax;Troap;Lmnb1;Nasp;Srsf10;Tra2b;Atf5;Hnrnpd;Lig3;Cenpa;Bard1;Nek2;Exo1;Ndc80;Gins2;Odc1;Suv39h1;Incenp;Kif4;Cdk4;Racgap1;Meis2;Rpa2;Tacc3;Tgfb1;Chmp1a;Ccnf;Kif23;Kif15;Cdkn1b;Hnrnpu;Cdkn3;E2f4;Cks1b;Dtymk;Stmn1;Rbm14;Dmd;Pola2;Bub3;Pura;Ttk;Nsd2;Tfdp1;H2az2;Ccnt1;Upf1;Rad23b;Efna5;Mcm3;Smc2;Rasal2;Prim2;Kif11;Ccnb2;Slc7a1;Prc1;Cenpe;Cdc20;Aurkb;Cdc25b;Orc6;Pds5b;Tpx2;Tmpo"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0030732163289362,0.0381486510894959,0.431707695803346,-0.395377077081264,-1.42770531052403,174,"Slc16a1;Mast4;Tbc1d30;Sfn;Fcmr;Slc24a3;Xbp1;Farp1;Slc7a5;Celsr1;Calcr;Slc37a1;Endod1;Pmaip1;Ret;Cish;Tpbg;Fdft1;Med13l;Tmprss3;Slc2a1;Amfr;Gla;Tob1;Slc1a4;Cd44;Tubb2b;Igf1r;Fhl2;Rara;Fkbp4;Adcy9;Bhlhe40;Rasgrp1;Pex11a;Krt18;Sec14l2;Bcl11b;Kcnk5;Ovol2;Stc2;Cyp26b1;Thsd4;Plaat3;Rapgefl1;Ncor2;Dlc1;Abhd2;Itpk1;Tff1;Inpp5f;Opn3;Aqp3;Celsr2;Tmem164;Rbbp8;Syt12;Ar;Areg;Slc1a1;Mapt;Tiam1;Fasn;Tjp3;Ppif;Kazn"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.00381486510894959,0.0381486510894959,0.431707695803346,-0.456150860887965,-1.56741137259101,96,"Helz2;Isg15;Uba7;Rsad2;Oas1g;Oasl1;Ifi44;Irf7;Adar;Dhx58;Tap1;Gbp2;Oas1a;Ube2l6;Stat2;Epsti1;Rnf31;Psmb9;Cmpk2;Trafd1;Trim26;Cmtr1;Bst2;Lgals3bp;Irf1;Trim21;Plscr1;Ifi35;Cd74;Ifit3;Casp8;Ifih1;Ifit2;Herc6"
"HALLMARK_ANGIOGENESIS",0.0175969425384346,0.146641187820288,0.352487857583619,0.47464774290478,1.67735427404035,29,"App;Vegfa;Tnfrsf21;Pf4;Thbd;Nrp1;Vav2;Pdgfa;Lrpap1;Jag1;Spp1;Postn;Pglyrp1;Slco2a1"
"HALLMARK_GLYCOLYSIS",0.0321576763485477,0.183326082838087,0.257206466468838,-0.357069266967544,-1.3035723968349,189,"Plod2;Agrn;Xylt2;Gmppb;Ext1;Pgls;Tpst1;G6pdx;P4ha2;Mxi1;Aldh7a1;Rbck1;Spag4;Pfkp;Mpi;Chst2;Tpbg;Eno2;Adora2b;Nasp;Polr3k;Cenpa;Rpe;Capn5;Cd44;Mif;Got1;B3gat3;Lhx9;Ero1a;Tpi1;Fkbp4;Irs2;Ndufv3;Tgfbi;Qsox1;Rars;Sdc3;Ppfia4;Pgam1;Slc25a13;Gfpt1;Vcan;Cog2;Stc2;Txn1;Stmn1;Egln3;Ddit4;Pgam2;Bik;Paxip1;Gal3st1;Ldha;Angptl4;Gys1;Alg1;Chpf;B3gat1;Gale;Mdh2;Pygb;Slc35a3;Sdc1;Ppia;Chst12;Dsc2;Rragd;Galk1;Hspa5;Hs6st2;Srd5a3;Lhpp;Nsdhl;Prps1;Kif20a;Zfp292;Got2;Isg20;Col5a1;Pmm2;Pkm;Hmmr;Egfr;Abcb6;Ecd;Ak4"
"HALLMARK_E2F_TARGETS",0.0321910695742471,0.183326082838087,0.257206466468838,-0.355819067027878,-1.30232664175479,197,"Slbp;Nop56;Hmgb3;Ppp1r8;Anp32e;Ddx39a;Pcna;Srsf1;Timeless;Jpt1;Plk4;Pttg1;Kif22;Ccp110;Dlgap5;Pnn;Ube2s;Ak2;Spag5;Bub1b;Spc25;Kif18b;Srsf2;H2ax;Lmnb1;Nasp;Tra2b;Phf5a;Hnrnpd;Bard1;Ung;Mre11a;Mcm7;Tbrg4;Rnaseh2a;Suv39h1;Spc24;Kif4;Cdk4;Racgap1;Pan2;Rpa2;Tacc3;Lig1;Wdr90;Cdkn1b;Cdkn3;Cks1b;Pold1;Stmn1;Cdca3;Nup107;Cit;Melk;Tubb5;Pola2;Brms1l;Hells;Cenpm;Mthfd2;Cdkn1a;Mcm3;Prim2;Ccnb2;Ncapd2;Cenpe;Cdc20;Aurkb;Cdc25b;Orc6;Gins3;Pds5b;Tmpo;Pole4;Mxd3;Cdkn2a;Asf1b;Dnmt1;Kif2c;Donson;Cdc25a;Cdkn2c;Prps1;Mlh1;Xpo1;Rad51c;Ing3"
"HALLMARK_NOTCH_SIGNALING",0.0332802696140212,0.183326082838087,0.321775918075361,0.424123410805402,1.48943624804379,28,"Ppard;Ccnd1;Dtx4;Cul1;Dtx1;Tcf7l2;Fzd7;Maml2;Sap30;Jag1"
"HALLMARK_MYC_TARGETS_V1",0.0366652165676174,0.183326082838087,0.321775918075361,0.239577605903674,1.18702232529044,183,"Ndufab1;Ptges3;Tomm70a;Canx;Stard7;Pa2g4;Psma2;Fam120a;Orc2;Ranbp1;Eif2s1;Cct3;Prdx4;Psma7;Cul1;Pwp1;Nap1l1;Snrpg;Usp1;Eif1ax;Ube2e1;Etf1;Abce1;Srm;Gspt1;Psma1;Hnrnpr;Txnl4a;Ran;Mcm4;Eif3j1;Hnrnpc;Eif4h;Impdh2;Cbx3;Eif2s2;Mcm5;Psma6;Pold2;Trim28;Hnrnpa2b1;Tyms;Ddx18;Set;Ctps;Lsm2;Cops5;Psmc6;Eprs;Prps2;Psmd1;Hspe1;Mcm6;Hprt;Nolc1;Erh;Cdk2;Smarcc1;Pabpc1;Snrpd3;Ruvbl2;Snrpb2;Vdac1"
"HALLMARK_DNA_REPAIR",0.0436170212765957,0.19825918762089,0.222056046145248,-0.36431797887708,-1.30233227566192,145,"Alyref;Ercc3;Aprt;Ccno;Dctn4;Srsf6;Pcna;Polr2d;Surf1;Polr1c;Snapc4;Rnmt;Cmpk2;Umps;Nelfe;Pola1;Gtf3c5;Ercc8;Adrm1;Bola2;Ak1;Nt5c;Polr3gl;Ddb2;Polr2h;Dad1;Rpa2;Lig1;Gtf2f1;Zfp707;Guk1;Pold1;Npr2;Upf3b;Pola2;Taf1c;Nfx1;Itpa;Pnp2;Taf10;Dgcr8"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.0523239788479677,0.218016578533199,0.321775918075361,0.341897910673884,1.31679077250057,45,"Sbno2;Prdx4;Scaf4;Gclm;Hmox2;Txnrd1;Gsr;Txnrd2;Srxn1;Hhex;Ipcef1;Ndufb4;Gpx3;Glrx;Ptpa;Glrx2"
