"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",5.52474399043143e-11,2.76237199521572e-09,0.851339057116899,-0.50219749423794,-2.15822324243451,193,"Marcks;Cebpd;Ier3;Klf4;Atf3;Rhob;Cebpb;Egr2;Abca1;Cflar;Plau;Trib1;Zfp36;B4galt5;Klf9;Tlr2;Nfe2l2;Ier5;Jun;Btg2;Tnip2;Plek;Fosb;Ptpre;Il6;Mcl1;Sphk1;Hes1;Plaur;Serpinb2;Jag1;Plk2;Sdc4;Ccrl2;Tnf;Cdkn1a;Pfkfb3;Ccl4;Olr1;Ifit2;Sgk1;Dusp2;Klf6;Il23a;Klf2;Ets2;Kdm6b;Sat1;Maff;Nfkbia;Csf1;Egr3;Dnajb4;Tap1;Serpinb8;Ppp1r15a;Slc2a6;Dusp1;Ifih1;Nfat5;Cd83;Nampt;Ifngr2;Spsb1;Tubb2a;Egr1"
"HALLMARK_MYC_TARGETS_V1",5.73374364031264e-09,1.43343591007816e-07,0.761460801445585,0.399820974201513,2.0324538452075,183,"Pgk1;Snrpb2;H2az1;Cbx3;Psma4;Hnrnpr;Prdx3;Psma1;Hprt;Psma6;Fam120a;Hnrnpc;Eif4e;Psma2;Prps2;Mcm2;Acp1;Etf1;Ube2e1;Txnl4a;Abce1;Usp1;Eif2s1;Psma7;Eprs;Mcm4;Srpk1;Ran;Uba2;Tomm70a;Ncbp1;Psmc6;Ywhaq;Cct3;Hnrnpa2b1;Impdh2;Pabpc1;Srsf3;Nap1l1;Eif2s2;Cul1;Odc1;Dut;U2af1;Vdac1;Psmc4;Eif1ax;Eif4g2;Eif4a1;Psmb2;Psmd8;Dek;Ddx18;Snrpd1;Serbp1;Orc2;Pwp1;Dhx15;Snrpg;Smarcc1;Mcm6;Erh;Pcbp1;Psmd3;Hdac2;Snrpd3;Eif3j1;Stard7;Slc25a3;Mad2l1;Ptges3;C1qbp;Eif3d;Snrpa1;Hnrnpa1;Pa2g4"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1.06000116923184e-07,1.76666861538641e-06,0.704975715167238,-0.541127781811357,-2.12445810004903,96,"Tdrd7;Trim14;Cmpk2;Oasl1;Dhx58;Oas1a;Usp18;Parp12;Irf7;Rsad2;Ifit3;Trim25;Stat2;Herc6;Bst2;Trafd1;Oas1g;Ccrl2;Ube2l6;Isg15;Uba7;Ifi30;Rtp4;Ifit2;Tmem140;Gmpr;Ncoa7;Adar;Csf1;Casp8;Ifi44;Tap1;Lgals3bp;Ifih1;Trim21;Txnip;Ifi35;Cmtr1;Isg20"
"HALLMARK_P53_PATHWAY",2.20049442185346e-06,2.75061802731682e-05,0.627256739718528,-0.434883648037578,-1.85992490399775,185,"Ier3;Hmox1;Tcn2;Klf4;Atf3;Cebpa;Plxnb2;Nupr1;Ddit3;Ralgds;Ier5;Jun;Btg2;Epha2;App;Ptpre;Sphk1;Cd81;Abcc5;Foxo3;Aen;Plk2;Trafd1;Cdkn1a;Osgin1;H2aj;Tgfb1;Ifi30;Tm7sf3;Phlda3;Rxra;Prmt2;Stom;Rhbdf2;Socs1;Sat1;Tspyl2;Rab40c;Fdxr;Tap1;Ppp1r15a;Cdkn2b;Acvr1b;Trib3;Vwa5a;H2ac25;Txnip;Rgs16;Bax;Ccnd2;Pdgfa;Wrap73;Mdm2;Fos;Slc3a2;Rap2b;Tgfa;Tnni1;Irak1;Kif13b;Ak1;Cdkn2a"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",6.24764419776354e-06,6.24764419776354e-05,0.610526878385931,0.340620616176701,1.73567461097912,185,"Ndufs6;Glud1;Cyb5a;Atp5pb;Pdp1;Fdx1;Atp5j;Ndufv2;Prdx3;Ech1;Idh3a;Slc25a5;Hadhb;Uqcrc2;Ndufa1;Tomm22;Hccs;Uqcrfs1;Dlat;Mdh1;Slc25a12;Cox11;Acat1;Ndufs8;Atp6v1h;Mpc1;Atp5o;Etfdh;Tomm70a;Ndufb4;Slc25a11;Ndufs4;Sucla2;Ndufs3;Cox7b;Vdac1;Ndufc1;Uqcrb;Slc25a20;Ndufa6;Cox7a2l;Abcb7;Mdh2;Ndufa9;Atp5k;Ndufb1;Dld;Atp5j2;Dlst;Ndufa4;Decr1;Timm8b;Timm9;Slc25a3;Gpi1;Sdha;Cox7c;Uqcr11;Atp6v1f;Cox10;Iscu;Acadvl;Oat;Cox7a2;Atp6v0e"
"HALLMARK_ANGIOGENESIS",0.000333851307517357,0.00259796761615659,0.49849310876659,-0.613657256847012,-1.92107110571615,28,"Spp1;App;Tnfrsf21;Jag1;Olr1;Slco2a1;Thbd;Lpl;Ccnd2;Pdgfa;Postn;Lrpap1;Ptk2;Vav2;Stc1;Col3a1;Pf4"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.000409298326327298,0.00259796761615659,0.49849310876659,-0.373519781549649,-1.60241307167096,194,"Mt2;Pla2g4a;Tdrd7;Il10ra;Trim14;Oas2;Cmpk2;Oasl1;Dhx58;Usp18;H2-DMa;Irf5;Parp12;Irf7;Rsad2;Il6;Ifit3;Trim25;Cmklr1;Stat2;Herc6;Bst2;Trafd1;Ube2l6;Cdkn1a;Isg15;Ifi30;Rtp4;Ifit2;Xaf1;Fcgr1;Pml;Auts2;Irf8;Socs1;Adar;Xcl1;Nfkbia;Casp8;Ifi44;Oas3;Tap1;Lgals3bp;Ifih1;Nampt;Trim21;Cd40;Cfb;Txnip;Ifi35;Cmtr1;Isg20;Ptpn6;Tapbp;Tnfaip6;Il15ra;Nlrc5;Helz2;Znfx1;Gbp8;Tnfaip2"
"HALLMARK_HYPOXIA",0.000443189657428894,0.00259796761615659,0.49849310876659,-0.389112046690688,-1.64980717489153,174,"Mt2;Sdc3;Ier3;Hmox1;Atf3;Prdx5;Gaa;Hs3st1;Ddit3;Zfp36;Tgm2;Jun;Pam;P4ha1;Il6;Nagk;Plaur;Gys1;Foxo3;Sdc4;Cdkn1a;Pfkfb3;Hexa;Ndst2;Eno2;Inha;Gck;Pdgfb;Klf6;Maff;Ilvbl;Chst2;Ppp1r15a;Dusp1;Bcl2;Mt1;Pygm;Hk2;Slc2a5;Tgfb3;Col5a1;Tpd52;Isg20;Atp7a;Scarb1;Fos;Errfi1;Cited2;Eno3;Serpine1;P4ha2;B4galnt2;Vhl;Pfkl;Gpc4;Klf7;Stc1;Casp6;Edn2;Ccn2;Cdkn1c;Hspa5;Rragd"
"HALLMARK_COAGULATION",0.000467634170908185,0.00259796761615659,0.49849310876659,-0.425474211061546,-1.71167637090772,115,"Fn1;Sh2b2;Plau;Dusp6;Apoc1;Plek;Lrp1;Mmp2;Serpinb2;S100a1;Olr1;Hpn;Gng12;Pros1;Ang;Pdgfb;Itih1;F9;Thbd;Maff;Casp9;Capn5;C2;Cfb;Ctsb;Msrb2;Trf;Ctsk;Cd9;F2;Ctso;Ctsh;C1qa;Serpine1;Lamp2;Lgmn;Klf7;Ctsl"
"HALLMARK_BILE_ACID_METABOLISM",0.000813829402475865,0.00406914701237932,0.477270815362862,-0.426041918190927,-1.68294580297525,102,"Prdx5;Abca1;Cyp27a1;Ch25h;Abcd2;Pex6;Acsl1;Slc35b2;Fads1;Abcd1;Lipe;Idh2;Rxra;Soat2;Idh1;Pex16;Fdxr;Pex11g;Pex26;Scp2;Optn;Gstk1;Pfkm;Retsat;Bcar3;Mlycd;Abca8b;Abca9;Pex11a;Cyp8b1;Abca5;Slc22a18;Pecr;Pxmp2;Hao1;Nudt12;Rbp1"
