"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",1.41960461811729e-17,7.09802309058646e-16,1.07686819261983,-0.602743116002919,-2.31421953276582,197,"Tk1;Mad2l1;Cdk1;Spc24;Plk1;Asf1b;Rrm2;Cdkn3;Rad1;Chek2;Ube2t;Tacc3;Cenpm;Mybl2;Cenpe;Brms1l;Stmn1;Diaph3;Kif22;Melk;Dek;Ccp110;Cks1b;Pola2;Dut;Rad51ap1;Top2a;Dscc1;Birc5;Tubb5;Aurka;Prim2;Mcm7;Ppm1d;Luc7l3;Mki67;Cdc20;Gins3;Mms22l;Bard1;Aurkb;Shmt1;Tmpo;E2f8;Bub1b;Chek1;Cdkn2a;Nasp;Brca1;Cdca3;Cdkn2c;Lig1;Dlgap5;Atad2;Spag5;Hmgb3;Ccnb2;Wdr90;Hmmr;Pds5b;Anp32e;Pcna;Tubg1;Mcm6;Ipo7;Plk4;H2ax;Pms2;Espl1;Hells;Depdc1a;Racgap1;Exosc8;Cit;Ncapd2;Phf5a;Pnn;Syncrip;Jpt1;Mxd3;Hnrnpd;Pold3;Gins1;Ranbp1;Srsf2;Lmnb1;Wee1;Tcf19;Kif18b;Zw10;Cnot9;Cse1l;Nolc1;Kif2c;Ezh2;Pa2g4;Nup205;Mthfd2;Kif4;Cbx5;Pole"
"HALLMARK_G2M_CHECKPOINT",7.60344881292658e-14,1.90086220323164e-12,0.954541630725724,-0.574259189511307,-2.19325095548879,191,"Mad2l1;Ube2c;Cdk1;Nsd2;Plk1;Cdkn3;Gins2;Ccna2;Bub1;Kif15;Tacc3;Mybl2;Cenpa;Cenpe;Nek2;Stmn1;Kif22;Cks1b;Pola2;Cdc27;Kif11;Nusap1;Top2a;Troap;Birc5;Aurka;Hira;Tpx2;Prim2;Rad54l;Srsf10;Mki67;Cdc20;Bard1;Aurkb;Knl1;Prc1;Nup50;Tmpo;Chaf1a;Smc2;Cdc45;Chek1;Nasp;Cdkn2c;Hmgb3;Ccnb2;Kif5b;Polq;Hmmr;Tfdp1;Pds5b;Kmt5a;Mcm6;Abl1;Cdc6;Dkc1;Plk4;H2ax;Kif23;Ccnf;Espl1;Racgap1;Pbk;Ewsr1;Pml;Syncrip;Cenpf;Slc7a1;Tgfb1;Jpt1;H2az2;Hnrnpd;Traip;Meis2;Nup98;Srsf2;Lmnb1;Pura;Cul5;G3bp1;Upf1;Nolc1;Mapk14;Kif2c;Ezh2;Fbxo5"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",9.82231757598575e-08,1.63705292933096e-06,0.704975715167238,-0.488227206298363,-1.86981491536724,194,"Cd74;H2-Aa;Eif4e3;Cxcl10;H2-Eb1;Lysmd2;Stat3;Cfb;Casp3;Ciita;Irf8;Gzma;Dhx58;Il2rb;Xcl1;Auts2;Ube2l6;Nup93;Trafd1;Ifih1;Tap1;Vamp8;Lgals3bp;Casp7;Csf2rb2;Tapbp;Ifi30;Oasl1;Xaf1;Plscr1;Isg15;Ogfr;Slamf7;Ripk1;Stat1;H2-D1;Wars1;Psme1;Ccl2;Fgl2;Ifi35;Psma2;Cd274;Cxcl9;Pml;Stat2;Fas;Cmtr1;Socs1;Psmb9;Ifit2;Irf5;Cd40;Casp8;Arid5b;Isg20;Trim25;Gbp8;Irf7;Ptpn2;Zbp1;Oas2;Rsad2;Mthfd2;Pfkp;Parp14;Ifi44;Usp18;Herc6;Cd38;Ptpn1;Nmi;Gpr18;Il15;Tnfsf10;Bst2;Znfx1;Psmb10;Nampt;Klrk1;Parp12;Ifit3;Psmb8;Vamp5;Rtp4;Tnfaip6;Sri;Gbp4;Gbp3;Pnpt1;Nlrc5;Il18bp"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",2.42378299255707e-05,0.000302972874069634,0.575610261071129,-0.521008043590639,-1.84590217403289,96,"Cd74;Cxcl10;Trim12c;Procr;Dhx58;Oas1a;Ube2l6;Trafd1;Ifih1;Mov10;Tap1;Lgals3bp;Ifi30;Oasl1;Plscr1;Isg15;Ogfr;Tent5a;Wars1;Psme1;Ifi35;Stat2;Cmtr1;Ifitm1;Psmb9;Ifit2;Casp8;Isg20;Trim25;Irf7;Oas1g;Ccrl2;Rsad2;Parp14;Ifi44;Usp18;Herc6;Nmi;Il15;Bst2;Ncoa7;Parp12;Ifit3;Psmb8;Uba7;Rtp4;Gbp3;Pnpt1;Lamp3;Sell;Parp9;Ly6e;Gbp2;Cmpk2;Adar"
"HALLMARK_MITOTIC_SPINDLE",6.98407741097135e-05,0.000698407741097135,0.538434096309916,-0.434683677860688,-1.65956611821027,190,"Dynll2;Cep131;Cdk1;Mark4;Plk1;Apc;Cep72;Bub1;Klc1;Kif15;Bcr;Arhgap5;Arhgef12;Kif1b;Cenpe;Pcgf5;Fgd4;Nek2;Kif22;Flnb;Cdc27;Kif11;Nusap1;Top2a;Pkd2;Birc5;Aurka;Tpx2;Myo1e;Dst;Itsn1;Prc1;Dlgap5;Ccnb2;Kif5b;Cttn;Clip2;Abl1;Kif23;Kif3c;Bcl2l11;Cdc42;Espl1;Csnk1d;Racgap1;Ywhae;Atg4b;Cenpf;Rab3gap1;Ranbp9;Kif3b;Lmnb1;Epb41;Sass6;Sptan1;Wasl;Mid1ip1;Kif2c;Rasa2;Fbxo5;Anln"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.000661676243312942,0.00551396869427452,0.477270815362862,-0.487660746155916,-1.6867851277622,82,"Cxcl10;Stat3;Ccr1;Il18r1;Il1r2;Csf2ra;Cbl;Cd14;Ltbr;Tlr2;Tnfrsf12a;Il3ra;Il2ra;Csf2rb2;Il1b;Crlf2;Stat1;Csf2;Cxcl9;Stat2;Fas;Tgfb1;Socs1;Il12rb1;Ptpn2;Hmox1;Tnfrsf1b;Bak1;Ltb;Cd38;Ptpn1"
"HALLMARK_IL2_STAT5_SIGNALING",0.000824387454120968,0.00588848181514977,0.477270815362862,-0.404812100783784,-1.55048092065591,193,"Ikzf2;Tnfrsf9;Itih5;Cxcl10;Itgav;Penk;Ikzf4;Mapkapk2;Map6;Itgae;Cdcp1;Mxd1;Casp3;Rgs16;Il18r1;Rnh1;Il1r2;Irf8;Rabgap1l;Syngr2;Il2rb;Cst7;Tnfrsf8;Myo1e;Spred2;Alcam;Hk2;Il3ra;Il2ra;Swap70;Car2;Plscr1;Nt5e;Sh3bgrl2;Spry4;Cdc6;Ahr;S100a1;Tnfrsf4;Prkch;Csf2;Fgl2;Dcps;Cd83;Socs1;Snx9;Xbp1;Igf1r;Traf1;Ctla4;Gpr65;Ctsz;Hopx;Tnfrsf1b;Batf3;Serpinb6a;Tgm2;Ltb"
"HALLMARK_MYC_TARGETS_V1",0.00206299737005599,0.0128937335628499,0.431707695803346,-0.400225518124513,-1.51840925934023,183,"Mad2l1;Ccna2;Dek;Dut;Vbp1;Mcm7;Rrm1;Cdc20;Cops5;Cdc45;Ssb;Psmd14;Ncbp2;Tfdp1;Pcna;Tardbp;Cct2;Mcm6;Snrpa1;Aimp2;Tyms;Psmc6;Ywhae;Psma2;Eif2s2;Syncrip;Hnrnpd;Snrpg;Hspd1;Ranbp1;Srsf2;Cbx3;C1qbp;Dhx15;Ube2l3;G3bp1;Snrpd2;Nolc1;Cct5;Psma1;Pa2g4;U2af1;Eif3b;Hdgf;Rfc4;Ptges3;Xpot;Rnps1;Hprt;Snrpd1;Hnrnpc;Hnrnpu;Cyc1;Pold2;Etf1;Fbl;Gnl3;Pabpc4;Ilf2;Cdk2;Set;Lsm2;Eprs;Hnrnpr;Hsp90ab1;Srsf7;Vdac3;Ifrd1;Phb2;Nhp2;Eif4e;Psmd1;Got2;Cct7;Serbp1;Eif1ax;Sf3a1;Ap3s1;Psmb2;Npm1;Xrcc6;Slc25a3"
"HALLMARK_ANGIOGENESIS",0.00647033981513159,0.0359463323062866,0.407017918923954,-0.59217372419991,-1.69552764832056,28,"Pdgfa;App;Itgav;Vegfa;Jag1;Pglyrp1;Thbd;Vav2;Slco2a1;Olr1"
"HALLMARK_MTORC1_SIGNALING",0.0160969735500909,0.0804848677504546,0.352487857583619,-0.352976392145437,-1.34965623569802,192,"Mllt11;Plk1;Rrm2;Bub1;Hmbs;Gbe1;Bcat1;Aurka;Tcea1;Cops5;Scd1;Polr3g;Hk2;Ppa1;Gmps;Pfkl;Fads1;Psmd14;Rpn1;Edem1;Nfkbib;Ifi30;Psat1;Rit1;Tubg1;Pitpnb;Asns;Ccnf;Psmd12;Psmc6;Wars1;Fgl2;Serp1;Sqstm1;Eif2s2;Dhfr;Uso1;Hsp90b1;Scd2;Hspd1;Xbp1;Fdxr;Pdap1;Psme3;Shmt2;Ykt6;Psmd13;Cct6a;Nup205;Mthfd2;Prdx1;Immt;Sord;Hprt;Skap2;Psph;Ccng1;Etf1;Nampt;Ddit3;Gsk3b;Elovl5;Trib3;Ssr1;Glrx;Got1;Eprs;Ddx39a;Slc1a5"
