"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",7.56049967770924e-09,3.78024983885462e-07,0.747739663149885,-0.517026474660655,-1.89926055678198,197,"Mad2l1;Rad1;Chek2;Cdkn3;Plk1;Tk1;Ccp110;Asf1b;Brms1l;Dek;Kif22;Ube2t;Spc24;Cdk1;Cenpe;Cenpm;Prim2;Pds5b;Luc7l3;Rrm2;Tacc3;Melk;Rad51ap1;Gins3;Ppm1d;Pola2;Diaph3;Aurkb;Mybl2;Cdc20;Shmt1;Ipo7;Cks1b;Stmn1;Srsf2;Birc5;Mki67;Dlgap5;Tubg1;Pms2;Wdr90;Chek1;E2f8;Aurka;Pold3;Cdkn2c;Tubb5;Top2a;Mms22l;Cdkn2a;Atad2;Pcna;Cit;Bub1b;Ccnb2;Dscc1;Spag5;Bard1;Wee1;Plk4;Espl1;Nbn;Cdca3;Hmgb3;Cse1l;Mcm7;Brca1;Nasp;Nolc1;Nup205;Ranbp1;Anp32e;Mthfd2;H2ax;Kif2c;Lig1;Tmpo;Depdc1a;Dut;Zw10;Racgap1;Smc1a;Hells;Smc4;Hmmr;Hnrnpd;Kif4;Pop7"
"HALLMARK_G2M_CHECKPOINT",8.79497837920948e-08,2.19874459480237e-06,0.704975715167238,-0.49603476611974,-1.81524936311605,193,"Mad2l1;Ube2c;Bub1;Cdkn3;Plk1;Gins2;Hira;Kif22;Cdk1;Cenpe;Kif5b;Troap;Kif15;Prim2;Pds5b;Abl1;Nek2;Nusap1;Cenpa;Tacc3;Pola2;Ccna2;Cdc27;Aurkb;Mybl2;Kif11;Nsd2;Srsf10;Cdc20;Cks1b;Stmn1;Srsf2;Birc5;Ewsr1;Mki67;Kmt5a;Dkc1;Chek1;Tpx2;Knl1;Aurka;Prc1;Cdkn2c;Top2a;Mapk14;Polq;Nup50;Smc2;Rad54l;Meis2;Cenpf;Ccnb2;Traip;Nup98;Bard1;Cdc6;Pura;Plk4;Cul5;Cdc45;Espl1;Kif23;Hmgb3;Dmd;Ccnf;Nasp;Chaf1a;Nolc1;Upf1;H2ax;Foxn3;Kif2c;Odf2;Tmpo;Tfdp1;Hnrnpu;Efna5;Pml;Rasal2;Prpf4b;Racgap1;Smc1a;Smc4;Hmmr;Hnrnpd;Kif4"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",1.30712706539435e-05,0.000217854510899058,0.593325476396405,-0.45543699821419,-1.67114756659424,195,"Cd74;H2-Aa;Eif4e3;Cxcl10;H2-Eb1;Xcl1;Gzma;Cfb;Stat3;Ciita;Dhx58;Csf2rb2;Irf8;Auts2;Ifih1;Lysmd2;Casp3;Ccl2;Ifi30;Vamp8;Irf5;Ube2l6;Wars1;Il2rb;Slamf7;Nup93;Lgals3bp;Trafd1;Xaf1;Arid5b;Oasl1;Plscr1;Psme1;Psma2;Ripk1;Casp7;Tapbp;Cd38;Ogfr;Isg15;Cxcl9;Cd86;Il15;Klrk1;Parp14;Stat1;Tap1;Casp8;Fas;Zbp1;Ptpn2;Cmtr1;Ifit2;Il18bp;Casp4;Ifi35;Stat2;Mthfd2;Pla2g4a;Trim25;Parp12;Pml;Cd40;Irf7;Fgl2;Oas2;Rsad2;Tnfsf10;H2-D1;Nampt;Ifit3;Socs1;Tnfaip2;Fpr1;Ptpn6;B2m;Lats2;Ifi44;Herc6;Znfx1;Ptpn1;Gbp8;Nmi;Usp18;Psmb9;Sppl2a"
"HALLMARK_MITOTIC_SPINDLE",0.00028848492232283,0.00360606152903537,0.49849310876659,-0.422361855712689,-1.54564184197101,193,"Dynll2;Apc;Cep131;Arhgap5;Arhgef12;Cep72;Mark4;Kif1b;Fgd4;Dst;Bcr;Bub1;Pcgf5;Klc1;Plk1;Pkd2;Kif22;Cdk1;Cenpe;Kif5b;Kif15;Clip2;Abl1;Nek2;Nusap1;Myo1e;Cdc42;Itsn1;Cdc27;Kif11;Ywhae;Birc5;Dlgap5;Tpx2;Kif3c;Aurka;Prc1;Epb41l2;Top2a;Cttn;Cenpf;Ccnb2;Atg4b;Sass6;Dock4;Myh10;Kif3b;Mid1ip1;Epb41;Espl1;Kif23;Kifap3;Nf1;Rasa2;Bcl2l11;Anln;Rictor;Arhgap4;Sptan1;Kif2c;Lrpprc;Wasl;Rasal2;Rab3gap1;Csnk1d;Racgap1;Smc1a;Smc4;Kif4"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.000981528986069481,0.00981528986069481,0.45505986738723,-0.475356702410279,-1.63187461869843,96,"Cd74;Cxcl10;Trim12c;Procr;Dhx58;Ifih1;Ifi30;Oas1a;Ube2l6;Wars1;Ccrl2;Lgals3bp;Trafd1;Oasl1;Plscr1;Psme1;Ogfr;Isg15;Il15;Tent5a;Parp14;Tap1;Casp8;Cmtr1;Ifit2;Mov10;Ifi35;Stat2;Oas1g;Sell;Trim25;Parp12;Irf7;Parp9;Rsad2;Ifit3;B2m;Ifi44;Herc6;Csf1;Nmi;Usp18;Psmb9"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.00663510372451251,0.0552925310376043,0.407017918923954,-0.456464703593252,-1.53847783958475,84,"Cxcl10;Cd14;Il18r1;Ccr1;Ltbr;Csf2ra;Tlr2;Tnfrsf12a;Stat3;Csf2rb2;Il1b;Cbl;Il1r1;Il1r2;Crlf2;Hmox1;Cd38;Cxcl9;Il3ra;Csf2;Tnfrsf1a;Stat1;Il6st;Fas;Ptpn2;Stat2;Cd9;Cntfr;Csf3r;Dntt;Socs1;Tnfrsf21;Jun;Ptpn1;Tnfrsf1b;Csf1;Il12rb1;Il2ra"
"HALLMARK_ANGIOGENESIS",0.0119238202281659,0.085170144486899,0.380730400722792,-0.562542751170101,-1.60399194698357,29,"Pdgfa;App;Vegfa;Itgav;Jag1;Vav2;Pglyrp1;Thbd;Olr1;Slco2a1;Ptk2;Tnfrsf21"
"HALLMARK_PEROXISOME",0.0374959141904724,0.218448421058261,0.321775918075361,0.308280028791792,1.32286752759403,99,"Idh2;Ctps;Hsd17b4;Cat;Acox1;Ide;Atxn1;Slc23a2;Pex14;Pex6;Ctbp1;Dhcr24;Alb;Pex11a;Hras;Itgb1bp1;Pex11b;Fdps;Scgb1a1;Crabp2;Slc27a2;Abcd1;Crat;Ercc1;Aldh9a1;Idh1;Sod1;Hmgcl;Acaa1a;Hsd11b2;Acsl4;Hsd17b11;Acsl5;Serpina6;Fis1;Eci2"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.039320715790487,0.218448421058261,0.321775918075361,0.331317600980902,1.35761573552774,71,"Acss2;Nsdhl;Adh4;Dhcr7;Mvk;Pparg;Sqle;Tmem97;Abca2;Stard4;Sc5d;Acat3;Hsd17b7;Ldlr;Nfil3;Hmgcs1"
"HALLMARK_FATTY_ACID_METABOLISM",0.056990236114946,0.237600237600238,0.321775918075361,0.266286273084451,1.18776525079867,143,"Nthl1;Nsdhl;Hsd17b4;Pdha1;Hadh;Acadm;Cidea;Pts;Cd1d1;Acox1;Adh1;Fh1;Prdx6;Acadvl;Acss1;Acat3;Hsd17b7;Hmgcs1;Dhcr24;Slc22a5;Hsd17b10;Sucla2;Blvra;Ostc;Crat;Echs1;Aldh9a1;Idh3b;Idh1;Aadat;Gcdh;Sdha;Hibch;Pdhb;S100a10;Hmgcl;Acaa1a;Inmt;Acsl4;Acads;Hsd17b11;Acsl5;Eci2;Cyp4a31;Ech1;Fabp2;Acaa2;Odc1;Suclg2;Idi1"
"HALLMARK_P53_PATHWAY",0.0572972972972973,0.237600237600238,0.193813302725311,-0.347872439176255,-1.27011599333906,185,"Pdgfa;Ldhb;App;Sat1;Gls2;Tnni1;Cdk5r1;Zbtb16;Fbxw7;Procr;Il1a;Ccp110;Fgf13;Rgs16;Ifi30;Mxd1;Vamp8;Ppm1d;Rhbdf2;Iscu;Phlda3;Pidd1;Polh;Sdc1;Trafd1;Ak1;Krt17;Tnfsf9;Cdkn2a;Pcna;Retsat;Traf4;Tgfa;Pmm1;Hmox1;Atf3;Vwa5a;Ctsf;Nudt15;Tsc22d1;H1f2;Ier3;Tap1;Cgrrf1;Csrnp2;Fas;Ctsd;Prmt2;Notch1;Ier5;Foxo3"
"HALLMARK_KRAS_SIGNALING_UP",0.0593311758360302,0.237600237600238,0.190023305279108,-0.346890276543309,-1.26402944044457,181,"Gpnmb;Cxcl10;Plaur;Eng;Lat2;Csf2ra;Id2;Cfb;Atg10;Tor1aip2;Irf8;Il1b;Tmem158;Cbl;Rgs16;Fcer1g;Adam8;Scn1b;Map3k1;Epb41l3;Usp12;Rabgap1l;Tmem176a;Prelid3b;C3ar1;Trib1;Satb1;Gng11;Car2;Spry2;Vwa5a;Mycn;Csf2;Galnt3;Ptcd2;Il7r;Prdm1;Peg3;Slpi;Spon1;Itga2;Tmem100;Mpzl2;Zfp277;Map7;Etv4;Lcp1;Mmp9;Scg5;Mall;Tnfrsf1b;Tlr8;Plau;Fuca1;Klf4;Tph1;Cbr4;Prkg2;Nin;Tmem176b;Ptbp2;Spp1;Cmklr1;Aldh1a3"
