"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",3.07400781690797e-32,1.53700390845398e-30,1.47456250139425,-0.664412429626569,-3.00547581695279,197,"Mcm6;Dut;Tcf19;Rrm2;Tk1;Lmnb1;Stmn1;Spc24;Lig1;Mcm7;Rpa2;Mcm3;Mybl2;Tmpo;Cdca3;Hmmr;Tacc3;Top2a;Tubb5;Dscc1;Cenpm;Ak2;Pa2g4;Plk1;Birc5;Brca1;Syncrip;Cdk1;Bard1;Cnot9;Hmgb3;Lyar;Jpt1;Cdkn2a;Ccne1;Nasp;Anp32e;Pnn;Cks1b;Prdx4;Nme1;Pold1;Asf1b;Hells;Dctpp1;Mcm5;Ube2t;Phf5a;H2ax;Kif18b;Bub1b;Exosc8;Ncapd2;Timeless;Ung;Dnmt1;Cdc25b;Aurka;Racgap1;Diaph3;Mms22l;Mxd3;Melk;Orc6;E2f8;Rnaseh2a;Trp53;Depdc1a;Gins1;Pola2;Rad51ap1;Cdca8;Cenpe;Mki67;Ccnb2;Pold2;Rpa1;Cbx5;Pole;Ube2s;Cdkn3;Msh2;Hnrnpd;Spc25;Srsf1;Chek2;Cdkn2c;Pole4;Cdk4;Ppp1r8;Mcm2;Psip1;Ddx39a;Lbr;Cdc20;Espl1;Ezh2;Kif22;Nup107;Eif2s1;Spag5;Tipin;Pcna;Ssrp1;Atad2;Mcm4;Brca2;Ranbp1;Trip13;Mlh1;Wdr90;Plk4;Dlgap5;Zw10;Brms1l;Ppm1d;Prps1;Hus1;Slbp;Aurkb;Rfc3;Cdkn1a;Nudt21;Mad2l1;Gins3;Ubr7;Cdc25a;Chek1;Tfrc;Kif2c;Nop56;Paics;Cdkn1b;Gins4;Suv39h1;Pan2"
"HALLMARK_MYC_TARGETS_V1",6.01297521901789e-22,1.50324380475447e-20,1.21254456769062,-0.612849015421279,-2.74344866418838,183,"Mcm6;Dut;Got2;Rrm1;Kars;Tyms;Mcm7;Snrpa1;Ldha;G3bp1;Cdk2;Hdgf;Pa2g4;Tfdp1;Cdc45;Syncrip;Cops5;Ppia;Ube2l3;Ccna2;Ppm1g;Psmd1;Cox5a;Hnrnpa1;Sf3a1;Psmd14;Cyc1;Prdx4;Bub3;Nme1;Pgk1;Hspd1;Set;Sf3b3;Mcm5;Cad;Srpk1;Cct7;Rnps1;Phb2;Cct2;Prpf31;Snrpa;Slc25a3;Cct5;Odc1;Iars;Cnbp;Ssb;Pole3;Srm;Cstf2;Lsm7;Pold2;Eif3b;Vdac3;Hnrnpd;Serbp1;Ilf2;Phb;Srsf1;Exosc7;Rack1;Tufm;Npm1;Cct3;Cdk4;Ncbp2;Tcp1;Mcm2;Snrpd3;Nop16;Cdc20;Vbp1;Snrpd1;Ruvbl2;Tardbp;Rad23b;Glo1;Pcbp1;Eif2s1;Trim28;Psma4;Rrp9;Pcna;Pabpc4;Mcm4;Fbl;Psmd7;Ranbp1;Dhx15"
"HALLMARK_G2M_CHECKPOINT",1.86477982603691e-21,3.10796637672818e-20,1.19534448258848,-0.593530243779698,-2.68086853958523,193,"Mcm6;Lmnb1;Stmn1;Chaf1a;Rpa2;Mcm3;Mybl2;E2f4;Tmpo;G3bp1;Hmmr;Tacc3;Nsd2;Kif15;Tgfb1;Top2a;Tfdp1;Plk1;Birc5;Cdc45;Syncrip;Uck2;Cdk1;Bard1;Hmgb3;Cenpa;Incenp;Tpx2;Ccna2;Exo1;Jpt1;Rad54l;Nasp;Pbk;Gins2;Cks1b;Bub3;Nek2;Kif11;Nup50;Mcm5;H2ax;Fbxo5;E2f1;Cdc25b;Aurka;Smc2;H2az2;Odc1;Sfpq;Racgap1;Slc7a1;Orc6;Pafah1b1;Pola2;Cdc27;Cenpe;Mki67;Ccnb2;Knl1;Sqle;Chmp1a;Pole;Ube2s;Cdkn3;Pml;Ccnf;Hnrnpd;Srsf1;Kif23;Rbl1;Nusap1;Cdkn2c;Cdk4;Dtymk;Mcm2;Prc1;Cdc6;Ddx39a;Lbr;Cdc20;Bcl3;Espl1;Snrpd1;Ezh2;Kif22;Polq;Rad23b;Bub1"
"HALLMARK_IL2_STAT5_SIGNALING",5.25249614282526e-12,6.56562017853158e-11,0.887074988399873,-0.491572377245078,-2.22414537555663,195,"Penk;Tnfrsf4;Itgae;Il2ra;Il1r2;Ccr4;Serpinb6a;Ikzf2;Plagl1;Lrig1;Ctla4;Tnfrsf8;Furin;Bcl2l1;Ikzf4;Nt5e;Lif;Il3ra;Hopx;Itgav;Tnfrsf9;Uck2;Socs2;Flt3l;Cish;Itih5;Mxd1;Ccne1;Traf1;Ifngr1;Cdcp1;Tiam1;Il2rb;Tnfrsf18;Gpr65;Galm;Casp3;Rabgap1l;Rora;Mapkapk2;Nfil3;Slc1a5;Plec;Odc1;Ccnd2;Socs1;Snx9;Pim1;Fgl2;Rgs16;Il13;Tnfsf11;Map6;Ltb;Ahnak;Umps;Bhlhe40;Il4ra;Car2;Tnfrsf1b;Irf8;Adam19;Cdc6;Lclat1;Fah;Capg;Igf2r;Ecm1;Gbp3;Slc2a3;Bcl2;Icos;Irf4;Slc29a2;Alcam;Ptger2;Csf2;Tgm2;Ahcy"
"HALLMARK_MTORC1_SIGNALING",3.96119511068679e-10,3.96119511068679e-09,0.814035837847908,-0.466767257684182,-2.10532690941117,191,"Rrm2;Ddit4;Sla;Got1;Ldha;Rit1;Ccng1;Plk1;Psmd13;Ero1a;Pdap1;Psmc2;Cops5;Ppia;Pfkl;Psat1;Dhfr;Cyp51;Psmd14;Pgk1;Hspd1;Asns;Cct6a;Cyb5b;Hmgcr;Shmt2;Ung;Psmd12;Hmgcs1;Tmem97;Nfil3;Slc1a5;Aurka;Ppa1;Gsr;Hmbs;Fdxr;Gpi1;Psme3;Fgl2;Sytl2;Phgdh;Glrx;Ebp;Ykt6;Map2k3;Gmps;Stip1;Stard4;Rpa1;Sqle;Tes;Ccnf;Bhlhe40;Adipor2;Pgm1;Coro1a;Polr3g;Mcm2;Ddx39a;Atp5g1;Elovl6;Trib3;Tpi1;Slc2a1;Bub1;Slc2a3;Sec11a;Psma4;Edem1;Rrp9;Idi1;Aldoa;Mcm4;Fads1;Txnrd1;Psph;Egln3;Ssr1;Dhcr24;Tomm40;Nfkbib;Hspa9;Cdkn1a;Hprt;Psmc6;Uso1;Pnp2;M6pr;Rpn1"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",7.78937299787792e-10,6.49114416489827e-09,0.801215574617779,-0.465907205878112,-2.09775096864637,185,"Got2;Timm13;Ldha;Ndufs2;Uqcrh;Hadha;Cox6b1;Pdha1;Atp5e;Timm50;Cox5a;Cox5b;Cyc1;Ndufb6;Ndufc2;Por;Uqcrc1;Idh3a;Ndufa8;Cpt1a;Atp5a1;Atp5b;Timm17a;Bax;Atp5d;Afg3l2;Phb2;Ndufb8;Ndufs7;Slc25a3;Mdh2;Surf1;Gpi1;Uqcr10;Ogdh;Hsd17b10;Sdha;Slc25a4;Ndufa5;Atp5c1;Grpel1;Ndufb7;Cox6a1;Ndufa2;Etfb;Vdac3;Suclg1;Dlat;Cox6c;Cox4i1;Ndufa3;Mdh1;Sdhd;Etfa;Aifm1;Oxa1l;Polr2f;Timm10;Nqo2;Atp5g3;Uqcrq;Atp5g1;Acaa2;Sdhc;Hccs;Casp7;Ndufv1;Acaa1a;Atp5pb;Cox15"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",3.14350478512518e-07,2.2453605608037e-06,0.674962860011025,0.421980194672984,1.88696406160874,194,"Tsc22d1;Ccnl1;Zbtb10;Fosl1;Egr1;Nfe2l2;Sgk1;Plek;Tiparp;Sat1;Plk2;Pfkfb3;Il1a;Il18;Gadd45a;Hes1;Atf3;Ccl4;Plau;Tubb2a;Icosl;Dnajb4;Snn;Ifngr2;Dusp1;Ier3;Ptpre;Btg2;Gpr183;Klf10;Tnf;Eif1;Il6st;Slc16a6;Rhob;Ppp1r15a;Plpp3;Id2;Rnf19b;Csf1;Ccrl2;F3;Cd83;Per1;Ier2;Abca1;Icam1;Egr3;Cxcl2;Birc3;Map3k8;Serpine1;Ldlr;Il1b;Jun;Pdlim5;Rel;Mcl1;Tlr2;Zfp36;Tgif1;Egr2;Btg3;Tnfaip2;Klf6;Edn1;Tnfaip8;Ccl2;Gem;Atp2b1;Gadd45b;Ninj1"
"HALLMARK_GLYCOLYSIS",4.7773866999743e-07,2.98586668748394e-06,0.659444398037935,-0.413317899441083,-1.86680874595446,188,"Pgam1;Got2;Stmn1;Pfkp;Ddit4;Got1;Slc16a3;Ldha;Nt5e;Polr3k;Hmmr;Ero1a;B3gat3;Gale;Isg20;Ppia;Cdk1;Cenpa;Nasp;Cog2;Pgk1;Qsox1;Gpr87;Txn1;Mxi1;Aurka;Copb2;Glce;Angptl4;Mdh2;Pgls;Chst2;Depdc1a;Glrx;Galk1;Pfkfb1;Chst12;Paxip1;Mdh1;Fam162a;Col5a1;Sdc3;Rbck1;Zfp292;Tpi1;Akr1a1;Chpf;Xylt2;Sdhc;Dsc2;Casp6;Aldh7a1;Fkbp4;Mif;Aldoa;Ndufv3;Egln3;Pygb;Pkm;Gne;Ext2;Stc2;Prps1;Ecd;Lhx9;Cd44;Gfus;Aldh9a1;Gys1;Hax1;Ak3;Gpc1;Vegfa"
"HALLMARK_MYC_TARGETS_V2",4.69148915799044e-06,2.60638286555024e-05,0.610526878385931,-0.573280711579619,-2.12022303067619,56,"Slc19a1;Pa2g4;Plk1;Hspd1;Dctpp1;Mcm5;Las1l;Ung;Tmem97;Rabepk;Wdr74;Exosc5;Srm;Phb;Rcl1;Npm1;Cdk4;Mybbp1a;Nop16;Tcof1;Mphosph10;Slc29a2;Rrp9;Mcm4;Plk4;Bysl;Dusp2;Farsa;Ndufaf4;Nip7;Nop56;Grwd1"
"HALLMARK_DNA_REPAIR",5.33457446594106e-06,2.66728723297053e-05,0.610526878385931,-0.425364526233983,-1.86095505366766,145,"Dut;Lig1;Tyms;Rpa2;Nudt9;Nelfb;Supt5;Aprt;Nme1;Polr2e;Pold1;Nt5c;Supt4a;Mpg;Pola1;Adrm1;Polr1c;Surf1;Trp53;Pola2;Itpa;Rad51;Tarbp2;Ercc1;Umps;Cant1;Prim1;Upf3b;Pole4;Dctn4;Ncbp2;Nelfcd;Polr2c;Taf12;Rnmt;Bola2;Hcls1;Clp1;Gtf2h5;Polr2f;Sac3d1;Pold4;Dgcr8;Fen1;Polh;Aaas;Tmed2;Cstf3;Pcna;Ssrp1;Vps37b;Rbx1;Snapc5;Ercc3;Brf2;Zwint;Poll;Taf1c;Rfc3;Rfc5;Nudt21;Hprt;Pnp2;Ak3;Sf3a3"
