"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",1.43622663081936e-30,7.1811331540968e-29,1.43902565267782,-0.660588576857848,-2.9371151371018,197,"Mcm6;Tcf19;Dut;Rpa2;Rrm2;Tk1;Lmnb1;Mcm3;Lig1;Mcm7;Stmn1;Spc24;Ak2;Tmpo;Mybl2;Hmmr;Cdca3;Pa2g4;Tacc3;Dscc1;Lyar;Prdx4;Tubb5;Top2a;Cenpm;Brca1;Cnot9;Ccne1;Dctpp1;Hmgb3;Jpt1;Birc5;Bard1;Pold1;Syncrip;Pnn;Cdk1;Anp32e;Cdkn2a;Dnmt1;Nme1;Ung;Nasp;Plk1;Mcm5;Phf5a;Kif18b;Cdc25b;Hells;Cks1b;H2ax;Timeless;Exosc8;Asf1b;Bub1b;Ncapd2;Rnaseh2a;Orc6;Mxd3;Ube2s;Aurka;Racgap1;Ube2t;Depdc1a;Gins1;Trp53;Cdca8;Diaph3;Pold2;Msh2;Melk;Rpa1;E2f8;Mms22l;Pole;Ppp1r8;Cbx5;Rad51ap1;Spc25;Srsf1;Ccnb2;Psip1;Mki67;Cenpe;Pola2;Cdk4;Mcm2;Nup107;Hnrnpd;Cdkn3;Pole4;Lbr;Ddx39a;Ssrp1;Brca2;Mcm4;Chek2;Ezh2;Cdkn2c;Tipin;Eif2s1;Espl1;Prps1;Cdc20;Trip13;Mlh1;Spag5;Ranbp1;Hus1;Atad2;Pcna;Kif22;Rfc3;Cdkn1b;Nudt21;Slbp;Zw10;Ubr7;Tfrc;Plk4;Cdkn1a;Ctps;Pan2;Wdr90;Dlgap5;Paics"
"HALLMARK_MYC_TARGETS_V1",6.94457509911899e-20,1.73614377477975e-18,1.15122052214226,-0.600868549387889,-2.63170346550857,183,"Mcm6;Dut;Got2;Kars;Rrm1;Tyms;Mcm7;Cdk2;Ppia;G3bp1;Pa2g4;Hdgf;Ube2l3;Ldha;Tfdp1;Prdx4;Cdc45;Bub3;Srpk1;Ppm1g;Cox5a;Sf3a1;Cyc1;Syncrip;Pgk1;Snrpa1;Ccna2;Psmd1;Hspd1;Psmd14;Nme1;Set;Cops5;Snrpa;Mcm5;Prpf31;Hnrnpa1;Odc1;Sf3b3;Cad;Iars;Rnps1;Cnbp;Srm;Cstf2;Cct5;Phb2;Cct7;Lsm7;Slc25a3;Pole3;Cct2;Phb;Ssb;Vdac3;Pold2;Rack1;Tufm;Exosc7;Ilf2;Srsf1;Serbp1;Eif3b;Cct3;Cdk4;Nop16;Mcm2;Npm1;Tcp1;Hnrnpd;Rad23b;Snrpd3;Glo1;Ncbp2;Psma4;Mcm4;Pwp1;Trim28;Eif2s1;Ruvbl2;Psmd7;Pcbp1;Cdc20;Rrp9;Tardbp;Pabpc4;Erh;Snrpd1;Uba2;Vbp1;Fbl;Eef1b2;Ranbp1;Acp1;Pcna;Eif3d;Dhx15"
"HALLMARK_G2M_CHECKPOINT",1.55111599864806e-18,2.5851933310801e-17,1.11466447751729,-0.573651150124254,-2.53854645062352,193,"Mcm6;Rpa2;E2f4;Lmnb1;Mcm3;Chaf1a;Stmn1;Tmpo;Mybl2;G3bp1;Hmmr;Uck2;Tgfb1;Incenp;Tacc3;Tfdp1;Nsd2;Kif15;Top2a;Cdc45;Exo1;Bub3;Hmgb3;Jpt1;Birc5;Bard1;Pbk;Syncrip;Ccna2;Tpx2;Cdk1;Cenpa;Rad54l;Nasp;Plk1;Mcm5;E2f1;Cdc25b;Fbxo5;Odc1;Cks1b;H2ax;Nek2;Gins2;Sfpq;Kif11;Orc6;Pafah1b1;Sqle;Ube2s;Nup50;Aurka;Racgap1;Smc2;Slc7a1;H2az2;Chmp1a;Rbl1;Pole;Dtymk;Srsf1;Pml;Cdc27;Ccnb2;Mki67;Cenpe;Pola2;Knl1;Cdk4;Ccnf;Mcm2;Hnrnpd;Kif23;Cdkn3;Casp8ap2;Rad23b;Bcl3;Lbr;Ddx39a;Nusap1;Notch2;Prc1;Cdc6;Brca2;Ezh2;Cdkn2c;Lig3;Espl1"
"HALLMARK_IL2_STAT5_SIGNALING",3.5068731340297e-10,4.38359141753712e-09,0.814035837847908,-0.474324239339624,-2.10430475921096,195,"Penk;Tnfrsf4;Itgae;Il2ra;Ccr4;Plagl1;Lrig1;Serpinb6a;Il1r2;Bcl2l1;Furin;Tnfrsf8;Lif;Ctla4;Flt3l;Uck2;Socs2;Hopx;Il3ra;Cish;Nt5e;Tiam1;Traf1;Ccne1;Ikzf4;Galm;Nfil3;Rora;Ifngr1;Cdcp1;Ccnd2;Gpr65;Tnfrsf18;Mxd1;Odc1;Ikzf2;Itih5;Tnfsf11;Slc1a5;Plec;Il13;Itgav;Pim1;Snx9;Socs1;Rabgap1l;Il2rb;Ahnak;Casp3;Fgl2;Tnfrsf9;Umps;Ltb;Bhlhe40;Mapkapk2;Rgs16;Il4ra;Ptger2;Adam19;Map6;Fah;Slc2a3;Igf2r;Lclat1;Ecm1;Gbp3;Cdc6;Capg;Muc1;Tnfrsf1b;Irf4;Ahcy;Icos;Bcl2;Gpr83;Car2;Arl4a;Slc29a2;Eomes;Irf8;Csf2;Pnp2;Cd44;Tgm2;Alcam;Dcps"
"HALLMARK_MTORC1_SIGNALING",1.65490777586016e-09,1.65490777586016e-08,0.788186810800237,-0.462378331178476,-2.04227873338314,192,"Rrm2;Ddit4;Sla;Ppia;Psmc2;Ero1a;Pdap1;Ldha;Psmd13;Got1;Rit1;Ccng1;Cyp51;Pfkl;Dhfr;Tmem97;Hmgcs1;Pgk1;Nfil3;Cyb5b;Hspd1;Psmd14;Psat1;Ung;Cops5;Plk1;Cct6a;Hmgcr;Asns;Gpi1;Gsr;Slc1a5;Stard4;Shmt2;Sytl2;Phgdh;Stip1;Psmd12;Fdxr;Ebp;Sqle;Aurka;Psme3;Fgl2;Ppa1;Glrx;Map2k3;Bhlhe40;Tes;Ykt6;Hmbs;Rpa1;Pgm1;Gmps;Ccnf;Coro1a;Mcm2;Elovl6;Slc2a3;Adipor2;Slc2a1;Sec11a;Ddx39a;Polr3g;Egln3;Tpi1;Psma4;Mcm4;Trib3;Atp5g1;Idi1;Dhcr24;Aldoa;Rrp9;Txnrd1;Edem1;Pnp2;Psph;Tomm40;Ssr1;Plod2;Bub1;Hspa9;Fads1;Mthfd2l"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",5.54845584995289e-08,4.62371320829407e-07,0.719512826338911,-0.453511398329338,-1.9887678617532,185,"Got2;Timm13;Uqcrh;Ndufs2;Pdha1;Hadha;Cox6b1;Atp5e;Ldha;Timm50;Cox5a;Cyc1;Afg3l2;Uqcrc1;Por;Ndufc2;Atp5a1;Ndufa8;Surf1;Idh3a;Gpi1;Cpt1a;Atp5d;Atp5b;Bax;Hsd17b10;Uqcr10;Ndufb8;Ogdh;Ndufs7;Ndufb6;Cox5b;Phb2;Slc25a3;Sdha;Ndufa5;Mdh2;Grpel1;Atp5c1;Cox4i1;Vdac3;Ndufa2;Ndufb7;Slc25a4;Cox6c;Timm17a;Polr2f;Nqo2;Suclg1;Dlat;Ndufa3;Cox6a1;Sdhd;Acaa2;Ndufv1;Etfa;Etfb;Mdh1;Oxa1l;Uqcrq;Aifm1;Cox15;Acaa1a;Timm10;Atp5g1;Hccs"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",6.89531274457735e-08,4.92522338898382e-07,0.704975715167238,0.439927609789356,1.92026834075703,194,"Tsc22d1;Ccnl1;Zbtb10;Plek;Egr1;Fosl1;Sgk1;Sat1;Il1a;Pfkfb3;Nfe2l2;Tiparp;Atf3;Ccl4;Tubb2a;Dnajb4;Plau;Ifngr2;Plk2;Ier3;Dusp1;Gpr183;Btg2;Icosl;Snn;Il6st;Rhob;Gadd45a;Id2;Ptpre;Ccrl2;Tnf;Cd83;Eif1;Csf1;Ppp1r15a;Il18;Klf10;Rnf19b;Abca1;Plpp3;Slc16a6;Icam1;Cxcl2;Hes1;F3;Serpine1;Jun;Ier2;Egr3;Per1;Map3k8;Tlr2;Mcl1;Gem;Klf6;Rel;Zfp36;Pdlim5;Egr2;Ccl2;Il1b;Birc3;Tnfaip2;Trib1;Edn1;Ldlr"
"HALLMARK_DNA_REPAIR",3.23520751942816e-06,1.7984816696765e-05,0.627256739718528,-0.43428490152618,-1.83741133322102,145,"Dut;Rpa2;Tyms;Lig1;Nudt9;Nelfb;Aprt;Pold1;Supt4a;Polr2e;Nme1;Mpg;Supt5;Surf1;Nt5c;Adrm1;Polr1c;Cant1;Pola1;Itpa;Ercc1;Umps;Trp53;Prim1;Taf12;Rad51;Upf3b;Pola2;Bola2;Rnmt;Gtf2h5;Polr2f;Nelfcd;Tarbp2;Dctn4;Hcls1;Aaas;Tmed2;Pold4;Pole4;Snapc5;Clp1;Sac3d1;Polr2c;Ssrp1;Ncbp2;Cstf3;Fen1;Ercc3;Ak3;Polh;Pnp2;Dgcr8;Sf3a3;Brf2;Pcna;Vps37b;Poll;Ddb2;Rfc3;Rbx1;Nudt21"
"HALLMARK_GLYCOLYSIS",3.2372670054177e-06,1.7984816696765e-05,0.627256739718528,-0.411231783420811,-1.80926944743801,189,"Pgam1;Got2;Pfkp;Ddit4;Polr3k;Stmn1;Ppia;Ero1a;Hmmr;B3gat3;Ldha;Isg20;Cog2;Got1;Nt5e;Gale;Qsox1;Slc16a3;Pgk1;Cdk1;Mxi1;Txn1;Gpr87;Cenpa;Nasp;Glce;Copb2;Angptl4;Aurka;Pgls;Mdh2;Depdc1a;Paxip1;Glrx;Galk1;Chst2;Pfkfb1;Xylt2;Fam162a;Rbck1;Mdh1;Chst12;Aldh7a1;Casp6;Egln3;Tpi1;Akr1a1;Prps1;Ndufv3;Ext2;Zfp292;Sdc3;Aldoa;Chpf;Ak3;Dsc2;Sdhc;Fkbp4;Pygb;Gfus;Cd44;Plod2;Aldh9a1;Chpf2;Stc2;Mif;Gne;Hax1;Ecd;Taldo1;Lhx9"
"HALLMARK_MYC_TARGETS_V2",1.84929413937719e-05,9.24647069688594e-05,0.575610261071129,-0.561371033839413,-2.03794236586773,56,"Slc19a1;Pa2g4;Dctpp1;Las1l;Tmem97;Hspd1;Ung;Plk1;Mcm5;Rabepk;Srm;Wdr74;Phb;Exosc5;Rcl1;Cdk4;Nop16;Npm1;Mybbp1a;Tcof1;Mcm4;Mphosph10;Farsa;Rrp9;Slc29a2;Bysl;Dusp2;Plk4;Ndufaf4;Grwd1;Nip7;Nop56"
