"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.4393861637678e-79,1.52707996348812,0.644,0.385,4.63044281606404e-75,"0","Hspa1b"
1.06349047173703e-71,1.50338144571093,0.592,0.36,2.01871761345122e-67,"0","Hspa1a"
4.9974307177515e-55,1.97375412253515,0.356,0.191,9.48612298843589e-51,"0","Dnajb1"
2.40747580400302e-36,0.928652218796925,0.568,0.477,4.56987057115853e-32,"0","Jun"
1.63297888265424e-34,1.06815224599426,0.356,0.309,3.09972051505428e-30,"0","Dnaja1"
6.90913609821187e-34,0.837686446463898,0.476,0.431,1.31149221416258e-29,"0","Btg2"
5.22391364320805e-33,0.651193503181827,0.58,0.574,9.91603287753752e-29,"0","Ubc"
6.23809509724293e-33,1.15901523527033,0.422,0.28,1.18411521135865e-28,"0","Ccl5"
2.66627339619256e-32,0.931631648589067,0.461,0.42,5.06112016065272e-28,"0","Hsp90aa1"
4.02178176497493e-32,1.16557903009347,0.341,0.266,7.63414614627541e-28,"0","Epsti1"
6.30602541124235e-32,0.828681594259761,0.562,0.487,1.19700974356202e-27,"0","Gimap4"
1.9476561527599e-30,0.935390539784806,0.416,0.363,3.69704090916884e-26,"0","Rsrp1"
4.2732583030222e-30,1.40235833592007,0.25,0.183,8.11149891079674e-26,"0","Ms4a6b"
1.55015965145338e-28,0.70760737919354,0.326,0.317,2.94251305038881e-24,"0","Macf1"
1.91027700787382e-27,0.97652037081061,0.308,0.257,3.62608781634609e-23,"0","Evl"
4.55668004272543e-27,1.19083327952734,0.323,0.218,8.64949005710141e-23,"0","Ms4a4b"
1.1694163355921e-26,0.543340105943438,0.51,0.512,2.21978608822092e-22,"0","Clk1"
3.43561544950723e-25,0.406707961431553,0.712,0.724,6.52148524625463e-21,"0","Shisa5"
7.29893467628737e-25,0.523393110599808,0.352,0.376,1.38548378025287e-20,"0","Eif1"
1.21289886351613e-24,0.669088785865769,0.351,0.369,2.30232462272631e-20,"0","Ier2"
1.30556623587269e-24,0.744488523897035,0.255,0.27,2.47822582893355e-20,"0","Rnf138"
1.68941316870157e-24,0.357618997380703,0.806,0.855,3.20684407682932e-20,"0","Tpt1"
2.04198553753123e-24,0.383006014148509,0.418,0.463,3.87609694734179e-20,"0","Ptpn22"
2.28156677808894e-24,1.17664299926559,0.269,0.199,4.33087005816842e-20,"0","Gimap6"
2.92041502227417e-24,0.39002049036703,0.493,0.554,5.54353179528083e-20,"0","Arhgef1"
6.96276394375491e-24,1.00754556222149,0.303,0.259,1.32167185180356e-19,"0","Klf2"
2.72823088959154e-23,0.42825217463262,0.52,0.548,5.17872787462266e-19,"0","Pnrc1"
4.20283333454687e-23,0.479533954244733,0.197,0.251,7.97781823563686e-19,"0","Ppp1r18"
4.82261871885829e-23,1.05236476799829,0.284,0.22,9.1542948521368e-19,"0","Gramd3"
9.31262780088379e-23,0.373937625965875,0.379,0.423,1.76772300916376e-18,"0","Arhgap45"
9.6947394912271e-23,0.295186024091306,0.32,0.386,1.84025545022473e-18,"0","Mbnl1"
1.32265002032341e-22,0.463027877393395,0.407,0.442,2.5106542685779e-18,"0","Srsf5"
1.6336266444258e-22,0.252034482142315,0.274,0.346,3.10095009644906e-18,"0","Arrb2"
2.51210167020304e-22,0.983075074569622,0.259,0.231,4.7684713903794e-18,"0","Ifi203"
3.19843190940179e-22,0.300751919797814,0.276,0.334,6.07126345042647e-18,"0","Cox7a2l"
6.2642704922195e-22,0.41781390400905,0.411,0.45,1.18908382483311e-17,"0","Zfp36l2"
6.46119604458239e-22,0.393726485502567,0.468,0.495,1.22646423318263e-17,"0","H2-Q7"
9.27781020882718e-22,0.340396683118536,0.341,0.392,1.76111393383958e-17,"0","Tnfaip3"
1.48487432718974e-21,0.843699623977993,0.372,0.283,2.81858844787156e-17,"0","Ctsw"
1.59893175558047e-21,0.730323588548463,0.371,0.337,3.03509225844285e-17,"0","Gimap3"
1.92175302734598e-21,0.329103190025689,0.464,0.499,3.64787159650813e-17,"0","Ptprc"
6.57744450621695e-21,0.580250076878826,0.296,0.312,1.2485305161701e-16,"0","Ppp1r15a"
1.34934070013165e-20,0.264214417343145,0.309,0.384,2.5613185169899e-16,"0","Fyb"
4.25250736790155e-20,0.615105685042409,0.244,0.254,8.07210948575072e-16,"0","Rasal3"
7.14835868861716e-20,0.389064713867118,0.276,0.324,1.35690144627331e-15,"0","Ccr5"
8.75395234058642e-20,0.947746038036111,0.303,0.253,1.66167523329011e-15,"0","Cd69"
9.32592038236604e-20,0.329508378365032,0.224,0.282,1.77024620698072e-15,"0","Tra2b"
1.18153400089751e-19,0.492681017188675,0.228,0.259,2.24278784050366e-15,"0","Ikzf1"
2.34773150419557e-19,0.347322595299081,0.391,0.436,4.45646394126403e-15,"0","Cd3e"
2.52576909110702e-19,0.49129611369469,0.22,0.252,4.79441488873934e-15,"0","Nsd3"
2.77563624622103e-19,0.41571061362994,0.361,0.385,5.26871272257676e-15,"0","Stk17b"
3.37638580451378e-19,0.26493708557008,0.193,0.252,6.40905553412805e-15,"0","Rock1"
3.6960966251137e-19,0.638164190211144,0.263,0.257,7.01593061379082e-15,"0","Ablim1"
3.93882330131926e-19,0.387139363665543,0.28,0.321,7.47667439056421e-15,"0","Jak1"
4.55327906812147e-19,0.252283554756155,0.229,0.291,8.64303432710817e-15,"0","Arhgap30"
5.18994802492605e-19,0.45471169890479,0.242,0.272,9.85155934091462e-15,"0","Saraf"
8.05471637780316e-19,0.68644348423712,0.272,0.253,1.5289462628346e-14,"0","Tbc1d10c"
1.07605377348747e-18,0.444472754461282,0.285,0.317,2.04256527283392e-14,"0","Slfn2"
1.28445736019908e-18,0.347223339601784,0.244,0.291,2.4381569611299e-14,"0","Paip2"
4.92225265050075e-18,0.277168774260107,0.245,0.304,9.34341998118052e-14,"0","Acap1"
6.49175169766414e-18,0.393203250840204,0.217,0.26,1.23226430725061e-13,"0","Atp1b3"
9.3630991257521e-18,0.359268557268071,0.566,0.581,1.77730347605026e-13,"0","Itk"
1.16927295976713e-17,0.397351739670632,0.207,0.262,2.21951393222997e-13,"0","Arglu1"
1.55419281566571e-17,0.329186094419978,0.251,0.294,2.95016880269665e-13,"0","Arl6ip5"
2.70751350758486e-17,0.34573263699696,0.394,0.445,5.13940214009758e-13,"0","Mcl1"
5.92545360342757e-17,0.669137011538207,0.494,0.453,1.12476960300262e-12,"0","Fos"
7.64010286056064e-17,0.346690960804116,0.366,0.406,1.45024432499162e-12,"0","Tmsb10"
1.55320012947335e-16,0.380896742033967,0.321,0.358,2.94828448576631e-12,"0","Rbm39"
2.41480206693183e-16,0.451819338977062,0.252,0.28,4.58377728344999e-12,"0","Zc3hav1"
2.65086542892193e-16,0.374643523564499,0.231,0.264,5.03187275717961e-12,"0","Btg1"
2.89926606143899e-16,0.380635375277936,0.206,0.254,5.50338683782349e-12,"0","Ppp2r5a"
4.90918092235516e-16,0.288698615868933,0.615,0.653,9.31860722681456e-12,"0","Thy1"
8.53346807042596e-16,0.404489649482491,0.209,0.25,1.61982290912826e-11,"0","Cd47"
9.20460327954383e-16,0.572469735272934,0.265,0.272,1.74721779452301e-11,"0","Ltb"
9.41459461740146e-16,0.265255497799915,0.376,0.427,1.78707835027515e-11,"0","Septin1"
1.41065510573138e-15,0.727219148811518,0.327,0.271,2.67770552169931e-11,"0","Ctla2a"
1.75603862018689e-15,0.599867150007968,0.266,0.262,3.33331250883876e-11,"0","Ogt"
4.1751558855337e-15,0.604775865960997,0.474,0.401,7.92528090192006e-11,"0","Nkg7"
4.45478012568528e-15,0.510295323501155,0.28,0.292,8.45606363457581e-11,"0","Txnip"
6.44173506751595e-15,0.290806524878664,0.381,0.409,1.22277015051588e-10,"0","Cd3d"
8.883102927761e-15,0.402757259707534,0.233,0.265,1.68619059774759e-10,"0","Mllt6"
1.01687353699892e-14,0.287309998250317,0.664,0.726,1.93022934793135e-10,"0","Jund"
1.43634635403753e-14,0.389283595188092,0.237,0.263,2.72647264923403e-10,"0","Etnk1"
2.79558906088101e-14,0.331123276907942,0.235,0.273,5.30658715536434e-10,"0","Prex1"
5.85876425374954e-14,0.288425562905036,0.224,0.262,1.11211063064674e-09,"0","Usp25"
2.34806266877049e-13,0.669762503986714,0.259,0.239,4.45709255786014e-09,"0","Bcl2l11"
5.18319374109914e-13,0.274654831892184,0.226,0.273,9.83873835935439e-09,"0","Bst2"
1.69040956089961e-11,0.443403866232281,0.286,0.303,3.20873542849963e-07,"0","Fosb"
8.79380553028952e-09,0.453855594936709,0.294,0.289,0.000166924016575956,"0","Egr1"
1.77460950935084e-08,0.431375766668167,0.257,0.248,0.000336856377064977,"0","Satb1"
3.14557060515492e-06,0.687487792861186,0.299,0.239,0.0597092212270507,"0","mt-Cytb"
3.9029239456326e-62,1.8252567811195,0.481,0.231,7.40853023359981e-58,"1","Tnfrsf4"
3.04271596562987e-59,1.60727667572679,0.536,0.332,5.77568344595862e-55,"1","Ctla4"
2.67838472357005e-46,1.50700957829994,0.486,0.28,5.08410988228068e-42,"1","Icos"
4.72956708766552e-37,1.55693990815441,0.372,0.2,8.97766424580669e-33,"1","Cd4"
2.29701311784087e-30,1.04771007726164,0.477,0.338,4.36019030028553e-26,"1","Odc1"
2.40691792408225e-28,1.41307330566181,0.346,0.189,4.56881160349292e-24,"1","Il2ra"
1.53355913803365e-26,1.15371933670621,0.385,0.256,2.91100195581547e-22,"1","Cd5"
4.65964321130176e-24,1.45663466650777,0.289,0.17,8.844934743693e-20,"1","Arl5a"
5.60357451950661e-24,1.04912348133756,0.381,0.287,1.06367051529275e-19,"1","Jak2"
2.42454302105873e-23,1.54147996834382,0.252,0.155,4.60226756257367e-19,"1","Got1"
2.21221264411805e-22,0.648512616418027,0.575,0.512,4.19922204106487e-18,"1","S100a10"
5.59666410340945e-22,0.812952626651284,0.521,0.43,1.06235878010918e-17,"1","Pim1"
9.09831188398897e-22,1.39862418049934,0.269,0.148,1.72704156181879e-17,"1","Dusp4"
1.47721329146044e-20,1.30169731012565,0.27,0.175,2.80404626985021e-16,"1","Ass1"
1.75635183156637e-20,0.528793892689539,0.759,0.71,3.33390704667929e-16,"1","Srgn"
2.84417409032513e-18,0.956388307423322,0.427,0.322,5.39881125825515e-14,"1","Crem"
3.4956639271424e-18,0.805918533826516,0.436,0.336,6.63546926650171e-14,"1","Ubl3"
4.44900288208804e-18,0.989127187535671,0.359,0.254,8.44509727077952e-14,"1","Hif1a"
2.61708715760144e-17,0.874783806280338,0.353,0.284,4.96775484255906e-13,"1","Rel"
4.0257583185563e-17,0.626099229150162,0.565,0.474,7.64169444028356e-13,"1","Cytip"
2.07547723153026e-16,1.03009565227823,0.314,0.215,3.93967088089073e-12,"1","Itgav"
3.80888137097773e-16,1.06244753156808,0.333,0.242,7.23001861838993e-12,"1","Nr4a3"
5.12840342018466e-16,0.83776641475607,0.357,0.283,9.73473537219453e-12,"1","Nfkb1"
5.30822218109124e-16,1.28066805996013,0.252,0.177,1.00760673441474e-11,"1","Furin"
1.40591586367187e-15,1.00618553980479,0.294,0.203,2.66870949242194e-11,"1","Itgb7"
1.73825312220954e-15,0.869043684928529,0.325,0.286,3.29955207657815e-11,"1","Hopx"
5.11937345747448e-15,0.573500598213984,0.517,0.448,9.71759469697806e-11,"1","Ndfip1"
2.89821823157505e-14,0.903846271995081,0.372,0.315,5.50139784717577e-10,"1","Nr4a1"
1.71722956512139e-13,0.84192938514997,0.317,0.239,3.25964516051342e-09,"1","Gadd45b"
3.9710919182367e-13,0.828762696769498,0.328,0.259,7.5379266791969e-09,"1","Gm2a"
5.61593127079417e-13,0.517325223755109,0.605,0.536,1.06601607382215e-08,"1","Gna13"
1.30106671842604e-12,0.472890345783726,0.469,0.452,2.46968484491631e-08,"1","S100a11"
1.78622692031376e-12,0.651204437124761,0.379,0.329,3.39061594013959e-08,"1","Itpkb"
2.04382964582751e-12,0.456552372853433,0.642,0.599,3.87959743370977e-08,"1","Trac"
4.04602287441717e-12,0.81799860045606,0.277,0.241,7.68016062021868e-08,"1","Nr3c1"
4.64543638401689e-12,0.902452568479863,0.255,0.202,8.81796734414086e-08,"1","Dusp10"
1.05991508825963e-11,0.666536802875476,0.326,0.292,2.01193082053443e-07,"1","Itm2c"
1.22070851774094e-11,0.443689835992038,0.421,0.401,2.31714890837584e-07,"1","Limd2"
1.4748376553538e-11,0.771483135022552,0.342,0.274,2.79953683739259e-07,"1","Cd2"
1.77608110103739e-11,0.68334605745978,0.351,0.311,3.37135714598917e-07,"1","Ifrd1"
2.47357959793601e-11,0.533624056837033,0.284,0.286,4.69534879280213e-07,"1","Arpc2"
2.55766074558764e-11,1.00452722267259,0.25,0.176,4.85495162727445e-07,"1","Ikzf2"
2.69936994062618e-11,0.458610784706571,0.56,0.518,5.12394402129661e-07,"1","Fam107b"
