"cluster","pathway","NES","pval","padj"
"B cell contamination","GOBP_DEFENSE_RESPONSE_TO_GRAM_POSITIVE_BACTERIUM",1.87079165716897,5.11082387397612e-05,0.0287297799741255
"B cell contamination","GOBP_DEFENSE_RESPONSE_TO_BACTERIUM",1.86034134149938,8.56002153325729e-05,0.0318646801575503
"B cell contamination","GOBP_T_CELL_DIFFERENTIATION",-1.56938248772529,5.78840429297358e-05,0.0287297799741255
"B cell contamination","GOBP_ALPHA_BETA_T_CELL_ACTIVATION",-1.89439697961286,0.000110170283738547,0.0328087104973392
"B cell contamination","GOBP_T_CELL_RECEPTOR_SIGNALING_PATHWAY",-2.0678495032692,2.61534904730961e-05,0.0287297799741255
"CD4+ regulatory T cells","GOBP_NEGATIVE_REGULATION_OF_T_CELL_PROLIFERATION",1.8227757867918,0.000244050734665163,0.0311978189146967
"CD4+ regulatory T cells","GOBP_TOLERANCE_INDUCTION",1.82108527927286,0.000305883837650406,0.0332259626316466
"CD4+ regulatory T cells","GOBP_NEGATIVE_REGULATION_OF_TYPE_II_INTERFERON_PRODUCTION",1.79652746522924,0.000888985152044876,0.0568209676348683
"CD4+ regulatory T cells","GOBP_RESPONSE_TO_ESTRADIOL",1.76343956155764,0.00123524867992439,0.0653403956897933
"CD4+ regulatory T cells","GOBP_ACTIVATED_T_CELL_PROLIFERATION",1.74843941239766,0.00111615750838497,0.0611494863522339
"CD4+ regulatory T cells","GOBP_T_CELL_PROLIFERATION",1.72926077261858,0.000181413054449695,0.0252988750478029
"CD4+ regulatory T cells","GOBP_REGULATION_OF_T_CELL_ACTIVATION",1.55153707379809,0.00102583866944804,0.0605244814974342
"CD4+ regulatory T cells","GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE",-1.43355195036753,0.0020652374999151,0.0920912667109065
"CD4+ regulatory T cells","GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS",-1.43857046934539,0.00163871439317464,0.0810899315848353
"CD4+ regulatory T cells","GOBP_PROTEIN_MATURATION",-1.51964465262895,0.000977784542995767,0.0599968595582202
"CD4+ regulatory T cells","GOBP_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION",-1.58436450477772,0.00210116970983163,0.0920912667109065
"CD4+ regulatory T cells","GOBP_MRNA_PROCESSING",-1.61009446864275,9.43822691901386e-05,0.0160869334375192
"CD4+ regulatory T cells","GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS",-1.61507086044689,0.000435118085321766,0.0351300601517678
"CD4+ regulatory T cells","GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS",-1.63518423587255,0.000172511397045508,0.0252988750478029
"CD4+ regulatory T cells","GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS",-1.64196934469244,0.000265352280327399,0.0313115690786331
"CD4+ regulatory T cells","GOBP_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY",-1.65930543609499,0.00199366558058915,0.0920912667109065
"CD4+ regulatory T cells","GOBP_REGULATION_OF_RNA_SPLICING",-1.67680952316758,0.000831211004543663,0.055438160042173
"CD4+ regulatory T cells","GOBP_TELOMERE_ORGANIZATION",-1.7232457928696,0.00169307584141379,0.0811618231477737
"CD4+ regulatory T cells","GOBP_PROTEIN_RNA_COMPLEX_ORGANIZATION",-1.7267222938825,0.000429169227394677,0.0351300601517678
"CD4+ regulatory T cells","GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY",-1.77326336520229,0.00161078594842744,0.0810899315848353
"CD4+ regulatory T cells","GOBP_RNA_SPLICING",-1.82079413941929,6.61108516200411e-07,0.00101414046385143
"CD4+ regulatory T cells","GOBP_RESPONSE_TO_HEAT",-1.82732037991722,0.00107065654927657,0.060829153577417
"CD4+ regulatory T cells","GOBP_MODULATION_OF_PROCESS_OF_ANOTHER_ORGANISM",-1.87361970465157,0.000642024953257726,0.0468983942046358
"CD4+ regulatory T cells","GOBP_CELLULAR_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN",-1.87384978770009,0.0007092721686205,0.0494556139392657
"CD4+ regulatory T cells","GOBP_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN",-1.89190630295611,0.000487974727969121,0.0374276616352316
"CD4+ regulatory T cells","GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_STRESS",-1.90616521613495,2.56761150861628e-06,0.00131290535140579
"CD4+ regulatory T cells","GOBP_REGULATION_OF_PROTEIN_STABILITY",-1.91203406589264,1.07627502574235e-05,0.00412751472372191
"CD4+ regulatory T cells","GOBP_CELLULAR_RESPONSE_TO_UNFOLDED_PROTEIN",-1.95592790485574,0.000331190511112452,0.0332259626316466
"CD4+ regulatory T cells","GOBP_PROTEIN_STABILIZATION",-1.98887436204688,2.82388947969656e-05,0.00541480807731816
"CD4+ regulatory T cells","GOBP_REGULATION_OF_PH",-2.0551046386644,0.000349857058029342,0.0332259626316466
"CD4+ regulatory T cells","GOBP_SKELETAL_MUSCLE_CELL_DIFFERENTIATION",-2.0594018719166,0.000368214709737935,0.0332259626316466
"CD4+ regulatory T cells","GOBP_PROTEIN_FOLDING",-2.20181675722796,1.90148986768105e-06,0.00131290535140579
