cell_group	parameter	factor	c_lower	c_effect	c_upper	c_pH0	c_FDR	c_rhat	c_ess_bulk	c_ess_tail	v_lower	v_effect	v_upper	v_pH0	v_FDR	v_rhat	v_ess_bulk	v_ess_tail
CD4+ Helper T cells	(Intercept)	NA	-0.136045346525	0.0279726432	0.2024708065	0.8015	0.0961346153846154	1.00553011849741	694.887672342346	1233.08440635078	-6.69653914175	-6.04478805	-5.423075111	0	0	1.0087495846143	369.259328980501	810.417861495621
CD4+ Helper T cells	conditionB7H3	condition	-0.12522500825	0.1380772275	0.4001143129	0.3905	0.111568181818182	1.00001191912116	1668.54031416425	1448.05768914831	NA	NA	NA	NA	NA	NA	NA	NA
CD4+ Helper T cells	conditionCD28-41BB	condition	-0.462259318775	-0.16146355	0.12421821315	0.3295	0.169972222222222	1.00101929511083	727.829634568926	3236.99733025977	NA	NA	NA	NA	NA	NA	NA	NA
CD4+ Helper T cells	conditionCD8-41BB	condition	0.1112734279	0.362659051	0.610144180575	0.02125	0.00770833333333332	1.00204740698774	798.323564895362	1144.99394482368	NA	NA	NA	NA	NA	NA	NA	NA
CD4+ Helper T cells	conditionSTOP	condition	0.399621569125	0.667140651	0.910764415375	0	0	1.00009959722957	1095.61418861534	3286.73142603221	NA	NA	NA	NA	NA	NA	NA	NA
CD4+ Helper T cells	conditiontumor	condition	-0.6923111024	-0.378505389	-0.0665703329549999	0.039	0.0125416666666667	1.00056746257074	1044.37751999117	3368.28608153352	NA	NA	NA	NA	NA	NA	NA	NA
CD4+ Regulatory T cells	(Intercept)	NA	0.736689451725	0.9121786745	1.07313490975	0	0	1.00147372119722	706.759054734554	1375.68089215742	-6.20612318925	-5.66328398	-5.01893193825	0	0	1.00476993452623	391.721577142254	627.377678450865
CD4+ Regulatory T cells	conditionB7H3	condition	-0.4954575219	-0.229734811	0.0262370632300002	0.1605	0.044	1.00195379039372	1488.37763495216	1519.03277201502	NA	NA	NA	NA	NA	NA	NA	NA
CD4+ Regulatory T cells	conditionCD28-41BB	condition	-0.635054675075	-0.347348316	-0.0585331830049999	0.043	0.039625	1.00143828230854	1361.07429934019	2167.83528514089	NA	NA	NA	NA	NA	NA	NA	NA
CD4+ Regulatory T cells	conditionCD8-41BB	condition	-0.60148223975	-0.322355002	-0.0488502232725	0.0525	0.0141071428571428	1.00165073233064	1121.74929141982	2215.97520118814	NA	NA	NA	NA	NA	NA	NA	NA
CD4+ Regulatory T cells	conditionSTOP	condition	-0.7071761822	-0.413160817	-0.125514922325	0.0175	0.00758333333333331	1.00046206388502	961.547434343633	998.186401989167	NA	NA	NA	NA	NA	NA	NA	NA
CD4+ Regulatory T cells	conditiontumor	condition	-1.11690650925	-0.78658579	-0.457540902975	0	0	1.00297750470514	674.04733842572	1268.00593872316	NA	NA	NA	NA	NA	NA	NA	NA
CD8+ Cytotoxic T cells	(Intercept)	NA	-0.055249665895	0.1402089455	0.3258953162	0.3335	0.0373541666666667	1.00140281391134	466.263082711987	1206.3838318993	-6.182680413	-5.58815359	-4.92860953475	0	0	1.00009335028333	283.935346452713	513.734276237698
CD8+ Cytotoxic T cells	conditionB7H3	condition	0.206520439375	0.481553037	0.7535628742	0.004	0.00337500000000002	0.999827566634913	898.933777933909	2160.85585143829	NA	NA	NA	NA	NA	NA	NA	NA
CD8+ Cytotoxic T cells	conditionCD28-41BB	condition	-0.530801684975	-0.19726337	0.125479383825	0.25875	0.100125	0.999912453416846	437.807894473325	583.330974793204	NA	NA	NA	NA	NA	NA	NA	NA
CD8+ Cytotoxic T cells	conditionCD8-41BB	condition	0.0252221735875	0.299433174	0.578598427675	0.07725	0.022	1.00020196832194	1113.98523565738	2129.24886896739	NA	NA	NA	NA	NA	NA	NA	NA
CD8+ Cytotoxic T cells	conditionSTOP	condition	-0.05991688394	0.23578917	0.53150737055	0.1755	0.0822083333333333	1.00081098889187	713.28967144873	2020.54839719489	NA	NA	NA	NA	NA	NA	NA	NA
CD8+ Cytotoxic T cells	conditiontumor	condition	-0.973308717075	-0.6336871395	-0.307787529275	0.00124999999999997	0.000562499999999994	1.0040021638449	574.459158455616	1945.2164268612	NA	NA	NA	NA	NA	NA	NA	NA
Central memory T cells	(Intercept)	NA	-0.7293528203	-0.524148525	-0.31673497335	0	0	1.00022715768147	590.489815232945	2601.24717691525	-6.76630099225	-6.130538305	-5.51518900325	0	0	1.0051959897382	192.905882598519	366.333770519961
Central memory T cells	conditionB7H3	condition	-0.564316511375	-0.222417951	0.112354585375	0.22725	0.0643611111111111	1.00049227252373	729.556867554544	1213.33628408031	NA	NA	NA	NA	NA	NA	NA	NA
Central memory T cells	conditionCD28-41BB	condition	-0.12303994985	0.187457086	0.51178514875	0.2895	0.127178571428571	1.00212558487114	836.490280040222	2944.77630736795	NA	NA	NA	NA	NA	NA	NA	NA
Central memory T cells	conditionCD8-41BB	condition	-0.153944025625	0.1455908815	0.443851847525	0.38425	0.06225	0.999937058747489	549.458863300953	1685.92505934043	NA	NA	NA	NA	NA	NA	NA	NA
Central memory T cells	conditionSTOP	condition	-0.0555054307425	0.240274367	0.5517405617	0.17225	0.06355	1.00105850118094	528.632239357693	2186.04078970245	NA	NA	NA	NA	NA	NA	NA	NA
Central memory T cells	conditiontumor	condition	0.445319765975	0.764283486	1.0922727085	0	0	1.00080480910571	710.434334593018	2108.61952089859	NA	NA	NA	NA	NA	NA	NA	NA
Heat-shocked T cells	(Intercept)	NA	0.80053696315	0.961805921	1.122190679	0	0	1.00297323367347	508.440043330297	820.979504856424	-6.12026701225	-5.551509435	-4.91312975175	0	0	1.00109515838861	443.776946720672	1019.63236215005
Heat-shocked T cells	conditionB7H3	condition	0.135303335325	0.382265647	0.608214275225	0.01475	0.00690000000000002	1.00042003656713	1830.34474952561	2426.12635246895	NA	NA	NA	NA	NA	NA	NA	NA
Heat-shocked T cells	conditionCD28-41BB	condition	-0.138732416425	0.119018687	0.381172044325	0.43875	0.210409090909091	1.00137113287406	1474.13739540028	2070.21510413123	NA	NA	NA	NA	NA	NA	NA	NA
Heat-shocked T cells	conditionCD8-41BB	condition	-0.318828856625	-0.05741329945	0.200495184	0.62675	0.190041666666667	1.00073829039458	2146.62699024678	2344.17770552352	NA	NA	NA	NA	NA	NA	NA	NA
Heat-shocked T cells	conditionSTOP	condition	-0.108568138775	0.149873846	0.417371523425	0.349	0.14859375	1.00065194479563	1688.81203086471	2794.87219939752	NA	NA	NA	NA	NA	NA	NA	NA
Heat-shocked T cells	conditiontumor	condition	-0.0307983140925	0.2448708825	0.5099177645	0.145	0.0475833333333333	1.00076384028828	2161.63320947765	2557.88185936095	NA	NA	NA	NA	NA	NA	NA	NA
IFN-stimulated T cells	(Intercept)	NA	-0.88384843405	-0.668327376	-0.45027059835	0.000249999999999972	2.49999999999972e-05	1.00038774044394	3292.23573853172	3267.91647057597	-6.90779785125	-6.224294775	-5.5707957615	0	0	1.00261333162645	235.206335724708	1018.40464759571
