"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.67279912862392e-100,1.72097810473325,0.737,0.327,1.26576326670867e-95,"Heat-shock / stressed cytotoxic T cells","Hspa1b"
4.09639144588036e-83,1.68257266303635,0.676,0.314,7.77044493369046e-79,"Heat-shock / stressed cytotoxic T cells","Hspa1a"
1.0738977308851e-45,1.91221365595909,0.382,0.178,2.03707660571595e-41,"Heat-shock / stressed cytotoxic T cells","Dnajb1"
2.0449580044761e-34,1.14919455089482,0.567,0.346,3.87908083869071e-30,"Heat-shock / stressed cytotoxic T cells","Jun"
2.50395603294114e-25,1.25472378139681,0.357,0.245,4.74975419888605e-21,"Heat-shock / stressed cytotoxic T cells","Dnaja1"
1.04269958855436e-24,0.73236274871697,0.612,0.518,1.97789684952877e-20,"Heat-shock / stressed cytotoxic T cells","Thy1"
1.46375654813422e-24,1.12421485050968,0.436,0.303,2.77659979615581e-20,"Heat-shock / stressed cytotoxic T cells","Hsp90aa1"
1.32883177869986e-23,0.957819817619195,0.487,0.351,2.52066100101576e-19,"Heat-shock / stressed cytotoxic T cells","Nkg7"
4.10698928432467e-22,1.40422896658802,0.284,0.136,7.79054797343548e-18,"Heat-shock / stressed cytotoxic T cells","Cd8a"
1.27972036708161e-20,0.923426475821876,0.425,0.33,2.4275015643171e-16,"Heat-shock / stressed cytotoxic T cells","Cd3e"
5.47689085912924e-20,0.62122715605776,0.523,0.496,1.03891142706822e-15,"Heat-shock / stressed cytotoxic T cells","Ubc"
8.50216408711374e-19,0.317673419426443,0.577,0.624,1.61277550568461e-14,"Heat-shock / stressed cytotoxic T cells","Rac2"
1.80069867693631e-18,0.898507376909703,0.473,0.356,3.41574532028048e-14,"Heat-shock / stressed cytotoxic T cells","Btg2"
6.16301223742607e-17,1.08959630287423,0.308,0.203,1.16906179131735e-12,"Heat-shock / stressed cytotoxic T cells","Ms4a4b"
7.50271228475119e-17,1.07645077795172,0.25,0.199,1.42318949329445e-12,"Heat-shock / stressed cytotoxic T cells","Rasal3"
4.62062435186521e-15,0.947234403575926,0.331,0.246,8.76486233305312e-11,"Heat-shock / stressed cytotoxic T cells","Cd69"
9.22748355911803e-15,0.616835067612614,0.468,0.444,1.7503613563291e-10,"Heat-shock / stressed cytotoxic T cells","Arhgef1"
7.24850512495728e-14,0.869225111345485,0.323,0.255,1.37496893715315e-09,"Heat-shock / stressed cytotoxic T cells","Epsti1"
1.113506294981e-13,0.834762205047678,0.366,0.266,2.11221009094946e-09,"Heat-shock / stressed cytotoxic T cells","Ctsw"
9.4264370075688e-13,0.868855534672844,0.324,0.264,1.78810083596573e-08,"Heat-shock / stressed cytotoxic T cells","Ctla2a"
