condition	cell_group	n	prop
41BB-L	Heat-shocked T cells	243	0.154875717017208
41BB-L	Myeloid cells	228	0.145315487571702
41BB-L	CD4+ Regulatory T cells	248	0.158062460165711
41BB-L	CD8+ Cytotoxic T cells	128	0.0815806246016571
41BB-L	CD4+ Helper T cells	97	0.0618228170809433
41BB-L	Proliferating	163	0.103887826641173
41BB-L	iNKT1 cells	116	0.0739324410452517
41BB-L	NK cells	145	0.0924155513065647
41BB-L	Naive T cells	56	0.035691523263225
41BB-L	Central memory T cells	49	0.0312300828553219
41BB-L	IFN-stimulated T cells	50	0.0318674314850223
41BB-L	iNKT17 cells	29	0.0184831102613129
41BB-L	iNKT2 cells	17	0.0108349267049076
B7H3	Heat-shocked T cells	614	0.213788300835655
B7H3	Myeloid cells	279	0.0971448467966574
B7H3	CD4+ Regulatory T cells	313	0.108983286908078
B7H3	CD8+ Cytotoxic T cells	307	0.106894150417827
B7H3	CD4+ Helper T cells	189	0.0658077994428969
B7H3	Proliferating	406	0.141364902506964
B7H3	iNKT1 cells	161	0.056058495821727
B7H3	NK cells	238	0.0828690807799443
B7H3	Naive T cells	101	0.0351671309192201
B7H3	Central memory T cells	75	0.0261142061281337
B7H3	IFN-stimulated T cells	133	0.0463091922005571
B7H3	iNKT17 cells	31	0.0107938718662953
B7H3	iNKT2 cells	25	0.00870473537604457
CD28-41BB	Heat-shocked T cells	206	0.177128116938951
CD28-41BB	Myeloid cells	216	0.185726569217541
CD28-41BB	CD4+ Regulatory T cells	129	0.110920034393809
CD28-41BB	CD8+ Cytotoxic T cells	65	0.0558899398108341
CD28-41BB	CD4+ Helper T cells	58	0.0498710232158212
CD28-41BB	Proliferating	100	0.0859845227858985
CD28-41BB	iNKT1 cells	84	0.0722269991401548
CD28-41BB	NK cells	149	0.128116938950989
CD28-41BB	Naive T cells	42	0.0361134995700774
CD28-41BB	Central memory T cells	47	0.0404127257093723
CD28-41BB	IFN-stimulated T cells	29	0.0249355116079106
CD28-41BB	iNKT17 cells	16	0.0137575236457438
CD28-41BB	iNKT2 cells	22	0.0189165950128977
CD8-41BB	Heat-shocked T cells	545	0.140319258496395
CD8-41BB	Myeloid cells	445	0.114572605561277
CD8-41BB	CD4+ Regulatory T cells	366	0.0942327497425335
CD8-41BB	CD8+ Cytotoxic T cells	391	0.100669412976313
CD8-41BB	CD4+ Helper T cells	338	0.0870236869207003
CD8-41BB	Proliferating	496	0.127703398558187
CD8-41BB	iNKT1 cells	320	0.082389289392379
CD8-41BB	NK cells	368	0.0947476828012358
CD8-41BB	Naive T cells	232	0.0597322348094748
CD8-41BB	Central memory T cells	177	0.0455715756951596
CD8-41BB	IFN-stimulated T cells	43	0.0110710607621009
CD8-41BB	iNKT17 cells	134	0.0345005149330587
CD8-41BB	iNKT2 cells	29	0.00746652935118435
STOP	Heat-shocked T cells	242	0.17410071942446
STOP	Myeloid cells	184	0.132374100719424
STOP	CD4+ Regulatory T cells	134	0.0964028776978417
STOP	CD8+ Cytotoxic T cells	120	0.0863309352517986
STOP	CD4+ Helper T cells	178	0.128057553956835
STOP	Proliferating	155	0.111510791366906
STOP	iNKT1 cells	79	0.0568345323741007
STOP	NK cells	116	0.0834532374100719
STOP	Naive T cells	43	0.0309352517985612
STOP	Central memory T cells	60	0.0431654676258993
STOP	IFN-stimulated T cells	44	0.0316546762589928
STOP	iNKT17 cells	13	0.00935251798561151
STOP	iNKT2 cells	22	0.0158273381294964
tumor	Heat-shocked T cells	112	0.191780821917808
tumor	Myeloid cells	147	0.251712328767123
tumor	CD4+ Regulatory T cells	37	0.0633561643835616
tumor	CD8+ Cytotoxic T cells	18	0.0308219178082192
tumor	CD4+ Helper T cells	22	0.0376712328767123
tumor	Proliferating	40	0.0684931506849315
tumor	iNKT1 cells	50	0.0856164383561644
tumor	NK cells	60	0.102739726027397
tumor	Naive T cells	14	0.023972602739726
tumor	Central memory T cells	42	0.0719178082191781
tumor	IFN-stimulated T cells	15	0.0256849315068493
tumor	iNKT17 cells	15	0.0256849315068493
tumor	iNKT2 cells	12	0.0205479452054795
